FE College,Age band,2009/10,2010/11,2011/12,2012/13,2013/14,,,,,,
Belfast Metropolitan College,19 & under,17373,14912,13274,16772,15922,,,,,, 
Belfast Metropolitan College,20-24,8095,6347,6139,6832,6413,,,,,, 
Belfast Metropolitan College,25 & over,28856,21857,19116,16305,14698,,,,,, 
Belfast Metropolitan College,Unknown,142,55,34,41,22,,,,,, 
Belfast Metropolitan College,Total,54466,43171,38563,39950,37055,,,,,, 
Northern Regional College,19 & under,14645,14644,15314,13742,12646,,,,,, 
Northern Regional College,20-24,2420,2297,2477,2359,2309,,,,,, 
Northern Regional College,25 & over,8588,8523,9055,9149,9221,,,,,, 
Northern Regional College,Unknown,33,4,15,35,381,,,,,, 
Northern Regional College,Total,25686,25468,26861,25285,24557,,,,,, 
North West Regional College,19 & under,9238,9353,9645,9344,8460,,,,,, 
North West Regional College,20-24,3177,3440,3378,3328,3177,,,,,, 
North West Regional College,25 & over,12697,13182,12579,12253,11498,,,,,, 
North West Regional College,Unknown,61,97,60,28,32,,,,,, 
North West Regional College,Total,25173,26072,25662,24953,23167,,,,,, 
South Eastern Regional College,19 & under,14291,15827,19371,24162,23523,,,,,, 
South Eastern Regional College,20-24,2863,3026,2957,4152,3695,,,,,, 
South Eastern Regional College,25 & over,12168,11420,8935,8996,8614,,,,,, 
South Eastern Regional College,Unknown,18,2,4,2,0,,,,,, 
South Eastern Regional College,Total,29340,30275,31267,37312,35832,,,,,, 
Southern Regional College,19 & under,23236,20558,18469,18058,16985,,,,,, 
Southern Regional College,20-24,3758,3789,4145,3816,3433,,,,,, 
Southern Regional College,25 & over,13187,12715,12844,13556,12656,,,,,, 
Southern Regional College,Unknown,67,19,34,6,1,,,,,, 
Southern Regional College,Total,40248,37081,35492,35436,33075,,,,,, 
South West College,19 & under,12118,11260,12008,12949,13805,,,,,, 
South West College,20-24,2906,2998,3489,3879,3497,,,,,, 
South West College,25 & over,9602,10126,11063,10568,9824,,,,,, 
South West College,Unknown,38,19,15,12,13,,,,,, 
South West College,Total,24664,24403,26575,27408,27139,,,,,, 
NI Total,19 & under,90901,86554,88081,95027,91341,,,,,, 
NI Total,20-24,23219,21897,22585,24366,22524,,,,,, 
NI Total,25 & over,85098,77823,73592,70827,66511,,,,,, 
NI Total,Unknown,359,196,162,124,449,,,,,, 
NI Total,Total,199577,186470,184420,190344,180825,,,,,, 
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,,,,,,,
Notes:,,,,,,,,,,,,
For further details on definitions please refer to the metadata.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
