PLACENAME,X,Y,OBJECTID
KATESBRIDGE,320900,340800,196
KEADY,284400,334100,197
"""KELLS CONNOR""",314500,397000,198
KESH,218000,363900,199
KILCOO,328500,333200,200
KILKEEL,330500,314500,201
KILLADEAS,220600,354000,202
KILLEAD,315200,379200,203
KILLEN,224100,380500,204
KILLINCHY,349700,360800,205
KILLOUGH,353700,336300,206
KILLYBEGS,308800,399600,207
KILLYLEA,279700,344900,208
KILLYLEAGH,352500,352500,209
KILRAGHTS,301900,426100,210
KILREA,292600,412500,211
KINAWLEY,223000,330900,212
KINGSMILLS,300600,330900,213
KIRCUBBIN,359800,362700,214
KIRKISTOWN,363200,358600,215
KNOCKCLOGHRIM,289400,396900,216
LACK,227400,366500,217
LAMBEG,327500,366000,218
LARNE,340400,403200,219
LAURELVALE,300600,347800,220
LAWRENCETOWN,310000,349200,221
LIMAVADY,267500,422600,222
LISBELLAW,230200,341000,223
LISBURN,326700,364400,224
LISNASKEA,236500,333700,225
LONDONDERRY,243400,416600,226
LOUGHGALL,290800,352200,227
LOUGHGUILE,308300,425200,228
LOUGHINISLAND,341700,345400,229
LURGAN,308000,358500,230
MACOSQUIN,282400,428700,231
MAGHABERRY,317400,363300,232
MAGHERA,337000,334600,233
MAGHERA,285300,400400,234
MAGHERAFELT,289500,390500,235
MAGHERALIN,312800,358900,236
MAGHERAMASON,239600,410500,237
MAGHERAMORNE,343100,398600,238
MAGUIRESBRIDGE,234700,338600,239
MALLUSK,328600,383200,240
MARKETHILL,295000,340000,241
MARTINSTOWN,313700,414400,242
MAYOBRIDGE,315600,327200,243
MAZETOWN,322100,362600,244
MIDDLETOWN,275300,338800,245
MILLBROOK,337500,401300,246
MILLISLE,359700,376100,247
MILLTOWN,297600,346400,248
MILLTOWN,314700,336500,249
MILLTOWN,275800,434500,250
MILLTOWN,289000,423700,251
MILLTOWN,257700,375500,252
MINTERBURN,273400,350300,253
MOIRA,315000,360500,254
MONEYDIG,289100,416400,255
MONEYGLASS,301700,393300,256
MONEYMORE,283500,385800,257
MONEYNEANY,275300,397100,258
MONEYREAGH,340500,367100,259
MONKSTOWN,334500,384500,260
MOSS-SIDE,301300,435300,261
MOSSLEY,332200,384900,262
MOUNTFIELD,253700,378000,263
MOUNTJOY,242200,377900,264
MOY,284300,356400,265
MOYGASHEL,280800,359900,266
MUCKAMORE,316500,385000,267
MULLAN,284300,422300,268
NEW BUILDINGS,241300,412700,269
NEWCASTLE,337500,332500,270
NEWFERRY,298800,397900,271
NEWMILLS,281600,367500,272
NEWRY,308500,326500,273
NEWTOWNABBEY,334700,382600,274
NEWTOWNARDS,348900,374100,275
NEWTOWNBUTLER,241800,326100,276
NEWTOWNHAMILTON,292900,327800,277
NEWTOWNSTEWART,240100,385600,278
OMAGH,245800,372700,279
ORRITOR,277400,379600,280
PLUMBRIDGE,248300,391300,281
POMEROY,269500,372300,282
PORTADOWN,300800,353700,283
PORTAFERRY,359500,350800,284
PORTAVOGIE,366100,359500,285
PORTBALLINTRAE,292500,441900,286
PORTGLENONE,298000,403900,287
PORTRUSH,285800,440700,288
PORTSTEWART,281600,438400,289
POYNTZ PASS,306000,339500,290
RAFFREY,346500,357100,291
RANDALSTOWN,308000,390400,292
RASHARKIN,297300,413200,293
RATHFRILAND,319900,333600,294
RICHHILL,294500,348100,295
ROSSLEA,253800,332600,296
ROSTREVOR,317800,318300,297
SAINTFIELD,340600,359100,298
SANDHOLES,278900,372500,299
SAUL,350900,346400,300
SCARVA,306500,343700,301
SCOTCH STREET,296700,355700,302
SEAFORDE,340500,341800,303
SESKINORE,248400,363500,304
SHRIGLEY,351800,353600,305
SION MILLS,234000,393100,306
SIX ROAD END,352900,378300,307
SIXMILECROSS,257000,367900,308
STEWARTSTOWN,285500,370600,309
STRABANE,234500,397700,310
STRANGFORD,358900,349600,311
STRANOCUM,300800,430100,312
SWATRAGH,285500,407500,313
TAMLAGHT,291100,406200,314
TANDRAGEE,303200,346400,315
TEDD,226300,361700,316
TEMPLEPATRICK,322700,385300,317
TEMPO,235100,347800,318
THE DIAMOND,311100,378300,319
THE DIAMOND,293200,375700,320
THE DRONES,305300,428900,321
THE DRY ARCH,303500,436100,322
THE ROCK,275400,372100,323
THE SPA,336500,349500,324
THE TEMPLE,335600,360600,325
TOBERMORE,283100,396800,326
TOOME,299100,390500,327
TRILLICK,233300,356000,328
TYNAN,276700,343000,329
UPPERLANDS,287200,404400,330
VICTORIA BRIDGE,235100,390500,331
WARINGSFORD,324000,348900,332
WARINGSTOWN,310400,355300,333
WARRENPOINT,314300,318300,334
WHITEABBEY,336000,383000,335
WHITEHEAD,347500,392000,336
