Ref,Group,Outcome 1,Outcome 2,Outcome 3,Outcome 4,Outcome 5,Outcome 6,Outcome 7,Outcome 8,Outcome 9,Outcome 10,Outcome 11,Outcome 12,Outcome 13,Outcome 14
I1,G1,,,x,,,,x,,x,,x,x,,x
I38,G1,,,x,,,,x,,x,,x,x,,x
I39,G1,,,x,,,,x,,x,,x,x,,x
I2,G2,,x,x,x,,,,x,,,,,,x
I3,G2,,x,x,x,,,,x,,,,,,x
I4,G2,,x,x,x,,,,x,,,,,,x
I7,G2,,x,x,x,,,,x,,,,,,x
I6,G3,,,,x,,x,,x,,,x,,,x
I9,G3,,,,x,,x,,x,,,x,,,x
I5,G4,,,,x,,,,x,,,x,,,
I10,G5,,,,,x,,x,x,,,x,,,x
I11,G6,x,,x,,x,x,,x,,,x,,,x
I12,G6,x,,x,,x,x,,x,,,x,,,x
I13,G6,x,,x,,x,x,,x,,,x,,,x
I15,G7,,,,x,x,,,x,,,,,,x
I19,G8,x,,x,x,x,x,x,x,,x,,,x,x
I28,G8,x,,x,x,x,x,x,x,,x,,,x,x
I17,G9,x,,x,,x,x,,x,,,,x,x,x
I32,G9,x,,x,,x,x,,x,,,,x,x,x
I33,G9,x,,x,,x,x,,x,,,,x,x,x
I8,G10,,,,x,,,,x,,,x,x,x,x
I27,G11,,,,,x,,,,x,x,,x,,x
I42,G12,,,x,,x,,,x,x,,x,x,x,x
I20,G13,x,,,,,x,,,,,,x,,
I14,G14,x,x,x,,x,x,,x,,x,,x,x,x
I16,G14,x,x,x,,x,x,,x,,x,,x,x,x
I18,G14,x,x,x,,x,x,,x,,x,,x,x,x
I21,G14,x,x,x,,x,x,,x,,x,,x,x,x
I22,G14,x,x,x,,x,x,,x,,x,,x,x,x
I34,G14,x,x,x,,x,x,,x,,x,,x,x,x
I41,G14,x,x,x,,x,x,,x,,x,,x,x,x
I24,G15,x,,,,x,x,,,,,,x,x,
I23,G16,x,x,,x,x,x,x,,,x,x,x,x,
I25,G16,x,x,,x,x,x,x,,,x,x,x,x,
I29,G17,,x,,x,,,,,,,x,,x,
I36,G17,,x,,x,,,,,,,x,,x,
I37,G17,,x,,x,,,,,,,x,,x,
I26,G18,,,x,x,,,x,x,x,x,,x,x,x
I31,G18,,,x,x,,,x,x,x,x,,x,x,x
I35,G18,,,x,x,,,x,x,x,x,,x,x,x
I30,G19,x,x,x,,x,x,x,,x,x,,x,x,
I40,G19,x,x,x,,x,x,x,,x,x,,x,x,
