"Structure_No","Type_Description","Easting","Northing"
"C01.009","Culvert",307172.6008123,326184.92820184
"C01.009A","Culvert",307064.86911358,326925.84162528
"C01.010","Culvert",307006.68525302,327321.49617416
"C01.011","Culvert",306437.64808657,329568.68919775
"C01.012","Culvert",306597.24540978,330214.25188514
"C01.013","Culvert",306661.3350889,330331.17505015
"C02.084","Culvert",330675.68836637,370438.18091441
"C04.088","Culvert",339041.09890042,378310.76733141
"C01.016","Culvert",306896.46255262,331244.05783655
"C01.024","Culvert",306761.62677596,337126.48017023
"C01.025","Culvert",306834.92986198,337558.68883494
"C01.031","Culvert",306425.54775719,341902.79796163
"C01.032","Culvert",306326.20463037,343425.35939504
"C01.040","Culvert",301710.04857339,352305.42925004
"C01.039","Culvert",302966.57745996,351149.59910888
"C01.038","Culvert",303325.13323235,351034.62616346
"C01.036","Culvert",303945.08746306,350502.07620078
"01.227","Culvert",305414.52275858,346499.78556128
"C02.041","Culvert",301720.84566348,354933.42515028
"C02.042","Culvert",303394.1306797,356788.74405065
"C02.043","Culvert",303697.20805032,357014.91951696
"C02.045A","Culvert",307267.83626084,358715.49099348
"C02.059","Culvert",315385.293147,361801.13842318
"C02.058","Culvert",314918.05711564,361732.80072867
"C02.057","Culvert",314784.42559808,361723.93973097
"C02.056","Culvert",313774.75332886,361795.38777569
"C02.055","Culvert",313197.97921015,361829.521619
"C02.054","Culvert",312363.386417,361758.72364747
"C02.053","Culvert",310986.33264094,361318.85412019
"C02.052","Culvert",310735.12914317,361185.06905661
"02.263","Culvert",310493.67519504,361031.02171159
"02.261","Culvert",310301.50513787,360901.71715249
"C02.051","Culvert",309830.57384573,360509.48298873
"C02.050","Culvert",309557.94938314,360268.31583441
"C02.048","Culvert",309447.46273554,360165.18422227
"C02.047","Culvert",309067.21380277,359835.40709088
"C02.060","Culvert",315984.51927428,361918.24160846
"C02.061","Culvert",316147.34995067,361952.45546079
"C02.062","Culvert",316376.76955622,362006.94159567
"C02.063","Culvert",316878.97034302,362126.51505909
"C02.064","Culvert",316934.6796986,362140.75666263
"C02.066","Culvert",317871.55203114,362368.32228548
"C02.067","Culvert",317920.02758381,362382.38386874
"C02.069","Culvert",318452.75551378,362513.49863166
"C02.072","Culvert",321056.00899363,363092.54382949
"C02.074","Culvert",321793.3784859,363240.31046733
"C02.075","Culvert",323039.00305383,363592.22009074
"C02.076","Culvert",323191.22635219,363637.99524481
"C02.077","Culvert",324920.97132383,364189.82737857
"02.279","Culvert",324324.44240698,363985.61438512
"C02.079","Culvert",327612.79558546,365743.89235913
"C02.080","Culvert",327794.2592844,366837.78552646
"C02.081","Culvert",328067.46937984,367325.98049497
"C01.002","Culvert",306478.05675298,320640.8539646
"C01.007","Culvert",307188.66034966,325496.63070271
"C01.017","Culvert",306743.93406532,331671.76599452
"C01.019","Culvert",306112.77857538,333933.33063629
"C01.021","Culvert",306671.0104034,335591.6773585
"C01.022","Culvert",306690.37752908,336258.8324771
"C01.028","Culvert",306137.80406913,339888.47115771
"C01.029","Culvert",306168.88385175,340061.9106862
"C01.033","Culvert",306296.5023222,343650.0946992
"C01.037","Culvert",303667.86866954,350843.43463617
"C04.089","Culvert",339953.58911051,379502.49151407
"C04.092","Culvert",344747.36513534,382123.68664858
"C04.094","Culvert",346970.22121213,381848.31564307
"C05.101","Culvert",329313.94352782,385936.30593196
"C06.154","Culvert",338410.06713573,386551.99525574
"C08.187","Culvert",298212.23679624,426738.82010726
"09.262A","Culvert",285574.34595429,439838.82510752
"C10.227","Culvert",278555.62702013,435461.31221972
"C10.261","Culvert",265674.36861286,430511.45488857
"C10.276A","Culvert",251959.06180354,422895.12732514
"C10.283","Culvert",247705.25575993,422013.86809941
"C10.289","Culvert",246666.95346803,421098.00497743
"C11.314","Culvert",315788.34051903,368196.46850792
"C11.327","Culvert",313760.08776265,378066.35981225
"C11.328","Culvert",313651.93539808,378369.95399556
"C11.333","Culvert",313799.72108417,381152.21726559
"C01.020","Culvert",306175.14434936,334597.31539792
"C01.018","Culvert",306513.51640942,332261.09234996
"C01.003","Culvert",307666.40477885,321275.58543244
"C02.044","Culvert",305948.24873889,358210.54413879
"C02.045","Culvert",306583.14897971,358453.69151607
"C10.241","Culvert",269328.15668759,433440.61469848
"C11.323","Culvert",314776.35871183,377155.32723417
"C01.001C","Culvert",305898.65965898,314953.34357711
"C01.001B","Culvert",306116.37485596,314609.16482416
"C01.001A","Culvert",306164.62770317,314531.92612744
"C01.001","Culvert",306269.81066175,320440.70142835
"C01.004","Culvert",307672.54155121,321278.59577139
"C01.005","Culvert",308117.2925806,323792.90887147
"C01.010A","Culvert",306498.33119716,328895.71342378
"C01.014","Culvert",306697.09993429,330404.39329419
"C01.015","Culvert",306788.13697271,330606.51605228
"C01.021A","Culvert",306702.61808041,336050.28899606
"C01.023A","Culvert",306729.07053871,336967.70229257
"C01.026","Culvert",306642.26490382,338486.4732992
"C01.027","Culvert",306210.81021455,339027.95426746
"C01.030","Culvert",306327.03771372,341546.4678405
"C01.034","Culvert",306340.64749114,344520.57271102
"C01.034A","Culvert",306317.81605847,344660.80850092
"C01.035","Culvert",305039.91569718,347399.75689391
"C02.046","Culvert",308889.93201726,359677.18927628
"C02.065","Culvert",317568.91182307,362295.35406959
"C02.068","Culvert",318068.00298194,362417.53782692
"C02.071","Culvert",320877.17651833,363056.14973168
"C02.078","Culvert",326322.59693439,364527.50539956
"C04.090","Culvert",340311.16332926,379603.19285258
"C04.091","Culvert",340725.09852323,379735.40773936
"04.353","Culvert",344342.58560982,381707.99984415
"C04.093","Culvert",344943.91506634,382284.37474132
"C05.096","Culvert",335098.67631583,381032.20375263
"C05.100","Culvert",330087.53977307,385623.4507059
"C05.104","Culvert",322034.05708914,384966.75676519
"C06.142","Culvert",345528.96228005,389436.4200287
"C06.141","Culvert",345588.6473403,389558.79380742
"C06.139","Culvert",345702.18587738,389729.48302624
"C06.112","Culvert",340485.20351323,401452.55298996
"C06.110A","Culvert",340344.43717296,401766.13829822
"C07.163A","Cuilvert",313864.83355868,389151.29792526
"C07.167","Culvert",309514.01042294,398389.888148
"C08.178","Culvert",305699.28054396,411684.90510571
"C08.194","Culvert",290198.83284472,426555.58947633
"C08.196","Culvert",288961.33290149,427669.78492961
"C11.312","Culvert",319162.75698091,366554.79366288
"09.262B","Culvert",285575.94613418,439840.925344
"C10.217A","Culvert",283389.01162143,434535.75800658
"C10.217B","Culvert",283251.10745859,434630.14863453
"C10.218A","Culvert",282938.51149213,434731.43003835
"C10.219","Culvert",282861.14196958,434734.57039194
"C10.230","Culvert",273079.2835401,435772.63727349
"C10.251A","Culvert",267720.61102049,432223.34763981
"C10.257A","Culvert",266924.12560411,431558.64279711
"C10.272A","Culvert",261160.78078752,423087.32896616
"C10.276A","Culvert",251897.22392395,422902.11811227
"C10.278","Culvert",251258.8676245,422959.22454219
"C10.279","Culvert",251171.79804241,422966.36534621
"C10.281","Culvert",249967.01930344,422905.36847825
"C10.282","Culvert",248195.68615135,422235.57306236
"C10.303A","Culvert",245613.07004307,418977.10617399
"C10.305","Culvert",244913.87391438,417912.57631283
"C10.305A","Culvert",244627.02104811,417789.18241924
"C10.310","Culvert",244000.76507804,416381.34390311
"C10.309","Culvert",244024.71003795,416496.02681587
"C11.317","Culvert",315473.43501458,369301.7329556
"C11.319","Culvert",315440.45811148,369988.69030384
"C11.320","Culvert",315470.67181735,370263.00118998
"C11.322","Culvert",314957.79766571,373709.09920476
"C11.326","Culvert",313803.42459329,377985.3906955
"C11.331","Culvert",313686.47123933,380500.88392846
"C11.332","Culvert",313780.49418043,381047.32545526
"C11.338","Culvert",314489.45635546,382737.77579219
"C10.307A","Culvert",243958,416910
