"Structure_No","Type_Description","Easting","Northing"
"C05.097","Culvert",335284.47864684,383047.12062299
"06.019","Culvert",335496.85716139,383658.55946819
"C11.341","Culvert",314491.6421682,383727.65724828
"C11.340","Culvert",314508.9801998,383509.80271887
"C11.339","Culvert",314510.19270724,383448.94586666
"C11.337A","Culvert",314462.70695657,382647.14558764
"C11.337","Culvert",314321.9241196,382416.38960558
"C11.336","Culvert",314137.03735543,382176.35257852
"C11.335","Culvert",313998.41558615,381939.90595572
"C11.334","Culvert",313889.87554914,381636.5017938
"C11.330","Culvert",313557.72274494,379502.74154222
"C11.329","Culvert",313621.99388776,378522.7812032
"C11.325","Culvert",313835.96433385,377923.66374533
"C11.324","Culvert",314549.33112776,377279.22118406
"11.321","Culvert",314949.30186526,373602.48720074
"C11.318","Culvert",315439.26210073,369445.63915878
"C11.313","Culvert",318615.56969347,366744.99507869
"C11.311","Culvert",319744.71106339,366194.09304965
"07.086","Culvert",311988.66387871,390141.41940838
"C07.165","Culvert",310871.51560962,392540.31951349
"07.089","Culvert",310583.64819631,393163.62969535
"C07.168","Culvert",310010.04969233,401414.09866018
"C08.169","Culvert",309618.32730478,403717.96806527
"C08.170","Culvert",308545.18398269,404019.79204926
"C08.171","Culvert",307510.99761741,404612.65880333
"C08.173","Culvert",306724.44321438,405144.018632
"C08.174","Culvert",306183.69788826,405973.83206518
"C08.175","Culvert",305958.77363343,406610.26372445
"C08.176","Culvert",305695.89872048,407346.29659837
"C08.177","Culvert",305373.47072087,410537.13587218
"C08.178","Culvert",305548.86363424,410955.37296375
"C08.179","Culvert",304732.21925059,414695.22405377
"C08.180","Culvert",304704.1666124,414740.97920559
"C08.181","Culvert",302452.68051293,419458.76040604
"C08.182","Culvert",302184.22971541,419900.70016642
"C08.183","Culvert",301671.47928902,420812.4628267
"C08.184","Culvert",301263.63137732,421519.21240345
"08.145","Culvert",301127.19542077,421759.26943277
"C08.185","Culvert",300952.41288529,422126.12073854
"C08.186","Culvert",298894.30110209,426136.36227328
"C08.188","Culvert",297991.00780219,426793.01620949
"C08.189","Culvert",293100.61060602,425280.10586275
"C08.190","Culvert",293020.4036511,425316.10991664
"C08.191","Culvert",292270.29045815,425759.92988872
"C08.192","Culvert",291874.56762088,425990.08580322
"C08.193","Culvert",291724.78583411,426059.20358556
"C08.193A","Culvert",291600.85437609,426104.54869121
"C08.195","Culvert",289107.13898359,427442.38932591
"08.197","Culvert",288785.56056403,428092.8225617
"08.198","Culvert",288756.4768821,428195.81415808
"C08.199","Culvert",288699.75297948,428479.03604756
"C08.200","Culvert",288593.86891115,429174.42434508
"C08.201","Culvert",288531.95679642,429430.44317162
"C08.202","Culvert",288268.55398906,430033.44106641
"C08.203","Culvert",287691.4746814,430751.10187171
"08.183","Culvert",286170.99859639,431915.23294752
"C09.209","Culvert",284074.65571115,439442.3104618
"C09.208","Culvert",283671.95476982,437546.56700981
"C09.207","Culvert",283778.72141159,437336.80339139
"09.258","Culvert",284640.40178598,435625.59071672
"09.256","Culvert",284935.57723735,434559.33066075
"09.254","Culvert",285085.30953402,433699.78387974
"C10.223","Culvert",281648.36233116,435056.46663597
"C10.222","Culvert",281783.81673406,435035.75430386
"C10.221","Culvert",282109.7337857,434904.7795567
"C10.220","Culvert",282503.08934654,434748.73198647
"C10.218","Culvert",283069.76748491,434708.77748777
"C10.217","Culvert",283454.0993509,434487.69259463
"C10.216A","Culvert",283522.7916093,434440.72730656
"C10.216","Culvert",283571.62184101,434404.70325041
"C10.215","Culvert",283642.29370339,434354.43759073
"C10.214","Culvert",283861.23790451,434197.26989437
"C10.213","Culvert",284014.64071691,434049.82329256
"C10.212","Culvert",284151.9097568,433879.44410865
"C10.211","Culvert",284214.47349118,433797.65489956
"C10.210","Culvert",284281.57381804,433712.06526256
"C10.226","Culvert",278666.56732698,435436.86946758
"C10.225","Culvert",279600.52799199,435298.50388825
"C10.224","Culvert",280943.7717816,435170.40946541
"C10.228","Culvert",274943.64158295,436114.2357359
"C10.229","Culvert",274631.79621633,436096.74376639
"C10.231","Culvert",272176.36966431,435416.517176
"C10.233","Culvert",271700.4563688,435198.37261393
"C10.234","Culvert",271374.11040297,434961.43593595
"C10.235","Culvert",271089.55057799,434707.34732674
"C10.236","Culvert",270960.4886463,434590.59418088
"C10.237","Culvert",270687.22081241,434378.77033049
"C10.238","Culvert",270623.34559038,434332.28509646
"C10.239","Culvert",270246.2310306,434071.51573503
"C10.240","Culvert",269622.45781386,433642.47742729
"C10.242","Culvert",269021.92019894,433229.49092692
"C10.243","Culvert",268818.57362758,433090.86531831
"C10.244","Culvert",268728.55113621,433027.858224
"C10.245","Culvert",268576.97120915,432923.08642718
"C10.246","Culvert",268385.85694078,432782.4405911
"C10.247","Culvert",268271.3450984,432686.21975708
"C10.249","Culvert",268137.58985559,432575.60730263
"C10.250","Culvert",267847.11596369,432332.14989044
"C10.251","Culvert",267769.41650715,432267.31259006
"C10.252","Culvert",267665.28108901,432179.2426738
"C10.253","Culvert",267555.35532921,432087.20231047
"C10.256","Culvert",267436.793547,431988.72122196
"C10.257","Culvert",267160.85324772,431756.46507098
"C10.258","Culvert",266709.03338243,431379.45262112
"C10.259","Culvert",266418.92241793,431137.20534519
"C10.260","Culvert",266229.71351839,430979.9876432
"C10.261A","Culvert",265550.66810863,430413.95391041
"C10.264","Culvert",263722.38834848,428875.36067189
"C10.265","Culvert",263408.18395377,428276.47323992
"C10.266","Culvert",263302.44010739,427682.53636536
"C10.267","Culvert",263311.39781544,427462.46158596
"C10.268","Culvert",263355.16356028,427273.80034357
"C10.269","Culvert",263586.59576322,426643.89941962
"C10.269A","Culvert",263754.68888689,425555.85691104
"C10.270","Culvert",262911.97146904,424748.15596764
"C10.271","Culvert",262903.05500274,424738.37486633
"C10.272","Culvert",261189.15511136,423111.9617397
"C10.273","Culvert",258479.09374798,422302.7706285
"C10.308","Culvert",244002.98388418,416734.46366277
"C10.307","Culvert",243876.80887497,417145.71996833
"C10.306","Culvert",244213.50651999,417745.41749151
"C10.304","Culvert",245045.95474215,417955.42113696
"C10.303","Culvert",245620.38632948,418886.996028
"C10.302","Culvert",245607.741609,419353.73858107
"C10.300","Culvert",245686.11743024,419665.72370916
"C10.299","Culvert",245699.90867136,419703.53796687
"C10.298","Culvert",245753.80338994,419820.14109584
"C10.297","Culvert",245826.11667397,419944.38508514
"C10.295","Culvert",245908.68265698,420081.23049331
"C10.293","Culvert",246042.11621415,420263.73104203
"C10.292A","Culvert",246065.03837866,420294.58451599
"C10.292","Culvert",246142.29242431,420389.64521939
"C10.291","Culvert",246178.1892433,420433.80019103
"C10.290","Culvert",246392.30815969,420662.40593099
"C10.288","Culvert",246863.97355497,421371.90581741
"C10.284","Culvert",247017.21964872,421534.20409145
"C10.280","Culvert",250908.02405931,422991.36816141
"C10.277","Culvert",251449.03333263,422942.27263348
"C10.276","Culvert",252414.79138671,422848.24204607
"C10.275","Culvert",253337.80649134,422719.08750387
"C10.274","Culvert",257168.56291428,422073.17477707
"C05.098","Culvert",332568.81665384,384980.07826512
"C05 Syphon","Culvert",334558.32691051,384703.30710197
"05.042","Culvert",328715.83092778,386615.07235793
"C05.099","Culvert",330631.36998208,385489.98567835
"C05.105","Culvert",317239.76141825,385488.89555561
"05.071","Culvert",317491.24535993,385470.54348925
"05.061","Culvert",321067.89486591,384681.75467526
"C05.103","Culvert",322292.76658537,385081.68970611
"C05.095A","Culvert",334714.68263219,380004.10799377
"05.006","Culvert",334771.4065348,380150.71450099
"C04.087","Culvert",338168.04405145,376796.72685742
"06.020A","Culvert",336010.54789967,384463.40008954
"06.021","Culvert",336358.47154898,384852.98395489
"06.022","Culvert",336602.02882635,385113.15324876
"06.022A","Culvert",337188.70921335,385666.03550075
"C06.159","Culvert",337388.26154373,385808.37152713
"C06.158","Culvert",337608.01408314,385968.40954668
"C06.157","Culvert",337712.19074303,386039.53755536
"C06.156","Culvert",338059.40503424,386292.22600692
"C06.155","Culvert",338322.23870544,386490.37831796
"C06.153","Culvert",338804.89915121,386954.00051969
"C06.152","Culvert",338916.61480295,387062.63275117
"C06.151","Culvert",339248.78410385,387369.91735001
"C06.150","Culvert",339494.32098521,387536.2260756
"C06.422","Culvert",340731.05383189,387688.81325622
"C06.148","Culvert",341991.47593964,387957.24348023
"C06.147","Culvert",342573.60323747,388187.81944202
"C06.108","Culvert",340778.74579131,402528.58414612
"C06.109","Culvert",340261.88768665,401897.53309267
"C06.110","Culvert",340318.47961566,401805.69275187
"C06.111","Culvert",340356.75195944,401745.14593458
"C06.132","Culvert",346230.06377758,394989.23525013
"C06.131","Culvert",346131.14956496,395263.07608335
"C06.130","Culvert",345838.23416149,395954.73396084
"C06.129","Culvert",345325.599212,396728.83112062
"C06.128","Culvert",345253.03847747,396856.65551306
"C06.127","Culvert",345054.29448539,397201.944391
"C06.126","Culvert",345004.44145828,397271.08217559
"C06.125","Culvert",344930.36302737,397386.60518295
"C06.124","Culvert",344804.33648846,397663.30633823
"C06.123","Culvert",344664.66717873,397957.95951482
"C06.122","Culvert",344533.270964,398122.33802308
"C06.121","Culvert",344390.50027469,398246.81203829
"C06.120","Culvert",344330.36155519,398289.63686016
"C06.114","Culvert",341722.46425432,399277.04803812
"C06.115","Culvert",342057.0915635,399139.65256802
"C06.116","Culvert",342083.81621734,399128.61132483
"C06.117","Culvert",342285.78531426,399048.09225875
"C06.118","Culvert",342576.58914015,398908.55654767
"C06.119","Culvert",342857.3959659,398744.74810359
"C06.133","Culvert",346467.60800784,394221.14876713
"C06.134","Culvert",346478.80926707,394186.97491931
"C06.135","Culvert",346539.33565902,393959.43929985
"C06.136","Culvert",346590.20323317,393764.81738632
"C06.137","Culvert",346653.69903109,393538.67192338
"C06.138","Culvert",346258.00918722,390278.40483231
"C06.140","Culvert",345646.66623386,389656.29478558
"C06.433","Culvert",345446.09110809,389258.04994505
"C06.144","Culvert",345372.43334302,389142.59694557
"C06.145","Culvert",345309.80362184,389065.19823083
"C06.146","Culvert",345241.52378094,388997.90065343
"C01.001D","Culvert",305845.721749,315037.31303168
"01.166","Culvert",305177.72912817,316361.34211126
"01.168","Culvert",305112.2619746,317372.75599181
"C01.001E","Culvert",305818.18050851,319498.53534478
"C01.005A","Culvert",308147.36606452,323737.13259132
"C01.008","Culvert",307211.40105047,325819.65707399
