Under Bridges,,,,,Over Bridges,,,
Structure_No,Type_Desc,Easting,Northing,,Structure_No,Type_Desc,Easting,Northing
1.24,Bridge (Underline),301024.2065,354126.0142,,,,,
4.348,Bridge (Underline),343605.9915,381267.8803,,,,,
4.351,Bridge (Underline),344008.7254,381434.429,,,,,
4.363,Bridge (Underline),346545.9508,381787.7288,,,,,
4.371,Culvert,348174.9257,382171.152,,,,,
5.017,Bridge (Underline),335345.7391,383399.8503,,,,,
5.032,Bidge (Underline),333001.7231,384907.7501,,,,,
5.048,Bridge (Underline),327243.286,387441.1254,,,,,
5.064,Bridge (Underline),319814.0879,384805.3886,,,,,
6.426,Bridge (Underline),341616.3162,387810.527,,,,,
7.083,Bridge (Underline),313626.4068,389251.0092,,,,,
7.108,Bridge (Underline),309643.7735,400275.9805,,,,,
08.142A,Bridge (Underline),303571.5939,418566.91,,,,,
08.164A,Bridge (Underline),295852.3756,426142.923,,,,,
10.217,Bridge (Underline),254456.4395,422377.209,,,,,
1.217,Bridge (Underline),306054.0668,339463.0533,,,,,
9.263,Bridge (Underline),285580.3508,439846.456,,,,,
2.296,Bridge (Underline),329199.0688,368975.0262,,,,,
4.358,Bridge (Underline),345780.5122,382177.5727,,,,,
4.361,Bridge (Underline),346289.8973,381859.2269,,,,,
5.015,Bridge (Underline),335305.0665,383229.7212,,,,,
5.03,Bridge (Underline),333943.264,384864.0452,,,,,
06.018A,Bridge (Underline),335383.7475,383470.3983,,,,,
05.017B,Bridge (Underline),335351.8347,383458.5369,,,,,
6.419,Bridge (Underline),339971.8427,387675.7818,,,,,
06.424A,Bridge (Underline),341347.2386,387723.3171,,,,,
6.437,Bridge (Underline),347504.7638,391231.5822,,,,,
2.267,Bridge (Underline),315590.3306,361841.2129,,,,,
4.329,Bridge (Underline),337938.8389,376404.4727,,,,,
04.359A?,Bridge (Underline),345981.5327,382041.2874,,,,,
05.001A,Bridge (Underline),334318.1102,375627.4252,,,,,
6.446,Bridge (Underline),343552.3854,398692.1322,,,,,
7.11,Bridge (Underline),309614.6815,399873.3252,,,,,
1.193,Bridge (Underline),306674.3757,328366.9439,,,,,
