Under Bridges,,,,,Over Bridges,,,
Structure_No,Type_Desc,Easting,Northing,,Structure_No,Type_Desc,Easting,Northing
7.079,Bridge (Underline),314970.6816,387663.0204,,11.012,Bridge (Overline),319427.1908,366391.9853
07.079A,Bridge (Underline),314623.1456,388313.7236,,11.011,Bridge (Overline),319666.4425,366243.2686
7.08,Bridge (Underline),314160.9328,388951.2054,,11.01,Bridge (Overline),319842.8747,366131.516
7.081,Bridge (Underline),314004.4781,389068.7386,,11.004,Bridge (Overline),322301.2624,364593.2028
7.082,Bridge (Underline),313880.093,389144.3671,,07.078A,Bridge (Overline),315179.0267,387270.1461
7.084,Bridge (Underline),312939.3357,389479.8049,,disused bridge,Bridge (Overline),312394.8869,389735.5237
7.087,Bridge (Underline),311572.8811,391002.0763,,07.085A,Bridge (Overline),312248.4457,389851.0367
7.09,Bridge (Underline),310495.3991,393353.9611,,7.088,Bridge (Overline),310991.1497,392281.5304
7.092,Bridge (Underline),309935.2866,394551.976,,7.091,Bridge (Overline),310256.7578,393867.679
7.094,Bridge (Underline),309793.6625,394860.7908,,7.093,Bridge (Overline),309828.3138,394785.7123
7.095,Bridge (Underline),309553.8005,395378.219,,7.104,Bridge (Overline),309527.2573,398557.217
7.096,Bridge (Underline),309521.2772,395448.947,,7.106,Bridge (Overline),309587.297,399480.0109
7.097,Bridge (Underline),309495.8393,395521.4152,,7.109,Bridge (Overline),309716.5652,400648.4625
7.098,Bridge (Underline),309423.493,397035.0756,,8.122,Bridge (Overline),309207.7574,403878.3161
7.099,Bridge (Underline),309436.9296,397245.5193,,8.123,Bridge (Overline),307265.7164,404755.6249
7.1,Bridge (Underline),309444.7078,397366.7429,,08.126A,Bridge (Overline),305580.1414,407670.4531
7.101,Bridge (Underline),309464.4461,397644.1642,,8.127,Bridge (Overline),305377.5372,408323.3466
7.102,Bridge (Underline),309472.7439,397801.6819,,8.13,Bridge (Overline),305591.021,411134.9332
7.103,Bridge (Underline),309500.3594,398173.5038,,8.14,Bridge (Overline),304137.571,417894.8243
7.105,Bridge (Underline),309561.0755,399057.2433,,8.148,Bridge (Overline),300494.2665,423257.1581
7.107,Bridge (Underline),309603.1503,399710.7369,,8.149,Bridge (Overline),300425.4258,423403.7346
7.111,Bridge (Underline),309980.2484,401345.981,,8.151,Bridge (Overline),300175.7483,423806.67
07.111A,Bridge (Underline),310074.7415,401576.2469,,08.154A,Bridge (Overline),299496.8018,424999.2642
7.112,Bridge (Underline),310086.9656,401610.7008,,8.157,Bridge (Overline),298339.781,426684.384
7.113,Bridge (Underline),310527.1635,402261.6541,,8.159,Bridge (Overline),297765.5886,426815.6388
7.114,Bridge (Underline),310630.5896,402636.2463,,8.16,Bridge (Overline),297327.2301,426740.7903
7.115,Bridge (Underline),310530.6938,402834.2586,,8.161,Bridge (Overline),296794.5681,426467.3695
7.116,Bridge (Underline),310468.1466,402914.3676,,8.163,Bridge (Overline),296362.2969,426354.3168
7.117,Bridge (Underline),310421.7331,402969.6938,,08.163A,Bridge (Overline),296212.4986,426310.2218
7.119,Bridge (Underline),310253.3265,403112.9499,,8.166,Bridge (Overline),295447.8848,425820.9468
7.12,Bridge (Underline),310206.5089,403153.3845,,08.167A,Bridge (Overline),294716.0664,425169.3034
8.121,Bridge (Underline),309556.9266,403757.3425,,8.168,Bridge (Overline),294707.3314,425165.863
08.122A,Bridge (Underline),307676.9874,404510.6973,,8.175,Bridge (Overline),289248.3837,427257.7485
8.124,Bridge (Underline),307117.2049,404843.0847,,8.176,Bridge (Overline),288841.8143,427935.4448
8.125,Bridge (Underline),306109.8587,406186.096,,8.179,Bridge (Overline),288096.8398,430283.8093
8.126,Bridge (Underline),305995.454,406505.872,,08.183A,Bridge (Overline),286122.7293,431940.2458
8.128,Bridge (Underline),305156.7453,409588.7891,,9.259,Bridge (Overline),284120.599,436659.8772
8.129,Bridge (Underline),305340.4608,410490.8807,,9.257,Bridge (Overline),284698.2887,435483.2147
8.131,Bridge (Underline),305615.1721,411253.1865,,09.256B,Bridge (Overline),284810.623,435166.219
8.132,Bridge (Underline),305711.5046,411795.4276,,9.255,Bridge (Overline),285041.2881,433950.7121
8.133,Bridge (Underline),305694.7357,412207.2839,,09.254A,Bridge (Overline),285043.4574,433938.4408
8.134,Bridge (Underline),305626.8353,412543.4618,,10.191,Bridge (Overline),284399.7562,433551.1671
8.135,Bridge (Underline),305594.7987,412662.5252,,10.197,Bridge (Overline),275792.2236,436273.4837
8.136,Bridge (Underline),305539.8152,412829.564,,10.197,Bridge (Overline),276073.2696,436296.6463
8.137,Bridge (Underline),305285.2381,413534.1333,,10.196,Bridge (Overline),276192.9449,436287.4552
8.138,Bridge (Underline),304465.4429,415892.9289,,10.196,Bridge (Overline),276800.5679,436212.8068
8.139,Bridge (Underline),304484.4388,416012.7024,,10.195,Bridge (Overline),277369.0524,435983.291
8.141,Bridge (Underline),303929.2011,418233.3724,,10.221A,Bridge (Overline),245606.5538,419024.2615
8.142,Bridge (Underline),303758.2211,418414.8429,,2.303,Bridge (Overline),332289.7585,371965.2729
8.143,Bridge (Underline),303231.4402,418757.9415,,2.305,Bridge (Overline Footbridge),332391.6503,372327.6737
8.144,Bridge (Underline),301968.956,420285.9535,,2.306,Bridge (Overline),332447.9041,372595.8539
8.146,Bridge (Underline),300648.321,422847.812,,02.306A,Bridge (Overline),332534.0581,372866.9944
8.147,Bridge (Underline),300510.2106,423225.9646,,2.307,Bridge (Overline),332661.7508,373123.5433
8.15,Bridge (Underline),300276.1389,423640.0112,,2.308,Bridge (Overline),332863.1673,373234.1857
8.152,Bridge (Underline),300051.7426,424119.0651,,3.309,Bridge (Overline),333139.256,373139.205
8.153,Bridge (Underline),299983.2235,424314.4771,,03.309A,Bridge (Overline),333182.0897,373123.0232
8.154,Bridge (Underline),299662.7339,424814.9735,,3.312,Bridge (Overline),334224.5657,373127.9738
8.155,Bridge (Underline),299299.2786,425287.0666,,5.035,Bridge (Overline),332222.5839,385098.4416
8.156,Bridge (Underline),298809.7803,426283.5388,,5.033,Bridge (Overline),332771.9405,384936.2733
8.158,Bridge (Underline),298065.4987,426779.6147,,5.028,Bridge (Overline),334315.1903,384792.8172
8.162,Bridge (Underline),296673.4081,426428.6852,,05.017A,Bridge (Overline),334959.0482,384447.8983
8.164,Bridge (Underline),295920.7709,426182.2874,,5.043,Bridge (Overline),328655.3293,386668.1283
8.165,Bridge (Underline),295879.8344,426159.3249,,5.041,Bridge (Overline),328986.7975,386287.4855
8.169,Bridge (Underline),294388.4337,425111.8869,,5.039,Bridge (Overline),330997.8854,385401.6257
8.17,Bridge (Underline),293435.1059,425175.6541,,5.036,Bridge (Overline),332063.1928,385144.3468
