Sample,SampleType,Easting,Northing,Ag,As,Au,Be,Bi,Cd,Ce,Co,Cs,Ga,Ge,Hf,Hg,In,La,Lu,Mo,Nb,Pb,Pd,Pt,Rb,Sb,Sc,Se,Sn,Ta,Tb,Te,Th,Tl,U,W,Y,Yb,Al,B,Ba,Ca,Cr,Cu,Fe,K,Li,Mg,Mn,Na,Ni,P,S,Sr,Ti,V,Zn,Zr,Analytical_method
554401,A,218177,358382,0.14,34.9,0.05,1.1,0.17,0.63,62.5,10.3,0.89,5.7,0.05,0.28,0.18,0.03,22.6,0.12,2.53,0.78,41.7,0.25,0.05,17,0.37,5.4,2,4.2,0.06,0.68,0.025,4.8,0.22,2.41,0.2,13.8,0.9,2.07,11,1100,1.02,36,26.6,2.56,0.15,27,0.44,653,0.03,34,1330,0.19,425.6,0.005,45,82,3.2,ICM12B
554402,A,239518,347149,0.03,4.7,0.05,0.3,0.06,0.23,23.5,4.3,0.55,2.7,0.05,0.08,0.06,0.01,9.5,0.05,0.29,0.48,13.4,0.25,0.05,6.2,0.15,1.9,1,0.4,0.025,0.2,0.025,2.5,0.1,0.97,0.1,4.66,0.3,1.05,5,51,0.21,17,8.2,1.44,0.07,9,0.21,167,0.005,14.3,579,0.06,9.8,0.005,22,31,1.1,ICM12B
554403,A,229364,343669,0.06,3.4,0.05,0.4,0.07,0.27,23.8,3.7,0.42,3.5,0.05,0.24,0.08,0.01,10.7,0.05,0.27,0.9,13.7,0.25,0.05,6.6,0.21,1.5,1,0.6,0.08,0.21,0.025,1.3,0.08,0.93,0.1,4.97,0.4,0.94,5,202,0.51,22,40.9,0.87,0.07,9,0.36,116,0.005,14.6,808,0.13,14.4,0.005,20,31,1,ICM12B
554404,A,222953,350113,0.05,6.1,0.05,0.4,0.08,0.11,26.7,8.1,0.67,3.9,0.05,0.025,0.05,0.01,10.8,0.04,0.45,0.48,16.5,0.25,0.05,13.1,0.16,2.1,1,0.4,0.025,0.2,0.025,2.3,0.1,0.63,0.1,3.82,0.3,1.31,5,98,0.22,28,11.1,1.84,0.14,17,0.49,414,0.01,28,769,0.06,12.3,0.005,28,49,0.7,ICM12B
554405,A,224647,352160,0.06,7.4,0.05,0.6,0.1,0.22,36.1,11.1,0.72,4.5,0.05,0.06,0.06,0.01,13.2,0.08,0.64,0.55,22.1,0.25,0.05,12.6,0.21,3.3,1,1.8,0.025,0.35,0.025,3,0.12,1.42,0.1,7.82,0.6,1.57,5,219,0.16,31,41.1,2.26,0.1,21,0.58,1960,0.02,32.9,970,0.06,9.7,0.005,33,74,1.4,ICM12B
554406,A,223648,345631,0.08,5.7,0.05,0.9,0.14,0.48,40.2,8,0.74,5,0.05,0.17,0.08,0.03,19.4,0.13,1.04,0.59,29.7,0.25,0.05,23.1,0.18,5.4,2,1.1,0.025,0.48,0.025,5.3,0.16,1.84,0.1,13.7,0.9,2.01,11,162,0.67,30,22.8,2.61,0.2,21,0.46,504,0.01,31.6,894,0.11,42.1,0.005,29,80,4,ICM12B
554407,A,234441,346692,0.05,3.2,0.05,0.2,0.06,0.16,15.2,2.3,0.5,2.5,0.05,0.025,0.06,0.01,6.7,0.03,0.28,0.54,18.3,0.25,0.05,7.1,0.25,0.8,1,0.4,0.025,0.11,0.025,0.8,0.07,0.69,0.1,2.52,0.2,0.78,5,43,0.16,14,24.6,0.78,0.06,5,0.17,127,0.005,8.2,592,0.06,8.1,0.005,17,27,0.25,ICM12B
554408,A,225834,347820,0.06,3.9,0.05,0.4,0.08,0.2,26.3,4.3,0.61,3.8,0.05,0.025,0.06,0.01,11.4,0.03,0.3,0.79,20.3,0.25,0.05,10.6,0.16,1.5,1,0.7,0.025,0.17,0.025,1.2,0.1,0.82,0.1,3.51,0.2,1.15,5,87,0.29,25,18.2,1.19,0.09,13,0.39,147,0.01,20,677,0.08,14.7,0.005,24,37,0.7,ICM12B
554409,A,232378,350702,0.06,4.5,0.05,0.3,0.09,0.16,17.9,2,0.87,3.9,0.05,0.06,0.06,0.01,7.9,0.03,0.36,1.07,15.1,0.25,0.05,8.5,0.17,1.1,1,0.6,0.025,0.12,0.025,1,0.1,0.99,0.1,3.01,0.2,0.94,5,37,0.14,16,13.3,0.78,0.07,8,0.26,121,0.01,8.7,576,0.08,8.1,0.01,20,20,0.9,ICM12B
554410,A,228589,350236,0.06,4.8,0.05,0.3,0.12,0.23,26.7,6.8,0.87,5.1,0.05,0.025,0.06,0.01,11.8,0.03,0.55,1.58,22.8,0.25,0.05,19.3,0.19,1.8,1,0.9,0.025,0.13,0.025,2,0.11,1.18,0.1,2.79,0.2,1.43,5,51,0.2,30,47.3,2.17,0.11,18,0.44,607,0.005,20.4,1120,0.07,11.1,0.02,32,57,1.4,ICM12B
