"Month.Lodge","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
"1993-01-01",183.883812207327,133.572472391449,138.234628727549,118.705046316146,128.317660788509,132.025373736641,131.269015798333,146.037643711178,144.130841560668,117.430714804645,132.142507491146,91.6112282271491,118.161059378184,127.90814112371,126.063748139528,158.581584644629,98.001626087604
"1993-02-01",183.238992335077,134.573378668864,141.491608045041,118.151895102719,131.313795276409,131.702427428367,125.167948377973,148.675941548841,147.052469635695,118.388332743977,145.394482501933,96.8630739182254,114.519289179937,134.802269919768,126.483656085588,163.406788360912,88.1388176589224
"1993-03-01",180.237966358295,132.510593425952,141.073907910284,115.139183285872,131.762215717155,133.875235096884,129.476043450932,148.558590136727,144.502389741173,113.486664374562,152.452334204527,88.5669851745718,131.292812046998,118.637745889117,125.817719095095,165.569320721786,99.7356537761931
"1993-04-01",183.012288285114,131.004966201461,136.119510391211,116.657093206905,132.29112825055,130.297499705759,127.350272229058,147.922249912482,145.453614982823,117.040370416958,142.650804409851,91.9616593446105,119.766701902995,129.954477036862,124.816797028162,163.438910368846,101.820716889125
"1993-05-01",187.106464480513,134.671263134238,137.712803274446,116.604402804347,136.166373566138,123.950508585175,124.775572298636,148.566220359665,149.55711373291,116.64123157786,133.350379972053,97.6253975160369,120.246486534837,148.974801370742,127.087386875252,167.417256212607,93.9249916059205
"1993-06-01",181.23843969821,134.322514265792,140.177607342874,118.61684091375,136.105998930194,131.117635728516,125.476019453976,148.034651127483,149.404594210093,115.516944159583,124.485477552399,97.6283334619583,122.238505807952,136.136167546438,127.750415412151,165.071339981134,98.3024530357886
"1993-07-01",189.210089701976,133.441409911389,140.515270746894,124.750151885184,132.122201940093,126.207228303208,128.459559787226,149.568334370941,144.42082795776,111.420902685452,132.32941608657,96.6613170342922,117.734362630075,119.655016470576,124.393796967498,166.473044109119,99.8697134273521
"1993-08-01",188.69899367063,136.011929995124,136.472559408184,122.854114872208,137.998752819166,123.299468910626,126.918973900109,149.126428378503,147.64756365762,116.534623661944,135.95690415212,94.4697373636261,124.815946757692,138.46346668161,125.305135702303,160.105683028367,102.99215169582
"1993-09-01",187.901936963181,135.406330773052,139.873293456208,123.419697627986,143.930138855541,125.689439777257,129.822660603827,150.631228113232,149.218640142084,116.765537632199,134.870245242804,100.549039975004,120.522093148926,140.435324634745,127.192458886863,164.272534515375,90.8151424568479
"1993-10-01",190.190634932087,136.840635837755,136.581303534597,126.906772618127,135.904001964507,128.94686678436,132.140705404945,152.373094962673,150.345285410598,115.420612132945,149.547933236977,92.4183760958699,119.36197261597,132.097777324644,130.164043202522,162.431689131062,108.459300267716
