Quarter Year,Antrim and Newtownabbey,Armagh Banbridge and Craigavon,Belfast,Causeway Coast and Glens,Derry and Strabane,Fermanagh and Omagh,Lisburn and Castlereagh,Mid and East Antrim,Mid Ulster,Newry Mourne and Down,North Down and Ards,Total private and speculative New Dwelling Starts
Q2 2015,99,250,43,125,33,110,159,88,211,185,104,1407
Q3 2015,115,256,71,134,79,86,183,84,245,176,130,1559
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
