Date,GH-Male,GH-Female,GH-White,GH - Black,GH-Other,Scott-Male,Scott-Female,Scott-White,Scott-Black,Scott-Other,McK-Male,McK-Female,McK-White,McK-Black,McK-Other,Ross-Male,Ross-Female,Ross-White,Ross-Black,Ross-Other
10/1/2015,81,109,116,73,1,93,180,262,10,1,100,184,222,60,2,63,166,213,14,2
10/8/2015,86,108,120,73,1,95,185,269,10,1,100,184,223,60,1,65,165,215,13,2
10/15/2015,84,109,119,73,1,92,182,263,10,1,99,184,223,59,1,65,164,214,13,2
10/22/2015,86,109,122,72,1,91,185,264,11,1,97,189,227,58,1,64,169,217,14,2
10/29/2015,86,110,119,76,1,91,188,267,11,1,96,187,224,58,1,61,167,213,13,2
11/5/2015,86,109,116,78,1,89,192,268,12,1,97,187,224,59,1,62,165,213,12,2
