Month,Location,Special Event,Avg age (outreach contacts),Programming,Date,Time,Contact type,Number,Notes,Lat,Long,
December,South Park,SP Light Up Night,,Info Table ,12/4/2015,6:00 PM,Event contacts,60,Light Up Night,40.319854,-80.008436,
December,Harrison Hills Park,,,Guided Hike ,12/5/2015,10:00 AM,Participants,0,Snowshoe – No Snow,40.653058,-79.707376,
December,South Park,,,Cub Scout Hike,12/5/2015,,Outreach,15,,40.319854,-80.008436,
December,LL Bean Store Ross Park,,,Info Table,12/6/2015,,Event contacts,27,,40.542649,-80.009316,
December,Round Hill Park,,,Guided Hike ,12/12/2015,10:00:00 AM,Participants,1,Snowshoe – No Snow,40.241079,-79.858802,
December,Hartwood Acres,,,Guided Hike ,12/19/2015,10:00:00 AM,Participants,10,Snowshoe – No Snow,40.569882,-79.90942,
December,North Park,,,Guided Hike ,12/22/2015,10:00:00 AM,Participants,0,Snowshoe – No Snow,40.600477,-80.005029,
December,South Park,,,Guided Hike ,12/22/2015,2:00:00 PM,Participants,0,Snowshoe – No Snow,40.319854,-80.008436,
December,Downtown,First Night,,Info Table ,12/31/2015,6:00:00 PM,Event contacts,1230,,40.443398,-79.999833,
December,North Park,,,Visitor contacts,,,In-park contacts,250,,40.600477,-80.005029,
December,Hartwood Acres,,,Visitor contacts,,,In-park contacts,0,,40.569882,-79.90942,
December,Deer Lakes Park,,,Visitor contacts,,,In-park contacts,0,,40.621298,-79.820963,
December,Harrison Hills Park,,,Visitor contacts,,,In-park contacts,0,,40.653058,-79.707376,
December,Boyce Park,,,Visitor contacts,,,In-park contacts,17,,40.471959,-79.748357,
December,White Oak Park,,,Visitor contacts,,,In-park contacts,0,,40.336148,-79.798397,
December,Round Hill Park,,,Visitor contacts,,,In-park contacts,12,,40.241079,-79.858802,
December,South Park,,,Visitor contacts,,,In-park contacts,240,,40.319854,-80.008436,
December,Settlers Cabin Park,,,Visitor contacts,,,In-park contacts,11,,40.424197,-80.163275,
January,Carnegie Science Center,Mess Fest,,Info Table ,1/1/2016,3:00:00 PM,Event contacts,1500,,40.445649,-80.017711,
January,Settlers Cabin Park,,,Guided Hike ,1/2/2016,10:00:00 AM,Participants,8,Snowshoe – No Snow,40.424197,-80.163275,
January,Deer Lakes Park,,,Guided Hike ,1/9/2016,10:00:00 AM,Participants,10,Snowshoe – No Snow,40.621298,-79.820963,
January,Carnegie Science Center,Train Fest ,,Info Table ,1/10/2016,9:00:00 AM,Event contacts,392,,40.445649,-80.017711,
January,Ahead of the Curve Pre,,,Skins and Skulls,1/13/2016,,Outreach,18,,40.525873,-79.770567,
January,Boyce Park,,,Snowshoe,1/16/2016,10:00:00 AM,Participants,4,,40.471959,-79.748357,
January,South Park,,,Guided Hike ,1/17/2016,10:00:00 AM,Participants,1,,40.319854,-80.008436,
January,Hartwood Acres,,,Snowshoe,1/24/2016,7:30:00 PM,Participants,3,10 signups,40.569882,-79.90942,
January,South Park,,,Full Moon Hike,1/24/2016,7:00:00 PM,Participants,0,2 signups,40.319854,-80.008436,
January,Boyce Park,SnowFest,,Info Table ,1/30/2016,10:00AM,Event contacts,500,Snowfest,40.471959,-79.748357,
January,Boyce Park,SnowFest,,Snowshoe,1/30/2016,10:00 AM,Participants,0,Snowfest,40.471959,-79.748357,
January,Boyce Park,SnowFest,,Snowshoe,1/30/2016,12:00 PM,Participants,0,Snowfest,40.471959,-79.748357,
January,Boyce Park,SnowFest,,Snowshoe,1/30/2016,2:00 PM,Participants,0,Snowfest,40.471959,-79.748357,
January,Boyce Park,SnowFest,,Snowshoe,1/31/2016,10:00 AM,Participants,3,Snowfest,40.471959,-79.748357,
January,Boyce Park,SnowFest,,Snowshoe,1/31/2016,12:00 PM,Participants,13,Snowfest,40.471959,-79.748357,
January,Boyce Park,SnowFest,,Snowshoe,1/31/2016,2:00 PM,Participants,9,Snowfest,40.471959,-79.748357,
January,North Park,,,Visitor contacts,,,In-park contacts,55,,40.600477,-80.005029,
January,Hartwood Acres,,,Visitor contacts,,,In-park contacts,24,,40.569882,-79.90942,
January,Deer Lakes Park,,,Visitor contacts,,,In-park contacts,16,,40.621298,-79.820963,
January,Harrison Hills Park,,,Visitor contacts,,,In-park contacts,5,,40.653058,-79.707376,
January,Boyce Park,,,Visitor contacts,,,In-park contacts,63,,40.471959,-79.748357,
January,White Oak Park,,,Visitor contacts,,,In-park contacts,11,,40.336148,-79.798397,
January,Round Hill Park,,,Visitor contacts,,,In-park contacts,16,,40.241079,-79.858802,
January,South Park,,,Visitor contacts,,,In-park contacts,152,,40.319854,-80.008436,
January,Settlers Cabin Park,,,Visitor contacts,,,In-park contacts,32,,40.424197,-80.163275,
February,Our Lady of the Blessed Sacrament Pre,,,Skins and Skulls,2/1/2016,9:30 AM,Outreach,45,,40.620423,-79.727384,
February,Hartwood Acres,,,Guided Hike ,2/6/2016,10:00 AM,Participants,11,Snowshoe – No Snow,40.569882,-79.90942,
February,Mt. Zion Pre,,,Skins and Skulls,2/18/2016,9:00 AM,Outreach,45,,40.363252,-79.984211,
February,White Oak Park,,,Guided Hike ,2/20/2016,2:00 PM,Participants,0,,40.336148,-79.798397,
February,Settlers Cabin Park,,,Guided Hike ,2/21/2016,10:00 AM,Participants,0,,40.424197,-80.163275,
February,Mt. Vernon Intermediate,,,Skins and Skulls,2/22/2016,9:00 AM,Outreach,63,,40.292162,-79.811571,
February,George Washington Elementary,Health Fair,,Info Table ,,6:00:00 PM,Outreach,50,,40.340054,-79.841989,
February,Dormont Elementary,,,Skins and Skulls,,12:00:00 PM,Outreach,61,,40.394347,-80.043944,
February,Harrison Hills Park,,,Guided Hike ,2/28/2016,10:00 AM,Participants,0,,40.653058,-79.707376,
February,North Park,,,Visitor contacts,,,In-park contacts,517,,40.600477,-80.005029,
February,Hartwood Acres,,,Visitor contacts,,,In-park contacts,19,,40.569882,-79.90942,
February,Deer Lakes Park,,,Visitor contacts,,,In-park contacts,9,,40.621298,-79.820963,
February,Harrison Hills Park,,,Visitor contacts,,,In-park contacts,29,,40.653058,-79.707376,
February,Boyce Park,,,Visitor contacts,,,In-park contacts,16,,40.471959,-79.748357,
February,White Oak Park,,,Visitor contacts,,,In-park contacts,40,,40.336148,-79.798397,
