Month,Location,Special Event,Avg age (outreach contacts),Programming,Date,Time,Contact type,Number,Notes,Lat,Long,
September,Hartwood Acres,,,Thursday Night Hike,9/3/2015,5:30:00 PM,Participants,0,,40.569882,-79.90942,
September,Round Hill Park,,,Informal Waterfowl Progarm,9/3/2015,,Activity,50,,40.241079,-79.858802,
September,North Park,,,Orienteering,9/4/2015,6:00:00 PM,Participants,5,,40.600477,-80.005029,
September,South Park,Concert ,,Skins and Skulls Table,9/4/2015,6:00:00 PM,Event contacts,20,,40.319854,-80.008436,
September,North Park,,,Trails 101,9/5/2015,12:00:00 PM,Participants,0,,40.600477,-80.005029,
September,Boyce Park,,,Nature VS…,9/5/2015,10:00:00 AM,Participants,0,,40.471959,-79.748357,
September,Boyce Park,,,Nature VS…,9/5/2015,10:00:00 AM,Participants,0,,40.471959,-79.748357,
September,South Park,,,Whiskey Rebellion,9/5/2015,11:00:00 AM,Participants,0,,40.319854,-80.008436,
September,South Park,,,Whiskey Rebellion,9/5/2015,2:00:00 PM,Participants,0,,40.319854,-80.008436,
September,Salvation Army,Salvaion Army Fundraiser ,,Skins and Skulls Table,9/5/2015,,Outreach,70,,40.568347,-79.76616,
September,Boyce Park,,,Orienteering,9/6/2015,2:00:00 PM,Participants,0,,40.471959,-79.748357,
September,Round Hill Park,,,Informal LNT,9/6/2015,,Activity,50,,40.241079,-79.858802,
September,Hartwood Acres,,,Fungi ,9/6/2015,10:00:00 AM,Participants,3,,40.569882,-79.90942,
September,Hartwood Acres,,,Pre-Concert Hike,9/6/2015,3:00:00 PM,Participants,0,,40.569882,-79.90942,
September,Boyce Park,,,Don’t Bug Me,9/7/2015,4:00:00 PM,Participants,0,,40.471959,-79.748357,
September,North Park,,,Mountain Biking,9/7/2015,2:00:00 PM,Participants,0,,40.600477,-80.005029,
September,Hartwood Acres,,,Thursday Night Hike,9/10/2015,5:30:00 PM,Participants,0,,40.569882,-79.90942,
September,North Park,,,Guided Hike ,9/11/2015,11:00:00 AM,Participants,3,,40.600477,-80.005029,
September,North Park,,,Mountain Biking,9/11/2015,2:00:00 PM,Participants,2,,40.600477,-80.005029,
September,Boyce Park,,,Orienteering,9/12/2015,10:00:00 AM,Participants,0,,40.471959,-79.748357,
September,Deer Lakes Park,,,Guided Hike ,9/12/2015,10:00:00 AM,Participants,4,,40.621298,-79.820963,
September,Settlers Cabin Park,,,Don’t Bug Me,9/12/2015,2:00:00 PM,Participants,4,,40.424197,-80.163275,
September,South Park,,,Whiskey Rebellion,9/12/2015,2:00:00 PM,Participants,0,,40.319854,-80.008436,
September,South Park,,,Whiskey Rebellion,9/12/2015,4:00:00 PM,Participants,3,,40.319854,-80.008436,
September,Settlers Cabin Park,,,Team Adventure Hike,9/12/2015,10:00:00 AM,Participants,3,12 signed up / Rained ,40.424197,-80.163275,
September,Harrison Hills Park,,,"Natives, Nonnatives, and Invasives",9/12/2015,10:00:00 AM,Participants,0,,40.653058,-79.707376,
September,Harrison Hills Park,,,Nature Journaling,9/13/2015,2:00:00 PM,Participants,0,,40.653058,-79.707376,
September,North Park,,,"Natives, Nonnatives, and Invasives",9/13/2015,12:00:00 PM,Participants,5,,40.600477,-80.005029,
September,South Park,,,Guided Hike ,9/13/2015,10:00:00 AM,Participants,0,,40.319854,-80.008436,
September,Hartwood Acres,,,Thursday Night Hike,9/17/2015,5:30:00 PM,Participants,0,,40.569882,-79.90942,
September,Hartwood Acres,,,Mountain Biking,9/18/2015,5:30:00 PM,Participants,0,,40.569882,-79.90942,
September,Deer Lakes Park,,,Intro to Disc Golf ,9/18/2015,5:30:00 PM,Participants,2,,40.621298,-79.820963,
September,North Park,,,History of the CCC,9/19/2015,12:00:00 PM,Participants,7,,40.600477,-80.005029,
September,Hartwood Acres,Great Gatsby Garden Party,,Great Gatsby Garden Party Rove ,9/19/2015,2:00:00 PM,Event contacts,78,,40.569882,-79.90942,
September,South Park,,,Don’t Bug Me,9/19/2015,2:00:00 PM,Participants,4,,40.319854,-80.008436,
September,White Oak Park,,,Guided Hike ,9/19/2015,10:00:00 AM,Participants,6,,40.336148,-79.798397,
September,Deer Lakes Park,,,Beaver Habitat,9/19/2015,5:00:00 PM,Participants,7,,40.621298,-79.820963,
September,Round Hill Park,,,Skins and Skulls Table,9/20/2015,2:00:00 PM,Activity,147,,40.241079,-79.858802,
September,South Park,,,Survival Skills ,9/20/2015,10:00:00 AM,Participants,4,,40.319854,-80.008436,
September,South Park,,,Survival Skills ,9/20/2015,2:00:00 PM,Participants,2,,40.319854,-80.008436,
September,North Park,,,Fall Foliage Hike,9/20/2015,10:00:00 AM,Participants,0,,40.600477,-80.005029,
September,North Park,,,Fall Foliage Hike,9/20/2015,2:00:00 PM,Participants,0,,40.600477,-80.005029,
September,North Park,,,Mountain Biking,9/22/2015,5:30:00 PM,Participants,0,,40.600477,-80.005029,
September,"Tarentum, PA",Girl Scout Meeting ,,Wetlands ,9/22/2015,6:30:00 PM,Participants,37,,#N/A,#N/A,
September,North Park,,,Orienteering,9/22/2015,5:30:00 PM,Participants,9,,40.600477,-80.005029,
September,Hartwood Acres,,,Thursday Night Hike,9/24/2015,5:30:00 PM,Participants,5,,40.569882,-79.90942,
September,Avonworth Elementary,,8,Pollinators ,9/25/2015,10:00:00 AM,Outreach,126,3 classes,40.541836,-80.094637,
September,Deer Lakes Park,,,Intro to Disc Golf ,9/25/2015,5:30:00 PM,Participants,12,,40.621298,-79.820963,
September,Harrison Hills Park,,,Girl Scout Guided Hike,9/25/2015,6:30:00 PM,Outreach,16,,40.653058,-79.707376,
September,Settlers Cabin Park,,,Team Adventure Hike,9/26/2015,2:00:00 PM,Participants,0,,40.424197,-80.163275,
September,Deer Lakes Park,,,Beaver Habitat,9/26/2015,5:00:00 PM,Participants,16,,40.621298,-79.820963,
September,Hartwood Acres,Hay Day ,,Skins and Skulls Table,9/26/2015,11:00:00 AM,Event contacts,1756,,40.569882,-79.90942,
September,Hartwood Acres,Hay Day ,,Sasquatch Scavenger Hunt,9/26/2015,11:00:00 AM,Participants,70,Total for 4 sessions,40.569882,-79.90942,
September,South Park,,,Whiskey Rebellion,9/26/2015,11:00:00 AM,Participants,2,,40.319854,-80.008436,
September,South Park,,,Whiskey Rebellion,9/26/2015,2:00:00 PM,Participants,0,,40.319854,-80.008436,
September,Harrison Hills Park,,,Nature Journaling ,9/27/2015,2:00:00 PM,Participants,0,,40.653058,-79.707376,
September,South Park,,,Fall Foliage Hike,9/27/2015,10:00:00 AM,Participants,0,,40.319854,-80.008436,
September,South Park,,,Fall Foliage Hike,9/27/2015,2:00:00 PM,Participants,2,,40.319854,-80.008436,
September,Settlers Cabin Park,,,Don’t Bug Me,9/27/2015,2:00:00 PM,Participants,0,,40.424197,-80.163275,
September,"Bird Park, Bethel Park, PA",,,Boy Scout LNT,9/27/2015,6:00:00 PM,Outreach,7,Raining ,40.368257,-80.057772,
September,North Park,,,Visitor contacts,,,In-park contacts,2665,,40.600477,-80.005029,
September,Hartwood Acres,,,Visitor contacts,,,In-park contacts,1846,,40.569882,-79.90942,
September,Deer Lakes Park,,,Visitor contacts,,,In-park contacts,498,,40.621298,-79.820963,
September,Harrison Hills Park,,,Visitor contacts,,,In-park contacts,229,,40.653058,-79.707376,
September,Boyce Park,,,Visitor contacts,,,In-park contacts,259,,40.471959,-79.748357,
September,White Oak Park,,,Visitor contacts,,,In-park contacts,14,,40.336148,-79.798397,
September,Round Hill Park,,,Visitor contacts,,,In-park contacts,208,,40.241079,-79.858802,
September,South Park,,,Visitor contacts,,,In-park contacts,482,,40.319854,-80.008436,
September,Settlers Cabin Park,,,Visitor contacts,,,In-park contacts,49,,40.424197,-80.163275,
October,Hartwood Acres,,,Guided Hike ,10/1/2015,4:30:00 PM,Participants,0,,40.569882,-79.90942,
October,North Park,,,Orienteering,10/3/2015,11:00:00 AM,Participants,0,,40.600477,-80.005029,
October,Settlers Cabin Park,,,Fall Foliage Hike,10/3/2015,10:00:00 AM,Participants,0,,40.424197,-80.163275,
October,Settlers Cabin Park,,,Fall Foliage Hike,10/3/2015,2:00:00 PM,Participants,0,,40.424197,-80.163275,
October,Deer Lakes Park,,,Beaver Habitat,10/4/2015,4:00:00 PM,Participants,3,,40.621298,-79.820963,
October,Round Hill Park,,,Fall Foliage Hike,10/4/2015,10:00:00 AM,Participants,0,,40.241079,-79.858802,
October,Round Hill Park,,,Fall Foliage Hike,10/4/2015,2:00:00 PM,Participants,3,,40.241079,-79.858802,
October,Chartiers Valley High School,,15,Leadership,10/8/2015,11:00:00 AM,Outreach,12,,40.379381,-80.101939,
October,North Park,,,Campfire Star Party,10/9/2015,7:00:00 PM,Participants,0,Cold/Rain,40.600477,-80.005029,
October,Deer Lakes Park,,,Boy Scout Guided Hike,10/10/2015,,Outreach,20,,40.621298,-79.820963,
October,Boyce Park,,,Fall Foliage Hike,10/10/2015,10:00:00 AM,Participants,0,,40.471959,-79.748357,
October,Boyce Park,,,Fall Foliage Hike,10/10/2015,2:00:00 PM,Participants,2,,40.471959,-79.748357,
October,Harrison Hills Park,,,Fall Foliage Hike,10/10/2015,10:00:00 AM,Participants,0,,40.653058,-79.707376,
October,Harrison Hills Park,,,Fall Foliage Hike,10/10/2015,2:00:00 PM,Participants,0,,40.653058,-79.707376,
October,Harrison Hills Park,,,Girl Scout Guided Hike,10/10/2015,,Participants,9,,40.653058,-79.707376,
October,North Park,,,Fall Foliage Hike,10/11/2015,10:00:00 AM,Participants,2,,40.600477,-80.005029,
October,North Park,,,Fall Foliage Hike,10/11/2015,2:00:00 PM,Participants,0,,40.600477,-80.005029,
October,Settlers Cabin Park,,,Fall Foliage Hike,10/11/2015,10:00:00 AM,Participants,0,,40.424197,-80.163275,
October,Settlers Cabin Park,,,Fall Foliage Hike,10/11/2015,2:00:00 PM,Participants,0,,40.424197,-80.163275,
October,South Park,,,Fall Foliage Hike,10/12/2015,10:00:00 AM,Participants,1,,40.319854,-80.008436,
October,South Park,,,Fall Foliage Hike,10/12/2015,10:00:00 AM,Participants,4,,40.319854,-80.008436,
