Site,Site ID,Year,Electricity (kBtu),Natural Gas (kBtu),Steam (kBtu),Total Energy (kBtu),Total Energy Cost ($),Area (SqFt),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water (kGal),Sewer (kGal),Water Cost ($),Sewer Cost ($),Address Line 1,City,State,Zip Code,Zip Code +4,Department,Division/Department detail
Deer Lakes Residence 5-2,DL52,2010,"144,351",0,0,"144,351","3,767",0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
Deer Lakes Restrooms,DLR,2014,"23,138",0,0,"23,138",590,0,,,,,0,0,0,0,Mahaffey Rd,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Restrooms,DLR,2013,"25,782",0,0,"25,782",628,0,,,,,12,0,447,0,Mahaffey Rd,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Restrooms,DLR,2012,"27,580",0,0,"27,580",684,0,,,,,13,0,723,0,Mahaffey Rd,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Restrooms,DLR,2011,"29,662",0,0,"29,662",728,0,,,,,12,0,685,0,Mahaffey Rd,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Restrooms,DLR,2010,"25,124",0,0,"25,124",793,0,,,,,14,0,447,0,Mahaffey Rd,Russellton,PA,15076,,Parks,Deer Lakes Park
Deer Lakes Water Pump,DLWP,2014,0,0,0,0,68,0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
Deer Lakes Water Pump,DLWP,2013,0,0,0,0,82,0,,,,,0,0,0,0,,TARENTUM,PA,15034,,Parks,Deer Lakes Park
Deer Lakes Water Pump,DLWP,2012,164,0,0,164,58,0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
Deer Lakes Water Pump,DLWP,2011,491,0,0,491,33,0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
Deer Lakes Water Pump,DLWP,2010,792,0,0,792,158,0,,,,,0,0,0,0,,Tarentum,PA,15034,,Parks,Deer Lakes Park
Emergency Ctr,ACEC,2014,"40,495",0,0,"40,495","1,228",0,,,,,0,0,0,0,Liberty Way,Elizabeth,PA,15037,,Public Works,
Emergency Ctr,ACEC,2013,"39,738",0,0,"39,738","1,011",0,,,,,0,0,0,0,Liberty Way,Elizabeth,PA,15037,,Public Works,
Emergency Ctr,ACEC,2012,"36,756",0,0,"36,756","1,031",0,,,,,0,0,0,0,Liberty Way,Elizabeth,PA,15037,,Public Works,
Emergency Ctr,ACEC,2011,"29,338",0,0,"29,338",742,0,,,,,0,0,0,0,Liberty Way,Elizabeth,PA,15037,,Public Works,
Emergency Ctr,ACEC,2010,"12,482",0,0,"12,482",418,0,,,,,0,0,0,0,Liberty Way,Elizabeth,PA,15037,,Public Works,
Family Court Division,FCD,2014,"12,296,500","374,490","10,282,728","22,953,718","492,680","130,800",175.49,392.53,173.87,390.05,"6,821","6,211","65,034","33,949",440 Ross St,Pittsburgh,PA,15219,,Court of Common Pleas,
Family Court Division,FCD,2013,"11,764,206","416,556","10,186,014","22,366,776","490,459","130,800",171.00,379.21,171.00,378.97,"5,818","5,818","55,214","26,924",440 Ross St,Pittsburgh,PA,15219,,Court of Common Pleas,
Family Court Division,FCD,2012,"12,337,445","274,968","9,394,392","22,006,805","509,244","130,800",168.25,384.57,166.70,382.13,"7,806","7,790","69,957","33,592",440 Ross St,Pittsburgh,PA,15219,,Court of Common Pleas,
Family Court Division,FCD,2011,"12,549,851","374,490","12,201,486","25,125,827","570,708","130,800",192.09,416.22,190.32,412.30,"9,203","9,203","76,143","36,810",440 Ross St,Pittsburgh,PA,15219,,Court of Common Pleas,
Family Court Division,FCD,2010,"13,445,538","310,878","12,138,204","25,894,620","602,258","130,800",197.97,436.63,196.15,432.52,"4,679","5,733","32,801","23,155",440 Ross St,Pittsburgh,PA,15219,,Court of Common Pleas,
Fire Training School,PTFFA,2014,"2,456,946","3,733,614",0,"6,190,560","97,904","20,000",309.53,581.76,306.67,578.07,0,0,0,0,Kummer Rd,Wexford,PA,15090,,Emergency Services,
Fire Training School,PTFFA,2013,"2,396,551","3,849,552",0,"6,246,103","94,642","20,000",312.31,578.36,312.31,577.99,0,0,0,0,Kummer Rd,Wexford,PA,15090,,Emergency Services,
Fire Training School,PTFFA,2012,"3,675,216","3,587,922",0,"7,263,138","102,862","20,000",363.16,765.37,359.81,760.52,0,0,0,0,Kummer Rd,Wexford,PA,15090,,Emergency Services,
Fire Training School,PTFFA,2011,"4,276,060","2,511,648",0,"6,787,708","96,493","20,000",339.39,803.20,336.26,795.64,0,0,0,0,Kummer Rd,Wexford,PA,15090,,Emergency Services,
Fire Training School,PTFFA,2010,"2,985,008","2,139,210",0,"5,124,218","85,817","20,000",256.21,580.95,253.85,575.49,0,0,0,0,Kummer Rd,Wexford,PA,15090,,Emergency Services,
Fire Training Simulator,FTAFTS,2014,0,0,0,0,0,0,,,,,0,0,0,0,700 West Ridge Ave,Pittsburgh,PA,15101,,Emergency Services,
Fire Training Simulator,FTAFTS,2013,0,0,0,0,0,0,,,,,0,0,0,0,700 West Ridge Ave,Pittsburgh,PA,15101,,Emergency Services,
Fire Training Simulator,FTAFTS,2012,0,0,0,0,0,0,,,,,0,0,0,0,700 West Ridge Ave,Pittsburgh,PA,15101,,Emergency Services,
Fire Training Simulator,FTAFTS,2011,"391,099",0,0,"391,099","11,709",0,,,,,0,0,0,0,700 West Ridge Ave,Pittsburgh,PA,15101,,Emergency Services,
Fire Training Simulator,FTAFTS,2010,"281,843",0,0,"281,843","17,788",0,,,,,0,0,0,0,700 West Ridge Ave,Pittsburgh,PA,15101,,Emergency Services,
Garage/Buttermilk Hollow,MWBH,2014,"77,592","962,388",0,"1,039,980","11,221","17,677",58.83,70.95,58.29,70.50,0,36,0,310,Buttermilk Hollow Rd,Pittsburgh,PA,15207,,Public Works,District 8
Garage/Buttermilk Hollow,MWBH,2013,"90,592","922,374",0,"1,012,966","11,121","17,677",57.30,70.88,57.30,70.84,71,62,834,800,Buttermilk Hollow Rd,Pittsburgh,PA,15207,,Public Works,District 8
Garage/Buttermilk Hollow,MWBH,2012,"190,500","853,632",0,"1,044,132","12,016","17,677",59.07,84.54,58.52,84.01,93,88,"1,116",918,Buttermilk Hollow Rd,Pittsburgh,PA,15207,,Public Works,District 8
Garage/Buttermilk Hollow,MWBH,2011,"231,582","988,038",0,"1,219,620","14,456","17,677",68.99,99.83,68.36,98.89,114,114,"1,151","1,062",Buttermilk Hollow Rd,Pittsburgh,PA,15207,,Public Works,District 8
Garage/Buttermilk Hollow,MWBH,2010,"134,872","771,552",0,"906,424","11,246","17,677",51.28,69.79,50.80,69.13,"20,282",88,"1,054",801,Buttermilk Hollow Rd,Pittsburgh,PA,15207,,Public Works,District 8
Goblers Nob,MS09,2014,"28,184",0,0,"28,184",989,0,,,,,0,0,0,0,Bellebridge Rd,Elizabeth,PA,15037,,Facilities,Streetlights
Goblers Nob,MS09,2013,"29,959",0,0,"29,959","1,064",0,,,,,0,0,0,0,Bellebridge Rd,Elizabeth,PA,15037,,Facilities,Streetlights
Goblers Nob,MS09,2012,"45,757",0,0,"45,757","1,150",0,,,,,0,0,0,0,Bellebridge Rd,Elizabeth,PA,15037,,Facilities,Streetlights
Goblers Nob,MS09,2011,"30,163",0,0,"30,163",732,0,,,,,0,0,0,0,Bellebridge Rd,Elizabeth,PA,15037,,Facilities,Streetlights
Goblers Nob,MS09,2010,"12,352",0,0,"12,352",538,0,,,,,0,0,0,0,Bellebridge Rd,Elizabeth,PA,15037,,Facilities,Streetlights
Harrison Hills Park,HHP,2014,0,0,0,0,0,0,,,,,241,0,"1,325",0,Oak Manor Dr,Pittsburgh,PA,,,Parks,Harrison Hills Park
Harrison Hills Park,HHP,2013,0,0,0,0,0,0,,,,,284,0,"3,858",0,Oak Manor Dr,Pittsburgh,PA,,,Parks,Harrison Hills Park
Harrison Hills Park,HHP,2012,0,0,0,0,0,0,,,,,458,0,"5,936",0,Oak Manor Dr,Pittsburgh,PA,,,Parks,Harrison Hills Park
Harrison Hills Park,HHP,2011,0,0,0,0,0,0,,,,,880,0,"6,354",0,Oak Manor Dr,Pittsburgh,PA,,,Parks,Harrison Hills Park
Harrison Hills Park,HHP,2010,0,0,0,0,0,0,,,,,"1,968",0,"5,097",0,Oak Manor Dr,Pittsburgh,PA,,,Parks,Harrison Hills Park
Hartwood Acres Barn,HAB,2014,82,0,0,82,101,"1,440",0.06,0.18,0.06,0.18,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Barn,HAB,2013,82,0,0,82,88,"1,440",0.06,0.18,0.06,0.18,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Barn,HAB,2012,0,0,0,0,100,"1,440",0.00,0.00,0.00,0.00,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Barn,HAB,2011,41,0,0,41,95,"1,440",0.03,0.09,0.03,0.09,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Barn,HAB,2010,167,0,0,167,83,"1,440",0.12,0.36,0.12,0.36,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Concert Area,HACA,2014,0,0,0,0,0,0,,,,,0,0,185,0,Hartwood Concert Area,Pittsburgh,PA,,,Parks,Hartwood Acres
Hartwood Acres Concert Area,HACA,2013,0,0,0,0,0,0,,,,,55,0,560,0,Hartwood Concert Area,Pittsburgh,PA,,,Parks,Hartwood Acres
Hartwood Acres Concert Area,HACA,2012,0,0,0,0,0,0,,,,,14,0,627,0,Hartwood Concert Area,Pittsburgh,PA,,,Parks,Hartwood Acres
Hartwood Acres Concert Area,HACA,2011,0,0,0,0,0,0,,,,,62,0,792,0,Hartwood Concert Area,Pittsburgh,PA,,,Parks,Hartwood Acres
Hartwood Acres Concert Area,HACA,2010,0,0,0,0,0,0,,,,,0,0,529,0,Hartwood Concert Area,Pittsburgh,PA,,,Parks,Hartwood Acres
Hartwood Acres Garage,HAG,2014,"30,232",0,0,"30,232","1,032","3,024",10.00,31.39,9.91,31.19,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Garage,HAG,2013,"29,959",0,0,"29,959","1,044","3,024",9.91,31.11,9.91,31.09,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Garage,HAG,2012,"72,371",0,0,"72,371","1,543","3,024",23.93,75.15,23.71,74.67,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Garage,HAG,2011,"133,619",0,0,"133,619","2,352","3,024",44.19,138.75,43.78,137.44,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Garage,HAG,2010,"50,841",0,0,"50,841","2,008","3,024",16.81,52.79,16.66,52.29,0,0,0,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Mansion,HAM,2014,"408,774","1,922,724",0,"2,331,498","17,721","4,356",535.24,758.13,530.30,753.32,68,0,"1,439",0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Mansion,HAM,2013,"250,997","1,779,084",0,"2,030,081","13,598","4,356",466.04,609.77,466.04,609.39,273,0,"3,257",0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Mansion,HAM,2012,"343,671","2,144,340",0,"2,488,011","19,354","4,356",571.17,764.62,565.90,759.77,333,0,"4,595",0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Mansion,HAM,2011,"447,809","1,459,998",0,"1,907,807","24,475","4,356",437.97,674.73,433.93,668.38,359,0,"5,103",0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Mansion,HAM,2010,"675,331","1,147,068",0,"1,822,399","18,707","4,356",418.37,763.31,414.51,756.12,388,0,"6,607",0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Other,HAOT,2014,0,0,0,0,0,0,,,,,0,28,0,174,3657 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Other,HAOT,2013,0,0,0,0,0,0,,,,,0,76,0,357,3657 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Other,HAOT,2012,0,0,0,0,0,0,,,,,0,84,0,487,3657 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Other,HAOT,2011,0,0,0,0,0,0,,,,,0,77,0,404,3657 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Other,HAOT,2010,0,0,0,0,0,0,,,,,0,44,0,213,3657 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Res 9-3,HAR93,2014,0,"417,582",0,"417,582","1,820","1,155",361.54,379.62,358.21,377.21,15,0,149,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Res 9-3,HAR93,2013,0,"369,360",0,"369,360","1,712","1,155",319.79,335.78,319.79,335.57,76,0,358,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Res 9-3,HAR93,2012,0,"294,462",0,"294,462","1,505","1,155",254.95,267.69,252.59,266.00,101,0,486,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Res 9-3,HAR93,2011,0,"189,810",0,"189,810","1,955","1,155",164.34,172.55,162.82,170.93,81,0,410,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Res 9-3,HAR93,2010,0,"138,510",0,"138,510","1,436","1,155",119.92,125.92,118.82,124.73,81,0,410,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Residence,HARES,2014,0,0,0,0,0,0,,,,,6,0,77,0,,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Residence,HARES,2013,0,0,0,0,0,0,,,,,26,0,169,0,,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Residence,HARES,2012,0,0,0,0,0,0,,,,,40,0,256,0,,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Residence,HARES,2011,0,0,0,0,0,0,,,,,41,0,240,0,,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Residence,HARES,2010,0,"8,208",0,"8,208",26,0,,,,,71,0,371,0,,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Stable,HAS,2014,"3,317","3,212,406",0,"3,215,723","12,347","4,013",801.33,843.12,793.94,837.77,0,0,185,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Stable,HAS,2013,"5,487","2,468,556",0,"2,474,043","10,103","4,013",616.51,650.19,616.51,649.78,117,0,794,0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Stable,HAS,2012,"8,599","2,078,676",0,"2,087,275","10,061","4,013",520.13,550.61,515.33,547.12,172,0,"1,178",0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Stable,HAS,2011,"8,844","1,270,188",0,"1,279,032","12,260","4,013",318.72,339.26,315.78,336.07,348,0,"1,913",0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Hartwood Acres Stable,HAS,2010,"4,299","1,050,624",0,"1,054,923","8,626","4,013",262.88,278.26,260.45,275.64,252,0,"1,534",0,215 Saxonburg Blvd,Pittsburgh,PA,15238,,Parks,Hartwood Acres
Health Dept,ACHD,2014,"405,523","1,652,886","423,870","2,482,279","27,471","31,404",79.04,112.01,78.31,111.30,168,127,"3,398",869,542 4th Ave,Pittsburgh,PA,15219,,Health Department,
Health Dept,ACHD,2013,"1,294,975","1,532,844",0,"2,827,819","37,527","31,404",90.05,180.73,90.05,180.62,"1,278","1,434","11,962","5,580",542 4th Ave,Pittsburgh,PA,15219,,Health Department,
Health Dept,ACHD,2012,"2,073,489","1,730,862",0,"3,804,351","45,408","31,404",121.14,265.19,120.03,263.51,"1,120","1,120","10,575","4,905",542 4th Ave,Pittsburgh,PA,15219,,Health Department,
Health Dept,ACHD,2011,"2,794,536","1,267,110",0,"4,061,646","56,191","31,404",129.34,321.78,128.14,318.76,0,0,0,0,542 4th Ave,Pittsburgh,PA,15219,,Health Department,
Health Dept,ACHD,2010,"1,799,303","911,088",0,"2,710,391","50,410","31,404",86.31,210.37,85.51,208.39,"1,510",0,"12,103","6,159",542 4th Ave,Pittsburgh,PA,15219,,Health Department,
Homestead Center,HOC,2014,0,0,0,0,"9,039",0,,,,,0,0,0,0,140 E 9th Ave,Homestead,PA,15250,,,
Homestead Center,HOC,2013,"40,809","292,410",0,"333,219","5,043",0,,,,,100,100,923,165,140 E 9th Ave,Homestead,PA,15250,,,
Homestead Center,HOC,2012,"121,199","588,924",0,"710,123","7,433",0,,,,,"2,137","2,137","1,480","2,036",140 E 9th Ave,Homestead,PA,15250,,,
Homestead Center,HOC,2011,"100,999","640,224",0,"741,223","8,871",0,,,,,"1,312",712,"1,037",452,140 E 9th Ave,Homestead,PA,15250,,,
Homestead Center,HOC,2010,"207,049","498,636",0,"705,685","10,777",0,,,,,878,100,"1,414",16,140 E 9th Ave,Homestead,PA,15250,,,
Jail/New,JLN,2014,"32,832,976","1,627,236","43,204,890","77,665,102","1,575,870","990,000",78.45,158.23,77.73,157.23,"105,158","96,324","933,534","474,590",950 2nd Ave,Pittsburgh,PA,15219,,Allegheny County Jail,
Jail/New,JLN,2013,"33,433,513","1,385,100","41,417,472","76,236,085","1,585,145","990,000",77.01,157.71,77.01,157.61,"83,672","78,280","771,451","355,954",950 2nd Ave,Pittsburgh,PA,15219,,Allegheny County Jail,
Jail/New,JLN,2012,"37,266,028","1,708,290","38,863,506","77,837,824","1,660,954","990,000",78.62,167.12,77.90,166.06,"74,422","68,432","657,055","344,520",950 2nd Ave,Pittsburgh,PA,15219,,Allegheny County Jail,
Jail/New,JLN,2011,"39,537,149","1,320,462","56,677,986","97,535,597","2,187,134","990,000",98.52,195.50,97.61,193.66,"137,793","137,793","1,141,378","554,764",950 2nd Ave,Pittsburgh,PA,15219,,Allegheny County Jail,
Jail/New,JLN,2010,"38,892,937","2,650,158","135,379,302","176,922,397","3,292,847","990,000",178.71,290.26,177.06,287.53,"165,770","154,803","1,149,692","621,769",950 2nd Ave,Pittsburgh,PA,15219,,Allegheny County Jail,
Juvenille Court Recreation Room,JCRR,2014,"5,971",0,0,"5,971",226,"5,000",1.19,3.75,1.18,3.73,0,0,0,0,8384 Frankstown Road,Pittsburgh,PA,15221,,Courts,
Juvenille Court Recreation Room,JCRR,2013,"30,232",0,0,"30,232","1,069","5,000",6.05,18.99,6.05,18.97,0,0,0,0,8384 Frankstown Road,Pittsburgh,PA,15221,,Courts,
Juvenille Court Recreation Room,JCRR,2012,"64,046",0,0,"64,046","1,461","5,000",12.81,40.22,12.69,39.97,0,0,0,0,8384 Frankstown Road,Pittsburgh,PA,15221,,Courts,
Juvenille Court Recreation Room,JCRR,2011,"61,760",0,0,"61,760","1,356","5,000",12.35,38.79,12.24,38.42,0,0,0,0,8384 Frankstown Road,Pittsburgh,PA,15221,,Courts,
Juvenille Court Recreation Room,JCRR,2010,"24,602",0,0,"24,602",757,"5,000",4.92,15.45,4.87,15.30,0,0,0,0,8384 Frankstown Road,Pittsburgh,PA,15221,,Courts,
Kane/Glen Hazel,KGH,2014,"11,108,563","21,651,678",0,"32,760,241","338,370","242,214",135.25,237.87,134.01,236.36,"12,863",0,"46,434","55,418",955 Rivermont Drive,Pittsburgh,PA,15207,,Kane Regional Centers,Kane Glen Hazel
Kane/Glen Hazel,KGH,2013,"11,073,759","19,914,660",0,"30,988,419","340,064","242,214",127.94,229.89,127.94,229.74,"19,573",0,"66,041","53,376",955 Rivermont Drive,Pittsburgh,PA,15207,,Kane Regional Centers,Kane Glen Hazel
Kane/Glen Hazel,KGH,2012,"11,903,592","21,142,782",0,"33,046,374","374,488","242,214",136.43,245.97,135.18,244.41,"5,384",221,"50,502","44,133",955 Rivermont Drive,Pittsburgh,PA,15207,,Kane Regional Centers,Kane Glen Hazel
Kane/Glen Hazel,KGH,2011,"11,584,215","10,497,006",0,"22,081,221","365,781","242,214",91.16,195.68,90.32,193.84,"5,284",597,"50,317","43,158",955 Rivermont Drive,Pittsburgh,PA,15207,,Kane Regional Centers,Kane Glen Hazel
Kane/Glen Hazel,KGH,2010,"11,075,806","9,482,292",0,"20,558,098","377,527","242,214",84.88,184.69,84.09,182.95,"8,862","3,782","78,657","64,773",955 Rivermont Drive,Pittsburgh,PA,15207,,Kane Regional Centers,Kane Glen Hazel
Kane/McKeesport,KMC,2014,"9,420,919","9,937,836",0,"19,358,755","306,128","167,224",115.77,239.30,114.70,237.78,"3,458","3,883","32,561","48,544",100 Ninth Avenue,Pittsburgh,PA,15229,,Kane Regional Centers,Kane McKeesport
Kane/McKeesport,KMC,2013,"9,557,404","8,349,588",0,"17,906,992","307,447","167,224",107.08,231.89,107.08,231.74,"4,885","4,733","47,865","56,900",100 Ninth Avenue,Pittsburgh,PA,15229,,Kane Regional Centers,Kane McKeesport
Kane/McKeesport,KMC,2012,"10,905,199","9,086,256",0,"19,991,455","356,227","167,224",119.55,261.82,118.45,260.16,"5,085","6,701","40,910","69,923",100 Ninth Avenue,Pittsburgh,PA,15229,,Kane Regional Centers,Kane McKeesport
Kane/McKeesport,KMC,2011,"11,103,104","10,064,034",0,"21,167,138","371,908","167,224",126.58,271.68,125.41,269.12,"4,976","6,401","43,682","68,373",100 Ninth Avenue,Pittsburgh,PA,15229,,Kane Regional Centers,Kane McKeesport
Kane/McKeesport,KMC,2010,"11,536,445","8,768,196",0,"20,304,641","386,500","167,224",121.42,271.68,120.30,269.12,"6,701","6,790","48,560","66,621",100 Ninth Avenue,Pittsburgh,PA,15229,,Kane Regional Centers,Kane McKeesport
Kane/Ross Center,KRC,2014,"9,287,845","9,901,926",0,"19,189,771","305,848","156,847",122.35,252.23,121.22,250.63,"5,018","1,747","19,959","31,813",110 McIntyre Road,Pittsburgh,PA,15237,,Kane Regional Centers,Kane Ross
Kane/Ross Center,KRC,2013,"9,468,689","8,478,864",0,"17,947,553","307,703","156,847",114.43,246.32,114.43,246.16,"5,125","5,576","24,189","43,212",110 McIntyre Road,Pittsburgh,PA,15237,,Kane Regional Centers,Kane Ross
Kane/Ross Center,KRC,2012,"9,874,733","7,678,584",0,"17,553,317","316,847","156,847",111.91,249.09,110.88,247.51,"4,896","5,321","19,675","43,942",110 McIntyre Road,Pittsburgh,PA,15237,,Kane Regional Centers,Kane Ross
Kane/Ross Center,KRC,2011,"10,072,637","8,896,446",0,"18,969,083","341,548","156,847",120.94,261.21,119.82,258.75,"5,810","6,401","32,619","56,901",110 McIntyre Road,Pittsburgh,PA,15237,,Kane Regional Centers,Kane Ross
Kane/Ross Center,KRC,2010,"10,898,375","8,375,238",0,"19,273,613","370,148","156,847",122.88,274.25,121.75,271.67,"6,476","4,541","24,570","72,808",110 McIntyre Road,Pittsburgh,PA,15237,,Kane Regional Centers,Kane Ross
Kane/Scott Center,KSC,2014,"8,342,682","10,360,548",0,"18,703,230","296,489","161,913",115.51,228.98,114.45,227.53,"3,643",0,"34,527","6,960",300 Kane Blvd,Pittsburgh,PA,15243,,Kane Regional Centers,Kane Scott
Kane/Scott Center,KSC,2013,"9,141,123","8,153,622",0,"17,294,745","297,688","161,913",106.82,230.15,106.82,230.01,"9,110",0,"85,069","48,225",300 Kane Blvd,Pittsburgh,PA,15243,,Kane Regional Centers,Kane Scott
Kane/Scott Center,KSC,2012,"10,703,883","8,315,730",0,"19,019,613","343,952","161,913",117.47,261.51,116.39,259.85,"7,321","1,988","57,309","39,133",300 Kane Blvd,Pittsburgh,PA,15243,,Kane Regional Centers,Kane Scott
Kane/Scott Center,KSC,2011,"11,062,158","10,112,256",0,"21,174,414","374,404","161,913",130.78,280.11,129.57,277.47,"7,670","7,670","59,455","88,396",300 Kane Blvd,Pittsburgh,PA,15243,,Kane Regional Centers,Kane Scott
Kane/Scott Center,KSC,2010,"11,243,001","8,958,006",0,"20,201,007","384,786","161,913",124.76,276.13,123.61,273.53,"6,940","6,940","46,248","79,193",300 Kane Blvd,Pittsburgh,PA,15243,,Kane Regional Centers,Kane Scott
Light: 10th St Bridge Mon Rvr,LGHT021,2014,"88,477",0,0,"88,477","2,368",0,,,,,0,0,0,0,10th St Bridge,Pittsburgh,PA,15219,,Public Works,Streetlights
Light: 10th St Bridge Mon Rvr,LGHT021,2013,"57,447",0,0,"57,447","1,604",0,,,,,0,0,0,0,10th St Bridge,Pittsburgh,PA,15219,,Public Works,Streetlights
Light: 10th St Bridge Mon Rvr,LGHT021,2012,"191,114",0,0,"191,114","3,163",0,,,,,0,0,0,0,10th St Bridge,Pittsburgh,PA,15219,,Public Works,Streetlights
Light: 10th St Bridge Mon Rvr,LGHT021,2011,"238,986",0,0,"238,986","3,681",0,,,,,0,0,0,0,10th St Bridge,Pittsburgh,PA,15219,,Public Works,Streetlights
Light: 10th St Bridge Mon Rvr,LGHT021,2010,"178,182",0,0,"178,182","3,994",0,,,,,0,0,0,0,10th St Bridge,Pittsburgh,PA,15219,,Public Works,Streetlights
Light: 16th St Bridge,LGHT033,2014,"72,406",0,0,"72,406","1,942",0,,,,,0,0,0,0,East River Ave,Pittsburgh,PA,15212,,Public Works,Streetlights
Light: 16th St Bridge,LGHT033,2013,"88,613",0,0,"88,613","2,225",0,,,,,0,0,0,0,East River Ave,Pittsburgh,PA,15212,,Public Works,Streetlights
Light: 16th St Bridge,LGHT033,2012,"165,489",0,0,"165,489","3,033",0,,,,,0,0,0,0,East River Ave,Pittsburgh,PA,15212,,Public Works,Streetlights
Light: 16th St Bridge,LGHT033,2011,"170,641",0,0,"170,641","2,723",0,,,,,0,0,0,0,East River Ave,Pittsburgh,PA,15212,,Public Works,Streetlights
Light: 16th St Bridge,LGHT033,2010,"112,021",0,0,"112,021","2,581",0,,,,,0,0,0,0,East River Ave,Pittsburgh,PA,15212,,Public Works,Streetlights
Light: 40th St Bridge,LGHT018,2014,"312,815",0,0,"312,815","8,647",0,,,,,0,0,0,0,40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: 40th St Bridge,LGHT018,2013,"289,831",0,0,"289,831","7,921",0,,,,,0,0,0,0,40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: 40th St Bridge,LGHT018,2012,"239,351",0,0,"239,351","7,533",0,,,,,0,0,0,0,40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: 40th St Bridge,LGHT018,2011,"279,325",0,0,"279,325","8,396",0,,,,,0,0,0,0,40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
Light: 40th St Bridge,LGHT018,2010,"253,727",0,0,"253,727","8,086",0,,,,,0,0,0,0,40th St Bridge,Pittsburgh,PA,15201,,Public Works,Streetlights
