Site,Site ID,Year,Electricity (kBtu),Natural Gas (kBtu),Steam (kBtu),Total Energy (kBtu),Total Energy Cost ($),Area (SqFt),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water (kGal),Sewer (kGal),Water Cost ($),Sewer Cost ($),Address Line 1,City,State,Zip Code,Zip Code +4,Department,Division/Department detail
640 Campbells Run Rd,MCRR,2014,"69,881","1,500,012",0,"1,569,893","16,010","13,680",114.76,131.17,113.70,130.34,0,0,0,0,640 Campbells Run Rd,Pittsburgh,PA,15136,,Public Works,District 2
640 Campbells Run Rd,MCRR,2013,"69,062","1,363,554",0,"1,432,616","15,338","13,680",104.72,120.51,104.72,120.43,63,0,947,0,640 Campbells Run Rd,Pittsburgh,PA,15136,,Public Works,District 2
640 Campbells Run Rd,MCRR,2012,"114,102","1,135,782",0,"1,249,884","13,330","13,680",91.37,113.37,90.52,112.65,102,0,"1,437",0,640 Campbells Run Rd,Pittsburgh,PA,15136,,Public Works,District 2
640 Campbells Run Rd,MCRR,2011,"183,710","1,436,400",0,"1,620,110","18,558","13,680",118.43,152.42,117.34,150.98,128,0,"1,461",0,640 Campbells Run Rd,Pittsburgh,PA,15136,,Public Works,District 2
640 Campbells Run Rd,MCRR,2010,"95,540","1,210,680",0,"1,306,220","15,690","13,680",95.48,114.85,94.60,113.77,163,0,"1,677",0,640 Campbells Run Rd,Pittsburgh,PA,15136,,Public Works,District 2
Allegheny County Medical Examiner,ACME,2014,"11,534,398","15,800,400",0,"27,334,798","360,706","88,000",310.62,600.10,307.76,596.29,"2,051","1,789","20,516","10,558",1520 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Allegheny County Medical Examiner,ACME,2013,"14,505,007","14,605,110",0,"29,110,117","438,429","88,000",330.80,691.83,330.80,691.39,"1,881","1,881","16,835","8,162",1520 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Allegheny County Medical Examiner,ACME,2012,"11,303,055","18,091,458",0,"29,394,513","390,307","88,000",334.03,619.18,330.95,615.25,"1,604","1,604","13,578","6,926",1520 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Allegheny County Medical Examiner,ACME,2011,"13,182,462","15,938,910",0,"29,121,372","444,849","88,000",330.92,660.55,327.87,654.34,"1,426","1,426","12,137","5,870",1520 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
Allegheny County Medical Examiner,ACME,2010,"11,879,024","17,581,536",0,"29,460,560","486,628","88,000",334.78,633.64,331.69,627.68,"1,491","2,274","11,037","9,176",1520 Penn Ave,Pittsburgh,PA,15222,,Medical Examiner's Office,
