"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7050B0015_12 - WHITE PK RD1: SCALLYS RD TO MAGHERY RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",266,266,306577,443763
"7050B0015_12 - WHITE PK RD1: SCALLYS RD TO MAGHERY RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",603,603,306406,444052
"7050B0147_11 - CARROWREAGH RD1: BALLINLEA RD TO BALLYKENVER RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",2157,2157,304703,434256
"7050C0102_01 - BREGAGH RD1: BALLINLEA RD TO GRACEHILL RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",140,140,303162,433269
"7050B0066_12 - KNOCK RD1: FROSSES RD TO CONAGHER RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",2712,2712,295880,429562
"7050C0084_03 - COOLKEERAN RD2: LOUGH RD TO GLENBUSH RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",146,146,308259,425187
"7050A5002_33 - GARRON ROAD1: ARDCLINIS BRIDGE TO TOWER RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",2559,2559,329397,425009
"7050U4526_12 - GREYSTONE CRE1: GREYSTONE CRE TO CUL DE SAC -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",101,101,297530,431582
"7050U4517_50 - RACEVIEW DR: RACEVIEW AVE TO DR -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",29,29,295343,425352
"7050U5505_67 - THE ABBEY3: FRONT HOUSE 46 TO FRONT HOUSE 20 -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",20,20,311245,440850
"7050C0084_02 - CORKEY RD1: BALLYWEENY RD TO LOUGH RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",3050,3050,308344,424302
"7050C0084_02 - CORKEY RD1: BALLYWEENY RD TO LOUGH RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",2208,2208,308488,423499
"7050C0091_10 - BALNAMORE RD1: GLENSTALL RD TO BALLYBRAKES RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",1040,1040,291871,425180
"7050U4120_02 - STATION RD6: FROSSES RD TO GARRYDUFF RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",260,260,303200,420605
"7050U4095_01 - LISLABAN RD1: BALLYMENA BOUNDARY TO BALLYWEENY RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",1068,1068,307985,420228
"7050U4508_13 - BELFORD PK1: ROBINSON AV TO NEWHILL PK -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",116,116,295342,426159
"7050B0062_22 - FINVOY RD2: BALLYMACONNELLY RD TO MONEYLECK RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",1147,1147,296636,414463
"7050B0016_04 - GARRYDUFF RD1: GALDANAGH RD TO STATION RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",1140,1140,301598,419467
"7050U4502_20 - DRUMNAMALLAGHT RD1: BALNAMORE RD TO FAR SIDE OF S.C.I. AT SITES 36/38 -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",46,46,293856,425513
"7050A0043_01 - GLENARIFF RD2: BRIDGE TO NINE GLEN RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",2743,2743,320100,420718
"7050B0015_12 - WHITE PK RD1: SCALLYS RD TO MAGHERY RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",350,350,306546,443842
"7050B0015_12 - WHITE PK RD1: SCALLYS RD TO MAGHERY RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",103,103,306686,443644
"7050A0044_07 - MAGHERAMORE RD3: LAGG RD TO ISLANDARRAGH RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",1703,1703,307879,436392
"7050A0044_07 - MAGHERAMORE RD3: LAGG RD TO ISLANDARRAGH RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",1741,1741,307885,436431
"7050B0062_15 - MEETINGHOUSE ST1: COCKPIT BRAE RBT TO MAIN ST -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Side Entry",291,291,295065,425629
"7050A5002_30 - COAST RD1: BALLYEAMON RD TO MAIN ST WF -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",261,261,324025,427577
"7050U5107_01 - MIDDLE PK RD1: COAST RD TO COAST RD -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",1823,1823,323946,427576
"7050C0091_13 - HIGH ST1: TECHNICAL SCHOOL RBT TO CHURCH ST -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",300,300,294771,425797
"7050U4117_02 - GLENLOUGH RD1: FROSSES RD TO GARRYDUFF RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",979,979,297942,423591
"7050U4508_17 - ALEXANDRA AV1: ROBINSON AV TO THE CRE -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",218,218,295257,426314
"7050U5074_01 - DUNAMALLAGHT RD1: GLENSHESK RD TO DUNAMALLAGHT CRE -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",121,121,312403,440592
"7050B0016_05 - BELLAGHY RD1: STATION RD TO ANTICUR RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",2942,2942,302111,418822
"7050B0016_05 - BELLAGHY RD1: STATION RD TO ANTICUR RD -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",3059,3059,302111,418822
"7050U4506_01 - KIRKMOYLE AV1: SEMICOCK RD TO CUL DE SAC -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",6,6,294443,426780
"7050U4506_01 - KIRKMOYLE AV1: SEMICOCK RD TO CUL DE SAC -  BALLYMONEY","CAUSEWAY COAST & GLENS - EAST","Surface Type",34,34,294426,426802
"7050A5002_32 - GARRON RD1: THE WARREN TO ARDCLINIS BRIDGE -  MOYLE","CAUSEWAY COAST & GLENS - EAST","Surface Type",1064,1064,324930,424664
