FID,OBJECTID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,Shape_Le_1,Bridge_Typ
376,505,RS03,Robinson Run South Branch Br,390,61,50.059813,Vehicle
377,506,RY03,Ryan's Run Br #3,390,4,40.926255,Vehicle
378,507,RY04,Ryan's Run Br #4,391,3,32.996394,Vehicle
379,508,RY05,Ryan's Run Br #5,392,3,22.635371,Vehicle
380,509,RY07,Ryan's Run Br #7,392,0,13.499602,Vehicle
381,510,SA07,Sandy Creek Br #7,393,5,20.466616,Vehicle
382,511,SA14,Sandy Creek Br #14,394,5,12.800851,Vehicle
383,512,SG02,Spring Garden Run Br #2,204,6,14.298752,Vehicle
384,513,SG04,Spring Garden Br #4,396,10,28.295143,Vehicle
385,514,SL02,LITTLE SEW CRK NO. 2,343,42,45.551244,Vehicle
386,515,SN05,Spring Run Rd Br #5,398,6,30.690373,Vehicle
387,516,SS01,Little Sewickley Creek South,468,28,26.235406,Vehicle
388,517,SS06,L. Sewickley Creek S. Br. #6,427,9,21.667362,Vehicle
389,518,TC05,Thompson Creek Br #5,482,20,23.291751,Vehicle
390,519,TE02,Thompson Run East Branch Br #,484,49,47.898561,Vehicle
391,520,TH02,Thoms Run No. 2,412,11,29.824919,Vehicle
392,521,TH04,Thom's Run Bridge #4,485,5,29.115493,Vehicle
393,522,TH05,Thom's Run Br #5,486,4,17.704966,Vehicle
394,523,TH06,Thom's Run Br #6,487,2,13.997319,Vehicle
395,524,TH09,Thom's Run Br #9,488,4,15.783028,Vehicle
396,525,TL10,Turtle Creek Br #10,489,25,40.968954,Vehicle
397,526,TL12,Turtle Creek Br #12,490,20,26.313598,Vehicle
398,527,TL15,Turtle Creek Br #15,490,4,28.987326,Vehicle
399,528,TL16,Turtle Creek Br #16,491,5,37.976706,Vehicle
400,529,TL19,TURTLE CREEK NO. 19,319,75,115.951596,Vehicle
401,530,TN02,Thompson's Run North Side Br,491,12,35.120413,Vehicle
402,531,TN03,Thompson's Run North Side Br,492,17,40.640174,Vehicle
403,532,TN04,Thompson's Run North Side Br,492,7,24.195934,Vehicle
404,533,TN09,Thompson's Run North Side Br,493,3,28.581538,Vehicle
405,534,WB05,Wible Run Br #5,494,17,59.384069,Vehicle
406,535,WC04,Wildcat Run Br #4,495,12,33.840284,Vehicle
407,536,WC07,Wildcat Run Br #7,496,10,24.652765,Vehicle
408,537,WY08,Liberty Way over Wylies Run,497,21,29.343587,Vehicle
409,539,XC01,Scotia Run #1, 498,22.5,129.778956,Vehicle
410,540,XO01,Sixth Street Bridge,499,129.5,133.754608,Vehicle
411,541,YR01,Douglas Run Road over Youghio,500,606,916.8455,Vehicle
412,542,YR07,Youghioghney River #7,501,5,31.858673,Vehicle
413,543,YR08,Youghioghney #8,502,5,40.627918,Vehicle
414,544,YR10,Youghioghney #10,503,22.25,48.845672,Vehicle
415,545,WP02,White Oak Park No. 2,504,2.5,38.256517,Vehicle
416,546,WP04,White Oak Park Number 4,505,1.5,24.526404,Vehicle
417,549,SW06,Sawmill Run # 6, ,0,72.481774,Vehicle
418,550,BC09,Beck's Run Rd Bridge No.9,BC09,0,11.839584,Box Culvert (8 ft)
419,331,CM09,Campbells Run #9,245,4,75.437853,Vehicle
420,332,CM10,Campbell's Run Br #10,246,14.7,27.88621,Vehicle
421,333,CM11,Campbells Run Br #11,247,4,35.08014,Vehicle
422,334,MT13,Montour Run Br #13,352,9,55.882871,Vehicle
423,335,SL07,Little Sewickley Creek Br #7,397,3,83.529303,Vehicle
424,336,SL04,Little Sewickley Creek Br #4,396,31,89.71001,Vehicle
425,338,PH01,Pine Hollow Br #1,371,6,73.081886,Vehicle
426,340,JA03,Jacks Run Br #3,276,10,78.324554,Vehicle
427,341,GI16,Girty's Run Br #16,272,16,75.377154,Vehicle
428,342,DH01,Jackman Ave Br #3,256,234,268.881208,Vehicle
429,343,FH01,Brandt School Rd Br#1,266,19.42,143.348924,Vehicle
430,344,GH02,Gourdhead Run Br #2,270,42,117.501811,Vehicle
431,345,PA02,Painter's Run Br #2,356,39,57.251512,Vehicle
432,346,PA03,Painter's Run Br #3,357,34,17.634523,Vehicle
433,347,PA06,Painter's Run Br #6,358,22,29.947353,Vehicle
434,349,CT03,Corrigan Dr Br #3,247,25,70.733247,Vehicle
435,350,CT15,Scnmker Rs. Br. #15, ,0,47.495146,Vehicle
436,351,CT16,Fair Grounds Hill Fame SP #16, ,0,32.056733,Vehicle
437,352,CT08,Catfish Run #8,248,37,32.637876,Vehicle
438,353,CT09,Catfish Run #9,249,32,39.579246,Pedestrian
439,354,DG01,Douglas Run Br. #1, ,0,90.47068,Vehicle
440,355,DG08,Doublas Run Br. #8, ,0,34.996026,Vehicle
441,356,MR04,McRobert's Run Br #4,349,5,70.476498,Vehicle
442,357,MR05,McRobert's Run Br #5,350,5,55.806848,Vehicle
443,358,DT03,Dirty Camp Run Br #3,263,10,54.464534,Vehicle
444,359,DT05,Pitcairn Rd. Br #5, ,0,68.213697,Vehicle
445,360,DT07,Dirty Camp Run Br#6,264,13,63.057053,Vehicle
446,361,FT05,Fallen Timber Run Br#5,267,5,116.136866,Vehicle
447,362,MA11,S Tenth St Bridge,295,1275,1031.937281,Vehicle
448,363,HV07,Homeville Creek Br #7,275,12,104.70488,Vehicle
449,364,HV09,Homeville Creek Br #9, ,0,35.943336,Vehicle
450,365,LC09,Lick's Run Br #9,286,15,62.615003,Vehicle
451,366,LW02,Lewis Run Br #2, ,0,72.890037,Vehicle
452,368,MA08,Glenwood Bridge,294,2280,1449.710694,Vehicle
453,370,MT09,Montour Run #9, ,0,58.923491,Vehicle
454,371,PI16,Pine Creek Br #16,375,61,120.847809,Vehicle
455,372,PJ06,Pierson's Run Br #6,382,5,17.616252,Vehicle
456,373,PL15,Little Pine Creek Br #15, ,0,65.346453,Vehicle
457,374,PO06,Pucketa Creek Br #6,388,62,106.792672,Vehicle
458,375,PO05,Pucketa Creek Br #5,387,45,93.233966,Vehicle
459,376,PU06,Plum Creek Upper Branch #6, ,3,21.886205,Vehicle
460,377,PU10,Plum Creek Upper Branch Br #1,388,8,15.61276,Vehicle
461,378,RB02,Robinson Run Br #2, ,0,31.204632,Vehicle
462,379,RB01,Robinson Run Br #1, ,0,62.464213,Vehicle
463,380,RS01,Robinson's Run S Branch #1, ,0,49.715875,Vehicle
464,381,RN01,Robinson's Run Br #1, ,0,42.826952,Vehicle
465,382,RN02,Robinson's Run Br #2, ,0,71.032522,Vehicle
466,383,RS04,Robinson Run S Branch Br#4,391,36,50.312629,Vehicle
467,384,RS05,Robinson Run S Branch Br #5, ,0,32.94623,Vehicle
468,385,SE01,Big Sewickley Creek East Bran,395,26,45.135289,Vehicle
469,386,SH02,Sham Hollow Run Br #2, ,0,52.629768,Vehicle
470,387,SQ02,Squaw Run Br #2,399,43,42.217547,Vehicle
471,388,SQ03,Squaw Run Br #2,434,19,22.491997,Vehicle
472,389,SQ07,Squaw Run Br #7,448,20,31.514389,Vehicle
473,391,TC06,Thompson Creek Br #6,483,2,38.718371,Vehicle
474,392,TE12,Thompson Run East Branch Br #,485,24,66.263889,Vehicle
475,393,TL11,Turtle Creek Br #11,490,21,62.469291,Vehicle
476,394,WR01,West Run Br #1, ,0,54.616857,Vehicle
477,396,BF09,Thompson's Run No.9,244,88.024,88.058507,Vehicle
478,397,CC16,Chartiers Creek #16,180,144,159.785379,Vehicle
479,399,CC23,Chartiers Creek No. 23,145,5,46.244699,Vehicle
480,400,CH01,Laketon Rd Br No. 1,162,35,58.237142,Vehicle
481,401,CK03,Crooked Run Br. #3,162,4,70.411398,Vehicle
482,402,CM06,CAMPBELLS RUN NO. 6,323,49,24.235679,Vehicle
483,403,CT12,Catfish Run #12,250,24,30.848067,Vehicle
484,405,CT20,Catfish Run #20,252,7.8,108.767054,Vehicle
485,406,DE04,Deer Creek Br #4,253,65,92.811651,Vehicle
486,407,DE09,Deer Creek Br #9,254,58,100.054557,Vehicle
487,408,DG05,Round Hill Rd Br #5,255,2,12.768364,Vehicle
488,409,DK01,Dooker's Hollow Br #1,256,641,686.845591,Vehicle
489,410,DL04,Little Deer Creek Br#4,257,45,43.458315,Vehicle
490,411,DL05,Little Deer Creek #5,258,57,84.563048,Vehicle
491,412,DL06,Little Deer Creek Br #6,259,32,55.784235,Vehicle
492,413,DP03,Deer Lakes Park Br#3,259,59.2,28.828003,Pedestrian
493,414,DP04,Deer Lakes Park Br#4,260,32.3,32.838138,Pedestrian
494,415,DP05,Deer Lakes Park Br #5,261,140.4,135.755486,Pedestrian
495,416,DP07,Deer Lakes Park Br#7,262,161,161.995588,Pedestrian
496,417,DT06,Pitcairn Rd Br #6,264,5,26.916677,Vehicle
497,418,DT09,Dirty Camp Br #9,265,14,40.475613,Vehicle
498,419,FO02,Duquesne Flyover,267,81.5,121.049728,Vehicle
499,420,FO04,Leetsdale Overpass,268,171.5,313.722219,Vehicle
500,421,FT06,Fallen Timber Run Br#6,268,6,24.712528,Vehicle
501,422,FU07,Flaugherty Run Br#7,269,48,41.04977,Vehicle
502,423,GH06,Gourdhead Run Br#6,271,28,39.085326,Vehicle
503,424,HP01,Harrison Hills Park Br #1,273,6,13.816375,Vehicle
504,425,HP02,Harrison Hills Park Br#2,274,2,31.071632,Vehicle
505,426,HP03,Harrison Hills Park Br#3,275,8,31.597687,Vehicle
506,427,IN01,Indian Creek Br #1,276,6,43.888408,Vehicle
507,428,JH02,Johnson's Run Br #2,277,4,43.706069,Vehicle
508,429,JH03,Johnson's Run Br #3,278,3,27.723935,Vehicle
509,430,KL09,Kilbuck Run Br #9,279,24,29.255038,Vehicle
510,431,KL13,Kilbuck Run Bridge No. 13,463,18,46.886454,Vehicle
511,432,KL14,Killbuck Run Br #14,280,4,17.704883,Vehicle
512,433,KL15,Kilbuck Run Br #15,280,6,51.559084,Vehicle
513,434,KL16,Kilbuck Run Br #16,281,8,36.634143,Vehicle
514,435,KL17,Kilbuck Run Br #17,282,10,31.7312,Vehicle
515,436,LC02,Lick's Run Br #2,283,35,30.999117,Vehicle
516,437,LC04,Lick's Run Br #4,284,23,18.2153,Vehicle
517,438,LC06,Lick's Run Br #6,285,37,45.804437,Vehicle
518,439,LC10,Lick's Run Br #10,287,5,16.471246,Vehicle
519,440,LC11,Lick's Run #11,407,7,27.31158,Vehicle
520,441,LC11,Lick's Run #11,407,7,43.680013,Vehicle
521,442,LC17,Lick's Run Br #17,155,3,20.440434,Vehicle
522,443,LE11,Lowrie's Run East Br #12,158,5,29.396575,Vehicle
523,444,LE12,Lowries' Run East Br #12,288,7,30.525941,Vehicle
