FID,OBJECTID,BRIDGE_COD,BRBIDGE_NA,FACILITYID,SHAPE_Leng,Shape_Le_1,Bridge_Typ
58,253,XP04,Spruce Run #4,424,18.915698,18.915716,Vehicle
59,30,TN07,Thompson Run N S No. 7,20,6,19.870223,Vehicle
60,254,PK01,Park's Run #1,425,8,33.996342,Vehicle
61,31,PS06,Pine Creek S Branch No. 6,21,22,47.454864,Vehicle
62,255,SS05,L. Sewickley Creek S. Br. #5,426,33.070381,33.070403,Vehicle
63,32,PZ01,Middle Rd Br No. 1,22,100.171775,100.171831,Vehicle
64,256,PU05,Unity Trestle Rd. #5,428,7,22.682456,Vehicle
65,33,IV01,Ivory Avenue No. 1,23,192,209.828854,Vehicle
66,257,SB07,Spang Road Bridge #7,430,15,59.113982,Vehicle
67,258,SN03,Spring Road Run #3,431,12,26.477373,Vehicle
68,34,WB01,Wible Run No. 1,24,20,66.311424,Vehicle
69,259,TN05,Thompson Run N S #5,432,7,22.477725,Vehicle
70,35,WB04,Wible Run No 4,25,29,64.750514,Vehicle
71,260,TN06,Thompson Run N S #6,433,8,26.456059,Vehicle
72,36,SQ01,Squaw Run Br No 1,26,48,54.396252,Vehicle
73,261,PS08,Thompson Run #8,435,7,23.119468,Vehicle
74,262,WB07,Wible Run #7,436,10,24.299867,Vehicle
75,37,NR01,Nelson Run Br #1,27,100.386377,100.386372,Vehicle
76,263,WB03,Wible Run #3,437,16,36.841691,Vehicle
77,38,DY03,Days Run No. 3,30,31,41.422972,Vehicle
78,264,WB11,Wible Run #11,438,16,26.210663,Vehicle
79,42,PU02,Plum Creek Upper Branch No 2,36,30,57.258649,Vehicle
80,117,SS04,L.Sewickley Crk.S.Br. #4,150,13,21.942092,Vehicle
81,43,MA07,Rankin Bridge,38,863,2439.194726,Vehicle
82,265,WB12,Wible Run #12,439,12,25.288446,Vehicle
83,266,TY02,Tassy Hollow #2,440,10,32.020391,Vehicle
84,118,SS07,L.Sewickley Crk.S.Br. #7,151,8,22.270248,Vehicle
85,44,PD01,Jacks Run No 1,41,96.898868,96.898807,Vehicle
86,119,LW03,Lewis Run Br #3,152,3,25.486068,Vehicle
87,45,PR04,Pine Run Br No 4,42,23,55.239721,Vehicle
88,267,WC05,Wildcat Run #5,441,13,16.471025,Vehicle
89,120,LC16,Lick's Run Br #16,154,2,44.394071,Vehicle
90,46,PR03,Pine Run Br No 3,43,13,13.30029,Vehicle
91,268,WC06,Wildcat Run #6,442,13,28.512554,Vehicle
92,269,CK02,Crooked Run #2,443,41.989326,41.989326,Vehicle
93,121,LC08,Lick?s Run Br #8,156,3,13.914972,Vehicle
94,47,PT15,Hillcrest Bridge,45,118,176.255469,Vehicle
95,122,LE10,Lowrie's Run East Br #10,157,5,35.402275,Vehicle
96,270,LG08,Long Run Br #8,444,8,52.991454,Vehicle
97,48,PV01,Brownsville Rd No 1,48,115,113.82737,Vehicle
98,123,ML07,McLaughlin's Run  Br #7,159,21,35.521212,Vehicle
99,271,DE18,Deer Creek #18,445,12,17.647597,Vehicle
100,49,MA14,Mansfield Br,50,1931,1914.122461,Vehicle
101,124,MR02,McRobert's Run Br #2,160,5,93.944977,Vehicle
102,272,DW01,Deer Creek West Br. #1,446,10,34.84226,Vehicle
103,50,MA26,Maple Ave Underpass,51,68,583.146338,Vehicle
104,52,HV05,Homeville Creek No 5,55,13.33,22.398283,Vehicle
105,273,DW02,Deer Creek West Br. #2,447,18,45.297376,Vehicle
106,125,NP01,North Park Bridge #1,168,3,184.753685,Vehicle
107,126,NP10,North Park Bridge #10,169,4,39.116864,Vehicle
108,53,TS05,Homeville Rd Viaduct,57,778,785.139033,Vehicle
109,274,DS03,Dawson Run #3,449,12,28.168618,Vehicle
110,127,NP02,North Park Bridge #2,170,4,48.335795,Vehicle
111,275,DS06,Dawson Run #6,451,12,102.145917,Vehicle
112,276,DS04,Dawson Run #4,450,9,53.834001,Vehicle
113,128,NP03,North Park Bridge #3,171,3,54.735984,Vehicle
114,54,CT05,Catfish Run No 5,59,24,57.73919,Vehicle
115,129,NP04,North Park Bridge #4,172,3,74.289191,Vehicle
116,277,TL09,Turtle Creek #9,452,15,32.726524,Vehicle
117,130,NP05,North Park Bridge #5,173,2,26.999717,Vehicle
118,55,TS04,Thompson Run Br No 4,60,15,22.52511,Vehicle
119,131,NP06,North Park Bridge #6,174,4,93.653423,Vehicle
120,278,RY02,Ryan's Run Br. #2,453,14,24.230289,Vehicle
121,56,MA12 West,Homestead High Level (Ramp),61,340,583.041368,Vehicle
122,132,NP07,North Park Bridge #7,175,2,66.464853,Vehicle
123,279,SA13,Sandy Creek Br #13,454,10,33.730835,Vehicle
124,133,NP08,North Park Bridge #8,176,5,40.212719,Vehicle
125,57,MA12,Homestead High Level (Ramp),62,469.474441,469.474404,Vehicle
126,134,NP09,North Park Bridge #9,177,4,44.624603,Vehicle
127,280,TE10,Thompson Run E Side #10,455,44.743975,44.744009,Vehicle
128,135,PA11,Painter's Run Br #11,178,5,25.745424,Vehicle
129,58,MO02,Moon Run Br No 2,65,15,20.33967,Vehicle
130,281,QY03,Quigley Run #3,457,9,28.385052,Vehicle
131,136,PA01,Painter's Run Br #1,179,15,43.315263,Vehicle
