"ENQUIRY_TYPE","ENQUIRY_CATEGORY","DATE_RECORDED","DIVISION","CLIENT_OFFICE_NAME","EASTING","NORTHING","APPROVAL_STATUS_NAME"
"Pothole","Public Enquiry",04/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",359832.08448202,344700.1523544,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2014 00:00:00,"WESTERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",337258.95500656,351243.81308735,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",346900.16159941,339955.64196643,"Completed Enquiries"
"Pothole","Complaints",02/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",340497.53046432,373324.61809992,"Completed Enquiries"
"Pothole","Complaints",01/04/2014 00:00:00,"EASTERN DIVISION","?",329541,355086.03125,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",273784.27965031,385546.70785572,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2014 00:00:00,"EASTERN DIVISION","BELFAST NORTH",333804.05002725,373629.63671754,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2014 00:00:00,"EASTERN DIVISION","BELFAST SOUTH",328965.30702684,371159.70992651,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",346108.62147399,342588.2499837,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2014 12:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",292927.18394842,344544.00496202,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2014 09:35:00,"NORTHERN DIVISION","CAUSEWAY COAST & GLENS (EAST)",310798.4303732,440471.03839823,"Completed Enquiries"
"Pothole","Public Enquiry",07/04/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",281178.05758359,379009.2178012,"Completed Enquiries"
"Pothole","Public Enquiry",07/04/2014 14:48:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",295668.69709685,346604.766951755,"Enquiries In Progress"
"Pothole","Public Enquiry",07/04/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",294374.52722624,351068.50938854,"Enquiries In Progress"
"Pothole","Complaints",07/04/2014 00:00:00,"EASTERN DIVISION","?",326155.59375,357928.6875,"Completed Enquiries"
"Pothole","Complaints",08/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",308410.44720279,326414.28641486,"Completed Enquiries"
"Pothole","Public Enquiry",08/04/2014 00:00:00,"WESTERN DIVISION","?",278254.125,394651.6875,"Completed Enquiries"
"Pothole","Public Enquiry",08/04/2014 00:00:00,"WESTERN DIVISION","?",295416.5,406190.5625,"Completed Enquiries"
"Pothole","Complaints",10/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",309207.03984526,326360.15204961,"Completed Enquiries"
"Pothole","Public Enquiry",09/04/2014 00:00:00,"EASTERN DIVISION","BELFAST NORTH",332931.91965279,380885.53166518,"Completed Enquiries"
"Pothole","Public Enquiry",09/04/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"New Enquiries"
"Pothole","Public Enquiry",09/04/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",09/04/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"New Enquiries"
"Pothole","Public Enquiry",09/04/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",09/04/2014 00:00:00,"EASTERN DIVISION","BELFAST SOUTH",335120.71408194,375196.48066087,"Completed Enquiries"
"Pothole","Public Enquiry",10/04/2014 00:00:00,"EASTERN DIVISION","BELFAST NORTH",331008.26616025,375514.60292794,"Completed Enquiries"
"Pothole","Public Enquiry",14/04/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",283528.01548206,368161.43229181,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2014 09:22:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",334708.19536004,393211.76049139,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2014 00:00:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",259518.1875,382766.03125,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2014 00:00:00,"WESTERN DIVISION","?",285857,403159.8125,"Completed Enquiries"
"Pothole","Public Enquiry",01/04/2014 16:47:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",275952.59889246,340286.38165003,"Completed Enquiries"
"Pothole","Public Enquiry",15/04/2014 00:00:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",261109.984375,372637.78125,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",338816.98457364,337770.17761046,"Completed Enquiries"
"Pothole","Public Enquiry",02/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",348795.32246542,344442.6129459,"Completed Enquiries"
"Pothole","Complaints",02/04/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",312627.53026874,336925.0906215,"Completed Enquiries"
"Pothole","Public Enquiry",16/04/2014 14:49:12,"SOUTHERN DIVISION","?",0,0,"New Enquiries"
"Pothole","Public Enquiry",16/04/2014 15:03:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",290597.67203294,352104.31856236,"Completed Enquiries"
"Pothole","Complaints",03/04/2014 11:06:12,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",307782.684562345,326289.02029826,"Completed Enquiries"
"Pothole","Public Enquiry",17/04/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",300516.74489325,353441.27523925,"Completed Enquiries"
"Pothole","Public Enquiry",16/04/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",299795.92062278,354891.18406742,"Completed Enquiries"
"Pothole","Public Enquiry",23/04/2014 09:48:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",335319.89482881,382418.53578138,"Completed Enquiries"
"Pothole","Public Enquiry",23/04/2014 09:51:55,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",331940.53601477,386299.12804696,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2014 00:00:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",244883.78125,379943.96875,"Completed Enquiries"
"Pothole","Public Enquiry",03/04/2014 00:00:00,"WESTERN DIVISION","?",295702.8125,398418.625,"Completed Enquiries"
"Pothole","Public Enquiry",29/04/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",271332.33195233,370513.95726495,"Completed Enquiries"
"Pothole","Complaints",30/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",333221.51595641,361888.35794479,"Completed Enquiries"
"Pothole","Complaints",30/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",334248.98067936,361957.14957431,"Completed Enquiries"
"Pothole","Public Enquiry",30/04/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",01/05/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",294245.7859673,377586.63014037,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",292932.12815098,344538.9208034,"Completed Enquiries"
"Pothole","Public Enquiry",07/04/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",331248.1830533,382458.50269456,"Completed Enquiries"
"Pothole","Complaints",06/05/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",326638.09375,354291.3125,"Completed Enquiries"
"Pothole","Public Enquiry",07/04/2014 15:06:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",304457.81780594,315309.14799916,"Completed Enquiries"
"Pothole","Complaints",07/05/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",328626.46875,367662.15625,"New Enquiries"
"Pothole","Complaints",07/05/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",311007.8995185,339226.69798259,"Completed Enquiries"
"Pothole","Public Enquiry",09/04/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",278254.125,394651.6875,"Completed Enquiries"
"Pothole","Public Enquiry",01/05/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",305027.9046747,356741.77201763,"Completed Enquiries"
"Pothole","Public Enquiry",08/05/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Complaints",09/04/2014 00:00:00,"EASTERN DIVISION","?",318997.34375,368232.03125,"Completed Enquiries"
"Pothole","Public Enquiry",09/04/2014 00:00:00,"EASTERN DIVISION","BELFAST NORTH",331610.481838587,376264.093237142,"Completed Enquiries"
"Pothole","Complaints",07/05/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",338115.5,370753.40625,"Completed Enquiries"
"Pothole","Public Enquiry",15/04/2014 00:00:00,"WESTERN DIVISION","?",259699.53125,369232.625,"Completed Enquiries"
"Pothole","Complaints",15/04/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",309081.94987227,325402.26811917,"Completed Enquiries"
"Pothole","Public Enquiry",15/04/2014 00:00:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",259699.53125,369232.625,"Completed Enquiries"
"Pothole","Public Enquiry",12/05/2014 00:00:00,"WESTERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Complaints",10/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",333410.6304333,351939.25723582,"Completed Enquiries"
"Pothole","Complaints",15/04/2014 00:00:00,"EASTERN DIVISION","?",326155.59375,357928.6875,"Completed Enquiries"
"Pothole","Public Enquiry",14/05/2014 00:00:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",277356.53816718,337485.27412068,"Completed Enquiries"
"Pothole","Public Enquiry",15/05/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",343180.31836129,346973.88327038,"Completed Enquiries"
"Pothole","Public Enquiry",16/05/2014 14:19:33,"SOUTHERN DIVISION","?",0,0,"New Enquiries"
"Pothole","Public Enquiry",24/04/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",271870.11713738,378383.83516818,"Completed Enquiries"
"Pothole","Public Enquiry",28/04/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",276360.84375,392234.15625,"Completed Enquiries"
"Pothole","Public Enquiry",02/05/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",287765.6875,391099.15625,"Completed Enquiries"
"Pothole","Complaints",20/05/2014 00:00:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",313494.03929774,333449.41498691,"Enquiries In Progress"
"Pothole","Public Enquiry",21/05/2014 10:48:00,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",06/05/2014 11:42:32,"SOUTHERN DIVISION","?",0,0,"Completed Enquiries"
"Pothole","Public Enquiry",07/04/2014 00:00:00,"WESTERN DIVISION","FERMANAGH & OMAGH (EAST)",246525.578125,377103.28125,"Completed Enquiries"
"Pothole","Complaints",08/04/2014 00:00:00,"EASTERN DIVISION","?",326800.46875,357544.625,"Completed Enquiries"
"Pothole","Complaints",23/05/2014 10:21:00,"WESTERN DIVISION","FERMANAGH & OMAGH (WEST)",231928.05419539,328412.42051766,"New Enquiries"
"Pothole","Public Enquiry",08/04/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",334751.79902227,385017.483699248,"Completed Enquiries"
"Pothole","Complaints",08/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",323822,360595.5625,"Completed Enquiries"
"Pothole","Public Enquiry",20/05/2014 14:41:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",298392.60656525,315407.51476399,"Completed Enquiries"
"Pothole","Public Enquiry",08/05/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",287765.6875,391099.15625,"Completed Enquiries"
"Pothole","Complaints",27/05/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",294897.0625,388582.5625,"Completed Enquiries"
"Pothole","Public Enquiry",08/05/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",271060.51618161,370866.48326831,"Completed Enquiries"
"Pothole","Complaints",12/05/2014 00:00:00,"EASTERN DIVISION","BELFAST NORTH",334206,374342.53125,"Completed Enquiries"
"Pothole","Public Enquiry",29/05/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",294798.78125,397447.34375,"Completed Enquiries"
"Pothole","Public Enquiry",30/05/2014 12:44:11,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (WEST)",296342.77849153,320851.63929996,"Completed Enquiries"
"Pothole","Complaints",15/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",334480,362575.09375,"Completed Enquiries"
"Pothole","Public Enquiry",30/05/2014 13:06:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",285724.21173298,343411.583699,"Completed Enquiries"
"Pothole","Public Enquiry",30/05/2014 00:00:00,"SOUTHERN DIVISION","?",0,0,"New Enquiries"
"Pothole","Public Enquiry",15/04/2014 00:00:00,"WESTERN DIVISION","MID ULSTER (NORTH)",289635.0857368,378317.72519781,"Completed Enquiries"
"Pothole","Public Enquiry",12/05/2014 11:48:00,"WESTERN DIVISION","MID ULSTER (NORTH)",277551.23220437,374448.40697296,"Completed Enquiries"
"Pothole","Complaints",13/05/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",321556.25,371343.84375,"Completed Enquiries"
"Pothole","Complaints",13/05/2014 00:00:00,"EASTERN DIVISION","NEWTOWNABBEY / CARRICK",335016.17755191,389908.80766801,"Completed Enquiries"
"Pothole","Complaints",10/04/2014 00:00:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",325493.33917391,364560.6859272,"Completed Enquiries"
