Council/Group Name,Financial Item,FY Ending,Value ($000)
Wellington City,9009_Public equity (H-I),2018,$7206950
Wellington City,9009_Public equity (H-I),2019,$7224788
Wellington City,9009_Public equity (H-I),2020,$7586745
Wellington City,9009_Public equity (H-I),2021,$7712832
Wellington City,9009_Public equity (H-I),2022,$7719732
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2013,$192537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2014,$193537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2015,$194537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2016,$195537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2017,$196537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2018,$197537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2019,$198537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2020,$199537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2021,$200537
Dunedin City,"9001_Investment in CCOs, CCTOs & other entities",2022,$201537
Dunedin City,9002_Other assets,2013,$20738
Dunedin City,9002_Other assets,2014,$21292
Dunedin City,9002_Other assets,2015,$21862
Dunedin City,9002_Other assets,2016,$22449
Dunedin City,9002_Other assets,2017,$23054
Dunedin City,9002_Other assets,2018,$23677
Dunedin City,9002_Other assets,2019,$24319
Dunedin City,9002_Other assets,2020,$24980
Dunedin City,9002_Other assets,2021,$25661
Dunedin City,9002_Other assets,2022,$26362
Dunedin City,9003_Total fixed assets,2013,$2861182
Dunedin City,9003_Total fixed assets,2014,$2940755
Dunedin City,9003_Total fixed assets,2015,$3022070
Dunedin City,9003_Total fixed assets,2016,$3106692
Dunedin City,9003_Total fixed assets,2017,$3193010
Dunedin City,9003_Total fixed assets,2018,$3287593
Dunedin City,9003_Total fixed assets,2019,$3388227
Dunedin City,9003_Total fixed assets,2020,$3492717
Dunedin City,9003_Total fixed assets,2021,$3598186
Dunedin City,9003_Total fixed assets,2022,$3714492
Dunedin City,9004_Cash & financial investments/monetary assets,2013,$92404
Dunedin City,9004_Cash & financial investments/monetary assets,2014,$96381
Dunedin City,9004_Cash & financial investments/monetary assets,2015,$102715
Dunedin City,9004_Cash & financial investments/monetary assets,2016,$107197
Dunedin City,9004_Cash & financial investments/monetary assets,2017,$110573
Dunedin City,9004_Cash & financial investments/monetary assets,2018,$113794
Dunedin City,9004_Cash & financial investments/monetary assets,2019,$117628
Dunedin City,9004_Cash & financial investments/monetary assets,2020,$122455
Dunedin City,9004_Cash & financial investments/monetary assets,2021,$128676
Dunedin City,9004_Cash & financial investments/monetary assets,2022,$134320
Dunedin City,9005_Total assets (H),2013,$3166859
Dunedin City,9005_Total assets (H),2014,$3251965
Dunedin City,9005_Total assets (H),2015,$3341184
Dunedin City,9005_Total assets (H),2016,$3431875
Dunedin City,9005_Total assets (H),2017,$3523173
Dunedin City,9005_Total assets (H),2018,$3622601
Dunedin City,9005_Total assets (H),2019,$3728712
Dunedin City,9005_Total assets (H),2020,$3839689
Dunedin City,9005_Total assets (H),2021,$3953060
Dunedin City,9005_Total assets (H),2022,$4076711
Dunedin City,9006_Borrowing (total debt),2013,$274505
Dunedin City,9006_Borrowing (total debt),2014,$273422
Dunedin City,9006_Borrowing (total debt),2015,$272159
Dunedin City,9006_Borrowing (total debt),2016,$264261
Dunedin City,9006_Borrowing (total debt),2017,$253185
Dunedin City,9006_Borrowing (total debt),2018,$247443
Dunedin City,9006_Borrowing (total debt),2019,$239275
Dunedin City,9006_Borrowing (total debt),2020,$228855
Dunedin City,9006_Borrowing (total debt),2021,$213119
Dunedin City,9006_Borrowing (total debt),2022,$197645
Dunedin City,9007_Other liabilities,2013,$74467
Dunedin City,9007_Other liabilities,2014,$75385
Dunedin City,9007_Other liabilities,2015,$76340
Dunedin City,9007_Other liabilities,2016,$77336
Dunedin City,9007_Other liabilities,2017,$78375
Dunedin City,9007_Other liabilities,2018,$79457
Dunedin City,9007_Other liabilities,2019,$80587
Dunedin City,9007_Other liabilities,2020,$81766
Dunedin City,9007_Other liabilities,2021,$82995
Dunedin City,9007_Other liabilities,2022,$84277
Dunedin City,9008_Total liabilities (I),2013,$348973
Dunedin City,9008_Total liabilities (I),2014,$348808
Dunedin City,9008_Total liabilities (I),2015,$348498
Dunedin City,9008_Total liabilities (I),2016,$341597
Dunedin City,9008_Total liabilities (I),2017,$331559
Dunedin City,9008_Total liabilities (I),2018,$326900
Dunedin City,9008_Total liabilities (I),2019,$319863
Dunedin City,9008_Total liabilities (I),2020,$310621
Dunedin City,9008_Total liabilities (I),2021,$296114
Dunedin City,9008_Total liabilities (I),2022,$281922
Dunedin City,9009_Public equity (H-I),2013,$2817886
Dunedin City,9009_Public equity (H-I),2014,$2903157
Dunedin City,9009_Public equity (H-I),2015,$2992686
Dunedin City,9009_Public equity (H-I),2016,$3090278
Dunedin City,9009_Public equity (H-I),2017,$3191614
Dunedin City,9009_Public equity (H-I),2018,$3295700
Dunedin City,9009_Public equity (H-I),2019,$3408849
Dunedin City,9009_Public equity (H-I),2020,$3529068
Dunedin City,9009_Public equity (H-I),2021,$3656946
Dunedin City,9009_Public equity (H-I),2022,$3794789
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2013,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2014,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2015,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2016,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2017,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2018,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2019,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2020,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2021,$12000
Far North District,"9001_Investment in CCOs, CCTOs & other entities",2022,$12000
Far North District,9002_Other assets,2013,$46785
Far North District,9002_Other assets,2014,$48002
Far North District,9002_Other assets,2015,$49006
Far North District,9002_Other assets,2016,$50207
Far North District,9002_Other assets,2017,$51441
Far North District,9002_Other assets,2018,$52720
Far North District,9002_Other assets,2019,$53899
Far North District,9002_Other assets,2020,$55229
Far North District,9002_Other assets,2021,$56756
Far North District,9002_Other assets,2022,$58270
Far North District,9003_Total fixed assets,2013,$1751482
Far North District,9003_Total fixed assets,2014,$1844355
Far North District,9003_Total fixed assets,2015,$1931354
Far North District,9003_Total fixed assets,2016,$2028025
Far North District,9003_Total fixed assets,2017,$2126965
Far North District,9003_Total fixed assets,2018,$2219566
Far North District,9003_Total fixed assets,2019,$2311344
Far North District,9003_Total fixed assets,2020,$2415632
Far North District,9003_Total fixed assets,2021,$2536744
Far North District,9003_Total fixed assets,2022,$2659254
Far North District,9004_Cash & financial investments/monetary assets,2013,$5576
Far North District,9004_Cash & financial investments/monetary assets,2014,$5576
Far North District,9004_Cash & financial investments/monetary assets,2015,$5576
Far North District,9004_Cash & financial investments/monetary assets,2016,$5576
Far North District,9004_Cash & financial investments/monetary assets,2017,$5576
Far North District,9004_Cash & financial investments/monetary assets,2018,$5576
Far North District,9004_Cash & financial investments/monetary assets,2019,$5576
Far North District,9004_Cash & financial investments/monetary assets,2020,$5576
Far North District,9004_Cash & financial investments/monetary assets,2021,$5576
Far North District,9004_Cash & financial investments/monetary assets,2022,$5576
Far North District,9005_Total assets (H),2013,$1815843
Far North District,9005_Total assets (H),2014,$1909933
Far North District,9005_Total assets (H),2015,$1997936
Far North District,9005_Total assets (H),2016,$2095808
Far North District,9005_Total assets (H),2017,$2195982
Far North District,9005_Total assets (H),2018,$2289862
Far North District,9005_Total assets (H),2019,$2382819
Far North District,9005_Total assets (H),2020,$2488437
Far North District,9005_Total assets (H),2021,$2611076
Far North District,9005_Total assets (H),2022,$2735100
Far North District,9006_Borrowing (total debt),2013,$124595
Far North District,9006_Borrowing (total debt),2014,$133938
Far North District,9006_Borrowing (total debt),2015,$136548
Far North District,9006_Borrowing (total debt),2016,$138326
Far North District,9006_Borrowing (total debt),2017,$137717
Far North District,9006_Borrowing (total debt),2018,$135309
Far North District,9006_Borrowing (total debt),2019,$132207
Far North District,9006_Borrowing (total debt),2020,$129731
Far North District,9006_Borrowing (total debt),2021,$127728
Far North District,9006_Borrowing (total debt),2022,$124056
Far North District,9007_Other liabilities,2013,$22232
Far North District,9007_Other liabilities,2014,$22733
Far North District,9007_Other liabilities,2015,$23373
Far North District,9007_Other liabilities,2016,$24115
Far North District,9007_Other liabilities,2017,$24906
Far North District,9007_Other liabilities,2018,$25697
Far North District,9007_Other liabilities,2019,$26480
Far North District,9007_Other liabilities,2020,$27307
Far North District,9007_Other liabilities,2021,$28242
Far North District,9007_Other liabilities,2022,$29184
Far North District,9008_Total liabilities (I),2013,$146827
Far North District,9008_Total liabilities (I),2014,$156671
Far North District,9008_Total liabilities (I),2015,$159921
Far North District,9008_Total liabilities (I),2016,$162441
Far North District,9008_Total liabilities (I),2017,$162623
Far North District,9008_Total liabilities (I),2018,$161006
Far North District,9008_Total liabilities (I),2019,$158687
Far North District,9008_Total liabilities (I),2020,$157038
Far North District,9008_Total liabilities (I),2021,$155970
Far North District,9008_Total liabilities (I),2022,$153240
Far North District,9009_Public equity (H-I),2013,$1669016
Far North District,9009_Public equity (H-I),2014,$1753262
Far North District,9009_Public equity (H-I),2015,$1838014
Far North District,9009_Public equity (H-I),2016,$1933367
Far North District,9009_Public equity (H-I),2017,$2033360
Far North District,9009_Public equity (H-I),2018,$2128856
Far North District,9009_Public equity (H-I),2019,$2224133
Far North District,9009_Public equity (H-I),2020,$2331399
Far North District,9009_Public equity (H-I),2021,$2455108
Far North District,9009_Public equity (H-I),2022,$2581861
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2013,$9040
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2014,$8500
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2015,$8500
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2016,$8500
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2017,$8500
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2018,$8500
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2019,$8500
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2020,$8500
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2021,$8500
Whangarei District,"9001_Investment in CCOs, CCTOs & other entities",2022,$8500
Whangarei District,9002_Other assets,2013,$57881
Whangarei District,9002_Other assets,2014,$58242
Whangarei District,9002_Other assets,2015,$59664
Whangarei District,9002_Other assets,2016,$61336
Whangarei District,9002_Other assets,2017,$64981
Whangarei District,9002_Other assets,2018,$70019
Whangarei District,9002_Other assets,2019,$73137
Whangarei District,9002_Other assets,2020,$82338
Whangarei District,9002_Other assets,2021,$92623
Whangarei District,9002_Other assets,2022,$101999
Whangarei District,9003_Total fixed assets,2013,$1517216
Whangarei District,9003_Total fixed assets,2014,$1646388
Whangarei District,9003_Total fixed assets,2015,$1637748
Whangarei District,9003_Total fixed assets,2016,$1638121
Whangarei District,9003_Total fixed assets,2017,$1787572
Whangarei District,9003_Total fixed assets,2018,$1782999
Whangarei District,9003_Total fixed assets,2019,$1787496
Whangarei District,9003_Total fixed assets,2020,$1958150
Whangarei District,9003_Total fixed assets,2021,$1970208
Whangarei District,9003_Total fixed assets,2022,$1986187
Whangarei District,9004_Cash & financial investments/monetary assets,2013,$5815
Whangarei District,9004_Cash & financial investments/monetary assets,2014,$6099
Whangarei District,9004_Cash & financial investments/monetary assets,2015,$6100
Whangarei District,9004_Cash & financial investments/monetary assets,2016,$5939
Whangarei District,9004_Cash & financial investments/monetary assets,2017,$6097
Whangarei District,9004_Cash & financial investments/monetary assets,2018,$6334
Whangarei District,9004_Cash & financial investments/monetary assets,2019,$6768
Whangarei District,9004_Cash & financial investments/monetary assets,2020,$7250
Whangarei District,9004_Cash & financial investments/monetary assets,2021,$7563
Whangarei District,9004_Cash & financial investments/monetary assets,2022,$7869
Whangarei District,9005_Total assets (H),2013,$1589952
Whangarei District,9005_Total assets (H),2014,$1719229
Whangarei District,9005_Total assets (H),2015,$1712012
Whangarei District,9005_Total assets (H),2016,$1713896
Whangarei District,9005_Total assets (H),2017,$1867150
Whangarei District,9005_Total assets (H),2018,$1867852
Whangarei District,9005_Total assets (H),2019,$1875901
Whangarei District,9005_Total assets (H),2020,$2056238
Whangarei District,9005_Total assets (H),2021,$2078894
Whangarei District,9005_Total assets (H),2022,$2104555
Whangarei District,9006_Borrowing (total debt),2013,$161513
Whangarei District,9006_Borrowing (total debt),2014,$160700
Whangarei District,9006_Borrowing (total debt),2015,$161279
Whangarei District,9006_Borrowing (total debt),2016,$153434
Whangarei District,9006_Borrowing (total debt),2017,$151876
Whangarei District,9006_Borrowing (total debt),2018,$151629
Whangarei District,9006_Borrowing (total debt),2019,$152326
Whangarei District,9006_Borrowing (total debt),2020,$152466
Whangarei District,9006_Borrowing (total debt),2021,$157712
Whangarei District,9006_Borrowing (total debt),2022,$160130
Whangarei District,9007_Other liabilities,2013,$31559
Whangarei District,9007_Other liabilities,2014,$32176
Whangarei District,9007_Other liabilities,2015,$32810
Whangarei District,9007_Other liabilities,2016,$33457
Whangarei District,9007_Other liabilities,2017,$34121
Whangarei District,9007_Other liabilities,2018,$34800
Whangarei District,9007_Other liabilities,2019,$35497
Whangarei District,9007_Other liabilities,2020,$36210
Whangarei District,9007_Other liabilities,2021,$36939
Whangarei District,9007_Other liabilities,2022,$37686
Whangarei District,9008_Total liabilities (I),2013,$193072
Whangarei District,9008_Total liabilities (I),2014,$192876
Whangarei District,9008_Total liabilities (I),2015,$194089
Whangarei District,9008_Total liabilities (I),2016,$186891
Whangarei District,9008_Total liabilities (I),2017,$185997
Whangarei District,9008_Total liabilities (I),2018,$186429
Whangarei District,9008_Total liabilities (I),2019,$187823
Whangarei District,9008_Total liabilities (I),2020,$188676
Whangarei District,9008_Total liabilities (I),2021,$194651
Whangarei District,9008_Total liabilities (I),2022,$197816
Whangarei District,9009_Public equity (H-I),2013,$1396880
Whangarei District,9009_Public equity (H-I),2014,$1526353
Whangarei District,9009_Public equity (H-I),2015,$1517923
Whangarei District,9009_Public equity (H-I),2016,$1527005
Whangarei District,9009_Public equity (H-I),2017,$1681153
Whangarei District,9009_Public equity (H-I),2018,$1681423
Whangarei District,9009_Public equity (H-I),2019,$1688078
Whangarei District,9009_Public equity (H-I),2020,$1867562
Whangarei District,9009_Public equity (H-I),2021,$1884243
Whangarei District,9009_Public equity (H-I),2022,$1906739
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2013,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2014,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2015,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2016,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2017,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2018,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2019,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2020,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2021,$0
Thames-Coromandel District,"9001_Investment in CCOs, CCTOs & other entities",2022,$0
Thames-Coromandel District,9002_Other assets,2013,$15673
Thames-Coromandel District,9002_Other assets,2014,$16476
Thames-Coromandel District,9002_Other assets,2015,$17284
Thames-Coromandel District,9002_Other assets,2016,$17848
Thames-Coromandel District,9002_Other assets,2017,$18493
Thames-Coromandel District,9002_Other assets,2018,$19522
Thames-Coromandel District,9002_Other assets,2019,$20034
Thames-Coromandel District,9002_Other assets,2020,$20616
Thames-Coromandel District,9002_Other assets,2021,$21538
Thames-Coromandel District,9002_Other assets,2022,$21990
Thames-Coromandel District,9003_Total fixed assets,2013,$1298071
Thames-Coromandel District,9003_Total fixed assets,2014,$1331990
Thames-Coromandel District,9003_Total fixed assets,2015,$1372594
Thames-Coromandel District,9003_Total fixed assets,2016,$1412318
Thames-Coromandel District,9003_Total fixed assets,2017,$1450766
Thames-Coromandel District,9003_Total fixed assets,2018,$1495305
Thames-Coromandel District,9003_Total fixed assets,2019,$1532154
Thames-Coromandel District,9003_Total fixed assets,2020,$1571594
Thames-Coromandel District,9003_Total fixed assets,2021,$1624220
Thames-Coromandel District,9003_Total fixed assets,2022,$1702996
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2013,$688
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2014,$606
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2015,$561
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2016,$423
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2017,$600
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2018,$723
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2019,$752
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2020,$895
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2021,$620
Thames-Coromandel District,9004_Cash & financial investments/monetary assets,2022,$579
Thames-Coromandel District,9005_Total assets (H),2013,$1314431
Thames-Coromandel District,9005_Total assets (H),2014,$1349074
Thames-Coromandel District,9005_Total assets (H),2015,$1390441
Thames-Coromandel District,9005_Total assets (H),2016,$1430589
Thames-Coromandel District,9005_Total assets (H),2017,$1469860
Thames-Coromandel District,9005_Total assets (H),2018,$1515550
Thames-Coromandel District,9005_Total assets (H),2019,$1552940
Thames-Coromandel District,9005_Total assets (H),2020,$1593106
Thames-Coromandel District,9005_Total assets (H),2021,$1646379
Thames-Coromandel District,9005_Total assets (H),2022,$1725566
Thames-Coromandel District,9006_Borrowing (total debt),2013,$65135
Thames-Coromandel District,9006_Borrowing (total debt),2014,$69520
Thames-Coromandel District,9006_Borrowing (total debt),2015,$78673
Thames-Coromandel District,9006_Borrowing (total debt),2016,$81095
Thames-Coromandel District,9006_Borrowing (total debt),2017,$78793
Thames-Coromandel District,9006_Borrowing (total debt),2018,$77975
Thames-Coromandel District,9006_Borrowing (total debt),2019,$69314
Thames-Coromandel District,9006_Borrowing (total debt),2020,$60067
Thames-Coromandel District,9006_Borrowing (total debt),2021,$57912
Thames-Coromandel District,9006_Borrowing (total debt),2022,$74499
Thames-Coromandel District,9007_Other liabilities,2013,$23319
Thames-Coromandel District,9007_Other liabilities,2014,$23685
Thames-Coromandel District,9007_Other liabilities,2015,$23126
Thames-Coromandel District,9007_Other liabilities,2016,$23273
Thames-Coromandel District,9007_Other liabilities,2017,$23559
Thames-Coromandel District,9007_Other liabilities,2018,$23810
Thames-Coromandel District,9007_Other liabilities,2019,$24254
Thames-Coromandel District,9007_Other liabilities,2020,$24882
Thames-Coromandel District,9007_Other liabilities,2021,$25553
Thames-Coromandel District,9007_Other liabilities,2022,$26266
Thames-Coromandel District,9008_Total liabilities (I),2013,$88455
Thames-Coromandel District,9008_Total liabilities (I),2014,$93205
Thames-Coromandel District,9008_Total liabilities (I),2015,$101801
Thames-Coromandel District,9008_Total liabilities (I),2016,$104369
Thames-Coromandel District,9008_Total liabilities (I),2017,$102351
Thames-Coromandel District,9008_Total liabilities (I),2018,$101785
Thames-Coromandel District,9008_Total liabilities (I),2019,$93568
Thames-Coromandel District,9008_Total liabilities (I),2020,$84950
Thames-Coromandel District,9008_Total liabilities (I),2021,$83464
Thames-Coromandel District,9008_Total liabilities (I),2022,$100766
Thames-Coromandel District,9009_Public equity (H-I),2013,$1225976
Thames-Coromandel District,9009_Public equity (H-I),2014,$1255869
Thames-Coromandel District,9009_Public equity (H-I),2015,$1288640
Thames-Coromandel District,9009_Public equity (H-I),2016,$1326221
Thames-Coromandel District,9009_Public equity (H-I),2017,$1367508
Thames-Coromandel District,9009_Public equity (H-I),2018,$1413766
Thames-Coromandel District,9009_Public equity (H-I),2019,$1459371
Thames-Coromandel District,9009_Public equity (H-I),2020,$1508156
Thames-Coromandel District,9009_Public equity (H-I),2021,$1562915
Thames-Coromandel District,9009_Public equity (H-I),2022,$1624800
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2013,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2014,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2015,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2016,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2017,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2018,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2019,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2020,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2021,$0
Waikato District,"9001_Investment in CCOs, CCTOs & other entities",2022,$0
Waikato District,9002_Other assets,2013,$20223
Waikato District,9002_Other assets,2014,$20831
Waikato District,9002_Other assets,2015,$20841
Waikato District,9002_Other assets,2016,$21235
Waikato District,9002_Other assets,2017,$21666
Waikato District,9002_Other assets,2018,$22193
Waikato District,9002_Other assets,2019,$22487
Waikato District,9002_Other assets,2020,$22603
Waikato District,9002_Other assets,2021,$22881
Waikato District,9002_Other assets,2022,$23083
Waikato District,9003_Total fixed assets,2013,$1543813
Waikato District,9003_Total fixed assets,2014,$1642650
Waikato District,9003_Total fixed assets,2015,$1740640
Waikato District,9003_Total fixed assets,2016,$1783222
Waikato District,9003_Total fixed assets,2017,$1855966
Waikato District,9003_Total fixed assets,2018,$1923136
Waikato District,9003_Total fixed assets,2019,$1971777
Waikato District,9003_Total fixed assets,2020,$2064511
Waikato District,9003_Total fixed assets,2021,$2133770
Waikato District,9003_Total fixed assets,2022,$2245654
Waikato District,9004_Cash & financial investments/monetary assets,2013,$9812
Waikato District,9004_Cash & financial investments/monetary assets,2014,$10944
Waikato District,9004_Cash & financial investments/monetary assets,2015,$10815
Waikato District,9004_Cash & financial investments/monetary assets,2016,$10543
Waikato District,9004_Cash & financial investments/monetary assets,2017,$10425
Waikato District,9004_Cash & financial investments/monetary assets,2018,$10514
Waikato District,9004_Cash & financial investments/monetary assets,2019,$10895
Waikato District,9004_Cash & financial investments/monetary assets,2020,$10539
Waikato District,9004_Cash & financial investments/monetary assets,2021,$10257
Waikato District,9004_Cash & financial investments/monetary assets,2022,$10442
Waikato District,9005_Total assets (H),2013,$1573848
Waikato District,9005_Total assets (H),2014,$1674425
Waikato District,9005_Total assets (H),2015,$1772296
Waikato District,9005_Total assets (H),2016,$1815000
Waikato District,9005_Total assets (H),2017,$1888057
Waikato District,9005_Total assets (H),2018,$1955843
Waikato District,9005_Total assets (H),2019,$2005159
Waikato District,9005_Total assets (H),2020,$2097653
Waikato District,9005_Total assets (H),2021,$2166908
Waikato District,9005_Total assets (H),2022,$2279179
Waikato District,9006_Borrowing (total debt),2013,$64145
Waikato District,9006_Borrowing (total debt),2014,$91910
Waikato District,9006_Borrowing (total debt),2015,$110395
Waikato District,9006_Borrowing (total debt),2016,$107357
Waikato District,9006_Borrowing (total debt),2017,$104318
Waikato District,9006_Borrowing (total debt),2018,$101786
Waikato District,9006_Borrowing (total debt),2019,$95710
Waikato District,9006_Borrowing (total debt),2020,$97229
Waikato District,9006_Borrowing (total debt),2021,$92165
Waikato District,9006_Borrowing (total debt),2022,$92165
Waikato District,9007_Other liabilities,2013,$28016
Waikato District,9007_Other liabilities,2014,$26872
Waikato District,9007_Other liabilities,2015,$26486
Waikato District,9007_Other liabilities,2016,$26542
Waikato District,9007_Other liabilities,2017,$26962
Waikato District,9007_Other liabilities,2018,$27733
Waikato District,9007_Other liabilities,2019,$27523
Waikato District,9007_Other liabilities,2020,$28748
Waikato District,9007_Other liabilities,2021,$28513
Waikato District,9007_Other liabilities,2022,$29492
Waikato District,9008_Total liabilities (I),2013,$92161
Waikato District,9008_Total liabilities (I),2014,$118782
Waikato District,9008_Total liabilities (I),2015,$136881
Waikato District,9008_Total liabilities (I),2016,$133899
Waikato District,9008_Total liabilities (I),2017,$131280
Waikato District,9008_Total liabilities (I),2018,$129519
Waikato District,9008_Total liabilities (I),2019,$123233
Waikato District,9008_Total liabilities (I),2020,$125977
Waikato District,9008_Total liabilities (I),2021,$120678
Waikato District,9008_Total liabilities (I),2022,$121657
Waikato District,9009_Public equity (H-I),2013,$1481687
Waikato District,9009_Public equity (H-I),2014,$1555643
Waikato District,9009_Public equity (H-I),2015,$1635415
Waikato District,9009_Public equity (H-I),2016,$1681101
Waikato District,9009_Public equity (H-I),2017,$1756777
Waikato District,9009_Public equity (H-I),2018,$1826324
Waikato District,9009_Public equity (H-I),2019,$1881926
Waikato District,9009_Public equity (H-I),2020,$1971676
Waikato District,9009_Public equity (H-I),2021,$2046230
Waikato District,9009_Public equity (H-I),2022,$2157522
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2013,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2014,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2015,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2016,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2017,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2018,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2019,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2020,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2021,$2876
Matamata-Piako District,"9001_Investment in CCOs, CCTOs & other entities",2022,$2876
Matamata-Piako District,9002_Other assets,2013,$5428
Matamata-Piako District,9002_Other assets,2014,$5540
Matamata-Piako District,9002_Other assets,2015,$5208
Matamata-Piako District,9002_Other assets,2016,$5324
Matamata-Piako District,9002_Other assets,2017,$5431
Matamata-Piako District,9002_Other assets,2018,$4092
Matamata-Piako District,9002_Other assets,2019,$4229
Matamata-Piako District,9002_Other assets,2020,$4361
Matamata-Piako District,9002_Other assets,2021,$4452
Matamata-Piako District,9002_Other assets,2022,$4635
Matamata-Piako District,9003_Total fixed assets,2013,$567785
Matamata-Piako District,9003_Total fixed assets,2014,$573234
Matamata-Piako District,9003_Total fixed assets,2015,$592582
Matamata-Piako District,9003_Total fixed assets,2016,$598358
Matamata-Piako District,9003_Total fixed assets,2017,$601765
Matamata-Piako District,9003_Total fixed assets,2018,$662297
Matamata-Piako District,9003_Total fixed assets,2019,$661272
Matamata-Piako District,9003_Total fixed assets,2020,$673110
Matamata-Piako District,9003_Total fixed assets,2021,$747329
Matamata-Piako District,9003_Total fixed assets,2022,$745272
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2013,$24810
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2014,$25348
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2015,$26146
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2016,$27240
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2017,$28290
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2018,$29559
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2019,$31419
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2020,$32596
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2021,$31771
Matamata-Piako District,9004_Cash & financial investments/monetary assets,2022,$32560
Matamata-Piako District,9005_Total assets (H),2013,$600899
Matamata-Piako District,9005_Total assets (H),2014,$606999
Matamata-Piako District,9005_Total assets (H),2015,$626812
Matamata-Piako District,9005_Total assets (H),2016,$633798
Matamata-Piako District,9005_Total assets (H),2017,$638362
Matamata-Piako District,9005_Total assets (H),2018,$698824
Matamata-Piako District,9005_Total assets (H),2019,$699796
