Council/Group Name,Financial Item,FY Ending,Value ($000)
Provincial,"9001_Investment in CCOs, CCTOs & other entities",2019,$532841
Provincial,"9001_Investment in CCOs, CCTOs & other entities",2020,$547161
Provincial,"9001_Investment in CCOs, CCTOs & other entities",2021,$561651
Provincial,"9001_Investment in CCOs, CCTOs & other entities",2022,$576026
Provincial,9002_Other assets,2013,$829865
Provincial,9002_Other assets,2014,$835872
Provincial,9002_Other assets,2015,$828350
Provincial,9002_Other assets,2016,$836122
Provincial,9002_Other assets,2017,$853734
Provincial,9002_Other assets,2018,$874508
Provincial,9002_Other assets,2019,$876588
Provincial,9002_Other assets,2020,$897050
Provincial,9002_Other assets,2021,$918195
Provincial,9002_Other assets,2022,$948758
Provincial,9003_Total fixed assets,2013,$34438769
Provincial,9003_Total fixed assets,2014,$36282824
Provincial,9003_Total fixed assets,2015,$37491640
Provincial,9003_Total fixed assets,2016,$38429223
Provincial,9003_Total fixed assets,2017,$40277064
Provincial,9003_Total fixed assets,2018,$41430819
Provincial,9003_Total fixed assets,2019,$42394789
Provincial,9003_Total fixed assets,2020,$44439052
Provincial,9003_Total fixed assets,2021,$45793176
Provincial,9003_Total fixed assets,2022,$46975095
Provincial,9004_Cash & financial investments/monetary assets,2013,$662117
Provincial,9004_Cash & financial investments/monetary assets,2014,$660591
Provincial,9004_Cash & financial investments/monetary assets,2015,$668152
Provincial,9004_Cash & financial investments/monetary assets,2016,$692907
Provincial,9004_Cash & financial investments/monetary assets,2017,$732916
Provincial,9004_Cash & financial investments/monetary assets,2018,$780386
Provincial,9004_Cash & financial investments/monetary assets,2019,$861712
Provincial,9004_Cash & financial investments/monetary assets,2020,$933313
Provincial,9004_Cash & financial investments/monetary assets,2021,$1024646
Provincial,9004_Cash & financial investments/monetary assets,2022,$1089867
Provincial,9005_Total assets (H),2013,$36363467
Provincial,9005_Total assets (H),2014,$38227849
Provincial,9005_Total assets (H),2015,$39458838
Provincial,9005_Total assets (H),2016,$40448547
Provincial,9005_Total assets (H),2017,$42368126
Provincial,9005_Total assets (H),2018,$43604249
Provincial,9005_Total assets (H),2019,$44665928
Provincial,9005_Total assets (H),2020,$46816577
Provincial,9005_Total assets (H),2021,$48297671
Provincial,9005_Total assets (H),2022,$49589746
Provincial,9006_Borrowing (total debt),2013,$2609100
Provincial,9006_Borrowing (total debt),2014,$2848715
Provincial,9006_Borrowing (total debt),2015,$2981974
Provincial,9006_Borrowing (total debt),2016,$3094828
Provincial,9006_Borrowing (total debt),2017,$3179483
Provincial,9006_Borrowing (total debt),2018,$3217782
