SAMPLE_NO,EASTING,NORTHING,B
551395,231060,382100,14
551397,232400,384100,33
551398,237020,382400,23
551399,236280,368520,34
551400,235600,378780,43
551401,212200,343050,104
551402,198300,346280,52
551403,208450,351340,34
551404,209690,341490,44
551405,210750,348600,32
551406,200980,346620,55
551408,210850,349570,50
551409,205030,351280,21
551411,199920,347990,33
551412,200800,346180,56
551413,211060,350860,30
551414,202310,347400,42
551415,200640,352390,65
551416,207330,340100,58
551417,207650,341500,81
551418,198620,351520,38
551419,213880,339640,47
551420,205320,349120,54
551421,206380,344880,78
551423,211500,345520,95
551424,206750,350950,84
551425,214150,348670,32
551426,193830,352680,107
551427,200200,349260,59
551428,212750,338850,70
551429,206520,347920,32
551430,200450,348250,36
551431,199100,350570,70
551432,195800,349380,16
551433,203660,349300,36
551435,210140,350880,32
551436,211910,344650,29
551437,208840,341720,18
551438,214470,344720,95
551439,213430,338900,59
551440,206900,345910,30
551441,195300,348530,41
551442,204070,349630,52
551443,203400,348400,31
551444,204980,348410,88
551445,195200,349350,44
551446,197800,348750,26
551447,206850,353010,95
551448,210420,351790,72
551449,198000,349250,14
551450,203800,352490,41
551451,213720,350870,21
551452,212190,347100,32
551453,199600,349450,20
551454,210590,339490,36
551455,203290,347280,75
551456,200930,351780,25
551457,208910,344650,5
551458,205500,348690,27
551459,210510,343930,49
551460,209900,349320,72
551461,210870,352710,32
551462,210250,339400,15
551463,200300,349910,156
551464,220780,345900,28
551465,208430,342890,38
551466,209240,343180,53
551469,211440,341700,85
551470,210530,343200,22
551471,207600,345870,26
551472,207760,342620,49
551473,204800,347900,114
551474,213830,352190,16
551476,202110,349200,28
551477,205300,350200,85
551480,209090,338900,21
551481,202110,349200,14
551482,204110,346750,22
551483,204000,342690,53
551484,206220,345570,29
551485,204370,352570,66
551487,202150,346800,95
551488,209600,343520,125
551490,210920,342660,73
551491,202650,342610,31
551492,199130,346750,54
551493,206490,345280,37
551494,203390,351080,104
551495,207500,344200,13
551496,213080,349290,51
551497,214950,351500,9
551498,202120,351890,37
551499,213670,342920,89
551500,206540,351880,72
551501,229060,323080,60
551502,226510,326510,40
551504,219700,331010,53
551505,227520,324210,14
551506,227700,327690,71
551507,219090,338950,5
551508,221310,338150,73
551509,222650,326880,61
551510,216230,336650,15
551511,225930,324400,131
551512,227150,328750,77
551513,222310,327820,45
551514,225900,323500,140
551515,216780,336560,45
551516,216750,341800,43
551518,215860,343350,59
551519,217760,345400,75
551520,217970,336420,88
551521,223120,336990,49
551522,220990,343780,85
551523,219160,347970,56
551524,217180,347400,14
551525,215980,340110,42
551526,215530,340370,40
551527,227000,325810,39
551528,218030,337780,51
551529,218820,348500,26
551530,223350,326320,111
551531,217620,344600,38
551532,216450,341250,39
551533,230720,322830,64
551534,215060,339100,39
551535,215640,335210,31
551536,214190,336200,38
551537,230520,324860,36
551538,215300,347820,34
551539,215420,343900,29
551540,229700,323780,46
551541,218440,345180,38
551542,224280,326120,32
551543,219850,347190,37
551545,214750,340210,87
551546,219610,343690,62
551548,216400,342100,65
551549,217430,339100,44
551550,215870,342240,63
551551,229660,325950,54
551552,227600,323800,61
551554,215690,342540,96
551555,225570,325320,49
551556,223300,337890,96
551557,217590,348480,55
551558,226200,327400,110
551559,226600,327410,50
551560,226720,322380,81
551563,216410,344200,55
551565,223390,327070,60
551566,216900,343250,35
551567,220350,343390,54
551568,228800,325100,67
551569,218110,349690,26
551570,217650,346340,32
551571,214390,340180,83
551572,227210,322290,90
551573,216900,334890,48
551574,218320,347020,52
551576,227020,323200,94
551577,215080,336900,23
551578,218720,337300,58
551579,216750,339430,47
551580,231600,325400,51
551581,217620,344170,58
551582,228120,328100,58
551583,230000,328340,78
551584,216990,342650,34
551585,216400,346350,20
551586,199240,348120,56
551588,215620,349480,37
551589,230450,327250,65
551590,220400,339520,71
551591,221100,331390,64
551592,224300,324500,66
551593,216890,345280,109
551594,216630,348720,59
551595,220160,342700,46
551596,219700,331010,64
551597,218440,341180,52
551598,231900,324250,58
551599,231450,325850,48
551600,223820,326670,117
551601,206100,343400,51
551602,248450,330550,68
551603,204700,344210,30
551604,214600,334550,41
551605,252050,333550,56
551606,243500,329270,92
551608,251050,340500,105
551609,250700,341700,118
551611,250640,330950,53
551612,248480,328400,65
551613,251820,345390,107
551614,246300,328950,62
551615,219100,332710,59
551616,217940,333450,63
551617,218200,332800,74
551618,221090,330690,88
551619,221180,332220,66
551620,241780,327560,74
551621,257400,346860,56
551623,253940,346300,86
551624,250420,342780,152
551625,251950,341380,101
551626,219450,331520,39
551627,250180,331450,28
551628,222600,333220,66
551629,210980,332820,57
551630,250290,330700,18
551631,249150,332180,34
551632,225150,328910,123
551633,242380,328200,71
551634,254720,344580,13
551635,251700,345110,95
551636,248830,346700,34
551637,215600,333400,63
551639,221600,332320,55
551640,255660,346890,62
551642,241900,327910,36
551643,244650,328180,64
551644,241100,328950,41
551645,226480,330050,41
551646,224880,330100,86
551647,251380,341810,37
551648,250810,345410,36
551649,222470,331050,56
551650,242900,328550,27
551652,247650,346000,5
551653,249350,332450,65
551654,223710,333700,107
551655,247500,329700,38
551656,219520,333800,33
551657,251240,346570,29
551658,242000,327200,53
551659,249890,344990,31
551660,251200,340060,81
551661,250320,346690,45
551662,219200,335230,58
551663,248150,331500,29
551664,247690,345480,38
551665,216500,334100,49
551666,248820,344940,51
551670,249300,345850,108
551671,254810,347120,112
551672,217000,332080,25
551673,239890,328380,71
551674,253620,346890,13
551677,250270,341480,170
551679,246140,347000,40
551680,218670,333920,63
551683,255850,346120,32
551684,257890,346920,33
551685,242880,328150,56
551687,244700,329840,26
551688,249200,344390,107
551689,255500,345540,61
551690,245290,327310,38
551691,203320,344590,29
551692,248880,329430,40
551693,256750,346640,77
551694,220080,335100,60
551695,256610,345710,59
551696,252720,341260,134
551697,253050,346610,49
551698,220400,333810,59
551700,251390,343200,171
551701,245800,332650,50
551702,241990,335140,44
551703,251360,334090,52
551704,245890,331710,43
551705,241800,332360,45
551706,240590,333410,46
551707,211820,331170,41
551708,211600,332420,44
551709,241570,336800,57
551710,212280,331590,82
551711,246890,333900,63
551712,238350,334060,51
551713,241050,336020,39
551714,247560,334530,32
551715,212160,331110,41
551716,250600,338440,36
551718,250100,335110,36
551719,249030,337610,63
551720,217700,328430,83
551721,216400,328990,117
551722,245640,339250,44
551723,246290,326050,11
551724,253700,335370,40
551725,251920,337950,42
551726,252100,337500,29
551727,241060,334450,47
551728,211160,330930,56
551729,247620,325950,42
551730,213650,331010,36
551731,251010,337420,45
551732,250720,337980,47
551733,244900,333690,88
551734,245430,337350,61
551735,219190,329300,43
551736,218450,329890,30
551737,246070,334110,51
551738,254570,334870,34
551739,249150,335540,41
551740,246600,332880,44
551741,250390,337010,51
551742,213200,331420,38
551743,244040,326360,71
551745,242770,337220,40
551746,248410,338390,90
551747,240500,331410,127
551748,250390,334380,59
551749,210810,331220,105
551750,249820,333710,33
551751,238100,333080,50
551752,241810,332610,79
551754,248390,333700,54
551755,245900,338060,39
551756,211900,332750,87
551757,209920,330950,76
551758,241050,335560,45
551759,241730,335500,69
551760,244900,332350,73
551761,239680,334500,29
551763,250770,335970,44
551764,213290,331610,77
551765,214850,330670,107
551766,253950,332130,33
551767,246510,339300,32
551768,240200,331560,56
551769,246920,325340,44
551770,253500,336720,35
551771,246600,336880,77
551772,243700,331550,98
551773,218990,328990,45
551774,252700,336130,39
551776,247520,335210,96
551777,242160,346180,23
551778,210700,331780,79
551779,246410,338250,60
551780,244500,335360,46
551781,255390,331690,25
551782,238710,333390,34
551783,240150,333790,55
551784,253570,334090,40
551785,253810,337780,63
551786,243970,324790,57
551788,250880,333300,27
551789,237330,333600,60
551790,212190,331760,53
551791,239430,330700,44
551792,213300,333080,32
551793,249340,336020,58
551794,210450,331720,72
551795,247430,338800,124
551796,245890,331710,38
551797,248000,337900,134
551798,244530,334960,34
551799,237850,331890,24
551800,213990,331100,42
551801,249780,340750,89
551802,232510,344320,104
551803,249700,343020,129
551804,244620,339100,61
551805,240280,338900,48
551806,232400,345780,23
551807,246900,342180,100
551808,239550,338150,82
551809,233160,342690,33
551811,226390,344110,29
551812,234380,345220,9
551813,236610,342650,32
551814,230410,340290,35
551815,245320,341150,59
551816,241560,339800,30
551817,241660,339300,49
551818,240920,346720,23
551819,245400,341750,41
551820,262790,369650,21
551821,242260,341250,72
551823,234430,335110,59
551824,238970,339350,83
551825,237690,337920,22
551826,245980,340580,60
551827,229070,343190,25
551828,244600,343500,30
551829,231600,338280,50
551830,226860,343280,28
551831,230190,342640,32
551832,237660,345070,14
551833,235460,343310,14
551834,230790,341800,35
551835,236700,341030,92
551836,235580,336940,45
551837,244380,337900,64
551838,249620,343320,55
551839,246730,343210,64
551840,237760,341200,100
551841,238400,346200,25
551842,236200,343790,27
551843,231020,339280,39
551844,231920,337030,95
551845,237430,344950,26
551846,239920,345030,27
551847,238100,338620,50
551848,235260,341030,27
551849,240410,346050,15
551850,234010,343100,29
551851,236800,343090,42
551852,237610,335990,33
551853,229570,343810,33
551854,243700,343600,25
551855,228580,340420,54
551856,244640,340610,41
551857,235780,338380,72
551858,232890,336480,28
551859,235600,336100,48
551860,240050,337520,60
551861,234990,340120,84
551862,242580,340790,72
551863,232210,343730,33
551864,238460,336870,50
551865,242910,337930,24
551866,237490,335220,35
551867,248280,342870,109
551870,236050,336620,53
551871,236880,337940,102
551872,242200,338820,53
551873,232100,338200,90
551874,209450,336950,15
551876,227790,341560,37
551877,239220,339700,71
551879,237500,336900,33
551880,242140,340180,84
551881,227790,341560,37
551882,229510,339210,11
551883,241400,341500,53
551885,233250,341890,58
551887,230500,346240,27
551888,236410,335600,34
551889,240520,340330,58
551890,231950,340190,29
551891,248600,342900,64
551892,232980,344790,33
551893,238600,341340,38
551894,242080,342800,37
551895,242000,341110,67
551896,239000,337440,75
551897,211690,336190,26
551898,242520,342200,25
551899,249190,341150,86
551900,238650,338890,56
551901,270680,358880,20
551902,281780,353600,13
551903,213510,343450,50
551904,264040,361600,22
551905,264750,361050,27
551906,283720,346050,13
551907,275810,347910,23
551908,276550,346080,26
551909,282590,353720,23
551910,275720,347000,37
551911,273580,360220,20
551912,281450,347270,23
551913,282870,352630,21
551914,274920,361280,46
551915,275500,347750,45
551916,264880,364270,14
551918,262600,368120,26
551919,266520,366900,34
551920,279400,347750,27
551921,278940,347030,31
551922,262100,361120,16
551923,227480,344910,5
551924,261310,366400,1
551925,264630,364560,5
551926,263270,364430,5
551927,280270,353290,41
551928,264560,360100,14
551929,228200,344700,8
551930,281800,350320,10
551931,264900,365400,5
551932,265600,365120,1
551933,270820,358180,34
551935,278550,349580,11
551936,277100,349180,28
551937,272440,359730,20
551938,261160,365730,17
551939,263990,368090,11
551940,271520,360170,37
551941,260130,364000,31
551942,275200,351350,25
551943,226890,345590,31
551945,262830,364520,14
551946,262420,358790,30
551947,265480,362980,18
551948,265700,368170,26
551949,263800,359820,26
551950,264540,367730,9
551951,282340,348420,12
551952,264300,362230,21
551954,264720,367680,12
551955,261520,362510,11
551956,277870,345950,24
551957,227800,343910,32
551958,282620,354620,18
551959,281800,353950,20
551960,271830,362130,40
551961,263250,372720,36
551963,261480,368130,17
551964,275020,350380,23
551965,281790,351120,24
551966,260390,366790,18
551967,261010,359900,13
551968,265100,361900,18
551969,228520,343890,20
551970,263310,365660,14
551971,264020,363430,19
551972,271260,361990,24
551973,279600,348580,16
551974,262880,365990,17
551976,273200,361720,19
551977,275620,350090,17
551978,273650,345900,44
551979,260420,362120,16
551980,283300,349400,12
551981,260510,368040,41
551982,281760,347310,36
551983,282580,345050,13
551984,260690,366230,15
551985,262500,365200,44
551986,225850,345160,50
551988,263610,368880,20
551989,283450,347990,26
551990,276550,346880,52
551991,266050,362050,11
551992,275300,349840,34
551993,261700,364300,35
551994,209450,334810,9
551995,260370,359850,25
551996,264040,361600,32
551997,263900,359130,25
551998,284590,347820,23
551999,282800,349350,30
552000,275510,351660,28
552001,264420,370700,39
552002,269410,389800,31
552003,262760,371200,38
552004,265050,373750,20
552005,261280,390470,39
552006,267780,387520,27
552007,269180,371920,13
552008,267100,390420,32
552009,263520,388220,20
552011,270770,363030,28
552012,268760,388810,29
552013,266510,371490,17
552014,265450,387220,19
552015,263500,391240,46
552016,268390,361230,25
552017,267850,361500,21
552018,267120,361530,15
552019,262930,390820,43
552020,261670,385180,14
552021,268650,375930,17
552023,266420,369180,26
552024,264350,388680,21
552025,265380,389780,25
552026,263000,391170,28
552027,269120,363750,69
552028,269130,359070,49
552029,264830,384420,22
552030,269560,363090,22
552031,267380,364300,1
552032,266060,359110,38
552033,260300,385490,25
552034,268920,372740,1
552035,275320,370610,42
552036,266970,369040,23
552037,264110,371800,27
552038,261310,371140,5
552039,269280,357950,31
552040,270620,369820,44
552041,265950,360330,32
552042,260940,384700,15
552043,268300,386890,16
552044,263800,384460,17
552045,266820,358830,48
552046,266790,363020,14
552047,264920,389860,18
552048,273680,369880,20
552049,267930,363050,19
552050,260820,386250,14
552051,266520,370630,14
552053,269090,363990,17
552054,269610,360110,26
552055,268320,388680,27
552056,264330,391790,41
552057,272120,368720,32
552058,262900,386100,19
552059,269580,370370,38
552060,267470,390300,25
552061,274230,368630,45
552062,270500,361130,45
552063,261170,371190,36
552064,261900,390450,38
552065,268050,360240,38
552066,262180,390910,31
552067,267110,372530,10
552069,264680,370980,34
552070,268300,369060,15
552071,270280,369420,32
552072,267830,360500,34
552073,262280,383200,4
552074,267500,370050,40
552076,269420,364230,26
552077,263980,388660,31
552079,261400,390320,42
552080,268980,361400,47
552081,269420,364230,25
552082,266450,386060,12
552083,268320,373850,32
552084,272750,371350,26
552085,261100,388150,29
552087,267020,387750,23
552088,270690,371030,37
552089,268800,374910,18
552090,265480,372240,50
552091,266090,373940,20
552092,269490,388900,23
552093,272110,370820,39
552094,267990,358430,28
552095,267140,374420,20
552096,266400,390310,35
552097,265900,370130,25
552098,267950,357850,21
552099,263250,370950,39
552100,264320,388960,32
552101,274420,396680,63
552102,274890,399310,30
552103,270680,365100,32
552104,276060,368100,47
552105,271900,393880,32
552106,276020,398150,42
552107,273960,390030,32
552108,275320,389280,8
552109,270570,394500,26
552110,272080,392160,20
552111,276590,395810,41
552112,271870,397980,43
552113,273100,398500,27
552114,274640,395900,36
552115,273000,392490,26
552116,272900,386930,4
552118,272950,366950,24
552119,278000,390000,8
552120,275680,392300,5
552121,276830,390450,8
552122,271600,389460,3
552123,269820,366660,17
552124,280380,389220,5
552125,271820,386920,18
552126,271500,386280,5
552127,275630,399100,48
552128,271230,391730,23
552129,269460,365930,25
552130,270510,395780,30
552131,278110,390480,19
552132,279010,391090,66
552133,273700,396580,47
552134,269700,385760,5
552135,276450,365630,10
552136,267300,394600,20
552137,275080,396990,30
552138,260850,390600,40
552139,272120,366400,14
552140,274650,397110,20
552141,277810,389700,13
552142,269500,394350,29
552143,270300,367530,27
552145,272010,385650,3
552146,270200,390790,27
552147,273400,394400,21
552148,271010,363610,27
552149,272160,390970,24
552150,272300,364240,21
552151,271810,397740,19
552152,273100,394100,37
552154,273220,363500,12
552155,269450,386940,5
552156,276800,389520,7
552157,267550,365030,13
552158,273530,399400,15
552159,274150,399160,15
552160,275300,394550,27
552161,276200,398980,42
552163,273450,366070,35
552164,268860,394000,13
552166,274800,363910,33
552167,271120,389550,34
552168,272220,394300,42
552170,279630,389120,8
552171,270390,385670,4
552172,273480,394450,42
552173,274900,391730,2
552174,280120,389220,20
552176,274720,395240,71
552177,267500,393880,38
552178,273310,391430,29
552179,270430,386950,5
552180,273450,396980,32
552181,274820,365200,26
552182,274900,397720,41
552183,276490,399150,61
552184,273520,364400,27
552185,279180,388880,10
552186,268300,367600,22
552188,271180,364760,55
552189,272280,396760,38
552190,273610,389330,5
552191,276820,368370,30
552192,268910,393440,43
552193,278770,388800,10
552194,271320,365680,35
552195,271250,390250,62
552196,276060,368100,32
552197,270600,391120,58
552198,273540,397750,20
552199,273280,397280,32
552200,270020,393880,23
552201,284620,367990,18
552202,272620,357750,37
552203,283010,370700,16
552204,280970,367430,21
552205,276720,353550,26
552206,279900,357800,21
552207,262020,356920,37
552208,275120,356650,34
552209,284300,363440,22
552211,269490,355720,49
552212,278530,356660,33
552213,266690,353210,51
552214,281600,358250,26
552215,284480,372630,22
552216,277840,373020,33
552217,276890,370620,42
552218,276350,364500,25
552219,283800,371460,5
552220,282410,362170,18
552221,264820,353150,68
552223,269980,349610,55
552224,273200,351680,39
552225,273620,355020,28
552226,283190,371980,22
552227,270020,356700,38
552228,273900,371900,38
552230,268830,356900,70
552231,270810,356080,58
552232,278420,366750,14
552233,281900,363600,8
552234,260700,355650,95
552235,267180,351920,50
552236,270300,350040,31
552237,278370,369600,19
552238,282600,370680,10
552239,283900,362900,17
552240,271610,353350,67
552241,278830,365350,22
552242,282950,363950,21
552243,283820,359230,27
552244,284760,361820,35
552245,284420,377820,18
552246,278860,363540,41
552247,272890,353920,32
552248,269200,351190,39
552249,277370,363750,24
552250,281980,364660,19
552251,267650,353330,30
552252,272500,350470,40
552253,270770,355500,28
552254,274600,372210,30
552255,284800,358500,15
552256,283470,374690,18
552257,269420,353670,80
552258,282570,361700,14
552259,272000,348800,50
552260,277020,354580,25
552261,269210,352010,42
552262,275230,372900,32
552263,271450,355850,55
552264,272700,350400,61
552265,277820,370190,33
552266,273400,349400,46
552267,263700,356820,42
552269,283650,367970,10
552270,271300,349190,38
552271,268290,352930,40
552272,278230,370800,42
552273,283120,359550,46
552274,268550,350050,45
552276,271950,356480,66
552277,274520,352960,36
552279,270820,351140,40
552280,276590,372650,40
552281,271980,356480,64
552282,284300,358530,33
552283,263580,354780,42
552284,264930,353950,36
552285,284800,364790,32
552287,280530,354200,23
552288,271800,348470,62
552289,261250,355440,79
552290,282900,367150,15
552291,281390,370200,5
552292,273700,356880,90
552293,265700,354320,48
552294,282820,378870,17
552295,263700,354200,40
552296,274720,355430,29
552297,267020,355190,69
552298,282300,377330,26
552299,283780,369250,15
552300,272900,352550,31
552301,284700,388960,18
552302,257180,414840,32
552303,274700,358410,20
552304,280880,391050,59
552305,282720,385500,39
552306,283500,383580,35
552308,272700,380600,9
552309,277950,352050,31
552310,279590,378190,76
552311,282050,386980,55
552312,282590,384340,61
552313,284450,380620,26
552314,284100,386000,54
552315,280300,379050,22
552316,277190,377110,53
552318,270860,373470,40
552319,272200,378540,27
552320,270950,380900,27
552321,271600,380300,28
552322,277950,383610,22
552323,280100,358200,20
552324,276320,374980,41
552325,278800,376200,33
552326,278750,374770,35
552327,255420,414800,25
552328,279080,379210,49
552329,278620,358400,22
552330,276500,380300,18
552331,272370,377980,16
552332,277550,377660,33
552333,283750,389110,17
552334,277900,386250,36
552336,273780,381720,23
552337,283600,387520,35
552338,275250,375450,45
552339,269780,373400,39
552340,283000,387980,18
552341,271320,378140,21
552342,275820,382570,14
552343,280100,359650,45
552345,277120,375910,48
552346,278460,382190,41
552348,272120,376480,28
552349,277740,378900,29
552350,271700,375980,31
552354,270230,374240,40
552355,277370,386110,20
552357,277290,357880,36
552358,277300,349750,27
552359,257750,415100,43
552360,279350,385320,28
552361,256050,413990,27
552363,272180,372960,38
552364,274200,383150,23
552365,278450,354730,37
552366,273830,374300,31
552367,278290,383180,33
552369,278110,358910,21
552370,268980,377280,20
552371,275240,376600,26
552372,280670,385930,47
552373,269690,380900,17
552374,275440,373330,39
552376,278220,385750,18
552377,272880,382700,13
552378,279490,379370,26
552379,278290,384500,26
552380,282370,389250,16
552381,272540,374640,16
552383,283620,382590,29
552384,274330,375300,25
552385,270600,377600,28
552386,278380,360720,27
552388,275530,358900,52
552389,280920,383180,28
552390,270800,382050,21
552391,281200,384650,35
552392,273750,383280,21
552393,271000,377300,28
552394,275800,357820,18
552395,278900,383190,24
552396,280880,391050,38
552397,278200,381690,9
552398,283180,389170,16
552399,282230,382200,25
552400,276820,380810,9
552401,280280,391980,35
552402,252300,417480,21
552403,282490,392000,19
552404,280110,396300,46
552405,262980,379690,5
552406,249700,411880,17
552407,283850,394100,14
552408,260700,378300,1
552409,244050,410310,33
552411,247980,414600,10
552412,248850,412560,20
552413,266810,380280,6
552414,248850,410700,26
552415,267100,383700,17
552416,281900,399230,50
552417,280580,398270,46
552418,281300,390750,9
552419,269400,383870,4
552420,245000,414030,24
552421,279920,394390,101
552423,262220,376200,5
552424,264220,378110,11
552425,263200,377020,5
552426,267520,384000,5
552427,250500,413950,72
552428,268150,382130,19
552429,247230,410150,35
552430,249300,414120,18
552431,250600,415800,18
552433,243330,411670,17
552434,284400,395190,12
552435,267100,380120,13
552436,261090,375800,5
552437,278090,396680,35
552438,283080,392300,30
552439,269100,381700,10
552440,281450,396030,17
552441,283310,390230,23
552442,244530,412780,26
552443,246510,410780,28
552444,246200,412310,35
552445,284020,391550,24
552446,282640,391700,66
552447,264820,375850,28
552448,267580,378890,16
552449,282190,390780,14
552450,243700,411550,21
552451,267370,380810,7
552452,262180,380620,5
552453,250950,414520,20
552454,268420,381320,8
552455,248500,410940,31
552456,266600,384400,2
552457,282000,394710,24
552458,246580,413560,23
552459,261200,374810,14
552460,261300,379780,2
552461,265980,378120,16
552462,266690,381650,2
552463,251710,416350,19
552464,260790,381700,5
552465,278030,397480,30
552466,260600,382420,5
552467,283100,393330,17
552469,279900,392410,25
552470,260390,375260,3
552471,282830,395300,10
552472,279260,397550,31
552473,246920,410320,44
552474,262700,375850,21
552476,248350,413250,21
552477,244300,410450,44
552480,282650,399610,43
552481,248350,413250,17
552482,247830,412200,24
552483,277900,394090,20
552485,242980,410640,28
552487,250700,412360,9
552488,260600,373790,11
552489,277740,394830,9
552490,281520,397320,18
552491,282060,393160,18
552492,249100,419050,27
552493,280630,395330,22
552494,284750,392100,28
552495,279050,393830,49
552497,262880,374590,24
552498,264900,383240,32
552499,282300,392350,17
552500,264890,377410,76
552501,260400,408060,29
552502,263130,417390,21
552503,253300,416450,33
552504,265430,408680,24
552505,262570,404920,16
552506,262480,418690,33
552507,264500,422000,10
552508,260500,417280,24
552509,260600,413720,18
552510,264710,420900,17
552511,264350,410920,49
552512,262090,420390,43
552513,259540,412410,25
552514,260060,402050,20
552515,284150,421410,21
552516,257020,417690,26
552518,255150,411910,42
552519,255920,418260,24
552520,258500,417320,25
552521,259100,416700,23
552522,255400,420700,23
552523,251900,419500,33
552524,252520,410520,16
552525,257150,417910,5
552526,257320,419500,21
552527,261320,417700,25
552528,265790,419380,28
552529,252300,419470,21
552530,261000,414590,25
552531,256630,417350,44
552532,257100,417260,32
552533,260600,408680,25
552534,253610,419000,29
552535,259250,419850,32
552536,258920,420800,32
552537,264080,409450,20
552538,252950,413110,40
552539,257990,412790,27
552540,262380,408860,17
552541,255820,417080,30
552542,260240,415100,40
552543,251220,419600,38
552545,254100,417720,46
552546,264030,420000,33
552547,261580,406470,30
552548,255300,412600,56
552549,265010,418120,50
552550,255900,411990,28
552551,261690,420570,19
552552,262850,404580,32
552554,256430,412100,25
552556,260100,417570,45
552558,258990,412660,27
552559,258400,412260,24
552560,260220,403700,21
552561,261890,418170,28
552563,253810,412120,39
552564,260050,414580,39
552565,261120,414090,22
552566,252280,412300,45
552567,256350,420300,43
552568,261980,405820,19
552569,252950,418540,37
552570,251700,409900,24
552571,253630,418580,31
552572,261480,404360,15
552573,259150,418580,30
552574,252200,410220,42
552576,260310,402910,1
552577,259080,421700,35
552579,254090,420080,44
552580,261500,409800,18
552581,253900,411700,20
552582,262410,419610,21
552583,260900,418770,37
552584,252620,413390,40
552585,256280,415350,31
552586,250940,418650,37
552588,255320,413460,38
552589,261200,421390,27
552590,267500,396950,24
552591,260390,405980,8
552592,259700,421250,47
552593,256160,415680,48
552594,252920,416950,25
552595,257710,420950,36
552598,259550,408810,23
552599,260900,410750,38
552600,261400,415610,29
552601,275850,397570,26
552602,272640,400070,12
552603,277400,398190,28
552604,267540,396210,20
552605,284840,409720,5
552606,269890,400330,18
552607,278990,398790,22
552608,284720,414820,1
552609,285210,415130,5
552611,270760,402490,12
552612,268410,400600,12
552613,265080,394180,23
552614,270590,400920,11
552615,262690,402020,2
552616,268030,397510,7
552617,269110,396630,9
552618,266100,406780,9
552619,264320,403990,18
552620,284300,403920,14
552621,281490,400550,39
552623,261600,392410,33
552624,284640,413600,4
552625,283680,409320,5
552626,263760,403990,13
552627,271800,402220,53
552628,265500,404280,28
552629,285590,403200,20
552630,271050,402750,12
552631,273050,401610,59
552632,264540,408000,34
552633,283110,404740,5
552634,279700,399800,34
552635,264460,393690,13
552636,260850,392210,5
552637,267900,395890,14
552638,278150,398700,40
552639,264620,404090,4
552640,282850,401000,11
552641,263700,406800,8
552642,284190,404400,8
552643,270200,398890,28
552644,285820,404230,5
552645,264000,408650,15
552646,264050,405330,17
552647,283270,409290,5
552648,264870,392510,41
552649,264400,406150,16
552650,286360,415220,5
552651,263200,393200,22
552652,286020,407200,5
552653,272100,401910,20
552654,265400,403200,8
552655,270910,400090,11
552656,261830,402690,9
552658,284580,404730,4
552659,283940,406450,5
552660,285350,410480,5
552661,283550,400250,16
552662,266100,402780,19
552663,272600,400900,29
552664,286050,408500,1
552665,268670,395840,5
552666,284920,407950,5
552667,279230,399190,29
552669,267190,395220,23
552670,260410,392310,19
552671,283260,401230,2
552672,268900,396300,13
552673,270480,399500,28
552674,262480,392920,23
552676,272900,400250,26
552677,285280,414110,5
552679,286460,406420,9
552680,268010,397000,16
552681,272900,400250,35
552682,269720,398510,17
552683,278840,400620,28
552684,281410,401210,47
552685,285630,415080,5
552687,269380,401080,20
552688,284830,406950,5
552689,280890,399390,45
552690,267200,395800,18
552691,278310,399790,30
552692,268800,401780,9
552693,281900,401320,38
552694,267080,409850,14
552695,279450,400890,16
552696,284390,410300,5
552697,262750,393080,36
552698,262060,401780,5
552699,277000,397960,33
552700,285270,412040,5
552701,272450,407350,17
552702,277590,404090,1
552703,265150,400720,12
552704,262280,399880,9
552705,262900,398930,12
552706,278000,403900,7
552707,262000,399580,16
552708,271500,409230,21
552709,276020,401550,5
552710,265950,414030,31
552711,270270,406200,9
552712,278190,405810,1
552713,276530,401700,6
552714,270780,407270,21
552715,265990,413290,43
552716,266450,415080,25
552718,267800,403430,15
552719,267410,416300,19
552720,270810,409800,22
552721,269930,408800,20
552722,265900,411300,19
552723,267850,401180,13
552724,268700,406300,9
552725,267850,414380,16
552726,267600,413430,12
552727,276500,403000,5
552728,263700,412610,18
552729,267350,401690,12
552730,272250,405950,10
552731,267690,415550,19
552732,266200,415840,17
552733,274380,405710,5
552734,266800,412350,16
552735,270320,410310,16
552736,270380,411190,10
552737,270310,405110,9
552738,273840,404100,17
552739,269270,404070,22
552740,271050,405760,25
552741,268300,417420,27
552742,272440,403650,17
552743,266650,402100,22
552745,267510,412390,23
552746,263820,414500,29
552747,263370,398310,19
552748,264850,401050,5
552749,264150,413660,16
552750,265460,401700,47
552751,277840,405850,26
552752,280830,405410,71
552754,270000,403560,21
552755,266400,411920,25
552756,271500,408770,31
552757,265700,400600,53
552758,276900,401920,9
552759,277090,403070,5
552760,268700,406800,5
552761,278310,403280,5
552763,273700,404900,17
552764,273530,403720,9
552765,275690,401350,5
552766,274350,404360,5
552767,265320,411310,42
552768,263190,399210,20
552769,267100,401500,26
552770,265920,417310,35
552771,267650,411900,21
552772,268450,407600,9
552773,270190,409880,22
552774,265500,417580,25
552776,269600,406850,12
552778,264700,413720,29
552779,265890,411780,26
552780,275900,405980,5
552781,273850,404410,15
552782,278090,405390,2
552784,274150,404050,5
552785,267300,418000,31
552786,270540,403950,12
552789,277000,405530,9
552790,271690,409830,11
552791,263700,398190,11
552792,273300,403850,26
552793,267450,417300,25
552794,266500,399750,25
552795,264650,414810,16
552796,262280,399880,4
