SAMPLE_NO,EASTING,NORTHING,B
550684,238300,363900,40
550685,259410,351600,28
550687,239510,358900,25
550688,258570,355200,29
550689,239500,365730,55
550690,244410,362930,50
550691,238000,366660,47
550692,250660,355080,12
550693,237950,363200,31
550694,227630,355880,57
550695,239710,364760,49
550696,253380,359870,10
550697,242180,361050,45
550698,225600,355690,28
550699,235900,365890,61
550700,255210,358770,14
550701,213700,369160,86
550702,200060,362080,5
550703,247020,355810,16
550704,215600,367780,86
550705,228070,369820,60
550706,202730,362100,8
550707,250880,363150,30
550708,249170,362490,22
550710,250820,364700,51
550711,212140,365640,78
550712,203540,362390,1
550713,200120,364100,5
550714,213100,368430,32
550715,250330,363360,16
550716,231450,368370,14
550718,245830,356090,17
550719,230500,369350,16
550720,248730,358780,30
550721,248900,361200,20
550722,245900,357870,22
550723,249880,356170,25
550724,243120,358210,30
550725,231770,368400,10
550726,232360,367570,16
550727,199460,361650,16
550728,247930,360350,11
550729,252870,355040,24
550730,201900,364930,11
550731,230500,369100,22
550732,231150,368700,26
550733,222720,355420,91
550734,233570,366800,22
550735,250480,358860,30
550736,252260,357720,24
550737,211480,366720,15
550738,243710,357400,31
550739,245300,355200,22
550740,227580,369880,33
550741,244550,354870,5
550742,249600,359880,18
550743,249000,356410,20
550745,234290,367560,23
550746,245730,360880,59
550747,219760,369020,32
550748,246930,353800,15
550749,246990,361920,49
550750,246260,354680,19
550751,203250,363870,5
550752,214600,367430,90
550754,245560,354700,27
550755,247550,358730,23
550756,248300,362390,31
550757,246070,357230,20
550758,200900,363400,7
550759,200760,361500,4
550760,212300,365720,46
550761,198700,361010,5
550763,246130,355430,25
550764,249810,360470,21
550765,200850,364730,5
550766,243720,355230,18
550767,244390,359830,25
550768,218290,368600,40
550769,253280,355080,50
550770,245210,357090,21
550771,234100,367700,21
550772,214930,366500,27
550773,249150,358340,72
550774,244700,358310,29
550776,228010,370990,31
550777,251780,358790,24
550778,252010,364020,25
550779,246250,358180,26
550780,228410,370300,31
550781,243460,354690,44
550782,204270,362500,3
550784,243560,356390,22
550785,245290,356500,17
550786,247920,356490,11
550788,247260,355120,11
550790,250190,361630,17
550791,220630,368850,33
