FE College,Provision Area,2009/10,2010/11,2011/12,2012/13,*2013/14
Belfast Metropolitan College,Further Education,33396,26295,23296,25990,22825
Belfast Metropolitan College,Higher Education,4476,3771,3513,3324,3285
Belfast Metropolitan College,Essential Skills,4695,5151,5285,4845,5178
Belfast Metropolitan College,Total,42567,35217,32094,34159,31288
Northern Regional College,Further Education,15547,13902,14438,13146,11956
Northern Regional College,Higher Education,1070,1173,1388,1548,1511
Northern Regional College,Essential Skills,5037,5202,5184,4794,4456
Northern Regional College,Total,21654,20277,21010,19488,17923
North West Regional College,Further Education,13806,14552,13491,13177,10740
North West Regional College,Higher Education,1547,1537,1628,1560,1682
North West Regional College,Essential Skills,4888,4862,4854,4355,4266
North West Regional College,Total,20241,20951,19973,19092,16688
South Eastern Regional College,Further Education,17709,17409,18453,23230,21370
South Eastern Regional College,Higher Education,1342,1364,1469,1588,1498
South Eastern Regional College,Essential Skills,6993,7850,7475,7294,6004
South Eastern Regional College,Total,26044,26623,27397,32112,28872
Southern Regional College,Further Education,24364,23122,22086,22572,19011
Southern Regional College,Higher Education,1834,1860,1901,1857,1905
Southern Regional College,Essential Skills,6641,6670,6707,5617,5358
Southern Regional College,Total,32839,31652,30694,30046,26274
South West College,Further Education,14992,14666,15284,16035,14324
South West College,Higher Education,1133,1299,1417,1576,1695
South West College,Essential Skills,3880,4740,5207,4298,4714
South West College,Total,20005,20705,21908,21909,20733
NI Total,Further Education,119814,109946,107048,114150,100226
NI Total,Higher Education,11402,11004,11316,11453,11576
NI Total,Essential Skills,32134,34475,34712,31203,29976
NI Total,Total,163350,155425,153076,156806,141778
Sources: Further Education Statistical Return (FESR) and Consolidated Data Return (CDR),,,,,,
Notes:,,,,,,
For further details on definitions please refer to the metadata.,,,,,,
* Please note any comparisons on regulated and non-regulated provision made to 2013/14 needs to take into account the change in definition of ‘regulated’. Refer to metadata for further details on this.,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
