"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065A0002_32 - PORTAVOGIE RD1: BALLYFRENCH RD U142 TO BUSH RD U163 -  ARDS","ARDS","Surface Type",865,865,366167,362497
"7065A0002_30 - WARNOCKS RD1: A0002_42 MAIN ST TO A0002_31 PORTAVOGIE RD -  ARDS","ARDS","Surface Type",469,469,365878,360683
"7065A0002_39 - PORTAFERRY RD 41: LOUGHDOO RD C259 TO MANSE RD C260 -  ARDS","ARDS","Surface Type",992,992,362816,355956
"7065U0154_42 - LOUGHRIES RD1: DRUMAWHEY RD U284 TO BALLYBLACK RD C254 -  ARDS","ARDS","Surface Type",1446,1446,352866,373340
"7065U9011_03 - EAST ST2: NORTH ST TO ROUNDABOUT -  ARDS","ARDS","Surface Type",364,364,349348,374222
"7065U9207_01 - THE PDE  41: BRIDGE ST TO HARBOUR -  ARDS","ARDS","Footway Type",70,70,359124,379978
"7065C0272_03 - CARRICKMANNON RD1: DRUMREAGH RD C274 TO KILCARN RD C271 -  ARDS","ARDS","Surface Type",764,764,344851,360105
"7065A0021_13 - BALLYGOWAN RD3: HILLSBOROUGH RD B178 TO RAILWAY ST -  ARDS","ARDS","Surface Type",713,713,344662,368330
"7065A0020_15 - PORTAFERRY RD NEWT1: MARKET ST TO NEW RD A21 -  ARDS","ARDS","Side Entry",126,126,349377,373809
"7065U9022_07 - GREGSTOWN PK1: U9022 06 GREGSTOWN PK TO END -  ARDS","ARDS","Surface Type",5,5,350580,373413
"7065C0254_03 - BALLYBLACK RD1: BALLYCASTLE RD U124 TO BALLYBLACK RD E C252 -  ARDS","ARDS","Surface Type",1003,1003,355972,373052
"7065C0261_01 - NEW HARBOUR RD1: CLOUGHEY RD A2 TO HARBOUR RD HO51 -  ARDS","ARDS","?",140,140,365620,359457
"7065U9107_23 - STRAIDDORN GREEN1: STRAIDDORN GREEN TO STRAIDDORN GREEN -  ARDS","ARDS","Surface Type",113,113,346181,369713
"7065U9010_01 - GLENBROOK RD1: TALBOT ST CIRCLE TO GLENBURN RD -  ARDS","ARDS","Surface Type",88,88,348659,374729
"7065U0319_42 - MOUNTAIN RD2: LOUGH COWEY RD U318 TO COACH RD A20 -  ARDS","ARDS","Surface Type",456,456,358890,353282
"7065U9101_03 - CARNESURE TR1: BALLYGOWAN RD TO OLD BALLYGOWAN RD -  ARDS","ARDS","Surface Type",23,23,345511,368963
"7065U9107_07 - CASTLELODGE PK1: ENLER GDS TO END -  ARDS","ARDS","Surface Type",176,176,345777,369734
"7065U9004_02 - FRANCES ST  41: CASTLE PL TO ROUNDABOUT -  ARDS","ARDS","Surface Type",134,134,349311,374138
"7065U0317_41 - MARLFIELD RD1:ABBACY RD U319 TO LOUGHSHORE RD -  ARDS","ARDS","Surface Type",818,818,357915,353745
"7065U9014_61 - WYNDELL HTS1: WYNDELL PK TO END -  ARDS","ARDS","Surface Type",89,89,350412,375279
"7065U9013_45 - NEWTOWN CRES:  EAST END TO WEST END -  ARDS","ARDS","Surface Type",40,40,350185,375480
"7065B0173_04 - KIRCUBBIN RD1: LINKS RD U310 TO MAIN RD A2 -  ARDS","ARDS","Surface Type",264,264,364317,357744
"7065A0048_06 - NEWTOWNARDS RD DON1: BAILIE RD TO HIGH BANGOR RD B2 -  ARDS","ARDS","Surface Type",3265,3265,358172,380094
"7065U9000_03 - BLENHEIM DR1: COMBER RD A21 TO END -  ARDS","ARDS","Surface Type",157,157,348743,372414
"7065A0020_17 - PORTAFERRY RD NEWT2: OLD SHORE RD TO MOUNTSTEWART RD -  ARDS","ARDS","Surface Type",5164,5164,354111,370529
"7065U9600_51 - CARSONS DALE: START NORTH AT HSE 4 TO END SOUTH -  ARDS","ARDS","Surface Type",9,9,343816,364098
"7065B0178_01 - HILLSBOROUGH RD3: BALLYGOWAN RD A21 TO BALLYCREELY RD U217 -  ARDS","ARDS","Surface Type",414,414,343950,367734
"7065A0002_32 - PORTAVOGIE RD1: BALLYFRENCH RD U142 TO BUSH RD U163 -  ARDS","ARDS","Surface Type",1504,1504,365986,363037
"7065A0002_47 - SPRINGVALE RD 41: NURSERY RD U144 TO KIRCUBBIN RD C257 -  ARDS","ARDS","Surface Type",612,612,364042,365429
"7065C0263_02 - BELFAST RD8: DIV BOUNDARY TO HOLYWOOD RD C263 -  ARDS","ARDS","Surface Type",782,782,345099,374869
"7065C0263_02 - BELFAST RD8: DIV BOUNDARY TO HOLYWOOD RD C263 -  ARDS","ARDS","Surface Type",1014,1014,345243,375051
"7065U9014_08 - ABBEYDALE DR1: ABBEYDALE PK TO ABBEYDALE AV -  ARDS","ARDS","Surface Type",94,94,350365,374617
"7065U9013_02 - ROSEVALE AV2: BANGOR RD A21 TO U9012 17 BEVERLEY CRE -  ARDS","ARDS","Surface Type",603,603,349954,375325
