"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U1225_01 - MEARNE RD1: STRANGFORD RD A25 TO ST PATRICKS RD C281 -  DOWN","DOWN","Surface Type",66,66,349693,346430
"7065U0368_01 - BALLYMORRAN RD1: QUARTERLAND RD U381 TO TULLYCORE RD U382 -  DOWN","DOWN","Surface Type",896,896,351934,358932
"7065U0650_05 - THE BEECHES2: GROVE RD U119 TO END -  DOWN","DOWN","Surface Type",214,214,336264,349363
"7065U6008_01 - BULLS EYE PK1: RATHKELTAIR RD TO END -  DOWN","DOWN","Surface Type",79,79,349514,345419
"7065A0007_04 - DOWNPATRICK RD5: ROCKS CHAPEL RD U146 LHS TO DRAKESBRIDGE RD -  DOWN","DOWN","Surface Type",1317,1317,346749,350162
"7065C0308_02 - CLONVARAGHAN RD1: WOOD RD C324 TO SLIEVENISKY RD U152 -  DOWN","DOWN","Surface Type",1988,1988,334049,342109
"7065U6105_10 - HILLFOOT CRE1: WINDMILL GDS TO CARLISLE PK -  DOWN","DOWN","Surface Type",187,187,337501,352275
"7065U6011_02 - COLMCILLE RD1: KILLOUGH RD TO FLYING HORSE RD -  DOWN","DOWN","Surface Type",11,11,349067,343251
"7065U6011_32 - BALLYMOTE WK1: U6011 02 COLMCILLE RD TO END -  DOWN","DOWN","Surface Type",87,87,349164,343297
"7065A0024_04 - NEWCASTLE RD3: NEW LINE RD TO TANNAGHMORE RD U132 -  DOWN","DOWN","Surface Type",1720,1720,339884,346496
"7065U0347_16 - NET WK1: SEASIDE RD TO END -  DOWN","DOWN","Surface Type",257,257,352947,352355
"7065U6009_29 - STRUELL PK1: STRUELL RD TO END -  DOWN","DOWN","Surface Type",11,11,349379,344687
"7065U6011_32 - BALLYMOTE WK1: U6011 02 COLMCILLE RD TO END -  DOWN","DOWN","Surface Type",239,239,349213,343401
"7065A0022_06 - DOWNPATRICK RD3: GARAGE RHS TO HIGH ST B7 -  DOWN","DOWN","Surface Type",779,779,352573,352631
"7065C0279_04 - JUNCTION RD1: LISTOODER RD U361 TO CROSSGAR RD A7 -  DOWN","DOWN","Surface Type",1153,1153,342258,356068
"7065C0288_06 - BALLYDONNELL RD1: VIANSTOWN RD U316 TO ORCHARD RD U312 -  DOWN","DOWN","Surface Type",1549,1549,345553,338393
"7065U6105_32 - GLENLOUGH: TUDOR OAKS TO END -  DOWN","DOWN","Surface Type",142,142,337007,352103
"7065U0347_47 - ANNSFIELD PK1: ANNSFIELD PK TO END -  DOWN","DOWN","Surface Type",41,41,351913,352263
"7065U6105_28 - GLENLOUGH PK1: LOUGHSIDE DR TO TUDOR OAKS -  DOWN","DOWN","Surface Type",97,97,337139,352144
"7065U6700_05 - ISABELLA WAY1: NORTH TO SOUTH -  DOWN","DOWN","Surface Type",8,8,355748,337165
"7065U6105_10 - HILLFOOT CRE1: WINDMILL GDS TO CARLISLE PK -  DOWN","DOWN","Surface Type",212,212,337513,352254
"7065U6009_03 - KENNEDY SQUARE1: FOUNTAIN ST TO END -  DOWN","DOWN","Surface Type",12,12,348876,344600
"7065A0025_16 - CASTLEWELLAN RD2: MAIN ST A24 TO DROMARA RD C293 -  DOWN","DOWN","Surface Type",1205,1205,339817,339644
"7065U6700_29 - BAYVIEW DR1: U6700 23 BAYVIEW DR TO END -  DOWN","DOWN","Surface Type",15,15,355782,337825
"7065U6009_14 - ARDMORE AV1: FOUNDATION ST TO KNOCKNASHINNA RD -  DOWN","DOWN","Surface Type",234,234,349094,344522
"7065A0021_05 - BALLYGOWAN RD4: BELFAST RD A7 TO BALLYCLOUGHIN RD C214 -  DOWN","DOWN","Surface Type",401,401,341184,360135
