Permit No.,Division,Event Date,Address,From,To
DPW1303626,2,6/8/2013,1035 DOWNLOOK ST,ANTOINETTE ST,DEAD END
DPW1303607,2,6/8/2013,207 N WINEBIDDLE ST,BROAD ST,DEARBORN ST
DPW1301777,1,6/9/2013,632 CHESTER AVE,HOLYOKE ST,BURGESS ST
DPW1303396,2,6/11/2013,110 WHITFIELD ST,PENN AVE,BAUM BLVD
DPW1303765,1,6/14/2013,1108 SUCCESS ST,WINFRIED ST,DEAD END
DPW1402555,2,6/14/2014,5200 WESTMINSTER PL,ST JAMES,AMBERSON
DPW1402845,3,6/14/2014,107 LANG CT,LANG AVE,PENN AVE
DPW1303557,1,6/15/2013,1251 LIVERPOOL ST,FULTON ST,SEDGEWICK ST
DPW1303514,2,6/15/2013,118 CARVER ST,LARIMER AVENUE,BRADEN WAY
DPW1303504,2,6/15/2013,1117 PORTLAND ST,HAMPTON,BRYANT
DPW1303850,3,6/15/2013,212 W ELIZABETH ST,CHAPLAIN WAY,BLAIR ST
DPW1403039,2,6/15/2014,6756 MCPHERSON BLVD,THOMAS BLVD,DEAD END
DPW1402831,3,6/15/2014,5734 NORTHUMBERLAND ST,NORTHUMBERLAND,AYLESBORO
DPW1403085,2,6/15/2014,7103 MT VERNON ST,NORTH LANG,HOMEWOOD AVE
DPW1303959,1,6/21/2013,0 DECATUR ST,SEDGWICK,FULTON
DPW1403076,2,6/21/2014,1117 PORTLAND ST,HAMPTON,BRYANT
DPW1403287,,6/21/2014,2200 Frankstown AVE,Forest Way,Frankstown Rd
DPW1402824,1,6/21/2014,1143 GOETTMAN ST,BASIN ST,UNNAMED WAY
DPW1402748,2,6/21/2014,7333 IDLEWILD ST,COLLIER ST,STERRETT ST
DPW1402759,2,6/21/2014,5330 KINCAID ST,N AIKEN,N ATLANTIC
DPW1403087,2,6/21/2014,1125 OGLETHORPE ST,WOODBINE ST,1125 OGLETHORPE
DPW1302918,4,6/22/2013,2113 CROSSMAN ST,ST LEO ST,GREGORY ST
DPW1303630,3,6/22/2013,325 DINWIDDIE ST,ROSE,ROBERT
DPW1304115,1,6/22/2013,203 CHESBRO ST,CARPENTER,PROGRESS
DPW1304070,1,6/22/2013,226 LURAY ST,NORWOOD ST,LINWOOD ST
DPW1304065,2,6/25/2013,147 WINSLOW ST,LARIMER AVE,PAULSON AVE
DPW1403314,3,6/26/2014,2000 CENTRE AVE,Soho St,Brackenridge St
DPW1403267,2,6/27/2014,126 N WHITFIELD ST,penn ave,baum blvd
DPW1400699,3,6/28/2014,0 RENOVA ST,GLENBAR WAY,DEAD END
DPW1403356,4,6/28/2014,2113 CROSSMAN ST,grogery st,crossman st
