Permit No.,Division,Event Date,Address,From,To
DPW1306070,3,9/8/2013,1133 OLIVIA ST,ONADEGO,OBER
DPW1305917,3,9/8/2013,2880 FERNWALD RD,BEECHWOOD BLVD,ANITA
DPW1304431,3,9/8/2013,1214 BENNINGTON AVE,FAIR OAKS,MAYNARD
DPW1306112,3,9/8/2013,6609 KINSMAN RD,S. DALLAS,WILKINS
DPW1405525,4,9/10/2014,137 ZARA ST,KNOX,CHALROCK WAY
DPW1306270,2,9/13/2013,7436 PENFIELD CT,CARNEGIE ST,N BRADDOCK AVE
DPW1405392,2,9/13/2014,370 ROUP AVE,HARRIET,FRIENDSHIP
DPW1405571,5,9/13/2014,2438 HAYSON AVE,SILVER OAK,RED OAK
DPW1405248,5,9/13/2014,2935 STRACHAN AVE,HILLSDALE AVE,POTOMAC AVE
DPW1404633,2,9/13/2014,1426 MORNINGSIDE AVE,VETTER,VILSACK
DPW1405179,3,9/13/2014,4151 WINDSOR ST,LILAC,KENNEBEC
DPW1405242,3,9/13/2014,209 DUNSEITH ST,TERRACE ST,DARRAGH
DPW1405413,4,9/13/2014,1208 FORTUNA AVE,SUSSEX,NORABELL
DPW1405498,1,9/13/2014,1822 ADAMS ST,CHEAT,MANHATTAN
DPW1405323,2,9/13/2014,352 W PENN PL,S EVALINE,HARRIET
DPW1304372,2,9/14/2013,1426 MORNINGSIDE AVE,VETTER,VILSACK
DPW1303570,1,9/14/2013,1 CALIFORNIA AVE,DAVIS AVE,ORCHLEE ST
DPW1306421,4,9/14/2013,1208 FORTUNA AVE,SUSSEX,NORABELL
DPW1306409,3,9/14/2013,701 MORGAN ST,BEDFORD,WEBSTER
DPW1306350,2,9/14/2013,352 W PENN PL,S EVALINE,HARRIET
DPW1306163,1,9/14/2013,1214 LIVERPOOL ST,FULTON STREET,SEDGEICK STREET
DPW1306275,3,9/14/2013,209 DUNSEITH ST,TERRACE ST,DARRAGH
DPW1306075,4,9/14/2013,181 S 17TH ST,MARY ST,DEAD END
DPW1405406,1,9/14/2014,0 MONTEREY ST,W NORTH AVE,N TAYLOR AVE
DPW1404693,3,9/14/2014,5473 FAIR OAKS ST,WILKINS,INVERNESS
DPW1404689,3,9/14/2014,1205 INVERNESS AVE,PLAINFIELD ST,MAYNARD ST
DPW1405081,3,9/14/2014,6609 KINSMAN RD,S. DALLAS,WILKINS
DPW1404691,1,9/14/2014,600 FORELAND ST,EAST ST,MIDDLE ST
DPW1405479,5,9/14/2014,2054 CROSBY AVE,LOS ANGELES,ALTON WAY
DPW1405368,3,9/14/2014,1118 WIGHTMAN ST,DUNMOYLE ST,FAIR OAKS ST
DPW1306102,1,9/15/2013,0 MONTEREY ST,W NORTH AVE,N TAYLOR AVE
DPW1306094,3,9/15/2013,5854 SOLWAY ST,MURRAY,SHADY
DPW1306168,2,9/15/2013,5530 HOWE ST,BELLFONTE,COPELAND
DPW1305908,1,9/15/2013,600 FORELAND ST,EAST ST,MIDDLE ST
DPW1305827,4,9/15/2013,2201 LYNNBROOK AVE,MARLOFF ST,ALTAVIEW
DPW1306391,1,9/20/2013,1222 PALO ALTO ST,ELOISE ST,N TAYLOR AVE
DPW1405713,3,9/20/2014,6400 WILKINS AVE,WILKINS AVE,HASTINGS ST
DPW1405701,1,9/20/2014,3546 CAMPUS ST,ACACIA ST,DIPLOMA ST
DPW1405346,3,9/20/2014,6371 BURCHFIELD AVE,SHADY AVE,BEECHWOOD BLVD
DPW1405577,3,9/20/2014,325 DINWIDDIE ST,ROSE,ROBERT
DPW1306449,3,9/21/2013,1 TECUMSEH ST,2ND AVE,GLOSTER ST
DPW1305330,2,9/21/2013,346 SPAHR ST,ALDER ST,COLLEGE AVE
DPW1305928,3,9/21/2013,5727 WOODMONT ST,MURRAY,S. NEGLEY
DPW1306229,3,9/21/2013,1348 DENNISTON ST,HASTINGS,WILKINS
DPW1405773,4,9/21/2014,330 BIGBEE ST,aline way,etta way
DPW1405189,3,9/21/2014,7114 CARD LN,S LANG,OSAGE
DPW1405712,3,9/21/2014,1133 OLIVIA ST,ONENDAGO ST,OBER ST
DPW1405382,3,9/21/2014,1235 MURDOCH RD,MAYNARD,WOODMONT
DPW1405794,3,9/21/2014,937 LACLAIR ST,HENRIETTA,OVERTON
DPW1306454,3,9/22/2013,1236 MALVERN AVE,FAIR OAKS,PLAINFIELD
DPW1306707,5,9/22/2013,2432 HAYSON AVE,SILVER OAK DR,RED OAK DR
DPW1306326,3,9/22/2013,203 CARNEGIE PL,PENN AVENUE,REYNOLDS STREET
DPW1306364,3,9/22/2013,6371 BURCHFIELD AVE,SHADY AVE,BEECHWOOD BLVD
DPW1405351,3,9/27/2014,5727 WOODMONT ST,MURRAY,S. NEGLEY
DPW1405328,4,9/27/2014,181 S 17TH ST,S 17TH,S 18TH ST
DPW1405312,,9/27/2014,BOYLE,HEMLOCK ST,CITRON WAY
DPW1405335,3,9/27/2014,201 ELYSIAN ST,5TH,HASTINGS
DPW1405833,1,9/27/2014,3280 ORLEANS ST,PORTOLA AVENUE,ORLEANS STREET
DPW1405586,1,9/27/2014,3854 BAYTREE ST,BAYTREE STREET,BONVUE
DPW1306836,2,9/28/2013,0 S WINEBIDDLE ST,GEM WAY,CORAL ST
DPW1306240,1,9/28/2013,3546 CAMPUS ST,ACACIA ST,DIPLOMA ST
DPW1405569,3,9/28/2014,101 CARNEGIE PL,PENN AVE,REYNOLDS ST
DPW1306532,4,9/29/2013,578 DORCHESTER AVE,KNOWLSON,MIDLAND
DPW1306357,3,9/29/2013,937 LACLAIR ST,HENRIETTA,OVERTON
DPW1405593,3,10/2/2014,0 EDNA ST,MILTENBERGER ST,VAN BRAHM ST
DPW1405594,3,10/2/2014,0 MILTENBERGER ST,BLVD OF THE ALLIES,LOCUST ST
DPW1306988,1,10/4/2013,1000 COLUMBUS AVE,CHATEAU AVE,MANHATTAN AVE
DPW1306737,4,10/5/2013,519 CHALFONT ST,BELTZHOOVER,BERND
DPW1306422,1,10/5/2013,118 RICHEY AVE,RUGGLES,PERRYSVILLE
DPW1306118,3,10/6/2013,1235 MURDOCH RD,MAYNARD,WOODMONT
DPW1306624,1,10/12/2013,1 CALIFORNIA AVE,DAVIS AVE,ORCHLEE ST
DPW1307032,2,10/12/2013,5330 KINCAID ST,N AIKEN,N ATLANTIC
DPW1307024,1,10/12/2013,1343 ADAMS ST,ADAMS ST,COLUMBUS ST
DPW1306966,1,10/12/2013,3280 ORLEANS ST,PORTOLA AVENUE,ORLEANS STREET
DPW1307117,2,10/13/2013,405 NATRONA WAY,52ND ST,MCANDLASS AVE
DPW1307115,2,10/15/2013,4918 KINCAID ST,MILLVALE ST,WINEBIDDLE ST
DPW1307174,3,10/16/2013,1911 WYLIE AVE,DINWIDDIE,DEVILLIERS
DPW1307168,2,10/17/2013,227 S SAINT CLAIR ST,S ST CLAIR,STANMAR WAY
DPW1405902,3,10/18/2014,1854 FORBES AVE,FORBES AVE,TUSTIN ST
DPW1307001,1,10/20/2013,3854 BAYTREE ST,BAYTREE,BONVUE
DPW1406724,4,10/24/2014,306 ALRIES ST,TRANSVERSE,FRIDELL
DPW1307393,1,10/26/2013,1104 BRABEC ST,PROVINCE ST,BASIN ST
DPW1307371,2,10/26/2013,173 HOME ST,HOME ST,47TH ST
DPW1307025,2,10/26/2013,136 S GRAHAM ST,LATHAM ST,S GRAHAM ST
DPW1406774,3,10/26/2014,18 MELBA PL,CABEL PL,SEMPLE ST
DPW1406579,3,10/30/2014,5401 GLENWOOD AVE,MANSION ST,JASON WAY
DPW1307616,4,10/31/2013,407 GEARING AVE,SYLVANIA,FREELAND
DPW1307564,2,10/31/2013,415 STRATTON LN,WALNUT,HOWE
DPW1307421,3,10/31/2013,1232 MALVERN AVE,FAIR OAKS,PLAINFIELD
DPW1307265,1,10/31/2013,936 BEECH AVE,ALLEGHENY AVE,BRIGHTON RD
DPW1406163,2,10/31/2014,7123 KELLY ST,N HOMEWOOD AVE,N LANG AVE
DPW1406587,2,10/31/2014,280 FISK ST,DAVISON ST,GOVERNMENT WAY
DPW1406330,1,10/31/2014,936 BEECH AVE,ALLEGHENY AVE,BRIGHTON
DPW1406697,4,10/31/2014,524 DELMONT AVE,DELMONT ST,GEARING ST
DPW1405500,1,10/4/2014,20 RICHEY AVE,PERRYSVILLE AVE,RICHEY AVE
DPW1307687,4,11/2/2013,2201 SALISBURY ST,STERLING ST,FERNLEAF ST
DPW1307612,2,11/9/2013,5901 STANTON AVE,STANTON AVE,ROBLEY WAY
DPW1307792,2,11/9/2013,6615 BAKER ST,BUTLER ST,PRIMO ST
DPW1407234,6,11/16/2014,100 24TH ST,SMALLMAN ST,PENN AVE
DPW1407294,3,12/6/2014,0 REYNOLDS ST,GETTYSBURG,HASTINGS
DPW1406429,2,12/6/2014,0 HARVARD SQ,N HIGHLAND AVE,
DPW1407518,,12/6/2014,0 CAREY WAY,S 27TH ST,S 28TH ST
DPW1307161,2,12/7/2013,250 N HIGHLAND AVE,N HIGHLAND AVE,PENN CIRCLE E
DPW1308415,,12/14/2013,0 CAREY WAY,S 27TH ST,S 28TH ST
DPW1407904,4,12/20/2014,1220 BREED ST,ENON WAY,S 12TH ST
DPW1308430,4,12/21/2013,145 S 12TH ST,ENON WAY,S 12TH ST
DPW1402563,,,2747 glenmawr,,
