DCA,Offers,Support £m,Investment £m
Antrim and Newtownabbey,94,25.21,38.15
Ards and North Down,11,0.62,1.16
"Armagh City, Banbridge and Craigavon",26,3.12,3.81
Belfast,292,115.83,362.62
Causeway Coast and Glens,25,7.34,7.8
Derry City and Strabane,27,4.68,8.29
Fermanagh and Omagh,22,1.01,1.31
Lisburn and Castlereagh,14,1.37,2.01
Mid and East Antrim,16,0.73,1.14
Mid Ulster,26,1.62,2.26
"Newry, Mourne and Down",17,1.21,1.87
Northern Ireland,572,162.73,430.42
