District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,6102,19043,14479,16726,56350
"Armagh City, Banbridge and Craigavon",4092,34099,18691,23739,80621
Belfast,31552,14630,40581,67240,154003
Causeway Coast and Glens,5242,28059,15274,13464,62039
Derry City and Strabane,6004,17640,14849,20811,59304
Fermanagh and Omagh,2442,28264,7838,8681,47225
Lisburn and Castlereagh,4990,21192,16425,12781,55388
Mid and East Antrim,5452,22845,12416,16679,57392
Mid Ulster,1867,27695,10918,10570,51050
"Newry, Mourne and Down",4290,31596,15690,14878,66454
Ards and North Down,7232,25183,18964,17315,68694
Northern Ireland,79265,270246,186125,222884,758520
