Council,Date,Financial,Value ($000)
Northland Region,2010,15 Monetary Assets,21121
Northland Region,2010,17 Fixed Assets,18506
Northland Region,2010,18 Investment Properties,46318
Northland Region,2010,19 Other Assets,35534
Northland Region,2010,20 Total Assets,121480
Northland Region,2010,21 Public Debt,105
Northland Region,2010,22 Public Debt Non-Current,105
Northland Region,2010,23 Public Debt Current,0
Northland Region,2010,24 Other Liabilities,4684
Northland Region,2010,25 Total Liabilities,4789
Northland Region,2010,26 Equity,116690
Northland Region,2011,15 Monetary Assets,20178
Northland Region,2011,17 Fixed Assets,18360
Northland Region,2011,18 Investment Properties,46318
Northland Region,2011,19 Other Assets,37381
Northland Region,2011,20 Total Assets,122237
Northland Region,2011,21 Public Debt,108
Northland Region,2011,22 Public Debt Non-Current,108
Northland Region,2011,23 Public Debt Current,0
Northland Region,2011,24 Other Liabilities,4832
Northland Region,2011,25 Total Liabilities,4941
Northland Region,2011,26 Equity,117296
Northland Region,2012,15 Monetary Assets,20303
Northland Region,2012,17 Fixed Assets,18184
Northland Region,2012,18 Investment Properties,46318
Northland Region,2012,19 Other Assets,38166
Northland Region,2012,20 Total Assets,122971
Northland Region,2012,21 Public Debt,111
Northland Region,2012,22 Public Debt Non-Current,111
Northland Region,2012,23 Public Debt Current,0
Northland Region,2012,24 Other Liabilities,4948
Northland Region,2012,25 Total Liabilities,5059
Northland Region,2012,26 Equity,117912
Northland Region,2013,15 Monetary Assets,20929
Northland Region,2013,17 Fixed Assets,17921
Northland Region,2013,18 Investment Properties,47609
Northland Region,2013,19 Other Assets,38779
Northland Region,2013,20 Total Assets,125238
Northland Region,2013,21 Public Debt,114
Northland Region,2013,22 Public Debt Non-Current,114
Northland Region,2013,23 Public Debt Current,0
Northland Region,2013,24 Other Liabilities,5068
Northland Region,2013,25 Total Liabilities,5182
Northland Region,2013,26 Equity,120056
Northland Region,2014,15 Monetary Assets,28739
Northland Region,2014,17 Fixed Assets,17550
Northland Region,2014,18 Investment Properties,48936
Northland Region,2014,19 Other Assets,32296
Northland Region,2014,20 Total Assets,127522
Northland Region,2014,21 Public Debt,117
Northland Region,2014,22 Public Debt Non-Current,117
Northland Region,2014,23 Public Debt Current,0
Northland Region,2014,24 Other Liabilities,5179
Northland Region,2014,25 Total Liabilities,5295
Northland Region,2014,26 Equity,122226
Northland Region,2015,15 Monetary Assets,29347
Northland Region,2015,17 Fixed Assets,18034
Northland Region,2015,18 Investment Properties,50349
Northland Region,2015,19 Other Assets,32815
Northland Region,2015,20 Total Assets,130545
Northland Region,2015,21 Public Debt,120
Northland Region,2015,22 Public Debt Non-Current,120
Northland Region,2015,23 Public Debt Current,0
Northland Region,2015,24 Other Liabilities,5296
Northland Region,2015,25 Total Liabilities,5416
Northland Region,2015,26 Equity,125130
Northland Region,2016,15 Monetary Assets,30625
Northland Region,2016,17 Fixed Assets,17621
Northland Region,2016,18 Investment Properties,51853
Northland Region,2016,19 Other Assets,33162
Northland Region,2016,20 Total Assets,133261
Northland Region,2016,21 Public Debt,123
Northland Region,2016,22 Public Debt Non-Current,123
Northland Region,2016,23 Public Debt Current,0
Northland Region,2016,24 Other Liabilities,5421
Northland Region,2016,25 Total Liabilities,5544
Northland Region,2016,26 Equity,127717
Northland Region,2017,15 Monetary Assets,30869
Northland Region,2017,17 Fixed Assets,17231
Northland Region,2017,18 Investment Properties,53195
Northland Region,2017,19 Other Assets,34411
Northland Region,2017,20 Total Assets,135706
Northland Region,2017,21 Public Debt,127
Northland Region,2017,22 Public Debt Non-Current,127
Northland Region,2017,23 Public Debt Current,0
Northland Region,2017,24 Other Liabilities,5557
Northland Region,2017,25 Total Liabilities,5684
Northland Region,2017,26 Equity,130022
Northland Region,2018,15 Monetary Assets,31739
Northland Region,2018,17 Fixed Assets,16798
Northland Region,2018,18 Investment Properties,54361
Northland Region,2018,19 Other Assets,34974
