SAMPLE_NO,Easting,Northing,Au,Pt,Pd
551644,241100,328950,1.0,1.60,1.40
551645,226480,330050,3.0,0.50,0.70
551646,224880,330100,7.0,0.70,1.30
551647,251380,341810,0.5,0.10,0.50
551648,250810,345410,0.5,0.10,0.25
551649,222470,331050,1.0,0.60,0.90
551650,242900,328550,2.0,0.60,0.25
551652,247650,346000,0.5,0.05,0.25
551653,249350,332450,0.5,0.60,1.90
551654,223710,333700,0.5,0.70,0.70
551655,247500,329700,0.5,0.40,0.25
551656,219520,333800,0.5,0.30,0.25
551657,251240,346570,0.5,0.10,0.25
551658,242000,327200,0.5,0.40,0.25
551659,249890,344990,0.5,0.05,0.25
551660,251200,340060,0.5,0.30,0.60
551661,250320,346690,0.5,4.40,0.25
551662,219200,335230,0.5,0.30,0.60
551664,247690,345480,0.5,0.30,0.25
551665,216500,334100,0.5,0.30,0.25
551666,248820,344940,0.5,0.20,0.25
551670,249300,345850,0.5,0.50,0.25
551671,254810,347120,0.5,0.60,0.70
551672,217000,332080,0.5,0.10,0.25
551673,239890,328380,1.0,0.60,0.25
551677,250270,341480,1.0,0.40,0.60
551679,246140,347000,0.5,0.05,0.25
551680,218670,333920,0.5,0.20,0.25
551683,255850,346120,1.0,0.05,0.25
551684,257890,346920,2.0,0.10,0.50
551685,242880,328150,0.5,0.30,0.70
551687,244700,329840,0.5,0.40,0.25
551688,249200,344390,2.0,0.30,0.60
551689,255500,345540,1.0,0.60,0.60
551690,245290,327310,1.0,0.10,0.70
551691,203320,344590,0.5,0.05,0.25
551692,248880,329430,1.0,0.05,0.25
551693,256750,346640,0.5,0.30,0.60
551694,220080,335100,0.5,0.30,0.60
551695,256610,345710,0.5,0.10,0.25
551696,252720,341260,3.0,0.20,0.25
551697,253050,346610,0.5,0.05,0.25
551698,220400,333810,0.5,0.30,0.25
551700,251390,343200,0.5,1.20,0.90
551701,245800,332650,0.5,0.10,0.25
551702,241990,335140,0.5,0.20,0.25
551703,251360,334090,0.5,0.40,0.25
551704,245890,331710,0.5,0.05,0.25
551705,241800,332360,0.5,0.10,0.25
551706,240590,333410,0.5,0.10,0.25
551707,211820,331170,0.5,0.20,0.25
551708,211600,332420,0.5,0.50,0.25
551709,241570,336800,0.5,0.20,0.25
551710,212280,331590,13.0,2.00,1.50
551711,246890,333900,1.0,0.60,0.90
551712,238350,334060,1.0,0.50,0.25
551713,241050,336020,0.5,0.05,0.50
551714,247560,334530,0.5,0.05,0.25
551715,212160,331110,1.0,0.40,1.30
551716,250600,338440,0.5,0.15,0.25
551718,250100,335110,0.5,0.10,0.25
551719,249030,337610,0.5,0.10,0.25
551720,217700,328430,0.5,0.50,0.25
551721,216400,328990,1.0,1.30,0.90
551722,245640,339250,0.5,0.40,0.25
551723,246290,326050,0.5,0.30,0.25
551724,253700,335370,2.0,1.60,0.25
551725,251920,337950,0.5,0.30,0.25
551726,252100,337500,0.5,0.05,0.25
551727,241060,334450,0.5,0.10,0.25
551728,211160,330930,1.0,1.10,0.70
551729,247620,325950,0.5,0.30,0.25
551730,213650,331010,0.5,0.30,0.25
551731,251010,337420,0.5,0.20,0.25
551732,250720,337980,0.5,0.30,0.25
551733,244900,333690,0.5,0.30,0.60
551734,245430,337350,1.0,0.60,0.70
551735,219190,329300,0.5,0.30,0.25
551737,246070,334110,0.5,0.40,0.50
551738,254570,334870,0.5,0.50,0.25
551739,249150,335540,1.0,0.30,0.25
551740,246600,332880,1.0,0.40,0.60
551741,250390,337010,1.0,0.30,0.50
551742,213200,331420,0.5,0.20,0.25
551743,244040,326360,1.0,0.60,0.25
551745,242770,337220,1.0,0.50,0.25
551746,248410,338390,0.5,0.30,0.25
551747,240500,331410,1.0,0.50,0.60
551748,250390,334380,0.5,0.40,0.25
551749,210810,331220,2.0,1.30,1.30
551750,249820,333710,0.5,0.30,0.50
551751,238100,333080,0.5,0.30,0.25
551752,241810,332610,0.5,0.30,0.25
551754,248390,333700,0.5,0.10,0.25
551755,245900,338060,0.5,0.20,0.25
551756,211900,332750,2.0,1.40,1.00
551757,209920,330950,2.0,1.70,1.60
551758,241050,335560,0.5,0.20,0.25
551759,241730,335500,0.5,0.90,0.25
551760,244900,332350,0.5,0.40,0.25
551761,239680,334500,0.5,0.05,0.25
551763,250770,335970,0.5,0.05,0.25
551764,213290,331610,0.5,0.20,0.25
551765,214850,330670,0.5,0.30,0.50
551766,253950,332130,4.0,0.10,0.25
551767,246510,339300,0.5,0.05,0.25
551768,240200,331560,0.5,0.40,0.25
551769,246920,325340,0.5,0.40,0.25
551770,253500,336720,0.5,0.05,0.25
551771,246600,336880,1.0,2.40,0.90
551772,243700,331550,0.5,0.40,0.25
551773,218990,328990,2.0,0.20,1.00
551774,252700,336130,0.5,0.05,0.25
551776,247520,335210,0.5,0.30,0.25
551777,242160,346180,0.5,0.50,0.25
551778,210700,331780,2.0,1.20,2.00
551779,246410,338250,0.5,0.20,0.25
551780,244500,335360,0.5,0.30,0.25
551781,255390,331690,2.0,0.20,0.25
551782,238710,333390,0.5,0.20,0.25
551783,240150,333790,1.0,0.60,0.50
551784,253570,334090,0.5,0.10,0.25
551785,253810,337780,0.5,0.20,0.25
551786,243970,324790,0.5,0.30,0.25
551788,250880,333300,0.5,0.10,0.25
551789,237330,333600,0.5,0.30,0.25
551790,212190,331760,0.5,0.30,0.25
551791,239430,330700,5.0,1.30,1.90
551792,213300,333080,0.5,0.50,0.25
551793,249340,336020,0.5,0.30,0.25
551794,210450,331720,2.0,1.10,0.90
551795,247430,338800,1.0,0.50,0.25
551797,248000,337900,1.0,0.50,0.90
551798,244530,334960,0.5,0.05,0.25
551799,237850,331890,6.0,0.30,0.25
551800,213990,331100,0.5,0.10,0.25
551801,249780,340750,0.5,0.30,0.25
551802,232510,344320,0.5,0.30,0.25
551803,249700,343020,1.0,0.70,0.70
551804,244620,339100,0.5,0.10,0.25
551805,240280,338900,0.5,0.30,0.25
551806,232400,345780,0.5,0.10,0.25
551807,246900,342180,1.0,0.20,0.25
551808,239550,338150,1.0,0.40,0.25
551809,233160,342690,0.5,0.30,0.25
551811,226390,344110,1.0,0.50,0.25
551812,234380,345220,2.0,0.50,1.20
551813,236610,342650,2.0,0.60,0.25
551814,230410,340290,1.0,0.30,0.25
551815,245320,341150,0.5,0.10,0.25
551816,241560,339800,1.0,0.10,0.25
551817,241660,339300,0.5,0.05,0.25
551818,240920,346720,0.5,0.05,0.25
551819,245400,341750,0.5,0.05,0.25
551820,262790,369650,0.5,0.05,0.25
551821,242260,341250,1.0,0.20,0.25
551823,234430,335110,0.5,0.30,0.25
551824,238970,339350,1.0,0.50,0.50
551825,237690,337920,0.5,0.10,0.25
551826,245980,340580,0.5,0.20,0.50
551827,229070,343190,0.5,0.05,0.25
551828,244600,343500,2.0,0.20,0.80
551829,231600,338280,0.5,0.40,1.00
551830,226860,343280,0.5,0.20,0.25
551831,230190,342640,0.5,0.05,0.25
551832,237660,345070,2.0,0.40,0.25
551833,235460,343310,2.0,0.40,0.25
551834,230790,341800,0.5,0.05,0.25
551835,236700,341030,0.5,0.40,0.60
551836,235580,336940,1.0,0.10,0.25
551837,244380,337900,2.0,0.30,0.25
551839,246730,343210,1.0,0.05,0.25
551840,237760,341200,1.0,0.30,0.25
551841,238400,346200,1.0,0.40,0.25
551842,236200,343790,0.5,0.05,0.25
551843,231020,339280,0.5,0.20,0.25
551844,231920,337030,2.0,0.30,0.25
551845,237430,344950,0.5,0.05,0.25
551846,239920,345030,1.0,0.05,0.25
551847,238100,338620,0.5,0.05,0.25
551848,235260,341030,0.5,0.30,0.25
551849,240410,346050,0.5,0.50,0.50
551850,234010,343100,0.5,0.05,0.25
551851,236800,343090,0.5,0.30,0.25
551852,237610,335990,2.0,0.70,0.90
551853,229570,343810,0.5,0.80,1.20
551854,243700,343600,0.5,0.40,0.25
551855,228580,340420,2.0,0.30,0.25
551856,244640,340610,0.5,0.20,0.25
551857,235780,338380,0.5,0.60,0.25
551858,232890,336480,0.5,0.30,0.70
551859,235600,336100,1.0,0.50,0.25
551860,240050,337520,0.5,0.70,0.90
551861,234990,340120,0.5,0.70,0.80
551862,242580,340790,2.0,0.70,1.70
551863,232210,343730,0.5,0.40,0.25
551864,238460,336870,0.5,0.40,0.25
551865,242910,337930,0.5,0.30,0.25
551866,237490,335220,0.5,0.20,0.25
551867,248280,342870,2.0,1.10,1.30
551870,236050,336620,0.5,0.60,0.25
551871,236880,337940,0.5,1.00,0.25
551872,242200,338820,0.5,0.60,0.25
551873,232100,338200,2.0,0.50,0.25
551876,227790,341560,20.0,1.10,0.90
551877,239220,339700,0.5,0.10,0.25
551879,237500,336900,0.5,0.20,0.25
551880,242140,340180,0.5,0.50,0.25
551881,227790,341560,0.5,0.20,0.25
551883,241400,341500,1.0,0.60,0.25
551885,233250,341890,2.0,0.80,2.00
551887,230500,346240,0.5,0.40,0.25
551888,236410,335600,0.5,0.10,0.90
551889,240520,340330,0.5,0.10,0.25
551890,231950,340190,0.5,0.20,0.25
551891,248600,342900,1.0,0.80,1.10
551892,232980,344790,0.5,0.30,0.25
551894,242080,342800,2.0,0.40,0.90
551895,242000,341110,0.5,0.05,0.60
551896,239000,337440,1.0,0.30,0.65
551897,211690,336190,1.0,0.40,0.50
551898,242520,342200,0.5,0.30,0.25
551899,249190,341150,1.0,0.60,0.25
551900,238650,338890,1.0,0.40,0.25
551901,270680,358880,0.5,0.50,0.50
551902,281780,353600,1.0,0.30,0.25
551903,213510,343450,2.0,1.30,1.50
551905,264750,361050,2.0,0.30,0.25
551906,283720,346050,1.0,0.30,0.25
551907,275810,347910,0.5,0.40,0.25
551909,282590,353720,1.0,0.30,0.25
551910,275720,347000,0.5,0.05,0.25
551911,273580,360220,3.0,0.50,0.70
551912,281450,347270,0.5,0.05,0.25
551913,282870,352630,7.0,0.30,0.25
551914,274920,361280,1.0,0.20,0.50
551915,275500,347750,7.0,0.40,0.25
551916,264880,364270,0.5,0.20,0.25
551918,262600,368120,0.5,0.20,0.25
551919,266520,366900,0.5,0.05,0.25
551920,279400,347750,0.5,0.30,0.25
551921,278940,347030,0.5,0.20,0.25
551922,262100,361120,0.5,0.40,0.25
551923,227480,344910,3.0,0.10,0.50
551924,261310,366400,2.0,0.05,0.50
551925,264630,364560,0.5,0.05,0.25
551926,263270,364430,50.0,0.10,0.90
551927,280270,353290,1.0,0.60,0.80
551928,264560,360100,1.0,0.30,0.25
551929,228200,344700,11.0,0.50,1.10
551930,281800,350320,2.0,0.40,0.50
551931,264900,365400,2.0,0.70,0.25
551932,265600,365120,1.0,0.20,0.25
551933,270820,358180,3.0,0.50,0.25
551935,278550,349580,0.5,0.30,0.25
551936,277100,349180,4.0,0.50,0.25
551937,272440,359730,2.0,0.40,0.25
551938,261160,365730,2.0,0.30,0.50
551939,263990,368090,0.5,0.20,0.25
551940,271520,360170,3.0,1.00,0.60
551941,260130,364000,2.0,0.60,0.80
551942,275200,351350,5.0,0.50,0.25
551943,226890,345590,1.0,0.70,0.60
551945,262830,364520,1.0,0.40,0.25
551946,262420,358790,1.0,0.50,0.25
551947,265480,362980,452.0,0.20,0.25
551948,265700,368170,3.0,0.20,0.25
551949,263800,359820,3.0,0.20,0.25
551950,264540,367730,1.0,0.30,0.25
551951,282340,348420,2.0,0.20,0.70
551952,264300,362230,0.5,0.50,0.25
551954,264720,367680,0.5,0.20,0.25
551955,261520,362510,0.5,0.05,0.80
551956,277870,345950,1.0,0.30,0.25
551957,227800,343910,0.5,0.20,0.25
551958,282620,354620,0.5,0.05,0.50
551959,281800,353950,0.5,0.05,0.25
551960,271830,362130,5.0,0.20,0.70
551961,263250,372720,31.0,0.30,0.60
551963,261480,368130,0.5,0.05,0.70
551964,275020,350380,0.5,0.05,0.25
551965,281790,351120,0.5,0.10,1.10
551966,260390,366790,2.0,0.05,1.00
551967,261010,359900,0.5,0.05,1.30
551968,265100,361900,0.5,0.05,0.70
551969,228520,343890,0.5,0.20,1.00
551971,264020,363430,0.5,0.05,0.25
551972,271260,361990,42.0,0.05,0.25
551973,279600,348580,0.5,0.10,0.50
551974,262880,365990,2.0,0.05,0.25
551976,273200,361720,2.0,0.30,0.80
551977,275620,350090,0.5,0.10,0.25
551978,273650,345900,0.5,0.10,0.25
551979,260420,362120,0.5,0.05,0.25
551980,283300,349400,2.0,0.30,0.25
551981,260510,368040,0.5,0.05,0.25
551982,281760,347310,5.0,0.30,0.80
551983,282580,345050,2.0,0.10,0.25
551984,260690,366230,3.0,0.05,0.25
551985,262500,365200,1.0,0.05,0.25
551986,225850,345160,2.0,0.20,1.30
551988,263610,368880,0.5,0.05,0.25
551989,283450,347990,3.0,0.60,1.50
551990,276550,346880,2.0,0.40,0.50
551991,266050,362050,0.5,0.05,0.60
551992,275300,349840,3.0,0.30,0.25
551993,261700,364300,1.0,0.30,1.10
551994,209450,334810,0.5,0.20,0.60
551995,260370,359850,0.5,0.20,0.25
551996,264040,361600,0.5,0.70,0.70
551997,263900,359130,0.5,0.10,0.25
551998,284590,347820,0.5,0.40,0.25
551999,282800,349350,1.0,0.40,0.25
552000,275510,351660,5.0,8.30,5.60
552001,264420,370700,0.5,0.40,0.25
552002,269410,389800,1.0,1.00,1.00
552003,262760,371200,0.5,0.40,0.25
552004,265050,373750,0.5,0.20,0.25
552005,261280,390470,1.0,0.40,0.25
552006,267780,387520,0.5,0.70,0.25
552007,269180,371920,0.5,0.20,0.25
552008,267100,390420,0.5,0.40,0.25
552009,263520,388220,0.5,0.40,0.25
552011,270770,363030,0.5,0.30,0.25
552012,268760,388810,0.5,0.50,0.25
552013,266510,371490,0.5,0.40,0.65
552014,265450,387220,7.0,0.80,0.70
552015,263500,391240,4.0,0.30,0.25
552016,268390,361230,0.5,0.30,0.25
552017,267850,361500,0.5,0.20,0.25
552018,267120,361530,0.5,0.20,0.25
552019,262930,390820,8.0,0.30,0.25
552020,261670,385180,46.0,0.50,0.25
552023,266420,369180,0.5,0.20,0.25
552024,264350,388680,2.0,0.60,0.25
552025,265380,389780,2.0,0.20,0.25
552026,263000,391170,6.0,0.40,0.25
552027,269120,363750,0.5,0.20,0.25
552028,269130,359070,0.5,0.20,0.90
552029,264830,384420,0.5,0.70,0.25
552030,269560,363090,0.5,0.05,0.25
552032,266060,359110,0.5,0.30,1.40
552033,260300,385490,842.0,0.20,0.25
552035,275320,370610,3.0,0.05,0.90
552036,266970,369040,3.0,0.20,0.25
552037,264110,371800,0.5,0.30,0.25
552039,269280,357950,70.0,0.40,0.50
552040,270620,369820,0.5,0.40,0.25
552041,265950,360330,0.5,0.05,0.25
552042,260940,384700,31.0,0.70,0.60
552043,268300,386890,0.5,0.50,0.25
552044,263800,384460,70.0,0.40,0.25
552045,266820,358830,1.0,0.90,1.20
552046,266790,363020,0.5,0.05,0.25
552047,264920,389860,0.5,0.70,0.25
552048,273680,369880,1.0,0.20,0.25
552049,267930,363050,0.5,0.30,0.25
552050,260820,386250,7.0,0.10,0.50
552051,266520,370630,0.5,0.50,0.70
552053,269090,363990,0.5,0.30,0.80
552054,269610,360110,0.5,0.40,0.25
552055,268320,388680,4.0,0.50,0.90
552056,264330,391790,3.0,0.60,2.40
552057,272120,368720,2.0,0.70,0.25
552058,262900,386100,3.0,0.60,0.80
552059,269580,370370,2.0,0.30,0.25
552060,267470,390300,0.5,0.50,0.25
552061,274230,368630,0.5,0.40,0.25
552062,270500,361130,2.0,0.50,0.80
552063,261170,371190,0.5,0.05,0.25
552064,261900,390450,1.0,0.30,0.25
552065,268050,360240,6.0,0.40,1.00
552066,262180,390910,2.0,0.70,0.25
552067,267110,372530,0.5,0.10,1.50
552069,264680,370980,649.0,0.60,0.25
552070,268300,369060,0.5,0.05,0.25
552071,270280,369420,1.0,0.40,0.25
552072,267830,360500,1.0,0.30,0.25
552073,262280,383200,30.0,0.60,0.60
552074,267500,370050,0.5,0.30,0.25
552077,263980,388660,22.0,0.50,0.80
552079,261400,390320,1.0,0.05,0.25
552080,268980,361400,59.0,0.40,0.60
552082,266450,386060,2.0,0.80,1.60
552083,268320,373850,0.5,0.05,0.25
552084,272750,371350,0.5,0.10,0.25
552085,261100,388150,2.0,0.30,0.25
552087,267020,387750,0.5,0.40,0.25
552088,270690,371030,3.0,0.10,0.25
552089,268800,374910,0.5,0.40,0.60
552090,265480,372240,0.5,0.05,0.25
552091,266090,373940,0.5,0.05,0.25
552092,269490,388900,2.0,0.30,0.25
552093,272110,370820,2.0,0.10,0.25
552094,267990,358430,0.5,0.20,0.25
552095,267140,374420,0.5,0.05,0.25
552096,266400,390310,2.0,0.20,0.25
552097,265900,370130,0.5,0.20,0.25
552098,267950,357850,0.5,0.20,0.25
552099,263250,370950,2.0,0.20,0.25
552100,264320,388960,31.0,0.30,0.25
552101,274420,396680,2.0,0.70,0.90
552102,274890,399310,0.5,0.50,0.25
552103,270680,365100,0.5,0.05,0.25
552104,276060,368100,0.5,0.05,0.25
552105,271900,393880,2.0,0.30,0.90
552106,276020,398150,0.5,0.40,0.25
552108,275320,389280,1.0,0.90,1.60
552109,270570,394500,0.5,0.70,0.25
552110,272080,392160,0.5,0.05,0.25
552111,276590,395810,0.5,0.40,0.25
552112,271870,397980,0.5,0.40,0.50
552113,273100,398500,0.5,0.60,0.60
552114,274640,395900,0.5,0.40,0.25
552115,273000,392490,0.5,0.10,0.25
552116,272900,386930,0.5,0.30,0.50
552118,272950,366950,7.0,0.10,0.25
552119,278000,390000,0.5,0.20,0.25
552120,275680,392300,3376.0,0.30,0.25
552121,276830,390450,2.0,1.20,0.80
552122,271600,389460,2.0,0.50,1.20
552123,269820,366660,0.5,0.05,0.25
552124,280380,389220,0.5,0.50,1.00
552125,271820,386920,0.5,0.20,0.25
552127,275630,399100,0.5,0.70,0.90
552128,271230,391730,0.5,0.30,0.25
552129,269460,365930,0.5,0.05,0.25
552130,270510,395780,0.5,0.50,0.60
552131,278110,390480,0.5,0.30,0.60
552133,273700,396580,0.5,0.50,0.60
552134,269700,385760,2.0,1.10,1.20
552135,276450,365630,0.5,0.05,0.25
552136,267300,394600,0.5,0.40,0.25
552137,275080,396990,1.0,0.50,0.25
552138,260850,390600,1.0,0.40,0.25
552139,272120,366400,2.0,0.05,0.25
552140,274650,397110,5.0,0.60,0.70
552141,277810,389700,0.5,0.70,0.25
552142,269500,394350,0.5,0.60,0.25
552143,270300,367530,3.0,0.05,0.25
552145,272010,385650,1.0,2.00,0.80
552146,270200,390790,1.0,0.30,0.60
552147,273400,394400,0.5,0.20,0.25
552148,271010,363610,0.5,0.10,0.25
552149,272160,390970,0.5,0.40,0.25
552150,272300,364240,0.5,0.20,0.25
552151,271810,397740,0.5,0.30,0.25
552152,273100,394100,1.0,0.20,0.25
552155,269450,386940,20.0,1.40,0.50
552156,276800,389520,2.0,0.40,1.00
552157,267550,365030,0.5,0.05,0.25
552158,273530,399400,1.0,0.40,1.10
552159,274150,399160,0.5,0.40,0.25
552160,275300,394550,1.0,0.30,0.25
552161,276200,398980,0.5,0.20,0.25
552163,273450,366070,2.0,0.05,0.25
552164,268860,394000,1.0,0.30,0.60
552166,274800,363910,0.5,0.30,0.25
552167,271120,389550,3.0,0.70,0.25
552168,272220,394300,0.5,0.05,1.00
552171,270390,385670,6.0,0.70,0.50
552172,273480,394450,0.5,0.05,1.20
552173,274900,391730,6.0,0.40,0.25
552174,280120,389220,18.0,0.60,0.25
552176,274720,395240,1.0,0.60,0.60
552177,267500,393880,0.5,0.70,0.60
552178,273310,391430,2.0,0.40,0.25
552179,270430,386950,0.5,0.70,0.25
552180,273450,396980,3.0,0.80,1.00
552181,274820,365200,2.0,0.70,0.25
552182,274900,397720,1.0,0.90,0.25
552183,276490,399150,0.5,0.50,0.25
552184,273520,364400,0.5,0.10,0.25
552185,279180,388880,6.0,0.30,0.25
552186,268300,367600,2.0,0.20,0.25
552188,271180,364760,0.5,0.05,0.25
552189,272280,396760,1.0,1.10,1.30
552190,273610,389330,0.5,0.70,0.25
552191,276820,368370,0.5,0.60,0.25
552192,268910,393440,2.0,0.60,0.25
552193,278770,388800,2.0,0.90,0.90
552194,271320,365680,1.0,0.05,0.25
552195,271250,390250,0.5,0.40,0.70
552196,276060,368100,3.0,0.40,0.25
552197,270600,391120,0.5,0.80,1.70
552198,273540,397750,0.5,0.40,1.10
552199,273280,397280,3.0,0.70,1.70
552200,270020,393880,2.0,0.80,2.80
552201,284620,367990,3.0,0.20,0.25
552202,272620,357750,0.5,0.05,0.25
552203,283010,370700,1.0,0.10,0.25
552204,280970,367430,0.5,0.30,0.70
552205,276720,353550,0.5,0.05,0.25
552206,279900,357800,0.5,0.05,0.25
552207,262020,356920,0.5,0.20,0.25
552208,275120,356650,2.0,0.40,0.25
552209,284300,363440,1.0,0.20,0.25
552211,269490,355720,0.5,0.30,0.25
552212,278530,356660,2.0,0.40,0.60
552213,266690,353210,0.5,0.10,0.25
552214,281600,358250,2.0,0.70,1.60
552215,284480,372630,3.0,0.50,0.25
552216,277840,373020,1.0,0.50,0.70
552217,276890,370620,6.0,0.80,0.25
552219,283800,371460,0.5,0.20,0.25
552220,282410,362170,0.5,0.40,0.25
552221,264820,353150,1.0,0.60,0.90
552223,269980,349610,1.0,0.30,0.70
552224,273200,351680,0.5,0.40,0.25
552225,273620,355020,0.5,0.20,0.25
552226,283190,371980,1.0,0.50,0.25
552227,270020,356700,1.0,0.30,0.25
552228,273900,371900,1.0,0.40,0.50
552230,268830,356900,0.5,0.50,0.25
552231,270810,356080,1.0,0.40,0.25
552232,278420,366750,0.5,0.30,0.25
552234,260700,355650,1.0,0.60,0.60
552235,267180,351920,2.0,0.50,0.25
552236,270300,350040,0.5,0.20,0.25
552237,278370,369600,0.5,0.50,0.25
552238,282600,370680,0.5,0.40,0.25
552239,283900,362900,0.5,0.20,0.25
552240,271610,353350,0.5,0.20,0.25
552241,278830,365350,2.0,0.30,0.25
552242,282950,363950,0.5,0.40,0.25
552243,283820,359230,198.0,0.40,0.80
552244,284760,361820,4.0,0.60,0.80
552245,284420,377820,0.5,0.10,0.25
552246,278860,363540,5.0,0.70,2.10
552247,272890,353920,0.5,0.10,0.25
552248,269200,351190,0.5,0.10,0.70
552249,277370,363750,2.0,0.50,1.10
552250,281980,364660,0.5,0.30,1.10
552251,267650,353330,0.5,0.05,0.90
552252,272500,350470,0.5,0.05,0.25
552253,270770,355500,0.5,0.05,0.25
552254,274600,372210,0.5,0.05,0.25
552255,284800,358500,0.5,0.30,0.60
552256,283470,374690,0.5,0.10,0.25
552257,269420,353670,2.0,0.05,0.25
552258,282570,361700,2.0,0.05,0.70
552259,272000,348800,1.0,0.20,0.60
552260,277020,354580,0.5,0.05,0.25
552261,269210,352010,1.0,0.20,0.25
552262,275230,372900,0.5,0.30,0.25
552263,271450,355850,0.5,0.05,0.25
552264,272700,350400,1.0,0.20,0.25
552265,277820,370190,0.5,0.90,1.10
552266,273400,349400,1.0,0.80,1.90
552267,263700,356820,0.5,0.60,1.40
552269,283650,367970,0.5,0.50,0.25
552270,271300,349190,0.5,0.05,0.25
552271,268290,352930,5.0,0.30,0.70
552272,278230,370800,2.0,0.30,0.25
552273,283120,359550,3.0,0.30,0.25
552274,268550,350050,0.5,0.05,0.25
552277,274520,352960,22.0,0.05,0.25
552279,270820,351140,3.0,0.05,0.25
552280,276590,372650,1.0,0.05,0.25
552282,284300,358530,0.5,0.05,0.25
552283,263580,354780,0.5,0.25,0.25
552284,264930,353950,0.5,0.05,0.25
552285,284800,364790,0.5,0.20,0.25
552287,280530,354200,2.0,0.90,1.40
552288,271800,348470,2.0,2.40,0.60
552289,261250,355440,4.0,0.80,0.60
552290,282900,367150,6.0,0.40,0.25
552292,273700,356880,0.5,0.20,0.25
552293,265700,354320,0.5,0.30,0.25
552294,282820,378870,11.0,0.50,2.40
552295,263700,354200,3.0,0.30,0.25
552296,274720,355430,0.5,0.10,0.25
552297,267020,355190,2.0,0.40,0.25
552298,282300,377330,32.0,2.00,44.60
552299,283780,369250,0.5,0.05,0.25
552300,272900,352550,2.0,0.40,0.25
552301,284700,388960,61.0,1.30,3.30
552302,257180,414840,0.5,5.20,0.70
552303,274700,358410,0.5,0.05,0.25
552305,282720,385500,1.0,0.40,0.25
552306,283500,383580,1.0,0.30,0.25
552308,272700,380600,2.0,0.70,1.30
552309,277950,352050,0.5,0.40,0.25
552310,279590,378190,233.0,0.90,0.25
552311,282050,386980,4.0,0.40,1.00
552312,282590,384340,1.0,0.50,0.25
552313,284450,380620,0.5,0.60,0.25
552314,284100,386000,3.0,0.40,0.25
552315,280300,379050,32.0,3.00,1.00
552316,277190,377110,145.0,0.60,0.25
552318,270860,373470,2.0,0.90,0.50
552319,272200,378540,3.0,0.50,0.25
552320,270950,380900,2.0,0.60,0.25
552321,271600,380300,8.0,3.70,14.00
552323,280100,358200,0.5,0.40,0.25
552324,276320,374980,2.0,0.50,0.25
552325,278800,376200,1.0,0.60,0.25
552326,278750,374770,5.0,0.80,0.80
552327,255420,414800,0.5,0.90,1.30
552328,279080,379210,0.5,0.40,0.25
552329,278620,358400,0.5,0.70,0.25
552330,276500,380300,2.0,0.40,0.25
552331,272370,377980,3.0,0.50,0.25
552332,277550,377660,3.0,0.50,0.60
552333,283750,389110,1.0,0.30,0.25
552334,277900,386250,1.0,0.50,0.25
552336,273780,381720,28.0,0.70,1.10
552337,283600,387520,3.0,0.60,0.70
552338,275250,375450,2.0,0.50,0.25
552339,269780,373400,16.0,0.50,0.25
552340,283000,387980,2.0,0.50,0.60
552341,271320,378140,2.0,0.60,0.60
552342,275820,382570,1.0,1.00,0.70
552343,280100,359650,2.0,0.70,0.25
552345,277120,375910,0.5,0.30,0.25
552346,278460,382190,6.0,0.60,0.25
552348,272120,376480,0.5,0.10,0.25
552350,271700,375980,0.5,0.40,0.25
552354,270230,374240,0.5,0.40,0.25
552357,277290,357880,1.0,0.50,0.25
552358,277300,349750,0.5,0.10,0.25
552359,257750,415100,3.0,0.10,1.60
552360,279350,385320,0.5,0.30,0.25
552361,256050,413990,0.5,0.10,0.50
552363,272180,372960,0.5,0.40,0.80
552364,274200,383150,11.0,0.50,0.80
552365,278450,354730,0.5,0.20,0.25
552366,273830,374300,0.5,0.20,0.25
552367,278290,383180,2.0,0.60,1.50
552369,278110,358910,0.5,0.20,0.25
552370,268980,377280,0.5,0.05,0.25
552371,275240,376600,0.5,0.05,0.25
552372,280670,385930,0.5,0.05,0.25
552373,269690,380900,700.0,0.30,0.25
552374,275440,373330,0.5,0.10,0.25
552376,278220,385750,0.5,0.70,1.40
552377,272880,382700,8.0,0.40,0.25
552378,279490,379370,0.5,0.05,0.25
552379,278290,384500,0.5,0.60,0.25
552381,272540,374640,3.0,0.40,0.25
552383,283620,382590,7.0,0.30,0.25
552384,274330,375300,7.0,0.30,0.25
552385,270600,377600,1.0,0.60,0.25
552386,278380,360720,0.5,0.20,0.25
552388,275530,358900,0.5,0.40,0.25
552389,280920,383180,3.0,0.90,0.90
552390,270800,382050,5.0,0.40,0.25
552391,281200,384650,0.5,0.05,0.25
552392,273750,383280,7.0,0.30,0.25
552393,271000,377300,3.0,0.20,0.25
552394,275800,357820,0.5,0.10,0.25
552396,280880,391050,0.5,0.05,1.20
552397,278200,381690,0.5,0.20,0.25
552398,283180,389170,2.0,0.30,0.25
552399,282230,382200,3.0,0.05,0.25
552400,276820,380810,0.5,0.30,0.90
552401,280280,391980,1.0,0.30,0.25
552402,252300,417480,0.5,0.80,0.50
552403,282490,392000,1.0,0.90,0.25
552405,262980,379690,0.5,0.50,0.25
552406,249700,411880,0.5,1.20,0.90
552407,283850,394100,4.0,0.60,0.25
552408,260700,378300,0.5,0.60,0.25
552409,244050,410310,0.5,0.10,0.25
552411,247980,414600,1.0,1.10,1.50
