SAMPLE_NO,Easting,Northing,Au,Pt,Pd
550193,248400,403000,2.0,0.10,0.25
550194,257220,401450,0.5,0.60,0.70
550195,253170,406140,0.5,0.10,0.25
550196,250430,397300,0.5,0.05,0.25
550197,251360,397350,1.0,0.30,0.25
550198,253450,403850,0.5,0.05,0.25
550199,254000,404950,0.5,0.05,0.25
550200,243050,408650,0.5,0.20,0.25
550201,241100,399600,0.5,0.20,0.25
550202,259700,385400,592.0,0.20,0.25
550203,245260,395980,0.5,0.20,0.25
550204,242600,398090,0.5,0.40,0.25
550205,243980,391500,0.5,0.50,0.90
550206,257150,386570,3485.0,0.30,0.25
550207,245820,398900,2.0,0.20,0.25
550208,245990,391130,0.5,0.30,0.25
550209,241400,390300,0.5,0.20,0.25
550211,255130,388530,19.0,0.30,0.50
550212,258290,386470,276.0,0.05,0.25
550213,246210,389790,6.0,0.05,0.25
550214,258300,389300,15.0,0.40,0.25
550215,241180,401630,3.0,0.10,0.25
550216,241190,397490,0.5,0.20,0.25
550217,240300,398390,1.0,0.10,0.25
550218,250700,396080,0.5,0.50,0.25
550219,243100,401690,0.5,0.20,0.25
550221,246380,397410,0.5,0.10,0.25
550223,242020,394450,0.5,0.20,0.25
550224,245420,394550,0.5,0.30,0.25
550225,245670,393300,1.0,0.80,0.25
550226,242300,402000,2.0,0.20,0.25
550227,254070,387560,4.0,0.50,0.25
550228,244280,400150,2063.0,0.40,0.25
550229,256370,392050,0.5,0.80,0.90
550231,257020,393050,0.5,0.90,0.90
550233,241520,387900,1.0,0.20,0.25
550234,245310,398030,3.0,0.40,0.25
550235,247610,395480,0.5,0.40,0.25
550236,241950,393770,4.0,0.20,0.25
550237,240350,396280,0.5,0.30,0.25
550238,243600,396700,0.5,0.10,0.25
550239,243260,400930,0.5,0.30,0.25
550240,248200,393670,0.5,0.50,0.50
550241,250710,399800,0.5,0.30,0.25
550242,241000,386820,0.5,0.05,0.25
550243,259380,389090,15.0,0.50,0.25
550244,243690,389730,0.5,0.10,0.25
550245,248880,398610,0.5,0.40,0.25
550246,250510,399950,0.5,0.20,0.25
550247,245420,393430,1.0,0.20,0.25
550248,247130,394520,1.0,1.90,0.90
550249,249510,400630,0.5,0.05,0.25
550250,241220,388850,0.5,0.05,0.25
550251,243310,394190,0.5,0.30,0.25
550252,241010,392150,4.0,0.30,0.25
550253,255450,387990,3.0,0.80,0.80
550254,245100,399880,0.5,0.30,0.25
550255,258920,389600,11.0,0.60,0.70
550256,249010,396220,4.0,0.50,1.20
550257,247450,389940,1.0,0.70,1.00
550258,243450,389280,19.0,0.10,0.25
550259,240830,393080,0.5,0.60,1.30
550260,244780,390700,0.5,0.70,0.70
550261,247430,374720,28.0,0.60,0.80
550262,246270,400580,3.0,0.30,0.60
550263,255980,393950,0.5,0.70,1.10
550264,240400,392590,0.5,0.20,0.25
550265,240650,396500,0.5,0.70,0.90
550266,240220,393200,0.5,0.20,0.25
550267,243170,398310,0.5,0.40,0.50
550269,242030,399190,0.5,0.40,0.50
550270,241510,394110,0.5,0.30,0.25
550271,258870,396410,3.0,4.90,9.40
550272,240580,397330,0.5,0.50,0.25
550273,259940,390300,2.0,0.70,0.70
550274,242820,394800,0.5,0.40,0.25
550277,242980,391100,0.5,0.10,0.25
550279,243010,392300,2.0,0.50,0.50
550280,247320,399800,4.0,0.20,0.25
550282,258100,388570,5.0,0.80,0.25
550283,246200,397900,0.5,0.05,0.25
550284,248930,392190,0.5,0.05,1.10
550285,240700,388930,0.5,0.05,0.25
550287,257680,387750,20.0,0.05,0.25
550288,240420,393500,0.5,0.05,0.25
550289,245400,397510,2.0,1.50,1.50
550290,241930,398870,0.5,0.05,0.25
550291,244280,397350,0.5,0.05,0.50
550292,259080,386550,14.0,0.05,0.25
550293,247560,392100,2.0,0.40,0.25
550295,246780,397490,0.5,0.10,0.25
550297,243220,394630,0.5,0.30,0.25
550298,249310,397430,1.0,0.30,0.25
550299,240260,399850,0.5,0.05,0.25
550300,245110,394610,0.5,0.50,0.25
550301,258940,400300,0.5,0.60,1.20
550302,255580,399210,0.5,2.90,3.40
550303,249400,387830,0.5,0.70,0.70
550304,243550,373020,0.5,0.30,0.50
550305,238600,367320,223.0,0.90,0.25
550306,258080,393490,4.0,3.10,4.30
550307,238630,372200,54.0,0.70,0.25
550308,240250,371980,44.0,0.05,0.25
550309,256210,397650,0.5,1.70,1.70
