Academic Year,Literacy,Numeracy,ICT,Number of qualifications
Up to 31 July 2003,175,141,0,316
1 August 2003 - 31 July 2004,2040,1403,0,3443
1 August 2004 - 31 July 2005,3231,2234,0,5465
1 August 2005 - 31 July 2006,5680,4011,0,9691
1 August 2006 - 31 July 2007,6626,5656,145,12427
1 August 2007 - 31 July 2008,7464,7428,305,15197
1 August 2008 - 31 July 2009,7429,7319,405,15153
1 August 2009 - 31 July 2010,11376,10661,3296,25333
1 August 2010 - 31 July 2011,13125,14293,7919,35337
1 August 2011 - 31 July 2012,15143,16357,8595,40095
1 August 2012 - 31 July 2013,14376,16269,8739,39384
1 August 2013 - 31 July 2014,17695,15464,7698,40857
