FID,AREA,PERIMETER,BLOCKS_,BLOCKS_ID,TILEBLOCK,TILE,BLOCK,TILENUM,TILEBLKNUM
2001,1023723,4083.332,2402,2479,1499L,1499,L,1499,1499L
2002,1024364,4083.947,2102,2080,1668M,1668,M,1668,1668M
2003,1023104,4081.942,2902,2860,1358H,1358,H,1358,1358H
2004,1021331,4079.139,2202,2189,1668N,1668,N,1668,1668N
2005,1024754,4085.666,2602,2533,1513J,1513,J,1513,1513J
2006,1025903,4087.062,2403,2326,1515B,1515,B,1515,1515B
2007,1025810,4086.546,2903,2772,1367A,1367,A,1367,1367A
2008,1025565,4087.495,2404,2402,1507F,1507,F,1507,1507F
2009,1021998,4079.432,2904,2946,1351K,1351,K,1351,1351K
2010,1022734,4081.105,2103,2001,1677E,1677,E,1677,1677E
2011,1025198,4085.809,2203,2110,1676K,1676,K,1676,1676K
2012,1024023,4082.491,2603,2691,1346D,1346,D,1346,1346D
2013,1021285,4077.825,2405,2480,1499M,1499,M,1499,1499M
2014,1025941,4089.362,2905,3033,1344N,1344,N,1344,1344N
2015,1019303,4074.616,2104,2162,1661P,1661,P,1661,1661P
2016,1022237,4080.746,2604,2610,1505P,1505,P,1505,1505P
2017,1025996,4087.2,2204,2271,1501C,1501,C,1501,1501C
2018,1029800,4095.891,2105,2245,1495A,1495,A,1495,1495A
2019,1025901,4087.059,2406,2327,1515C,1515,C,1515,1515C
2020,1024485,4085.063,2906,2861,1359E,1359,E,1359,1359E
2021,1025876,4087.349,2106,2081,1669J,1669,J,1669,1669J
2022,1023683,4083.247,2205,2350,1494F,1494,F,1494,1494F
2023,1023625,4083.112,2407,2403,1507G,1507,G,1507,1507G
2024,1023700,4083.286,2605,2534,1513K,1513,K,1513,1513K
2025,1026676,4088.48,2907,2773,1367B,1367,B,1367,1367B
2026,1027980,4092.95,2408,2481,1500J,1500,J,1500,1500J
2027,1023507,4082.853,2107,2002,1677F,1677,F,1677,1677F
2028,1023097,4083.168,2206,2190,1668P,1668,P,1668,1668P
2029,1031177,4098.609,2606,2692,1347A,1347,A,1347,1347A
2030,1023821,4083.552,2908,2947,1351L,1351,L,1351,1351L
2031,1026105,4087.556,2409,2328,1515D,1515,D,1515,1515D
2032,1025122,4085.647,2207,2111,1676L,1676,L,1676,1676L
2033,1021123,4078.738,2108,2163,1661R,1661,R,1661,1661R
2034,1021961,4080.385,2909,3034,1344P,1344,P,1344,1344P
2035,1024169,4085.118,2607,2611,1505R,1505,R,1505,1505R
2036,1022571,4080.732,2410,2404,1507H,1507,H,1507,1507H
2037,1023766,4083.437,2910,2862,1359F,1359,F,1359,1359F
2038,1023659,4083.185,2608,2535,1513L,1513,L,1513,1513L
2039,1025877,4087.011,2109,2246,1495B,1495,B,1495,1495B
2040,1023715,4083.315,2411,2482,1500K,1500,K,1500,1500K
2041,1023776,4082.226,2208,2272,1501D,1501,D,1501,1501D
2042,1026740,4089.347,2002,1892,1677D,1677,D,1677,1677D
2043,1026601,4088.32,2911,2774,1367C,1367,C,1367,1367C
2044,1025490,4086.172,2412,2329,1516A,1516,A,1516,1516A
2045,1026756,4088.609,2609,2693,1347B,1347,B,1347,1347B
2046,1025224,4085.87,2110,2082,1669K,1669,K,1669,1669K
2047,1022766,4081.17,2912,2948,1351M,1351,M,1351,1351M
2048,1023624,4083.115,2209,2351,1494G,1494,G,1494,1494G
2049,1024726,4085.602,2413,2405,1508E,1508,E,1508,1508E
2050,1020867,4077.611,2610,2612,1505S,1505,S,1505,1505S
2051,1023507,4082.852,2111,2003,1677G,1677,G,1677,1677G
2052,1023819,4083.557,2913,2863,1359G,1359,G,1359,1359G
2053,1023656,4083.184,2414,2483,1500L,1500,L,1500,1500L
2054,1021218,4078.915,2210,2191,1668R,1668,R,1668,1668R
2055,1028486,4092.598,2914,2775,1367D,1367,D,1367,1367D
2056,1025837,4086.917,2415,2330,1516B,1516,B,1516,1516B
2057,1023769,4083.434,2611,2536,1513M,1513,M,1513,1513M
2058,1020068,4076.324,2112,2164,1661S,1661,S,1661,1661S
2059,1021886,4080.225,2915,3035,1344R,1344,R,1344,1344R
2060,1023672,4083.22,2416,2406,1508F,1508,F,1508,1508F
