COUNTY_ID,CountyName,Area_SqKM,OBJECTID
6,TYRONE,3265.796622,1
1,ANTRIM,3097.84775,2
2,ARMAGH,1327.228438,3
4,FERMANAGH,1850.832538,4
5,LONDONDERRY,2118.316853,5
3,DOWN,2491.238606,6
