FE College,Full-time,Part-time,
Belfast Metropolitan College,4618,25537,30155
Northern Regional College,3203,11918,15121
North West Regional College,3829,15521,19350
South Eastern Regional College,3555,18871,22426
Southern Regional College,3783,18703,22486
South West College,2308,12751,15059
Total,21296,103301,124597
Source: Consolidated Data Return (CDR),,,
Notes:,,,
For further details on definitions please refer to the metadata.,,,
