"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",1,1,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",1,1,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",0,0,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",1,1,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",1,1,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",1,1,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",1,1,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",1,1,0,0
"7050A1002_34 - CLOONEY RD5: MAYDOWN RBT TO DONNYBREWER RD (SHOULD BE END-DATED) -  LONDONDERRY","LONDONDERRY","?",1,1,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1395,1395,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1296,1296,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1240,1240,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1897,1897,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1929,1929,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1930,1930,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1959,1959,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1235,1235,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1389,1389,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",23,23,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",1209,1209,0,0
"7050U1112_01 - LOWER GALLIAGH RD1: BERAGH HILL RD TO WOODBROOK -  LONDONDERRY","LONDONDERRY","?",67,67,0,0
