District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,5884,18956,14295,16613,55748
"Armagh City, Banbridge and Craigavon",4019,33840,18329,23624,79812
Belfast,29992,14614,40402,67211,152219
Causeway Coast and Glens,5071,27986,15177,13379,61613
Derry City and Strabane,5761,17525,14719,20634,58639
Fermanagh and Omagh,2382,27943,7624,8570,46519
Lisburn and Castlereagh,4773,21100,16142,12536,54551
Mid and East Antrim,5408,22803,12292,16620,57123
Mid Ulster,1823,27628,10776,10508,50735
"Newry, Mourne and Down",4121,31187,15422,14785,65515
Ards and North Down,6939,24908,18802,17226,67875
Northern Ireland,76173,268490,183980,221706,750349
