District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,6037,19026,14385,16682,56130
"Armagh City, Banbridge and Craigavon",4119,34257,18557,23750,80683
Belfast,30886,14630,40517,67317,153350
Causeway Coast and Glens,5219,28182,15281,13487,62169
Derry City and Strabane,5925,17614,14784,20698,59021
Fermanagh and Omagh,2399,28187,7665,8579,46830
Lisburn and Castlereagh,4884,21258,16348,12691,55181
Mid and East Antrim,5391,22893,12382,16616,57282
Mid Ulster,1857,27886,10868,10522,51133
"Newry, Mourne and Down",4250,31700,15565,14862,66377
Ards and North Down,7109,25192,18884,17306,68491
Northern Ireland,78076,270825,185236,222510,756647
