Quarter Year,Antrim and Newtownabbey,Armagh Banbridge and Craigavon,Belfast,Causeway Coast and Glens,Derry and Strabane,Fermanagh and Omagh,Lisburn and Castlereagh,Mid and East Antrim,Mid Ulster,Newry Mourne and Down,North Down and Ards,Total social housing new dwelling starts,,,,
Q2 2015,27,5,117,22,28,1,31,0,74,0,116,421,,,,
Q3 2015,2,27,31,2,271,0,71,0,0,0,50,454,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
