objectid,perimeter,zone
1,87456.366333,4
2,13583.052994,5
5,13292.970311,1
6,28902.91904,5
7,40353.56627,4
8,26113.237421,3
9,14529.859234,2
10,45996.314207,6
3,30398.341257,1
4,8998.423032,1
