OBJECTID_1,DISTRICT,WARD,MUNICODE,YRAPPROV,MWD_NOPAD,PSEUDONUM,OPA_MUNI,OBJECTID,LABEL,Shape_Leng
1189,8,3,173,1991,17338,0440,926,0, ,0
1190,5,3,173,1991,17335,0437,926,0, ,0
1191,2,4,173,1991,17342,0442,926,0, ,0
1192,6,3,173,1991,17336,0438,926,0, ,0
1193,2,5,173,1991,17352,0449,926,0, ,0
1194,2,1,166,1993,16612,0315,927,0, ,0
1195,1,1,166,1993,16611,0314,927,0, ,0
1196,1,6,166,1993,16661,0329,927,0, ,0
1197,3,7,166,1993,16673,0334,927,0, ,0
1198,4,0,156,0,15604,0281,917,0, ,0
1199,1,0,156,0,15601,0278,917,0, ,0
1200,3,0,156,0,15603,0280,917,0, ,0
1201,2,0,156,0,15602,0279,917,0, ,0
1202,0,2,137,1993,13720,0186,908,0, ,0
1203,2,5,137,1993,13752,0191,908,0, ,0
1204,1,1,137,1993,13711,0184,908,0, ,0
1205,2,1,137,1993,13712,0185,908,0, ,0
1206,1,7,137,1993,13771,0194,908,0, ,0
1207,2,6,137,1993,13762,0193,908,0, ,0
1208,1,5,137,1993,13751,0190,908,0, ,0
1209,2,4,137,1993,13742,0189,908,0, ,0
1210,0,3,137,1993,13730,0187,908,0, ,0
1211,2,3,103,1990,10332,0009,802,0, ,0
1212,1,3,103,1990,10331,0008,802,0, ,0
1213,0,1,103,1990,10310,0005,802,0, ,0
1214,5,0,156,0,15605,0282,917,0, ,0
1215,6,0,190,1990,19006,1002,880,0, ,0
1216,5,0,190,1990,19005,1001,880,0, ,0
1217,11,0,210,1990,210011,1192,854,0, ,0
1218,8,0,210,1990,21008,1189,854,0, ,0
1219,7,0,186,2004,18607,0578,935,0, ,0
1220,2,0,186,2004,18602,0573,935,0, ,0
1221,6,0,186,2004,18606,0577,935,0, ,0
1222,8,0,186,2004,18608,0579,935,0, ,0
1223,4,0,186,2004,18604,0575,935,0, ,0
1224,5,0,186,2004,18605,0576,935,0, ,0
1225,3,1,228,2004,22813,1305,866,0, ,0
