FID,AREA,GRID_CODE,SQFT,ACRES,SQMI
3001,67240,14,67240,1.543618,0.002412
3002,6724,6,6724,0.154362,0.000241
3003,6724,5,6724,0.154362,0.000241
3004,33620,6,33620,0.771809,0.001206
3005,6724,6,6724,0.154362,0.000241
3006,33620,5,33620,0.771809,0.001206
3007,40344,2,40344,0.926171,0.001447
3008,94136,6,94136,2.161065,0.003377
3009,9124468,5,9124468,209.469,0.327295
3010,658952,6,658952,15.12746,0.023637
3011,73964,5,73964,1.69798,0.002653
3012,13448,5,13448,0.308724,0.000482
3013,13448,5,13448,0.308724,0.000482
3014,73964,4,73964,1.69798,0.002653
3015,6724,4,6724,0.154362,0.000241
3016,53792,6,53792,1.234894,0.00193
3017,40344,6,40344,0.926171,0.001447
3018,6724,6,6724,0.154362,0.000241
3019,13448,5,13448,0.308724,0.000482
3020,181548,5,181548,4.167768,0.006512
3021,235340,6,235340,5.402663,0.008442
3022,26896,6,26896,0.617447,0.000965
3023,94136,14,94136,2.161065,0.003377
3024,6724,6,6724,0.154362,0.000241
3025,33620,6,33620,0.771809,0.001206
3026,13448,14,13448,0.308724,0.000482
3027,248788,14,248788,5.711387,0.008924
3028,40344,5,40344,0.926171,0.001447
3029,80688,2,80688,1.852342,0.002894
3030,6724,6,6724,0.154362,0.000241
3031,6724,14,6724,0.154362,0.000241
3032,275684,6,275684,6.328834,0.009889
3033,20172,6,20172,0.463085,0.000724
3034,6724,5,6724,0.154362,0.000241
3035,13448,6,13448,0.308724,0.000482
3036,201720,14,201720,4.630854,0.007236
3037,53792,5,53792,1.234894,0.00193
3038,20172,6,20172,0.463085,0.000724
3039,33620,6,33620,0.771809,0.001206
3040,47068,5,47068,1.080533,0.001688
3041,6724,4,6724,0.154362,0.000241
3042,6724,5,6724,0.154362,0.000241
3043,13448,5,13448,0.308724,0.000482
3044,26896,6,26896,0.617447,0.000965
3045,342924,14,342924,7.872452,0.012301
3046,194996,11,194996,4.476492,0.006995
3047,13448,2,13448,0.308724,0.000482
3048,6724,6,6724,0.154362,0.000241
3049,13448,6,13448,0.308724,0.000482
3050,6724,5,6724,0.154362,0.000241
3051,504300,5,504300,11.57714,0.018089
3052,26896,6,26896,0.617447,0.000965
3053,26896,6,26896,0.617447,0.000965
3054,168100,5,168100,3.859045,0.00603
3055,26896,6,26896,0.617447,0.000965
3056,20172,6,20172,0.463085,0.000724
3057,33620,5,33620,0.771809,0.001206
3058,564816,5,564816,12.96639,0.02026
3059,6724,5,6724,0.154362,0.000241
3060,6724,6,6724,0.154362,0.000241
3061,147928,6,147928,3.39596,0.005306
3062,6724,5,6724,0.154362,0.000241
3063,60516,6,60516,1.389256,0.002171
3064,40344,5,40344,0.926171,0.001447
3065,6724,6,6724,0.154362,0.000241
3066,53792,6,53792,1.234894,0.00193
3067,13448,5,13448,0.308724,0.000482
3068,73964,5,73964,1.69798,0.002653
3069,67240,14,67240,1.543618,0.002412
3070,20172,6,20172,0.463085,0.000724
3071,26896,6,26896,0.617447,0.000965
3072,134480,5,134480,3.087236,0.004824
3073,948084,3,948084,21.76501,0.034008
3074,73964,6,73964,1.69798,0.002653
3075,13448,5,13448,0.308724,0.000482
3076,6724,3,6724,0.154362,0.000241
3077,6724,6,6724,0.154362,0.000241
3078,6724,5,6724,0.154362,0.000241
3079,6724,5,6724,0.154362,0.000241
3080,47068,6,47068,1.080533,0.001688
3081,13448,5,13448,0.308724,0.000482
3082,6724,6,6724,0.154362,0.000241
3083,20172,6,20172,0.463085,0.000724
3084,194996,6,194996,4.476492,0.006995
3085,329476,5,329476,7.563728,0.011818
3086,6724,6,6724,0.154362,0.000241
3087,20172,3,20172,0.463085,0.000724
3088,13448,6,13448,0.308724,0.000482
3089,73964,5,73964,1.69798,0.002653
3090,376544,5,376544,8.64426,0.013507
3091,6724,5,6724,0.154362,0.000241
3092,20172,5,20172,0.463085,0.000724
3093,40344,5,40344,0.926171,0.001447
3094,40344,5,40344,0.926171,0.001447
3095,6724,5,6724,0.154362,0.000241
3096,13448,5,13448,0.308724,0.000482
3097,6724,6,6724,0.154362,0.000241
3098,13448,6,13448,0.308724,0.000482
3099,13448,5,13448,0.308724,0.000482
3100,242064,5,242064,5.557025,0.008683
3101,363096,6,363096,8.335537,0.013024
3102,80688,6,80688,1.852342,0.002894
3103,13448,6,13448,0.308724,0.000482
3104,26896,7,26896,0.617447,0.000965
3105,26896,5,26896,0.617447,0.000965
3106,726192,5,726192,16.67107,0.026049
3107,154652,5,154652,3.550321,0.005547
3108,194996,5,194996,4.476492,0.006995
3109,6724,6,6724,0.154362,0.000241
3110,20172,6,20172,0.463085,0.000724
3111,215168,6,215168,4.939578,0.007718
3112,1654104,3,1654104,37.973,0.059333
3113,154652,2,154652,3.550321,0.005547
3114,2091164,5,2091164,48.00652,0.07501
3115,423612,5,423612,9.724793,0.015195
3116,26896,5,26896,0.617447,0.000965
3117,121032,6,121032,2.778512,0.004341
3118,53792,5,53792,1.234894,0.00193
3119,20172,14,20172,0.463085,0.000724
3120,6724,6,6724,0.154362,0.000241
3121,13448,6,13448,0.308724,0.000482
3122,40344,6,40344,0.926171,0.001447
3123,20172,6,20172,0.463085,0.000724
