Year,"All cancers (C00–C96, D45–D47) No.","All cancers (C00–C96, D45–D47) Rate","Lip, Oral Cavity and Pharynx (C00–C14) No.","Lip, Oral Cavity and Pharynx (C00–C14) Rate",Oesophagus (C15) No.,Oesophagus (C15) Rate,Stomach (C16) No.,Stomach (C16) Rate,Colorectum and anus (C18–C21) No.,Colorectum and anus (C18–C21) Rate,Liver and intrahepatic bile ducts (C22) No.,Liver and intrahepatic bile ducts (C22) Rate,Pancreas (C25) No.,Pancreas (C25) Rate,Lung (C33–C34)No.,Lung (C33–C34) Rate,Melanoma (C43) No.,Melanoma (C43) Rate,Prostate (C61) No.,Prostate (C61) Rate,Testis (C62) No.,Testis (C62) Rate,"Kidney (C64–C66, C68) No.","Kidney (C64–C66, C68) Rate",Bladder (C67) No.,Bladder (C67) Rate,Brain (C71) No.,Brain (C71) Rate,Thyroid (C73) No.,Thyroid (C73) Rate,Hodgkin Lymphoma (C81) No.,Hodgkin Lymphoma (C81) Rate,"Non-Hodgkin Lymphoma (C82–C85, C96)   No.","Non-Hodgkin Lymphoma (C82–C85, C96)   Rate",Myeloma (C90) No.,Myeloma (C90) Rate,Leukaemia (C91–C95)  No.,Leukaemia (C91–C95)  Rate
1948,2522,135.6,75,4.2,71,3,,,466,25.4,,,,,182,9.2,,,,,,,,,,,,,,,,,,,,,,
1949,2547,134.3,51,2.8,74,3.2,,,417,22.5,,,,,198,10,,,,,,,,,,,,,,,,,,,,,,
1950,2652,138.6,67,3.5,58,3,457,23.7,473,25.1,,,,,136,6.8,,,,,,,,,,,,,,,,,,,,,,
1951,2913,149.3,63,3.3,80,4.1,496,25.6,492,25.8,,,,,194,9.5,,,,,,,,,,,,,,,,,,,,,,
1952,2905,142.8,58,3,91,4.6,410,19.8,491,24.3,,,,,284,13.6,,,,,,,,,,,,,,,,,,,,,,
1953,2889,138.5,59,2.9,77,3.6,466,21.9,470,23.1,,,,,259,12.1,,,,,,,,,,,,,,,,,,,,,,
1954,2966,139.4,68,3.4,69,3.4,429,20,502,23.8,,,,,290,13.2,38,1.9,,,,,,,,,,,,,,,,,,,,
1955,3171,145.6,56,2.6,79,3.7,450,20.6,527,24.1,81,3.6,143,6.5,340,15.4,39,1.9,67,3,70,3.2,88,4.1,20,0.9,32,1.5,63,2.9,32,1.5,144,6.5,,,,
1956,3155,140.5,73,3.3,69,3,442,19.3,507,25.4,76,3.3,146,7.5,374,21.8,39,1.9,63,2.7,77,3.4,83,3.8,15,0.7,37,1.7,75,3.3,30,1.3,137,6.1,,,,
1957,3213,141.5,64,2.8,67,2.8,415,18.3,539,23.8,89,3.9,144,6.3,403,17.5,37,1.7,68,2.9,76,3.3,90,4.1,10,0.4,18,0.8,88,3.9,34,1.5,149,6.5,,,,
1958,3297,142,75,3.2,73,3.1,446,18.9,539,24.7,78,3.3,155,8.1,399,23.6,38,1.8,59,2.5,88,3.8,102,4.4,16,0.6,29,1.3,81,3.4,35,1.5,147,6.3,,,,
1959,3339,141.1,61,2.5,67,2.8,404,17,518,23.9,83,3.5,146,6.3,423,23.6,47,2.1,70,2.9,97,4.1,84,3.6,16,0.8,35,1.6,86,3.7,40,1.7,165,6.8,,,,
1960,3290,138.8,61,2.7,71,2.9,412,17.1,499,21.7,91,3.8,147,6.1,410,17,50,2.2,74,3,77,3.2,109,4.5,17,0.8,39,1.7,87,3.7,33,1.4,152,6.2,,,,
1961,3541,145.5,66,2.7,87,3.6,398,16,559,23.2,80,3.2,152,6.2,474,19.4,50,2.2,59,2.4,104,4.2,106,4.3,17,0.7,41,1.8,98,4,37,1.5,156,6.3,,,,
1962,3597,144.7,66,2.6,69,2.7,395,15.6,580,23.5,101,4.4,179,7.2,501,20.1,42,1.7,75,3,106,4.2,106,4.3,12,0.5,34,1.5,88,3.6,34,1.3,163,6.4,,,,
1963,3752,148.9,52,2.1,77,3.1,384,15,578,22.9,100,3.9,195,7.7,546,21.6,53,2.2,65,2.6,91,3.6,122,4.9,22,0.9,38,1.6,108,4.3,57,2.3,165,6.5,,,,
1964,3674,143.9,63,2.5,80,3.2,370,14.3,558,21.9,92,3.6,205,7.9,555,21.7,50,2.1,73,2.9,108,4.2,97,3.8,26,1,38,1.6,102,4,26,1,170,6.4,,,,
1965,3817,147.4,55,2.1,76,2.9,384,14.8,634,24.5,89,3.4,182,6.9,557,21.3,64,2.6,75,2.8,92,3.5,112,4.3,17,0.7,55,2.2,81,3.1,46,1.8,174,6.5,,,,
1966,3841,145.1,54,2.1,92,3.4,381,14.3,607,23,79,3,184,6.9,613,23,60,2.4,70,2.6,87,3.3,98,3.7,17,0.6,50,2,95,3.6,49,1.8,181,6.5,,,,
1967,3852,143.3,52,1.9,106,3.9,369,13.7,622,23.3,94,3.5,188,7,603,22.2,69,2.7,82,3,96,3.5,101,3.7,10,0.4,47,1.8,84,3.1,44,1.6,154,5.6,,,,
1968,4069,148.6,64,2.3,90,3.3,357,13,646,23.7,37,1.4,168,6.1,729,26.3,81,3.1,88,3.2,112,4,82,3,14,0.5,58,2.2,98,3.6,50,1.8,161,5.7,,,,
1969,4157,150,57,2,85,3.1,366,13.1,691,24.9,43,1.5,171,6.1,762,27.2,79,3,82,3,96,3.4,107,3.9,26,0.9,44,1.7,115,4.2,50,1.8,191,6.8,,,,
1970,4460,158.9,68,2.4,104,3.7,376,13.4,710,25.3,45,1.6,206,7.3,829,29,74,2.7,101,3.5,92,3.2,106,3.8,18,0.7,50,1.9,103,3.6,66,2.3,151,5.3,,,,
1971,4486,156.9,85,3,85,2.9,327,11.3,727,25.4,54,1.9,201,6.9,815,28,75,2.8,92,3.2,117,4.1,112,3.9,24,0.8,38,1.4,122,4.2,62,2.2,187,6.5,,,,
1972,4526,154.7,67,2.3,100,3.4,333,11.3,766,26.3,45,1.6,205,6.9,808,27.2,73,2.6,95,3.3,133,4.5,127,4.5,19,0.6,45,1.6,118,4,66,2.2,194,6.5,,,,
1973,4708,158.4,75,2.5,112,3.7,360,12.1,662,22.4,36,1.2,190,6.3,891,29.4,73,2.5,70,2.3,122,4.1,130,4.5,21,0.7,50,1.7,133,4.4,56,1.9,182,6,,,,
1974,4966,163.3,66,2.2,129,4.2,381,12.5,861,28.3,55,1.8,217,7.1,960,31,57,2,88,2.9,109,3.5,127,4.3,21,0.7,30,1,111,3.6,72,2.3,195,6.3,,,,
1975,5007,161.5,82,2.7,125,4,350,11.2,847,27.6,54,1.8,250,8,989,31.2,103,3.5,100,3.2,114,3.7,144,4.7,24,0.7,43,1.4,131,4.2,74,2.3,201,6.4,,,,
1976,5145,162.1,77,2.4,135,4.2,379,11.9,847,26.9,49,1.6,268,8.4,1040,32,132,4.5,81,2.5,141,4.4,128,4.1,17,0.5,32,1,153,4.8,72,2.2,186,5.8,,,,
1977,5250,163.5,93,2.9,133,4.1,339,10.4,875,27.5,47,1.5,235,7.2,1047,31.9,127,4.1,97,2.9,130,3.9,142,4.6,18,0.6,27,0.8,153,4.8,79,2.5,189,5.9,,,,
1978,5211,160.4,104,3.2,124,3.8,325,9.7,893,27.6,64,2,258,7.8,1048,31.7,99,3.3,102,3.1,138,4.1,132,4.2,16,0.5,35,1.1,158,4.9,85,2.5,178,5.5,,,,
1979,5366,162,82,2.5,127,3.7,350,10.4,878,26.5,64,2,244,7.3,1115,32.9,119,3.9,90,2.7,119,3.5,162,5.1,17,0.5,30,0.9,135,4.1,66,2,189,5.8,,,,
1980,5465,162.3,88,2.7,115,3.4,328,9.6,890,26.6,52,1.6,241,7,1133,32.8,124,3.9,104,3,123,3.5,146,4.6,22,0.6,32,1,125,3.7,77,2.2,194,5.9,,,,
1981,5588,162.2,92,2.8,129,3.7,360,10.2,915,26.6,63,1.9,240,6.9,1187,33.8,121,3.8,111,3.2,138,3.8,156,4.8,19,0.5,18,0.6,147,4.3,78,2.2,198,5.8,,,,
1982,5723,162.6,112,3.2,153,4.2,364,10.1,942,26.7,64,1.9,221,6.1,1142,31.7,141,4.3,106,3,129,3.5,137,4.2,18,0.5,28,0.8,161,4.6,99,2.8,165,4.9,,,,
1983,5937,165.7,88,2.5,132,3.6,351,9.6,974,27.3,60,1.7,251,6.7,1239,34,134,4,121,3.4,119,3.1,156,4.6,17,0.5,43,1.2,142,3.9,83,2.3,224,6.4,,,,
