District Council,Apartment,Detached,Semi-Detached,Terrace,Total Housing Stock
Antrim and Newtownabbey,5677,18860,14233,16504,55274
"Armagh City, Banbridge and Craigavon",3903,33056,18110,23380,78449
Belfast,28307,14553,40228,67164,150252
Causeway Coast and Glens,4879,27582,15024,13269,60754
Derry City and Strabane,5581,17399,14689,20547,58216
Fermanagh and Omagh,2287,27581,7505,8501,45874
Lisburn and Castlereagh,4418,20890,15968,12248,53524
Mid and East Antrim,5156,22478,12193,16564,56391
Mid Ulster,1733,27247,10702,10438,50120
"Newry, Mourne and Down",3826,30416,15221,14654,64117
Ards and North Down,6657,24736,18605,17129,67127
Northern Ireland,72424,264798,182478,220398,740098
