OBJECTID,AREA,PERIMETER,BOUNDARY_,BOUNDARY_I,Shape_Leng
1,239081422.125,80995.806272,2,3,80995.80774
2,7809344.8306,13583.073713,3,4,13583.073648
3,663345376.047,136797.979285,4,1,136797.978549
4,6426495.23383,13292.970311,5,5,13292.970433
5,2125020.11409,8998.423032,6,6,8998.422498
6,527863009.345,198927.416142,7,7,198689.249583
7,9462493.51329,13612.819224,8,2,13612.818999
8,98370957.0877,87456.390131,9,8,87456.390757
