FID,WARD93_ID,NAME,SHAPE_AREA
72,702,ARDOYNE,582897.160152
73,1903,BANAGHER,121127833.62
74,706,BALLYSILLAN,1113555.62329
75,2003,CASTLEDAWSON,14722483.4723
76,2321,MONKSTOWN,1444605.62965
77,919,TULLYCARNET,508054.730444
78,1410,COALISLAND NORTH,11021828.3063
79,2007,LECUMPHER,66198652.371
80,1314,KILLOUGH,66.698941
81,2410,CONLIG,8971540.19267
82,734,NEW LODGE,716092.276193
83,1023,KNOCKLYNN,2959021.11959
84,2001,BALLYMAGUIGAN,40922806.5006
85,1514,IRVINESTOWN,17184055.9758
86,806,GREENISLAND,4543175.41404
87,1823,MOIRA,17326290.276
88,2407,BRYANSBURN,681603.490048
89,1920,LISNAGELVIN,793073.441653
90,2517,OWENKILLEW,174870331.449
91,1217,KNOCKNASHANE,2021176.85247
92,319,POYNTZ PASS,59501404.8865
93,512,NEWHILL,610409.831573
94,2217,KILKEEL CENTRAL,6243437.08192
95,2219,LISNACREE,4198.278879
96,225,GREGSTOWN,3898442.5384
97,2315,GLEBE,879399.015985
98,405,BALLYLOUGHAN,980019.594468
99,321,TANDRAGEE,14761994.0735
100,805,GORTALEE,335219.333635
101,105,CRANFIELD,55174172.6134
102,2218,KILKEEL SOUTH,4487971.10982
103,2008,LOWER GLENSHANE,81909266.3982
104,916,MINNOWBURN,1465851.91959
105,1115,THE LOOP,60778932.8519
106,1104,GORTALOWRY,1846196.32374
107,1314,KILLOUGH,175.866159
108,1715,UPPER GLENSHANE,137992827.091
109,1223,THE BIRCHES,55553491.2022
110,925,CARRYDUFF WEST,4230525.77735
111,739,SHANKILL,926982.206745
112,1019,THE CUTS,4599166.47615
113,316,MARKETHILL,31742923.7564
114,1103,DUNNAMORE,98173469.0651
115,707,BEECHMOUNT,839485.724445
116,102,BALLOO,5269939.32968
117,1020,UNIVERSITY,2337885.87957
118,1527,PORTORA,4107603.50486
119,2232,BURREN AND KILBRONEY,46821315.6329
120,123,SHILVODAN,52170721.3044
121,2204,BESSBROOK,6185128.73406
122,2602,CASTLEDERG,5399577.15627
123,421,PORTGLENONE,39532122.115
124,1006,CHURCHLAND,1274490.46502
125,1402,AUGHER,71833167.6233
126,1509,DEVENISH,4311291.96542
127,2406,BROADWAY,1116075.2169
128,1933,FOYLE SPRINGS,919693.54259
129,1409,CLOGHER,104546953.62
130,207,COMBER WEST,6559864.39311
131,511,KNOCKAHOLET,49887641.3826
132,747,WATER WORKS,1273448.09856
133,1610,GLENARM,107063647.749
134,118,TEMPLEPATRICK,20289008.4582
135,408,CRAIGYWARREN,60425398.2916
136,1416,FIVEMILETOWN,78336332.9298
137,2004,DRAPERSTOWN,52759545.4258
138,2505,DERGMONEY,1424569.82294
139,1221,TAGHNEVAN,1098986.85331
140,1519,MAGUIRES BRIDGE,88708386.6368
141,2104,BUSHMILLS,8553806.19999
142,2013,TOWN PARKS WEST,1626956.26514
143,1902,BALLYNASHALLOG,2721715.7059
144,1008,DUNLUCE,47775399.1375
145,1811,HARMONY HILL,911156.637001
146,1017,ROYAL PORTRUSH,3908753.20626
147,1526,LISNARRICK,71981493.6062
148,1709,GLACK,56009537.479
149,804,EDEN,21756810.1164
150,1403,AUGHNACLOY,70095206.5593
151,1309,DONARD,9.771716
