Facility,Division,Total Acreage,Maintainable Acreage,Shelter,Rec Center,Senior Center,Pool,Spray Pool,Play Area,Tennis Court with Lights,Tennis Court without NO Lights,Basketball Full Court with Lights,Basketball Full Court without Lights,Basketball half Court with Lights,Basketball Half Court without Lights,Basketball Standards,Multi-Purpose Court,Funnel Ball,Baseball Field with Lights,Baseball Field without lights,Volleball Court,Boccie Court,Hockey Court,Horseshoe,Drinking Fount,Neighborhood,Census Tract,Council Dist,CD Area,Bleachers,Benches,Tables,Grill,Decorative Foutain,Flag Pole,Grandstand,Control Link for Basketball Courts,Control Link for Tennis Court,Control Linkl for Hockey Court,Dek Hockey Court,Dog Park,Spray Park,Ownership of Facility,Buildings
Saline St Park,Schenley,,0.5,,,,,,,,,,,,,,,,,,,,,,,Greenfield,1516,5,No,1,,,,,,,No,No,No,,,,,
Riverview Park,Northern,258.76,37.2,5,,,1,,6,2,,,,,,,,,,1,,,,,3,Perry North,2602,1,No,1,25,89,2,,,,No,No,No,,,,,
Roland Lockridge Community Park,Southern,0.47,0.5,,,,,,1,,,,1,,,2,1,,,,,,,1,1,New Homestead,3103,5,No,,6,1,,,,,No,No,No,,,,,
Emerald View Park (Ream Park),Western,1.98,1.5,,1,,1,,1,,,,,,,,,,,,,,,,,Mount Washington,1903,2,No,,1,,,,,,No,No,No,,,,,
Point State Park,State,0.03,31,,,,,1,,,,,,,,,,,,,,,,,7,Central Business District,201,6,No,2,116,1,,1,3,,No,No,No,,,,,
Carmalt School,Southern,10.82,0.6,,,,,,,,,,,,,,,,,1,,,,,,Overbrook,3207,4,No,,8,,,,,,No,No,No,,,,,
Southside Market House,Southern,,0.6,,1,1,,,,,,,,,,,,,,,,,,,,Southside Flats,1702,3,Yes,,,,,,,,No,No,No,,,,,
West End-Elliot Overlook Park,Western,12.95,2.6,1,,,,,,,,,,,,,,,,,,,,,1,Elliott,2020,2,No,,9,,,,1,,No,No,No,,,,,
Boundary St Park,Schenley,0.46,0.3,,,,,,1,,,,,,,,,1,,,,,1,,,Central Oakland,406,3,Yes,,,,,,,,No,No,No,,,,,
Bon Air Park,Southern,1.02,0.9,1 Gazebo,,,,,1,,,,1,,,2,,,,,,,,,1,Bon Air,1806,4,No,1,9,,,,1,,No,No,No,,,,,
Blair St Park,Schenley,0.07,1.8,,,,,,,,,1,,,,2,,,,1,,,,,,Hazelwood,1501,5,Yes,4,4,,,,,,No,No,No,,,,,
Frank Curto Park,State,6.39,6.39,,,,,,,,,,,,,,,,,,,,,,,Strip District,203,6,Yes,,,,,,,,No,No,No,,,,,
Winters Park,Southern,2.69,1.9,,,,,,1,,,,1,,,2,,,,1,,,,,,Southside Slopes,1706,3,Yes,6,,,,,,,No,No,No,,,,,
Brghton Heights Senior Center,Northern,,,,0,1,,,0,0,0,,,,,,,,0,0,,0,0,0,0,,,0,,0,0,0,0,,,,No,No,No,,,,,
Swisshelm Park,Eastern,1.18,1.1,,,,,1,1,,1,,1,,,2,,,,,,,1,,1,Swisshelm Park,1411,5,No,,7,,,,,,No,No,No,,,,,
Highland Park,Northeast,377.28,92.7,10,,,1,,7,2,9,,,,2,2,,,,1,2,,1,1,1,Highland Park,1106,7,No,4,62,55,14,1,,,No,No,No,,,,,
Nelson Mandela Peace Park,Northeast,0.13,0.19,,,,,,1,,,,,,,,,,,,,,,,1,Garfield,1017,9,Yes,,7,2,,,,,No,No,No,,,,,
Warrington Park,Southern,2.13,2,,1,,1,,1,,,,1,,,2,,,1,,,,,,1,Beltzhoover,1809,3,Yes,2,7,,,,,,No,No,No,,,,,
Wabash Park,Western,3.17,2.7,,,,,1,1,,,,2,,,4,,,,1,,,,5,1,West End,2019,2,Yes,,6,1,,,,,No,No,No,,,,,
Vincennes Park,Schenley,1.56,0.5,,,,,,1,,,,1,,,2,,,,,,,,1,1,Middle Hill,501,6,Yes,,5,,,,,,No,No,No,,,,,
Tustin Park,Schenley,0.08,0.1,,,,,,1,,,,,,,,,,,,,,,,1,Bluff,103,6,Yes,,4,1,,,,,No,No,No,,,,,
Tropical Park,Western,5.96,1.4,,,,,,1,,,,1,,,2,,,,,,,1,,1,Beechview,1916,4,No,,7,1,,,,,No,No,No,,,,,
Townsend Park,Western,2.25,0.6,,,,,,1,,,,,,,,1,,,,,,,,1,Elliott,2020,2,No,,10,2,,,,,No,No,No,,,,,
Niagara Park,Schenley,1.32,1.32,,,,,,1,,,,,,1,1,,,,,,,,,,South Oakland,409,6,Yes,,11,,,,,,No,No,No,,,,,
West End Park,Western,17.03,2.7,2,,,,,1,,,,1,,,1,,,,,,,,,1,Elliott,2020,2,No,,4,,,,,,No,No,No,,,,,
Legion Memorial Park,Northern,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,Brighton Heights,2701,1,No,,,,,,2,,No,No,No,,,,,
Manchester Park,Northern,2.45,1.3,,,,1,,1,2,,,,,,,,,,,,,,,1,Manchester,2107,6,Yes,,7,,,,,,No,No,No,,,,,
Lookout Street Park,Northern,1.21,0.2,,,,,,1,,,,,,1,1,,,,,,,,,,Troy Hill,2406,1,Yes,,9,,,,,,No,No,No,,,,,
Lodge Potenza Senior Center,Western,0.26,0.01,,,1,,,,,,,,,,,,,,,,1,,,,Mount Washington,1914,2,Yes,,,,,,,,No,No,No,,,,,
Linden School,Eastern,1.1,0.6,,,,,,1,,,,,,,,,,,,,,,,,Point Breeze,1404,5,No,,3,2,,,,,No,No,No,,,,,
Liberty School,Eastern,1.08,0.1,,,,,,1,,,,,,,,,,,,,,,,1,Shadyside,703,8,No,,10,1,,,1,,No,No,No,,,,,
Lewis Park,Schenley,0.9,0.8,,,,,,1,,,2,,,,4,,,,,,,1,,,Hazelwood,1501,5,Yes,,6,,,,,,Yes,No,Yes,,,,,
Phillip Murray Park,Southern,17.72,5.7,,,,,,1,,,,,,,,,,1,,,,,,1,Mt. Oliver Neigborhood,1607,3,Yes,1,8,,,,,,No,No,No,,,,,
Leister St Park,Northern,0.82,0.2,,,,,,,,,,1,,,1,,,,,,,,,,Spring Hill-City View,2620,1,Yes,,,,,,,,No,No,No,,,,,
Marshall-California Park,Northern,0.26,2.3,1,,,,,1,,,,1,,,2,,,,,,,,,1,Marshall-Shadeland,2704,1,Yes,,2,2,,,,,No,No,No,,,,,
Lawn & Ophelia Park,Schenley,0.44,0.3,,,,,,1,,,,,,1,1,,,,,,,,,,South Oakland,409,6,Yes,,2,,,,,,No,No,No,,,,,
Kite Hill Park,Northeast,4.7,0.8,,,,,,,,,,1,,,2,,,,,,,,,,Garfield,1114,9,Yes,,1,,,,,,No,No,No,,,,,
Jefferson Park,Northern,0.59,0.7,,1,,,,1,,,2,,,,4,,,,,,,,,,Central Northside,2503,6,Yes,,2,,,,1,,No,No,No,,,,,
Horace Mann Field,Northern,2.32,1.9,,,,,,,,,,,,,,,,1,,,,,,,Marshall-Shadeland,2715,1,Yes,2,,,,,,,No,No,No,,,,,
Homewood Senior Center,Eastern,,0.2,,,1,,,,,,,,,,,,,,,,,,,,Homewood South,1302,9,Yes,,5,,,,,,No,No,No,,,,,
Homewood North Park,Eastern,3.28,0.8,,,,,,,,,,1,,,2,,,,,,,,,1,Homewood North,1301,9,Yes,,,,,,,,No,No,No,,,,,
Leolyn Park,Southern,0.46,0.5,,,,,,1,,,,1,,,2,,,,,,,,,1,Carrick,2902,4,Yes,,2,,,,,,No,No,No,,,,,
Emerald View Park (Mt Washington Park),Western,45.76,5.6,1 Gazebo 1 Shelter,,,,,1,,,1,,,,2,,,2,,,,,,2,Mount Washington,1915,2,Yes,4,10,,,,1,,Yes,No,No,,,,,
"Albert ""Turk"" Graham Park",Schenley,,0.26,1,,,,,1,,,,,,,,,,,,,,,,1,Crawford Roberts,305,6,Yes,,8,1,,,,,No,No,No,,,,,
Paulson Park,Eastern,4.16,3.5,,1,,1,,1,,,1,,,,2,,,1,,,,,,,Lincoln-Lemington-Belmar,1203,9,Yes,2,6,,,,,,No,No,No,,,,,
Pauline Park,Western,1.91,1.1,,,,,,1,,,2,,,,4,,,,,,,,,1,Beechview,1920,4,No,2,5,,,,,,No,No,No,,,,,
Panorama Field,Southern,1.65,2.2,,,,,,1,,,,,,,,,,,1,,,,,,New Homestead,3103,5,No,2,2,,,,,,No,No,No,,,,,
Ormsby Park,Southern,2.22,1.6,,1,,1,,1,,,1,,,,2,,,,1,,,1,,2,Southside Flats,1609,3,Yes,4,15,3,,,1,,No,No,No,,,,,
Emerald View Park (Olympia Park),Western,9.28,7.7,,1,,,,1,,,1,,,,2,,,2,,,,1,,1,Mount Washington,1903,2,No,2,12,4,,,,,No,No,No,,,,,
Manchester School Park,Northern,2.88,2.9,,,,,,1,,,1,1,,,4,,,1,,,,,1,,Manchester,2107,6,Yes,4,13,,,,,,Yes,No,No,,,,,
Mutual Park,Western,0.17,0.3,,,,,,1,,,,,,1,1,,,,,,,,,,Sheraden,2022,2,No,,5,,,,,,No,No,No,,,,,
Market Square Park,State,0.51,0.6,,,,,,,,,,,,,,,,,,,,,,,Central Business District,201,6,No,,21,,,,,,No,No,No,,,,,
