Council,Financial,Date,Value
Auckland City,13 Net Surplus/(Deficit),2007,151975
Auckland City,01 Rates,2008,404636
Auckland City,02 Development Contributions,2008,56793
Auckland City,03 Subsidies,2008,0
Auckland City,04 Investment Income,2008,136628
Auckland City,05 Vested Assets,2008,0
Auckland City,06 Other Income,2008,145296
Auckland City,07 Total Income,2008,743353
Auckland City,08 Direct Costs,2008,385191
Auckland City,09 Interest,2008,12906
Auckland City,10 Depreciation,2008,119026
Auckland City,11 Other Expense,2008,8218
Auckland City,12 Total Expenditure,2008,525341
Auckland City,13 Net Surplus/(Deficit),2008,218012
Auckland City,01 Rates,2009,442763
Auckland City,02 Development Contributions,2009,59717
Auckland City,03 Subsidies,2009,0
Auckland City,04 Investment Income,2009,113405
Auckland City,05 Vested Assets,2009,0
Auckland City,06 Other Income,2009,147428
Auckland City,07 Total Income,2009,763313
Auckland City,08 Direct Costs,2009,408340
Auckland City,09 Interest,2009,23959
Auckland City,10 Depreciation,2009,131419
Auckland City,11 Other Expense,2009,6225
Auckland City,12 Total Expenditure,2009,569943
Auckland City,13 Net Surplus/(Deficit),2009,193370
Auckland City,01 Rates,2010,486389
Auckland City,02 Development Contributions,2010,62041
Auckland City,03 Subsidies,2010,0
Auckland City,04 Investment Income,2010,208873
Auckland City,05 Vested Assets,2010,0
Auckland City,06 Other Income,2010,157072
Auckland City,07 Total Income,2010,914375
Auckland City,08 Direct Costs,2010,432828
Auckland City,09 Interest,2010,38542
Auckland City,10 Depreciation,2010,148137
Auckland City,11 Other Expense,2010,5543
Auckland City,12 Total Expenditure,2010,625050
Auckland City,13 Net Surplus/(Deficit),2010,289325
Auckland City,01 Rates,2011,521117
Auckland City,02 Development Contributions,2011,75073
Auckland City,03 Subsidies,2011,0
Auckland City,04 Investment Income,2011,211954
Auckland City,05 Vested Assets,2011,0
Auckland City,06 Other Income,2011,164593
Auckland City,07 Total Income,2011,972737
Auckland City,08 Direct Costs,2011,465206
Auckland City,09 Interest,2011,49387
Auckland City,10 Depreciation,2011,161062
Auckland City,11 Other Expense,2011,4986
Auckland City,12 Total Expenditure,2011,680641
Auckland City,13 Net Surplus/(Deficit),2011,292096
Auckland City,01 Rates,2012,555780
Auckland City,02 Development Contributions,2012,76800
Auckland City,03 Subsidies,2012,0
Auckland City,04 Investment Income,2012,222391
Auckland City,05 Vested Assets,2012,0
Auckland City,06 Other Income,2012,170757
Auckland City,07 Total Income,2012,1025728
Auckland City,08 Direct Costs,2012,486912
Auckland City,09 Interest,2012,61240
Auckland City,10 Depreciation,2012,176435
Auckland City,11 Other Expense,2012,3381
Auckland City,12 Total Expenditure,2012,727968
Auckland City,13 Net Surplus/(Deficit),2012,297760
Auckland City,01 Rates,2013,588834
Auckland City,02 Development Contributions,2013,64127
Auckland City,03 Subsidies,2013,0
Auckland City,04 Investment Income,2013,228643
Auckland City,05 Vested Assets,2013,0
Auckland City,06 Other Income,2013,176832
Auckland City,07 Total Income,2013,1058436
Auckland City,08 Direct Costs,2013,514757
Auckland City,09 Interest,2013,70946
Auckland City,10 Depreciation,2013,191273
Auckland City,11 Other Expense,2013,2733
Auckland City,12 Total Expenditure,2013,779709
Auckland City,13 Net Surplus/(Deficit),2013,278727
Auckland City,01 Rates,2014,631518
Auckland City,02 Development Contributions,2014,65345
Auckland City,03 Subsidies,2014,0
Auckland City,04 Investment Income,2014,122148
Auckland City,05 Vested Assets,2014,0
Auckland City,06 Other Income,2014,196995
Auckland City,07 Total Income,2014,1016006
Auckland City,08 Direct Costs,2014,532763
Auckland City,09 Interest,2014,89055
Auckland City,10 Depreciation,2014,205605
Auckland City,11 Other Expense,2014,2074
Auckland City,12 Total Expenditure,2014,829497
Auckland City,13 Net Surplus/(Deficit),2014,186509
Auckland City,01 Rates,2015,666359
Auckland City,02 Development Contributions,2015,73485
Auckland City,03 Subsidies,2015,0
Auckland City,04 Investment Income,2015,132404
Auckland City,05 Vested Assets,2015,0
Auckland City,06 Other Income,2015,202773
Auckland City,07 Total Income,2015,1075021
Auckland City,08 Direct Costs,2015,556701
Auckland City,09 Interest,2015,95070
Auckland City,10 Depreciation,2015,215912
Auckland City,11 Other Expense,2015,1356
Auckland City,12 Total Expenditure,2015,869039
Auckland City,13 Net Surplus/(Deficit),2015,205982
Auckland City,01 Rates,2016,703418
Auckland City,02 Development Contributions,2016,74513
Auckland City,03 Subsidies,2016,0
Auckland City,04 Investment Income,2016,136327
Auckland City,05 Vested Assets,2016,0
Auckland City,06 Other Income,2016,208817
Auckland City,07 Total Income,2016,1123075
Auckland City,08 Direct Costs,2016,570763
Auckland City,09 Interest,2016,95058
Auckland City,10 Depreciation,2016,224115
Auckland City,11 Other Expense,2016,728
Auckland City,12 Total Expenditure,2016,890664
Auckland City,13 Net Surplus/(Deficit),2016,232411
Auckland Region,01 Rates,2007,126521
Auckland Region,02 Development Contributions,2007,0
Auckland Region,03 Subsidies,2007,3093
Auckland Region,04 Investment Income,2007,65888
Auckland Region,05 Vested Assets,2007,0
Auckland Region,06 Other Income,2007,30461
Auckland Region,07 Total Income,2007,225963
Auckland Region,08 Direct Costs,2007,219380
Auckland Region,09 Interest,2007,582
Auckland Region,10 Depreciation,2007,6872
Auckland Region,11 Other Expense,2007,0
Auckland Region,12 Total Expenditure,2007,226834
Auckland Region,13 Net Surplus/(Deficit),2007,-871
Auckland Region,01 Rates,2008,135863
Auckland Region,02 Development Contributions,2008,0
Auckland Region,03 Subsidies,2008,1279
Auckland Region,04 Investment Income,2008,94955
Auckland Region,05 Vested Assets,2008,0
Auckland Region,06 Other Income,2008,23564
Auckland Region,07 Total Income,2008,255661
Auckland Region,08 Direct Costs,2008,248817
Auckland Region,09 Interest,2008,1253
Auckland Region,10 Depreciation,2008,7305
Auckland Region,11 Other Expense,2008,0
Auckland Region,12 Total Expenditure,2008,257375
Auckland Region,13 Net Surplus/(Deficit),2008,714
Auckland Region,01 Rates,2009,145524
Auckland Region,02 Development Contributions,2009,0
Auckland Region,03 Subsidies,2009,622
Auckland Region,04 Investment Income,2009,114107
Auckland Region,05 Vested Assets,2009,0
Auckland Region,06 Other Income,2009,24241
Auckland Region,07 Total Income,2009,284494
Auckland Region,08 Direct Costs,2009,276513
Auckland Region,09 Interest,2009,1237
Auckland Region,10 Depreciation,2009,7558
Auckland Region,11 Other Expense,2009,0
Auckland Region,12 Total Expenditure,2009,285308
Auckland Region,13 Net Surplus/(Deficit),2009,-814
Auckland Region,01 Rates,2010,155930
Auckland Region,02 Development Contributions,2010,0
Auckland Region,03 Subsidies,2010,630
Auckland Region,04 Investment Income,2010,112244
Auckland Region,05 Vested Assets,2010,0
Auckland Region,06 Other Income,2010,25203
Auckland Region,07 Total Income,2010,294007
Auckland Region,08 Direct Costs,2010,280354
Auckland Region,09 Interest,2010,1232
Auckland Region,10 Depreciation,2010,8271
