Council,Financial,Date,Value
Hauraki District,12 Total Expenditure,2010,27355
Hauraki District,13 Net Surplus/(Deficit),2010,605
Hauraki District,01 Rates,2011,19578
Hauraki District,02 Development Contributions,2011,0
Hauraki District,03 Subsidies,2011,3680
Hauraki District,04 Investment Income,2011,0
Hauraki District,05 Vested Assets,2011,0
Hauraki District,06 Other Income,2011,5304
Hauraki District,07 Total Income,2011,28562
Hauraki District,08 Direct Costs,2011,16829
Hauraki District,09 Interest,2011,1440
Hauraki District,10 Depreciation,2011,6988
Hauraki District,11 Other Expense,2011,2815
Hauraki District,12 Total Expenditure,2011,28072
Hauraki District,13 Net Surplus/(Deficit),2011,490
Hauraki District,01 Rates,2012,20072
Hauraki District,02 Development Contributions,2012,0
Hauraki District,03 Subsidies,2012,3691
Hauraki District,04 Investment Income,2012,0
Hauraki District,05 Vested Assets,2012,0
Hauraki District,06 Other Income,2012,5428
Hauraki District,07 Total Income,2012,29191
Hauraki District,08 Direct Costs,2012,17258
Hauraki District,09 Interest,2012,1552
Hauraki District,10 Depreciation,2012,7475
Hauraki District,11 Other Expense,2012,2881
Hauraki District,12 Total Expenditure,2012,29166
Hauraki District,13 Net Surplus/(Deficit),2012,25
Hauraki District,01 Rates,2013,20512
Hauraki District,02 Development Contributions,2013,0
Hauraki District,03 Subsidies,2013,4081
Hauraki District,04 Investment Income,2013,0
Hauraki District,05 Vested Assets,2013,0
Hauraki District,06 Other Income,2013,5546
Hauraki District,07 Total Income,2013,30139
Hauraki District,08 Direct Costs,2013,17566
Hauraki District,09 Interest,2013,1516
Hauraki District,10 Depreciation,2013,7563
Hauraki District,11 Other Expense,2013,2940
Hauraki District,12 Total Expenditure,2013,29585
Hauraki District,13 Net Surplus/(Deficit),2013,554
Hauraki District,01 Rates,2014,21044
Hauraki District,02 Development Contributions,2014,0
Hauraki District,03 Subsidies,2014,3791
Hauraki District,04 Investment Income,2014,0
Hauraki District,05 Vested Assets,2014,0
Hauraki District,06 Other Income,2014,5644
Hauraki District,07 Total Income,2014,30479
Hauraki District,08 Direct Costs,2014,17958
Hauraki District,09 Interest,2014,1416
Hauraki District,10 Depreciation,2014,7575
Hauraki District,11 Other Expense,2014,2994
Hauraki District,12 Total Expenditure,2014,29943
Hauraki District,13 Net Surplus/(Deficit),2014,536
Hauraki District,01 Rates,2015,21654
Hauraki District,02 Development Contributions,2015,0
Hauraki District,03 Subsidies,2015,3854
Hauraki District,04 Investment Income,2015,0
Hauraki District,05 Vested Assets,2015,0
Hauraki District,06 Other Income,2015,5732
Hauraki District,07 Total Income,2015,31240
Hauraki District,08 Direct Costs,2015,18421
Hauraki District,09 Interest,2015,1288
Hauraki District,10 Depreciation,2015,7997
Hauraki District,11 Other Expense,2015,3044
Hauraki District,12 Total Expenditure,2015,30750
Hauraki District,13 Net Surplus/(Deficit),2015,490
Hauraki District,01 Rates,2016,22072
Hauraki District,02 Development Contributions,2016,0
Hauraki District,03 Subsidies,2016,3615
Hauraki District,04 Investment Income,2016,0
Hauraki District,05 Vested Assets,2016,0
Hauraki District,06 Other Income,2016,5823
Hauraki District,07 Total Income,2016,31510
Hauraki District,08 Direct Costs,2016,18597
Hauraki District,09 Interest,2016,1096
Hauraki District,10 Depreciation,2016,8134
Hauraki District,11 Other Expense,2016,3091
Hauraki District,12 Total Expenditure,2016,30918
Hauraki District,13 Net Surplus/(Deficit),2016,592
Hawke's Bay Region,01 Rates,2007,9747
Hawke's Bay Region,02 Development Contributions,2007,0
Hawke's Bay Region,03 Subsidies,2007,478
Hawke's Bay Region,04 Investment Income,2007,15627
Hawke's Bay Region,05 Vested Assets,2007,0
Hawke's Bay Region,06 Other Income,2007,9682
Hawke's Bay Region,07 Total Income,2007,35534
Hawke's Bay Region,08 Direct Costs,2007,26697
Hawke's Bay Region,09 Interest,2007,497
Hawke's Bay Region,10 Depreciation,2007,1538
Hawke's Bay Region,11 Other Expense,2007,0
Hawke's Bay Region,12 Total Expenditure,2007,28732
Hawke's Bay Region,13 Net Surplus/(Deficit),2007,6802
Hawke's Bay Region,01 Rates,2008,10572
Hawke's Bay Region,02 Development Contributions,2008,0
Hawke's Bay Region,03 Subsidies,2008,497
Hawke's Bay Region,04 Investment Income,2008,11995
Hawke's Bay Region,05 Vested Assets,2008,0
Hawke's Bay Region,06 Other Income,2008,8945
Hawke's Bay Region,07 Total Income,2008,32009
Hawke's Bay Region,08 Direct Costs,2008,25572
Hawke's Bay Region,09 Interest,2008,591
Hawke's Bay Region,10 Depreciation,2008,1579
Hawke's Bay Region,11 Other Expense,2008,0
Hawke's Bay Region,12 Total Expenditure,2008,27742
Hawke's Bay Region,13 Net Surplus/(Deficit),2008,4267
Hawke's Bay Region,01 Rates,2009,11268
Hawke's Bay Region,02 Development Contributions,2009,0
Hawke's Bay Region,03 Subsidies,2009,525
Hawke's Bay Region,04 Investment Income,2009,12639
Hawke's Bay Region,05 Vested Assets,2009,0
Hawke's Bay Region,06 Other Income,2009,8159
Hawke's Bay Region,07 Total Income,2009,32591
Hawke's Bay Region,08 Direct Costs,2009,25699
Hawke's Bay Region,09 Interest,2009,557
Hawke's Bay Region,10 Depreciation,2009,1619
Hawke's Bay Region,11 Other Expense,2009,0
Hawke's Bay Region,12 Total Expenditure,2009,27875
Hawke's Bay Region,13 Net Surplus/(Deficit),2009,4716
Hawke's Bay Region,01 Rates,2010,11522
Hawke's Bay Region,02 Development Contributions,2010,0
Hawke's Bay Region,03 Subsidies,2010,563
Hawke's Bay Region,04 Investment Income,2010,14277
Hawke's Bay Region,05 Vested Assets,2010,0
Hawke's Bay Region,06 Other Income,2010,8492
Hawke's Bay Region,07 Total Income,2010,34854
Hawke's Bay Region,08 Direct Costs,2010,26060
Hawke's Bay Region,09 Interest,2010,475
Hawke's Bay Region,10 Depreciation,2010,1619
Hawke's Bay Region,11 Other Expense,2010,0
Hawke's Bay Region,12 Total Expenditure,2010,28154
Hawke's Bay Region,13 Net Surplus/(Deficit),2010,6700
Hawke's Bay Region,01 Rates,2011,11937
Hawke's Bay Region,02 Development Contributions,2011,0
Hawke's Bay Region,03 Subsidies,2011,578
Hawke's Bay Region,04 Investment Income,2011,14836
Hawke's Bay Region,05 Vested Assets,2011,0
Hawke's Bay Region,06 Other Income,2011,8491
Hawke's Bay Region,07 Total Income,2011,35842
Hawke's Bay Region,08 Direct Costs,2011,26712
Hawke's Bay Region,09 Interest,2011,393
Hawke's Bay Region,10 Depreciation,2011,1619
Hawke's Bay Region,11 Other Expense,2011,0
Hawke's Bay Region,12 Total Expenditure,2011,28724
Hawke's Bay Region,13 Net Surplus/(Deficit),2011,7118
Hawke's Bay Region,01 Rates,2012,12206
Hawke's Bay Region,02 Development Contributions,2012,0
Hawke's Bay Region,03 Subsidies,2012,591
Hawke's Bay Region,04 Investment Income,2012,15309
Hawke's Bay Region,05 Vested Assets,2012,0
Hawke's Bay Region,06 Other Income,2012,7840
Hawke's Bay Region,07 Total Income,2012,35946
Hawke's Bay Region,08 Direct Costs,2012,27127
Hawke's Bay Region,09 Interest,2012,313
Hawke's Bay Region,10 Depreciation,2012,1683
Hawke's Bay Region,11 Other Expense,2012,0
Hawke's Bay Region,12 Total Expenditure,2012,29123
Hawke's Bay Region,13 Net Surplus/(Deficit),2012,6823
Hawke's Bay Region,01 Rates,2013,12577
Hawke's Bay Region,02 Development Contributions,2013,0
Hawke's Bay Region,03 Subsidies,2013,613
Hawke's Bay Region,04 Investment Income,2013,15880
Hawke's Bay Region,05 Vested Assets,2013,0
Hawke's Bay Region,06 Other Income,2013,7791
Hawke's Bay Region,07 Total Income,2013,36861
Hawke's Bay Region,08 Direct Costs,2013,27801
Hawke's Bay Region,09 Interest,2013,253
Hawke's Bay Region,10 Depreciation,2013,1683
Hawke's Bay Region,11 Other Expense,2013,0
Hawke's Bay Region,12 Total Expenditure,2013,29737
Hawke's Bay Region,13 Net Surplus/(Deficit),2013,7124
Hawke's Bay Region,01 Rates,2014,12880
Hawke's Bay Region,02 Development Contributions,2014,0
Hawke's Bay Region,03 Subsidies,2014,638
Hawke's Bay Region,04 Investment Income,2014,16437
Hawke's Bay Region,05 Vested Assets,2014,0
Hawke's Bay Region,06 Other Income,2014,8128
Hawke's Bay Region,07 Total Income,2014,38083
Hawke's Bay Region,08 Direct Costs,2014,28432
Hawke's Bay Region,09 Interest,2014,195
Hawke's Bay Region,10 Depreciation,2014,1683
Hawke's Bay Region,11 Other Expense,2014,0
Hawke's Bay Region,12 Total Expenditure,2014,30310
Hawke's Bay Region,13 Net Surplus/(Deficit),2014,7773
Hawke's Bay Region,01 Rates,2015,13198
Hawke's Bay Region,02 Development Contributions,2015,0
Hawke's Bay Region,03 Subsidies,2015,651
Hawke's Bay Region,04 Investment Income,2015,17162
Hawke's Bay Region,05 Vested Assets,2015,0
Hawke's Bay Region,06 Other Income,2015,7013
Hawke's Bay Region,07 Total Income,2015,38024
Hawke's Bay Region,08 Direct Costs,2015,27607
Hawke's Bay Region,09 Interest,2015,139
Hawke's Bay Region,10 Depreciation,2015,1735
Hawke's Bay Region,11 Other Expense,2015,0
Hawke's Bay Region,12 Total Expenditure,2015,29481
Hawke's Bay Region,13 Net Surplus/(Deficit),2015,8543
Hawke's Bay Region,01 Rates,2016,13533
Hawke's Bay Region,02 Development Contributions,2016,0
Hawke's Bay Region,03 Subsidies,2016,672
Hawke's Bay Region,04 Investment Income,2016,17969
Hawke's Bay Region,05 Vested Assets,2016,0
Hawke's Bay Region,06 Other Income,2016,7317
Hawke's Bay Region,07 Total Income,2016,39491
Hawke's Bay Region,08 Direct Costs,2016,27845
Hawke's Bay Region,09 Interest,2016,82
Hawke's Bay Region,10 Depreciation,2016,1735
Hawke's Bay Region,11 Other Expense,2016,0
Hawke's Bay Region,12 Total Expenditure,2016,29662
Hawke's Bay Region,13 Net Surplus/(Deficit),2016,9829
Horowhenua District,01 Rates,2007,17420
Horowhenua District,02 Development Contributions,2007,0
Horowhenua District,03 Subsidies,2007,922
Horowhenua District,04 Investment Income,2007,602
Horowhenua District,05 Vested Assets,2007,260
Horowhenua District,06 Other Income,2007,5138
Horowhenua District,07 Total Income,2007,24343
Horowhenua District,08 Direct Costs,2007,17012
Horowhenua District,09 Interest,2007,953
Horowhenua District,10 Depreciation,2007,5428
Horowhenua District,11 Other Expense,2007,0
Horowhenua District,12 Total Expenditure,2007,23394
Horowhenua District,13 Net Surplus/(Deficit),2007,949
Horowhenua District,01 Rates,2008,18999
Horowhenua District,02 Development Contributions,2008,0
Horowhenua District,03 Subsidies,2008,838
Horowhenua District,04 Investment Income,2008,572
Horowhenua District,05 Vested Assets,2008,268
Horowhenua District,06 Other Income,2008,5886
Horowhenua District,07 Total Income,2008,26564
Horowhenua District,08 Direct Costs,2008,18097
Horowhenua District,09 Interest,2008,1954
Horowhenua District,10 Depreciation,2008,6048
Horowhenua District,11 Other Expense,2008,0
Horowhenua District,12 Total Expenditure,2008,26099
Horowhenua District,13 Net Surplus/(Deficit),2008,464
Horowhenua District,01 Rates,2009,20888
Horowhenua District,02 Development Contributions,2009,0
Horowhenua District,03 Subsidies,2009,875
Horowhenua District,04 Investment Income,2009,659
Horowhenua District,05 Vested Assets,2009,276
Horowhenua District,06 Other Income,2009,5959
Horowhenua District,07 Total Income,2009,28658
Horowhenua District,08 Direct Costs,2009,18831
Horowhenua District,09 Interest,2009,2528
Horowhenua District,10 Depreciation,2009,6315
Horowhenua District,11 Other Expense,2009,0
Horowhenua District,12 Total Expenditure,2009,27675
Horowhenua District,13 Net Surplus/(Deficit),2009,983
Horowhenua District,01 Rates,2010,22242
Horowhenua District,02 Development Contributions,2010,0
Horowhenua District,03 Subsidies,2010,953
Horowhenua District,04 Investment Income,2010,681
Horowhenua District,05 Vested Assets,2010,284
Horowhenua District,06 Other Income,2010,6105
Horowhenua District,07 Total Income,2010,30265
Horowhenua District,08 Direct Costs,2010,19570
Horowhenua District,09 Interest,2010,2682
Horowhenua District,10 Depreciation,2010,6560
Horowhenua District,11 Other Expense,2010,0
Horowhenua District,12 Total Expenditure,2010,28813
Horowhenua District,13 Net Surplus/(Deficit),2010,1452
Horowhenua District,01 Rates,2011,23143
Horowhenua District,02 Development Contributions,2011,0
Horowhenua District,03 Subsidies,2011,1091
Horowhenua District,04 Investment Income,2011,866
Horowhenua District,05 Vested Assets,2011,291
Horowhenua District,06 Other Income,2011,6515
Horowhenua District,07 Total Income,2011,31907
Horowhenua District,08 Direct Costs,2011,20401
Horowhenua District,09 Interest,2011,2784
Horowhenua District,10 Depreciation,2011,6768
Horowhenua District,11 Other Expense,2011,0
Horowhenua District,12 Total Expenditure,2011,29954
Horowhenua District,13 Net Surplus/(Deficit),2011,1953
Horowhenua District,01 Rates,2012,23670
Horowhenua District,02 Development Contributions,2012,0
Horowhenua District,03 Subsidies,2012,1128
Horowhenua District,04 Investment Income,2012,1034
Horowhenua District,05 Vested Assets,2012,298
Horowhenua District,06 Other Income,2012,6620
Horowhenua District,07 Total Income,2012,32752
Horowhenua District,08 Direct Costs,2012,20320
Horowhenua District,09 Interest,2012,3170
Horowhenua District,10 Depreciation,2012,6968
Horowhenua District,11 Other Expense,2012,0
Horowhenua District,12 Total Expenditure,2012,30459
Horowhenua District,13 Net Surplus/(Deficit),2012,2293
Horowhenua District,01 Rates,2013,24255
Horowhenua District,02 Development Contributions,2013,0
Horowhenua District,03 Subsidies,2013,1153
Horowhenua District,04 Investment Income,2013,1193
Horowhenua District,05 Vested Assets,2013,305
Horowhenua District,06 Other Income,2013,6977
Horowhenua District,07 Total Income,2013,33883
Horowhenua District,08 Direct Costs,2013,21218
Horowhenua District,09 Interest,2013,3267
Horowhenua District,10 Depreciation,2013,7172
Horowhenua District,11 Other Expense,2013,0
Horowhenua District,12 Total Expenditure,2013,31657
Horowhenua District,13 Net Surplus/(Deficit),2013,2225
Horowhenua District,01 Rates,2014,25566
Horowhenua District,02 Development Contributions,2014,0
Horowhenua District,03 Subsidies,2014,1176
Horowhenua District,04 Investment Income,2014,1396
Horowhenua District,05 Vested Assets,2014,311
Horowhenua District,06 Other Income,2014,8243
Horowhenua District,07 Total Income,2014,36693
Horowhenua District,08 Direct Costs,2014,21631
Horowhenua District,09 Interest,2014,3652
Horowhenua District,10 Depreciation,2014,7348
Horowhenua District,11 Other Expense,2014,0
Horowhenua District,12 Total Expenditure,2014,32631
Horowhenua District,13 Net Surplus/(Deficit),2014,4062
Horowhenua District,01 Rates,2015,26706
Horowhenua District,02 Development Contributions,2015,0
Horowhenua District,03 Subsidies,2015,1196
Horowhenua District,04 Investment Income,2015,1483
Horowhenua District,05 Vested Assets,2015,316
Horowhenua District,06 Other Income,2015,7678
Horowhenua District,07 Total Income,2015,37380
Horowhenua District,08 Direct Costs,2015,22730
Horowhenua District,09 Interest,2015,3512
Horowhenua District,10 Depreciation,2015,7507
Horowhenua District,11 Other Expense,2015,0
Horowhenua District,12 Total Expenditure,2015,33749
Horowhenua District,13 Net Surplus/(Deficit),2015,3631
Horowhenua District,01 Rates,2016,28151
Horowhenua District,02 Development Contributions,2016,0
Horowhenua District,03 Subsidies,2016,1216
Horowhenua District,04 Investment Income,2016,1734
Horowhenua District,05 Vested Assets,2016,321
Horowhenua District,06 Other Income,2016,7521
Horowhenua District,07 Total Income,2016,38945
Horowhenua District,08 Direct Costs,2016,23096
Horowhenua District,09 Interest,2016,4115
Horowhenua District,10 Depreciation,2016,7877
Horowhenua District,11 Other Expense,2016,0
Horowhenua District,12 Total Expenditure,2016,35088
Horowhenua District,13 Net Surplus/(Deficit),2016,3856
Hurunui District,01 Rates,2007,9673
Hurunui District,02 Development Contributions,2007,670
Hurunui District,03 Subsidies,2007,2987
Hurunui District,04 Investment Income,2007,943
Hurunui District,05 Vested Assets,2007,858
Hurunui District,06 Other Income,2007,6765
Hurunui District,07 Total Income,2007,21898
Hurunui District,08 Direct Costs,2007,14609
Hurunui District,09 Interest,2007,434
Hurunui District,10 Depreciation,2007,4628
Hurunui District,11 Other Expense,2007,0
Hurunui District,12 Total Expenditure,2007,19671
Hurunui District,13 Net Surplus/(Deficit),2007,2227
Hurunui District,01 Rates,2008,10226
Hurunui District,02 Development Contributions,2008,629
Hurunui District,03 Subsidies,2008,3769
Hurunui District,04 Investment Income,2008,868
Hurunui District,05 Vested Assets,2008,887
Hurunui District,06 Other Income,2008,6941
Hurunui District,07 Total Income,2008,23323
Hurunui District,08 Direct Costs,2008,14931
Hurunui District,09 Interest,2008,971
Hurunui District,10 Depreciation,2008,4993
Hurunui District,11 Other Expense,2008,0
Hurunui District,12 Total Expenditure,2008,20895
Hurunui District,13 Net Surplus/(Deficit),2008,2428
Hurunui District,01 Rates,2009,10790
Hurunui District,02 Development Contributions,2009,629
Hurunui District,03 Subsidies,2009,2958
Hurunui District,04 Investment Income,2009,917
Hurunui District,05 Vested Assets,2009,916
Hurunui District,06 Other Income,2009,7033
Hurunui District,07 Total Income,2009,23246
Hurunui District,08 Direct Costs,2009,15645
Hurunui District,09 Interest,2009,1024
Hurunui District,10 Depreciation,2009,5271
Hurunui District,11 Other Expense,2009,0
Hurunui District,12 Total Expenditure,2009,21940
Hurunui District,13 Net Surplus/(Deficit),2009,1306
Hurunui District,01 Rates,2010,11249
Hurunui District,02 Development Contributions,2010,626
Hurunui District,03 Subsidies,2010,3250
Hurunui District,04 Investment Income,2010,916
Hurunui District,05 Vested Assets,2010,944
Hurunui District,06 Other Income,2010,7224
Hurunui District,07 Total Income,2010,24213
Hurunui District,08 Direct Costs,2010,16160
Hurunui District,09 Interest,2010,1032
Hurunui District,10 Depreciation,2010,5463
Hurunui District,11 Other Expense,2010,0
Hurunui District,12 Total Expenditure,2010,22655
Hurunui District,13 Net Surplus/(Deficit),2010,1558
Hurunui District,01 Rates,2011,11722
Hurunui District,02 Development Contributions,2011,553
Hurunui District,03 Subsidies,2011,3127
Hurunui District,04 Investment Income,2011,916
Hurunui District,05 Vested Assets,2011,970
Hurunui District,06 Other Income,2011,7413
Hurunui District,07 Total Income,2011,24704
Hurunui District,08 Direct Costs,2011,16697
Hurunui District,09 Interest,2011,1094
Hurunui District,10 Depreciation,2011,5642
Hurunui District,11 Other Expense,2011,0
Hurunui District,12 Total Expenditure,2011,23433
Hurunui District,13 Net Surplus/(Deficit),2011,1271
Hurunui District,01 Rates,2012,11996
Hurunui District,02 Development Contributions,2012,553
Hurunui District,03 Subsidies,2012,3199
Hurunui District,04 Investment Income,2012,923
Hurunui District,05 Vested Assets,2012,995
Hurunui District,06 Other Income,2012,8773
Hurunui District,07 Total Income,2012,26442
Hurunui District,08 Direct Costs,2012,17285
Hurunui District,09 Interest,2012,908
Hurunui District,10 Depreciation,2012,5800
Hurunui District,11 Other Expense,2012,0
Hurunui District,12 Total Expenditure,2012,23993
Hurunui District,13 Net Surplus/(Deficit),2012,2449
Hurunui District,01 Rates,2013,12268
Hurunui District,02 Development Contributions,2013,566
Hurunui District,03 Subsidies,2013,3266
Hurunui District,04 Investment Income,2013,922
Hurunui District,05 Vested Assets,2013,1017
Hurunui District,06 Other Income,2013,9081
Hurunui District,07 Total Income,2013,27123
Hurunui District,08 Direct Costs,2013,17836
Hurunui District,09 Interest,2013,753
Hurunui District,10 Depreciation,2013,5923
Hurunui District,11 Other Expense,2013,0
Hurunui District,12 Total Expenditure,2013,24512
Hurunui District,13 Net Surplus/(Deficit),2013,2611
Hurunui District,01 Rates,2014,12713
Hurunui District,02 Development Contributions,2014,566
Hurunui District,03 Subsidies,2014,3326
Hurunui District,04 Investment Income,2014,919
Hurunui District,05 Vested Assets,2014,1039
Hurunui District,06 Other Income,2014,9381
Hurunui District,07 Total Income,2014,27948
Hurunui District,08 Direct Costs,2014,18302
Hurunui District,09 Interest,2014,655
Hurunui District,10 Depreciation,2014,6036
Hurunui District,11 Other Expense,2014,0
Hurunui District,12 Total Expenditure,2014,24993
Hurunui District,13 Net Surplus/(Deficit),2014,2955
Hurunui District,01 Rates,2015,13041
Hurunui District,02 Development Contributions,2015,483
Hurunui District,03 Subsidies,2015,3382
Hurunui District,04 Investment Income,2015,919
Hurunui District,05 Vested Assets,2015,1058
Hurunui District,06 Other Income,2015,9702
Hurunui District,07 Total Income,2015,28588
Hurunui District,08 Direct Costs,2015,18845
Hurunui District,09 Interest,2015,476
Hurunui District,10 Depreciation,2015,6170
Hurunui District,11 Other Expense,2015,0
Hurunui District,12 Total Expenditure,2015,25491
Hurunui District,13 Net Surplus/(Deficit),2015,3097
Hurunui District,01 Rates,2016,13341
Hurunui District,02 Development Contributions,2016,442
Hurunui District,03 Subsidies,2016,3435
Hurunui District,04 Investment Income,2016,917
Hurunui District,05 Vested Assets,2016,1078
Hurunui District,06 Other Income,2016,9984
Hurunui District,07 Total Income,2016,29199
Hurunui District,08 Direct Costs,2016,19281
Hurunui District,09 Interest,2016,278
Hurunui District,10 Depreciation,2016,6280
Hurunui District,11 Other Expense,2016,0
Hurunui District,12 Total Expenditure,2016,25839
Hurunui District,13 Net Surplus/(Deficit),2016,3360
Invercargill City,01 Rates,2007,31287
Invercargill City,02 Development Contributions,2007,0
Invercargill City,03 Subsidies,2007,11485
Invercargill City,04 Investment Income,2007,3002
Invercargill City,05 Vested Assets,2007,0
Invercargill City,06 Other Income,2007,13278
Invercargill City,07 Total Income,2007,59052
Invercargill City,08 Direct Costs,2007,38018
Invercargill City,09 Interest,2007,3201
Invercargill City,10 Depreciation,2007,13385
Invercargill City,11 Other Expense,2007,0
Invercargill City,12 Total Expenditure,2007,54604
Invercargill City,13 Net Surplus/(Deficit),2007,4448
Invercargill City,01 Rates,2008,33995
Invercargill City,02 Development Contributions,2008,0
Invercargill City,03 Subsidies,2008,10585
Invercargill City,04 Investment Income,2008,3117
Invercargill City,05 Vested Assets,2008,0
Invercargill City,06 Other Income,2008,13790
Invercargill City,07 Total Income,2008,61487
Invercargill City,08 Direct Costs,2008,38988
Invercargill City,09 Interest,2008,3565
Invercargill City,10 Depreciation,2008,13146
Invercargill City,11 Other Expense,2008,0
Invercargill City,12 Total Expenditure,2008,55699
Invercargill City,13 Net Surplus/(Deficit),2008,5788
Invercargill City,01 Rates,2009,35174
Invercargill City,02 Development Contributions,2009,0
Invercargill City,03 Subsidies,2009,10905
Invercargill City,04 Investment Income,2009,3208
Invercargill City,05 Vested Assets,2009,0
Invercargill City,06 Other Income,2009,14859
Invercargill City,07 Total Income,2009,64146
Invercargill City,08 Direct Costs,2009,40004
Invercargill City,09 Interest,2009,3715
Invercargill City,10 Depreciation,2009,13158
Invercargill City,11 Other Expense,2009,0
Invercargill City,12 Total Expenditure,2009,56877
Invercargill City,13 Net Surplus/(Deficit),2009,7269
Invercargill City,01 Rates,2010,36327
Invercargill City,02 Development Contributions,2010,0
Invercargill City,03 Subsidies,2010,7241
Invercargill City,04 Investment Income,2010,3310
Invercargill City,05 Vested Assets,2010,0
Invercargill City,06 Other Income,2010,15164
Invercargill City,07 Total Income,2010,62042
Invercargill City,08 Direct Costs,2010,41177
Invercargill City,09 Interest,2010,3705
Invercargill City,10 Depreciation,2010,13553
Invercargill City,11 Other Expense,2010,0
Invercargill City,12 Total Expenditure,2010,58435
Invercargill City,13 Net Surplus/(Deficit),2010,3607
Invercargill City,01 Rates,2011,38423
Invercargill City,02 Development Contributions,2011,0
Invercargill City,03 Subsidies,2011,7282
Invercargill City,04 Investment Income,2011,3457
Invercargill City,05 Vested Assets,2011,0
Invercargill City,06 Other Income,2011,15830
Invercargill City,07 Total Income,2011,64992
Invercargill City,08 Direct Costs,2011,42134
Invercargill City,09 Interest,2011,3770
Invercargill City,10 Depreciation,2011,13989
Invercargill City,11 Other Expense,2011,0
Invercargill City,12 Total Expenditure,2011,59893
Invercargill City,13 Net Surplus/(Deficit),2011,5099
Invercargill City,01 Rates,2012,39203
Invercargill City,02 Development Contributions,2012,0
Invercargill City,03 Subsidies,2012,7406
Invercargill City,04 Investment Income,2012,3622
Invercargill City,05 Vested Assets,2012,0
Invercargill City,06 Other Income,2012,16292
Invercargill City,07 Total Income,2012,66523
Invercargill City,08 Direct Costs,2012,43281
Invercargill City,09 Interest,2012,4161
Invercargill City,10 Depreciation,2012,14518
Invercargill City,11 Other Expense,2012,0
Invercargill City,12 Total Expenditure,2012,61960
Invercargill City,13 Net Surplus/(Deficit),2012,4563
Invercargill City,01 Rates,2013,40959
Invercargill City,02 Development Contributions,2013,0
Invercargill City,03 Subsidies,2013,7798
Invercargill City,04 Investment Income,2013,3779
Invercargill City,05 Vested Assets,2013,0
Invercargill City,06 Other Income,2013,16767
Invercargill City,07 Total Income,2013,69303
Invercargill City,08 Direct Costs,2013,44412
Invercargill City,09 Interest,2013,4783
Invercargill City,10 Depreciation,2013,15028
Invercargill City,11 Other Expense,2013,0
Invercargill City,12 Total Expenditure,2013,64223
Invercargill City,13 Net Surplus/(Deficit),2013,5080
Invercargill City,01 Rates,2014,42489
Invercargill City,02 Development Contributions,2014,0
Invercargill City,03 Subsidies,2014,7870
Invercargill City,04 Investment Income,2014,3958
Invercargill City,05 Vested Assets,2014,0
Invercargill City,06 Other Income,2014,17286
Invercargill City,07 Total Income,2014,71603
Invercargill City,08 Direct Costs,2014,45710
Invercargill City,09 Interest,2014,5044
Invercargill City,10 Depreciation,2014,15468
Invercargill City,11 Other Expense,2014,0
Invercargill City,12 Total Expenditure,2014,66222
Invercargill City,13 Net Surplus/(Deficit),2014,5381
Invercargill City,01 Rates,2015,43649
Invercargill City,02 Development Contributions,2015,0
Invercargill City,03 Subsidies,2015,8301
Invercargill City,04 Investment Income,2015,4126
Invercargill City,05 Vested Assets,2015,0
Invercargill City,06 Other Income,2015,17818
Invercargill City,07 Total Income,2015,73894
Invercargill City,08 Direct Costs,2015,46950
Invercargill City,09 Interest,2015,4801
Invercargill City,10 Depreciation,2015,15962
Invercargill City,11 Other Expense,2015,0
Invercargill City,12 Total Expenditure,2015,67713
Invercargill City,13 Net Surplus/(Deficit),2015,6181
Invercargill City,01 Rates,2016,43245
Invercargill City,02 Development Contributions,2016,0
Invercargill City,03 Subsidies,2016,8256
Invercargill City,04 Investment Income,2016,4310
Invercargill City,05 Vested Assets,2016,0
Invercargill City,06 Other Income,2016,18372
Invercargill City,07 Total Income,2016,74183
Invercargill City,08 Direct Costs,2016,48282
Invercargill City,09 Interest,2016,4728
Invercargill City,10 Depreciation,2016,16436
Invercargill City,11 Other Expense,2016,0
Invercargill City,12 Total Expenditure,2016,69446
Invercargill City,13 Net Surplus/(Deficit),2016,4737
Kaikoura District,01 Rates,2007,3623
Kaikoura District,02 Development Contributions,2007,959
Kaikoura District,03 Subsidies,2007,2303
Kaikoura District,04 Investment Income,2007,199
Kaikoura District,05 Vested Assets,2007,0
Kaikoura District,06 Other Income,2007,1014
Kaikoura District,07 Total Income,2007,8100
Kaikoura District,08 Direct Costs,2007,3873
Kaikoura District,09 Interest,2007,349
Kaikoura District,10 Depreciation,2007,1147
Kaikoura District,11 Other Expense,2007,0
Kaikoura District,12 Total Expenditure,2007,5369
Kaikoura District,13 Net Surplus/(Deficit),2007,2731
Kaikoura District,01 Rates,2008,4027
Kaikoura District,02 Development Contributions,2008,1036
Kaikoura District,03 Subsidies,2008,817
Kaikoura District,04 Investment Income,2008,227
Kaikoura District,05 Vested Assets,2008,0
Kaikoura District,06 Other Income,2008,1064
Kaikoura District,07 Total Income,2008,7172
Kaikoura District,08 Direct Costs,2008,4178
Kaikoura District,09 Interest,2008,446
Kaikoura District,10 Depreciation,2008,1235
Kaikoura District,11 Other Expense,2008,0
Kaikoura District,12 Total Expenditure,2008,5859
Kaikoura District,13 Net Surplus/(Deficit),2008,1313
Kaikoura District,01 Rates,2009,4577
Kaikoura District,02 Development Contributions,2009,1068
Kaikoura District,03 Subsidies,2009,2361
