LGDName,LGD_ID,Area_SqKM,OBJECTID
NORTH DOWN,24,8e-06,1
ARDS,2,0.175069,2
DOWN,13,1e-05,3
NORTH DOWN,24,5e-06,4
CRAIGAVON,12,378.423838,5
NORTH DOWN,24,7.5e-05,6
BALLYMONEY,5,418.197051,7
NEWRY and MOURNE,22,5.8e-05,8
ARDS,2,0.011626,9
NEWRY and MOURNE,22,902.429031,10
LARNE,16,0.000406,11
NORTH DOWN,24,0.000103,12
LIMAVADY,17,585.952689,13
NORTH DOWN,24,2e-05,14
MOYLE,21,0.004877,15
OMAGH,25,1130.445933,16
LISBURN,18,446.836803,17
NORTH DOWN,24,3.3e-05,18
ARDS,2,1e-06,19
ARDS,2,0.081778,20
NORTH DOWN,24,3.4e-05,21
STRABANE,26,861.647667,22
DOWN,13,2.6e-05,23
NORTH DOWN,24,7e-06,24
MOYLE,21,0.00017,25
ARDS,2,1.253116,26
FERMANAGH,15,1875.808601,27
DOWN,13,689.544945,28
ARDS,2,483.772206,29
DOWN,13,0.000182,30
DUNGANNON,14,783.599766,31
MAGHERAFELT,20,572.804154,32
DOWN,13,3.8e-05,33
LARNE,16,347.729635,34
NORTH DOWN,24,0.000153,35
NORTH DOWN,24,3.2e-05,36
NEWTOWNABBEY,23,150.563791,37
BELFAST,7,114.877454,38
MOYLE,21,479.769838,39
MOYLE,21,7.4e-05,40
NEWRY and MOURNE,22,0.004198,41
NORTH DOWN,24,3.1e-05,42
BANBRIDGE,6,452.634891,43
DOWN,13,6.7e-05,44
DOWN,13,0.000176,45
ARDS,2,1e-06,46
ANTRIM,1,576.859407,47
CASTLEREAGH,9,85.136012,48
DERRY,19,387.344752,49
LARNE,16,1.5e-05,50
MOYLE,21,0.00213,51
ARDS,2,0.009437,52
MOYLE,21,14.411805,53
DOWN,13,1.6e-05,54
NORTH DOWN,24,81.500738,55
COLERAINE,10,485.503447,56
ARDS,2,3e-05,57
NORTH DOWN,24,2.2e-05,58
COOKSTOWN,11,622.436813,59
ARDS,2,0.013904,60
NORTH DOWN,24,0.000401,61
ARDS,2,1e-06,62
NORTH DOWN,24,6.8e-05,63
ARDS,2,0.006032,64
ARMAGH,3,670.596818,65
CARRICKFERGUS,8,81.887077,66
BALLYMENA,4,632.021397,67
NORTH DOWN,24,0.000413,68
