Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CA Total Claimants (2015),ca Claimants Male 16-34 (2015),ca Claimants Male 35-49 (2015),ca Claimants Male 50-64 (2015),ca Claimants Male 65+ (2015),ca Claimants Female 16-34 (2015),ca Claimants Female 35-49 (2015),ca Claimants Female 50-64 (2015),ca Claimants Female 65+ (2015)
95AA01,ALDERGROVE,ANTRIM,70,0,0,10,20,10,10,10,10
95AA02,BALLOO,ANTRIM,80,0,10,10,20,10,10,10,20
95AA03,BALLYCRAIGY,ANTRIM,80,0,10,10,10,10,20,10,10
95AA04,CLADY,ANTRIM,70,0,10,10,10,0,10,10,20
95AA05,CRANFIELD,ANTRIM,80,0,0,10,10,0,20,20,20
95AA06,CRUMLIN (ANTRIM),ANTRIM,170,10,10,20,20,20,40,30,30
95AA07,DRUMANAWAY,ANTRIM,60,0,10,0,10,0,10,10,10
95AA08,FARRANSHANE,ANTRIM,90,0,10,10,10,10,20,10,10
95AA09,FOUNTAIN HILL,ANTRIM,70,0,10,10,0,10,20,10,10
95AA10,GREYSTONE (ANTRIM),ANTRIM,90,0,10,0,20,10,10,20,20
95AA11,MASSEREENE,ANTRIM,110,0,10,10,20,10,30,20,20
95AA12,PARKGATE,ANTRIM,50,0,0,0,10,0,10,20,10
95AA13,RANDALSTOWN,ANTRIM,90,10,10,0,10,10,20,10,20
95AA14,SHILVODAN,ANTRIM,50,0,0,10,0,0,10,20,10
95AA15,SPRINGFARM,ANTRIM,130,10,10,10,10,20,30,20,20
95AA16,STEEPLE,ANTRIM,80,10,10,10,10,10,20,10,20
95AA17,STILES,ANTRIM,80,0,0,10,10,10,20,10,10
95AA18,TEMPLEPATRICK,ANTRIM,60,0,0,10,10,0,10,10,10
95AA19,TOOME,ANTRIM,90,0,10,10,10,10,10,20,20
95BB01,BALLYGOWAN,ARDS,80,0,0,0,10,10,20,10,20
95BB02,BALLYRAINEY,ARDS,90,0,10,10,10,10,10,20,20
95BB03,BALLYWALTER,ARDS,180,10,10,20,40,20,20,30,30
95BB04,BRADSHAWS BRAE,ARDS,100,0,0,0,20,10,10,30,30
95BB05,CARROWDORE,ARDS,110,0,10,10,10,10,20,30,20
95BB06,CENTRAL (ARDS),ARDS,140,0,10,10,30,20,20,30,20
95BB07,COMBER EAST,ARDS,120,0,10,10,20,10,20,30,20
95BB08,COMBER NORTH,ARDS,80,0,0,10,20,0,20,20,20
95BB09,COMBER WEST,ARDS,60,0,10,0,10,0,0,20,20
95BB10,DONAGHADEE NORTH,ARDS,80,0,0,10,20,0,20,20,20
95BB11,DONAGHADEE SOUTH,ARDS,120,0,10,10,20,10,20,20,40
95BB12,GLEN,ARDS,100,0,10,10,10,20,20,20,10
95BB13,GREGSTOWN,ARDS,150,10,10,20,10,20,30,40,20
95BB14,KILLINCHY,ARDS,50,0,0,0,0,0,10,10,10
95BB15,KIRCUBBIN,ARDS,150,0,10,20,40,10,20,30,20
95BB16,LISBANE,ARDS,50,0,0,0,10,0,10,10,10
95BB17,LOUGHRIES,ARDS,110,10,10,10,20,20,20,20,20
95BB18,MILLISLE,ARDS,130,10,10,10,20,10,30,20,30
95BB19,MOVILLA,ARDS,110,0,10,10,20,10,20,20,20
95BB20,PORTAFERRY,ARDS,190,10,20,10,40,10,20,40,40
95BB21,PORTAVOGIE,ARDS,240,10,20,20,30,20,50,50,40
95BB22,SCRABO,ARDS,130,10,10,10,10,30,30,20,20
95BB23,WHITESPOTS,ARDS,70,0,10,0,10,10,10,20,10
95CC01,ABBEY PARK,ARMAGH,100,10,0,10,10,10,20,20,10
95CC02,BALLYMARTRIM,ARMAGH,100,0,10,10,10,10,20,20,30
95CC03,CALLAN BRIDGE,ARMAGH,140,10,10,10,20,20,20,20,30
95CC04,CARRIGATUKE,ARMAGH,80,10,10,10,10,10,20,20,10
95CC05,CHARLEMONT,ARMAGH,80,0,10,10,10,0,20,10,20
95CC06,DEMESNE,ARMAGH,70,0,10,10,0,10,20,10,10
95CC07,DERRYNOOSE,ARMAGH,140,10,10,20,10,10,30,30,30
95CC08,DOWNS,ARMAGH,110,10,10,10,20,10,20,20,20
95CC09,HAMILTONSBAWN,ARMAGH,80,0,0,10,20,0,20,20,10
95CC10,HOCKLEY,ARMAGH,60,0,0,0,10,0,10,20,20
95CC11,KEADY,ARMAGH,90,10,10,10,20,0,10,20,10
95CC12,KILLEEN,ARMAGH,80,0,10,0,10,10,10,10,20
95CC13,KILLYLEA,ARMAGH,70,0,10,10,10,0,10,10,20
95CC14,LAURELVALE,ARMAGH,100,0,10,10,20,10,30,20,20
95CC15,LOUGHGALL,ARMAGH,110,0,10,10,10,0,10,30,30
95CC16,MARKETHILL,ARMAGH,110,10,10,10,10,10,20,20,20
95CC17,MILFORD,ARMAGH,60,0,0,10,10,10,10,10,10
95CC18,OBSERVATORY,ARMAGH,70,0,10,10,10,10,10,10,10
95CC19,POYNTZ PASS,ARMAGH,100,10,10,10,10,10,30,20,20
95CC20,RICH HILL,ARMAGH,80,0,10,10,10,0,10,30,20
95CC21,TANDRAGEE,ARMAGH,90,0,10,10,20,10,20,10,20
95CC22,THE MALL,ARMAGH,50,0,0,10,10,10,10,10,10
95DD01,ACADEMY,BALLYMENA,50,0,10,0,10,0,10,10,10
95DD02,AHOGHILL,BALLYMENA,110,0,10,10,20,10,20,20,20
95DD03,ARDEEVIN,BALLYMENA,70,0,0,0,10,10,10,10,20
95DD04,BALLEE,BALLYMENA,100,10,10,10,10,20,30,20,10
95DD05,BALLYKEEL,BALLYMENA,100,10,10,0,10,20,20,20,20
95DD06,BALLYLOUGHAN,BALLYMENA,40,0,0,0,10,0,10,10,20
95DD07,BROUGHSHANE,BALLYMENA,80,0,10,10,10,0,20,20,20
95DD08,CASTLE DEMESNE,BALLYMENA,80,10,0,10,10,10,10,20,20
95DD09,CRAIGYWARREN,BALLYMENA,60,0,10,0,20,10,10,10,20
95DD10,CULLYBACKEY,BALLYMENA,90,0,10,10,20,10,10,10,20
95DD11,DUNCLUG,BALLYMENA,90,10,10,10,10,20,20,10,10
95DD12,DUNMINNING,BALLYMENA,60,0,0,10,0,0,20,10,20
95DD13,FAIR GREEN,BALLYMENA,60,0,10,10,10,10,20,10,10
95DD14,GALGORM,BALLYMENA,60,0,0,0,10,0,10,20,20
95DD15,GLENRAVEL,BALLYMENA,90,10,0,10,10,0,30,20,10
95DD16,GLENWHIRRY,BALLYMENA,70,0,10,10,10,10,10,10,20
95DD17,GRANGE,BALLYMENA,80,0,0,10,10,0,20,20,10
95DD18,HARRYVILLE,BALLYMENA,70,0,10,0,10,10,10,10,20
95DD19,KELLS,BALLYMENA,90,0,0,10,10,10,10,20,30
95DD20,MOAT,BALLYMENA,80,0,10,10,10,10,20,10,10
95DD21,PARK,BALLYMENA,60,0,10,10,10,10,10,10,10
95DD22,PORTGLENONE,BALLYMENA,80,0,0,10,10,10,20,20,20
95DD23,SLEMISH,BALLYMENA,60,0,0,10,10,0,10,20,10
95DD24,SUMMERFIELD,BALLYMENA,70,10,0,0,10,0,10,20,10
95EE01,BALLYHOE AND CORKEY,BALLYMONEY,70,10,10,10,10,0,20,20,10
95EE02,BENVARDIN,BALLYMONEY,80,0,10,10,10,0,20,10,10
95EE03,CARNANY,BALLYMONEY,80,10,10,10,10,10,10,10,10
95EE04,CLOGH MILLS,BALLYMONEY,70,0,10,10,10,10,10,10,20
95EE05,DERVOCK,BALLYMONEY,50,0,0,0,10,0,10,20,10
95EE06,DUNLOY,BALLYMONEY,70,0,0,10,10,0,10,10,30
95EE07,FAIRHILL,BALLYMONEY,90,0,10,0,20,10,10,20,20
95EE08,GLEBE (BALLYMONEY),BALLYMONEY,50,0,0,0,10,0,10,10,10
95EE09,KILLOQUIN LOWER,BALLYMONEY,60,0,10,10,10,0,10,20,10
95EE10,KILLOQUIN UPPER,BALLYMONEY,50,0,10,0,0,10,10,10,10
95EE11,KNOCKAHOLET,BALLYMONEY,60,0,10,10,10,0,10,10,20
95EE12,NEWHILL,BALLYMONEY,120,10,0,20,20,20,20,20,20
95EE13,ROUTE,BALLYMONEY,60,0,10,10,10,10,10,10,10
95EE14,SEACON,BALLYMONEY,100,0,10,10,10,10,20,20,20
95EE15,STRANOCUM,BALLYMONEY,60,0,10,10,10,0,10,10,10
95EE16,THE VOW,BALLYMONEY,60,0,10,0,10,0,10,20,10
95FF01,BALLYDOWN,BANBRIDGE,140,10,0,10,20,10,20,30,30
95FF02,BALLYWARD,BANBRIDGE,100,10,10,10,20,10,10,20,20
95FF03,BANBRIDGE WEST,BANBRIDGE,130,10,10,10,10,20,30,20,20
95FF04,BANNSIDE,BANBRIDGE,100,0,0,10,20,10,10,20,20
95FF05,DROMORE NORTH,BANBRIDGE,90,0,0,10,10,10,20,10,30
95FF06,DROMORE SOUTH,BANBRIDGE,90,0,10,10,10,0,20,10,20
95FF07,EDENDERRY (BANBRIDGE),BANBRIDGE,150,10,10,10,20,20,30,30,20
95FF08,FORT,BANBRIDGE,120,0,10,10,20,20,20,20,30
95FF09,GILFORD,BANBRIDGE,110,10,10,10,20,10,20,20,20
95FF10,GRANSHA,BANBRIDGE,90,0,10,10,10,10,20,20,10
95FF11,KATESBRIDGE,BANBRIDGE,70,0,0,10,10,10,10,20,20
95FF12,LAWRENCETOWN,BANBRIDGE,120,0,10,10,20,10,20,20,30
95FF13,LOUGHBRICKLAND,BANBRIDGE,110,0,10,20,10,10,20,20,10
95FF14,QUILLY,BANBRIDGE,80,0,0,10,10,0,10,10,20
95FF15,RATHFRILAND,BANBRIDGE,120,0,10,10,20,10,20,30,20
95FF16,SEAPATRICK,BANBRIDGE,70,0,10,10,10,0,10,20,10
95FF17,THE CUT,BANBRIDGE,80,0,10,10,10,10,10,20,20
95GG01,ANDERSONSTOWN,BELFAST,310,10,20,30,50,10,20,80,70
95GG02,ARDOYNE,BELFAST,470,40,40,40,40,80,90,70,60
95GG03,BALLYHACKAMORE,BELFAST,120,0,10,10,30,10,20,20,30
95GG04,BALLYMACARRETT,BELFAST,310,20,30,30,30,40,60,60,40
95GG05,BALLYNAFEIGH,BELFAST,100,10,10,10,10,10,20,20,10
95GG06,BALLYSILLAN,BELFAST,280,10,30,30,30,30,60,50,40
95GG07,BEECHMOUNT,BELFAST,360,30,30,40,40,40,70,70,40
95GG08,BELLEVUE,BELFAST,220,10,20,30,30,30,40,40,30
95GG09,BELMONT,BELFAST,180,10,10,30,30,20,30,30,30
95GG10,BLACKSTAFF,BELFAST,150,10,10,20,10,20,30,20,20
95GG11,BLOOMFIELD (BELFAST),BELFAST,170,10,20,10,30,20,20,30,30
95GG12,BOTANIC,BELFAST,160,10,20,20,10,30,40,30,10
95GG13,CASTLEVIEW,BELFAST,150,10,0,20,20,20,30,40,20
95GG14,CAVEHILL,BELFAST,90,0,10,10,10,10,20,20,20
95GG15,CHERRYVALLEY,BELFAST,110,0,10,10,10,0,20,20,30
95GG16,CHICHESTER PARK,BELFAST,180,10,20,30,20,20,20,30,30
95GG17,CLIFTONVILLE,BELFAST,320,10,30,30,40,50,60,50,50
95GG18,CLONARD,BELFAST,380,30,40,50,30,60,70,70,40
95GG19,CRUMLIN (BELFAST),BELFAST,330,30,30,30,50,40,70,50,40
95GG20,DUNCAIRN,BELFAST,250,20,10,20,30,50,60,40,30
95GG21,FALLS,BELFAST,380,30,50,30,30,60,80,60,30
95GG22,FALLS PARK,BELFAST,310,20,20,40,70,20,30,50,60
95GG23,FINAGHY,BELFAST,80,0,10,10,20,0,10,10,30
95GG24,FORTWILLIAM,BELFAST,140,0,10,10,20,20,20,20,40
95GG25,GLEN ROAD,BELFAST,390,30,30,50,40,50,70,80,50
95GG26,GLENCAIRN,BELFAST,230,10,20,10,30,40,40,40,40
95GG27,GLENCOLIN,BELFAST,380,20,40,60,60,20,70,50,70
95GG28,HIGHFIELD,BELFAST,290,10,20,30,50,30,60,50,40
95GG29,ISLAND,BELFAST,230,10,20,30,30,40,50,30,30
95GG30,KNOCK,BELFAST,130,0,10,20,30,10,20,20,30
95GG31,LADYBROOK,BELFAST,370,20,30,40,60,40,70,60,60
95GG32,LEGONIEL,BELFAST,310,10,30,30,40,40,60,60,40
95GG33,MALONE,BELFAST,60,0,0,10,10,0,10,20,10
95GG34,MUSGRAVE,BELFAST,160,0,10,20,30,10,20,30,40
95GG35,NEW LODGE,BELFAST,400,30,40,50,40,50,70,70,50
95GG36,ORANGEFIELD,BELFAST,150,10,10,10,30,10,30,30,30
95GG37,RAVENHILL,BELFAST,120,10,10,10,10,10,20,30,30
95GG38,ROSETTA,BELFAST,100,0,10,10,20,10,20,20,20
95GG39,SHAFTESBURY,BELFAST,350,30,40,40,30,50,70,50,40
95GG40,SHANKILL,BELFAST,260,20,20,30,30,40,60,50,30
95GG41,STORMONT,BELFAST,90,0,10,10,20,0,10,30,20
95GG42,STRANMILLIS,BELFAST,40,0,0,0,10,0,10,10,10
95GG43,SYDENHAM,BELFAST,170,10,10,20,30,10,30,40,20
95GG44,THE MOUNT,BELFAST,290,30,20,30,30,30,70,50,30
95GG45,UPPER MALONE,BELFAST,170,10,20,20,20,20,30,40,20
95GG46,UPPER SPRINGFIELD,BELFAST,520,40,50,80,60,60,90,80,60
95GG47,WATER WORKS,BELFAST,440,40,50,40,50,60,90,70,40
95GG48,WHITEROCK,BELFAST,520,40,60,70,50,60,120,80,50
95GG49,WINDSOR,BELFAST,80,10,0,10,10,10,10,10,20
95GG50,WOODSTOCK,BELFAST,220,10,30,20,20,30,60,30,30
95GG51,WOODVALE,BELFAST,260,20,30,40,40,30,50,40,30
95HH01,BLACKHEAD,CARRICKFERGUS,60,0,0,10,10,0,10,10,20
95HH02,BLUEFIELD,CARRICKFERGUS,60,0,0,10,10,0,10,10,10
95HH03,BONEYBEFORE,CARRICKFERGUS,40,0,0,0,10,0,10,10,10
95HH04,BURLEIGH HILL,CARRICKFERGUS,90,0,10,10,30,0,10,20,20
95HH05,CLIPPERSTOWN,CARRICKFERGUS,70,10,0,10,10,10,20,10,10
95HH06,EDEN,CARRICKFERGUS,110,0,0,10,20,10,30,20,20
95HH07,GORTALEE,CARRICKFERGUS,70,10,10,10,10,10,10,10,10
95HH08,GREENISLAND,CARRICKFERGUS,70,0,0,10,10,10,10,10,20
95HH09,KILLYCROT,CARRICKFERGUS,100,0,10,10,20,10,20,10,20
95HH10,KNOCKAGH,CARRICKFERGUS,50,0,0,0,10,0,10,10,20
95HH11,LOVE LANE,CARRICKFERGUS,70,10,10,0,10,10,10,10,10
95HH12,MILEBUSH,CARRICKFERGUS,40,0,0,10,0,0,10,10,10
95HH13,NORTHLAND,CARRICKFERGUS,80,0,10,10,10,10,20,10,10
95HH14,SUNNYLANDS,CARRICKFERGUS,80,10,0,10,10,10,10,10,20
95HH15,VICTORIA (CARRICKFERGUS),CARRICKFERGUS,90,0,0,10,20,0,20,20,20
95HH16,WHITEHEAD,CARRICKFERGUS,50,0,0,0,10,0,10,10,10
95HH17,WOODBURN,CARRICKFERGUS,70,0,0,10,10,10,10,20,20
95II01,BALLYHANWOOD,CASTLEREAGH,60,0,0,10,10,0,10,10,10
95II02,BEECHILL,CASTLEREAGH,120,10,10,10,10,10,20,20,30
95II03,CAIRNSHILL,CASTLEREAGH,60,0,0,0,10,10,10,10,10
95II04,CARROWREAGH,CASTLEREAGH,130,10,10,20,20,10,30,20,30
95II05,CARRYDUFF EAST,CASTLEREAGH,80,0,0,10,20,10,10,20,20
95II06,CARRYDUFF WEST,CASTLEREAGH,60,0,0,10,10,10,10,10,10
95II07,CREGAGH,CASTLEREAGH,120,10,10,10,10,20,20,20,20
95II08,DOWNSHIRE,CASTLEREAGH,60,0,0,10,10,0,10,10,10
95II09,DUNDONALD,CASTLEREAGH,90,10,0,10,20,10,10,20,20
95II10,ENLER,CASTLEREAGH,130,10,10,10,20,10,20,20,30
95II11,GALWALLY,CASTLEREAGH,60,0,10,10,10,0,10,10,10
95II12,GILNAHIRK,CASTLEREAGH,50,0,0,10,10,0,10,10,10
95II13,GRAHAMS BRIDGE,CASTLEREAGH,120,10,10,10,20,10,30,10,20
95II14,HILLFOOT,CASTLEREAGH,40,0,0,10,10,0,0,10,10
95II15,KNOCKBRACKEN,CASTLEREAGH,60,0,0,10,10,0,10,10,10
95II16,LISNASHARRAGH,CASTLEREAGH,80,0,10,0,20,10,20,10,20
95II17,LOWER BRANIEL,CASTLEREAGH,90,0,10,10,10,10,10,20,20
95II18,MINNOWBURN,CASTLEREAGH,110,10,10,10,20,10,20,20,20
95II19,MONEYREAGH,CASTLEREAGH,90,0,0,10,10,10,10,20,20
95II20,NEWTOWNBREDA,CASTLEREAGH,60,0,0,10,10,10,10,20,10
