Council/Group Name,Statement Category,Financial Item,FY Ending,Value ($000)
Metro,Cash flows from financing activities,Net cash flow from financing activities,2013,79212
Metro,Cash flows from financing activities,Net cash flow from financing activities,2014,17650
Metro,Cash flows from financing activities,Net cash flow from financing activities,2015,27682
Metro,Cash flows from financing activities,Net cash flow from financing activities,2016,4229
Metro,Cash flows from financing activities,Net cash flow from financing activities,2017,-4920
Metro,Cash flows from financing activities,Net cash flow from financing activities,2018,-27720
Metro,Cash flows from financing activities,Net cash flow from financing activities,2019,-3096
Metro,Cash flows from financing activities,Net cash flow from financing activities,2020,-21151
Metro,Cash flows from financing activities,Net cash flow from financing activities,2021,-34178
Metro,Cash flows from financing activities,Net cash flow from financing activities,2022,-22977
Metro,Cash flows from financing activities,Payments for financing activities,2013,297899
Metro,Cash flows from financing activities,Payments for financing activities,2014,317392
Metro,Cash flows from financing activities,Payments for financing activities,2015,235257
Metro,Cash flows from financing activities,Payments for financing activities,2016,261818
Metro,Cash flows from financing activities,Payments for financing activities,2017,262361
Metro,Cash flows from financing activities,Payments for financing activities,2018,271615
Metro,Cash flows from financing activities,Payments for financing activities,2019,257912
Metro,Cash flows from financing activities,Payments for financing activities,2020,257242
Metro,Cash flows from financing activities,Payments for financing activities,2021,291105
Metro,Cash flows from financing activities,Payments for financing activities,2022,316507
Metro,Cash flows from financing activities,Receipts from financing activities,2013,377111
Metro,Cash flows from financing activities,Receipts from financing activities,2014,335041
Metro,Cash flows from financing activities,Receipts from financing activities,2015,262939
Metro,Cash flows from financing activities,Receipts from financing activities,2016,266048
Metro,Cash flows from financing activities,Receipts from financing activities,2017,257442
Metro,Cash flows from financing activities,Receipts from financing activities,2018,243894
Metro,Cash flows from financing activities,Receipts from financing activities,2019,254814
Metro,Cash flows from financing activities,Receipts from financing activities,2020,236090
Metro,Cash flows from financing activities,Receipts from financing activities,2021,256928
Metro,Cash flows from financing activities,Receipts from financing activities,2022,293530
Metro,Cash flows from investing activities,Net cash flow from investing activities,2013,-441324
Metro,Cash flows from investing activities,Net cash flow from investing activities,2014,-387555
Metro,Cash flows from investing activities,Net cash flow from investing activities,2015,-436353
Metro,Cash flows from investing activities,Net cash flow from investing activities,2016,-449695
Metro,Cash flows from investing activities,Net cash flow from investing activities,2017,-467372
Metro,Cash flows from investing activities,Net cash flow from investing activities,2018,-462461
Metro,Cash flows from investing activities,Net cash flow from investing activities,2019,-532047
Metro,Cash flows from investing activities,Net cash flow from investing activities,2020,-500509
Metro,Cash flows from investing activities,Net cash flow from investing activities,2021,-524817
Metro,Cash flows from investing activities,Net cash flow from investing activities,2022,-564515
Metro,Cash flows from investing activities,Payments for investing activities,2013,645295
Metro,Cash flows from investing activities,Payments for investing activities,2014,565052
Metro,Cash flows from investing activities,Payments for investing activities,2015,615961
Metro,Cash flows from investing activities,Payments for investing activities,2016,622731
Metro,Cash flows from investing activities,Payments for investing activities,2017,640374
Metro,Cash flows from investing activities,Payments for investing activities,2018,639260
Metro,Cash flows from investing activities,Payments for investing activities,2019,699746
Metro,Cash flows from investing activities,Payments for investing activities,2020,667483
Metro,Cash flows from investing activities,Payments for investing activities,2021,691062
Metro,Cash flows from investing activities,Payments for investing activities,2022,732137
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2013,466598
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2014,381664
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2015,430279
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2016,448143
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2017,465961
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2018,461957
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2019,522037
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2020,488422
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2021,509206
Metro,Cash flows from investing activities,"Purchase of Property, Plant & Equipment",2022,556556
Metro,Cash flows from investing activities,Receipts from investing activities,2013,203972
Metro,Cash flows from investing activities,Receipts from investing activities,2014,177497
Metro,Cash flows from investing activities,Receipts from investing activities,2015,179609
Metro,Cash flows from investing activities,Receipts from investing activities,2016,173035
Metro,Cash flows from investing activities,Receipts from investing activities,2017,173002
Metro,Cash flows from investing activities,Receipts from investing activities,2018,176799
Metro,Cash flows from investing activities,Receipts from investing activities,2019,167699
Metro,Cash flows from investing activities,Receipts from investing activities,2020,166974
Metro,Cash flows from investing activities,Receipts from investing activities,2021,166245
Metro,Cash flows from investing activities,Receipts from investing activities,2022,167621
Metro,Cash flows from operating activities,Net cash flow from operating activities,2013,362146
Metro,Cash flows from operating activities,Net cash flow from operating activities,2014,375183
Metro,Cash flows from operating activities,Net cash flow from operating activities,2015,414046
Metro,Cash flows from operating activities,Net cash flow from operating activities,2016,450311
Metro,Cash flows from operating activities,Net cash flow from operating activities,2017,475783
Metro,Cash flows from operating activities,Net cash flow from operating activities,2018,493363
Metro,Cash flows from operating activities,Net cash flow from operating activities,2019,539640
Metro,Cash flows from operating activities,Net cash flow from operating activities,2020,526293
Metro,Cash flows from operating activities,Net cash flow from operating activities,2021,565829
Metro,Cash flows from operating activities,Net cash flow from operating activities,2022,594032
Metro,Cash flows from operating activities,Payments for operating activities,2013,971515
Metro,Cash flows from operating activities,Payments for operating activities,2014,1012740
Metro,Cash flows from operating activities,Payments for operating activities,2015,1035626
Metro,Cash flows from operating activities,Payments for operating activities,2016,1047415
Metro,Cash flows from operating activities,Payments for operating activities,2017,1078224
Metro,Cash flows from operating activities,Payments for operating activities,2018,1099379
Metro,Cash flows from operating activities,Payments for operating activities,2019,1128952
Metro,Cash flows from operating activities,Payments for operating activities,2020,1187656
Metro,Cash flows from operating activities,Payments for operating activities,2021,1208351
Metro,Cash flows from operating activities,Payments for operating activities,2022,1243079
Metro,Cash flows from operating activities,Receipts from operating activities,2013,1333661
Metro,Cash flows from operating activities,Receipts from operating activities,2014,1387923
Metro,Cash flows from operating activities,Receipts from operating activities,2015,1449672
Metro,Cash flows from operating activities,Receipts from operating activities,2016,1497727
Metro,Cash flows from operating activities,Receipts from operating activities,2017,1554007
Metro,Cash flows from operating activities,Receipts from operating activities,2018,1592742
Metro,Cash flows from operating activities,Receipts from operating activities,2019,1668594
Metro,Cash flows from operating activities,Receipts from operating activities,2020,1713950
Metro,Cash flows from operating activities,Receipts from operating activities,2021,1774181
Metro,Cash flows from operating activities,Receipts from operating activities,2022,1837112
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2013,386590
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2014,243495
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2015,133338
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2016,108885
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2017,86161
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2018,39033
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2019,-35079
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2020,-87658
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2021,-66349
Provincial,Cash flows from financing activities,Net cash flow from financing activities,2022,15898
Provincial,Cash flows from financing activities,Payments for financing activities,2013,217808
Provincial,Cash flows from financing activities,Payments for financing activities,2014,254679
Provincial,Cash flows from financing activities,Payments for financing activities,2015,261830
Provincial,Cash flows from financing activities,Payments for financing activities,2016,246367
Provincial,Cash flows from financing activities,Payments for financing activities,2017,270132
Provincial,Cash flows from financing activities,Payments for financing activities,2018,339674
Provincial,Cash flows from financing activities,Payments for financing activities,2019,320751
Provincial,Cash flows from financing activities,Payments for financing activities,2020,326006
Provincial,Cash flows from financing activities,Payments for financing activities,2021,285566
Provincial,Cash flows from financing activities,Payments for financing activities,2022,328790
Provincial,Cash flows from financing activities,Receipts from financing activities,2013,604399
Provincial,Cash flows from financing activities,Receipts from financing activities,2014,498173
Provincial,Cash flows from financing activities,Receipts from financing activities,2015,395169
Provincial,Cash flows from financing activities,Receipts from financing activities,2016,355250
Provincial,Cash flows from financing activities,Receipts from financing activities,2017,356294
Provincial,Cash flows from financing activities,Receipts from financing activities,2018,378706
Provincial,Cash flows from financing activities,Receipts from financing activities,2019,285672
Provincial,Cash flows from financing activities,Receipts from financing activities,2020,238348
Provincial,Cash flows from financing activities,Receipts from financing activities,2021,219217
Provincial,Cash flows from financing activities,Receipts from financing activities,2022,344689
Provincial,Cash flows from investing activities,Net cash flow from investing activities,2013,-1048487
Provincial,Cash flows from investing activities,Net cash flow from investing activities,2014,-904333
Provincial,Cash flows from investing activities,Net cash flow from investing activities,2015,-835594
Provincial,Cash flows from investing activities,Net cash flow from investing activities,2016,-873735
Provincial,Cash flows from investing activities,Net cash flow from investing activities,2017,-875205
