FID,FEATURECOD,UPDATE_YEA,SHAPE_len
3001,430,2004,947.001277
3002,520,2004,541.330051
3003,520,2004,1416.717828
3004,520,2004,1440.145196
3005,540,2004,87.154767
3006,520,2004,227.437942
3007,540,2004,81.533245
3008,520,2004,445.229614
3009,520,2004,30.431849
3010,540,2004,113.719811
3011,540,2004,16.239469
3012,540,2004,52.019205
3013,520,2004,436.649549
3014,520,2004,330.353376
3015,520,2004,80.809879
3016,520,2004,1138.607389
3017,520,2004,160.073334
3018,520,2004,1058.484097
3019,540,2004,61.872463
3020,520,2004,1373.852715
3021,520,2004,207.126725
3022,540,2004,60.606224
3023,520,2004,28.563622
3024,520,2004,18.711845
3025,520,2004,232.344009
3026,520,2004,564.402289
3027,520,2004,1499.390673
3028,520,2004,4.496499
3029,520,2004,221.99446
3030,520,2004,818.826961
3031,520,2004,53.351697
3032,520,2004,831.86854
3033,520,2004,1210.568495
3034,520,2004,287.796536
3035,430,2004,743.210531
3036,540,2004,118.503333
3037,520,2004,334.603256
3038,520,2004,496.804365
3039,520,2004,1780.82405
3040,520,2004,925.688165
3041,520,2004,74.424986
3042,520,2004,679.148884
3043,520,2004,1077.964419
3044,540,2004,68.326535
3045,520,2004,2201.102657
3046,520,2004,6.428549
3047,520,2004,320.145087
3048,430,2004,231.322303
3049,520,2004,1352.541342
3050,540,2004,24.328653
3051,520,2004,288.207706
3052,540,2004,22.731309
3053,520,2004,1427.710718
3054,540,2004,100.92253
3055,520,2004,319.135278
3056,520,2004,1744.156076
3057,540,2004,30.960111
3058,520,2004,965.065498
3059,520,2004,45.288576
3060,540,2004,69.054269
3061,520,2004,606.539605
3062,520,2004,1501.644567
3063,520,2004,1199.573595
3064,520,2004,170.908214
3065,520,2004,996.92953
3066,430,2004,541.732799
3067,520,2004,210.138425
3068,520,2004,405.494437
3069,520,2004,1752.237405
3070,540,2004,944.504089
3071,520,2004,3864.74868
3072,540,2004,11.760826
3073,520,2004,1537.558923
3074,520,2004,849.493886
3075,540,2004,39.202977
3076,540,2004,41.017509
3077,540,2004,946.233727
3078,520,2004,264.559158
3079,540,2004,55.460239
