Academic Year,Number of enrolments,Number of Individuals
Up to 31 July 2003,4009,3023
1 August 2003 - 31 July 2004,9101,5882
1 August 2004 - 31 July 2005,13061,7919
1 August 2005 - 31 July 2006,17259,10159
1 August 2006 - 31 July 2007,20258,10287
1 August 2007 - 31 July 2008,25547,12079
1 August 2008 - 31 July 2009,34970,15293
1 August 2009 - 31 July 2010,49881,20359
1 August 2010 - 31 July 2011,60001,22891
1 August 2011 - 31 July 2012,59212,21391
1 August 2012 - 31 July 2013,51735,18130
1 August 2013 - 31 July 2014,45792,16249
