OBJECTID,MAPBLOCKLO,TIF_NAME,NOTES
1,9-L-68-A,PENN LIBERTY PLAZA,
2,2-F-240-1,MELLON CLIENT SERVICE CENTER,
3,9-P-36,PENN LIBERTY PLAZA,
4,29-F-80,PITTSBURGH TECHNOLOGY CENTER,
5,29-F-90,PITTSBURGH TECHNOLOGY CENTER,
6,1-R-110,STATION SQUARE,
7,30-F-150,SOUTH SIDE WORKS,
8,1-R-15,STATION SQUARE,
9,1-P-75,STATION SQUARE,
10,1-K-68,STATION SQUARE,
11,1-P-73,STATION SQUARE,
12,1-K-66,STATION SQUARE,
13,1-K-72,STATION SQUARE,
14,1-J-92,STATION SQUARE,
15,1-P-71,STATION SQUARE,
16,30-B-101,SOUTH SIDE WORKS,
17,29-N-507,SOUTH SIDE WORKS,
18,29-N-300,SOUTH SIDE WORKS,
19,29-P-425,SOUTH SIDE WORKS,
20,29-P-100,SOUTH SIDE WORKS,
21,23-L-80,FEDERAL NORTH,
22,23-L-70,FEDERAL NORTH,
23,23-L-87,FEDERAL NORTH,
24,23-L-86,FEDERAL NORTH,
25,23-L-83,FEDERAL NORTH,
26,23-L-91,FEDERAL NORTH,
27,23-L-92,FEDERAL NORTH,
28,23-L-90,FEDERAL NORTH,
29,23-L-89,FEDERAL NORTH,
30,23-L-78,FEDERAL NORTH,
31,23-L-76,FEDERAL NORTH,
32,23-L-79,FEDERAL NORTH,
33,12-M-324,SOUTH SIDE WORKS,
34,29-J-135,SOUTH SIDE WORKS,
35,29-J-150,SOUTH SIDE WORKS,
36,29-N-508,SOUTH SIDE WORKS,
37,29-P-401,SOUTH SIDE WORKS,
38,29-P-350,SOUTH SIDE WORKS,
39,51-M-132-A,CENTER NEGLEY,
40,51-M-132-C,CENTER NEGLEY,
41,51-M-132-B,CENTER NEGLEY,
42,336-R-30-1,ROBINSON MALL AND PERIPHERAL DEVELOPMENT,
43,336-K-30,ROBINSON MALL AND PERIPHERAL DEVELOPMENT,
44,52-N-180,PANTHER HOLLOW,
45,29-J-145,SOUTH SIDE WORKS,
46,COMMON GROUND,PITTSBURGH TECHNOLOGY CENTER,
47,2-N-5,PNC FIRSTSIDE - CENTER TRIANGLE,
48,1-K-5,STATION SQUARE,
49,2-F-240-2,MELLON CLIENT SERVICE CENTER,
50,30-B-200-0-1,SOUTH SIDE WORKS,
51,8-S-68-B1,FULTON BUILDING,
52,8-S-68-B2,FULTON BUILDING,
53,8-S-68-C,FULTON BUILDING,
54,30-L-105,SOUTH SIDE WORKS,
55,1-E-130-1 ,STATION SQUARE,
56,1-R-250,STATION SQUARE,
57,2-F-230-1,MELLON CLIENT SERVICE CENTER,
58,29-F-29,PITTSBURGH TECHNOLOGY CENTER,
59,29-A-313,PITTSBURGH TECHNOLOGY CENTER,
60,29-A-312,PITTSBURGH TECHNOLOGY CENTER,
61,29-J-101,SOUTH SIDE WORKS,
62,29-J-201,SOUTH SIDE WORKS,
63,29-B-304,PITTSBURGH TECHNOLOGY CENTER,
64,29-P-100-0-1,SOUTH SIDE WORKS,
65,31-G-100,SOUTH SIDE WORKS,
66,30-L-75-A,SOUTH SIDE WORKS,
67,1-D-259-C,CENTER TRIANGLE - LAZARUS,
68,1-D-259-C513,CENTER TRIANGLE - LAZARUS,
69,1-D-259-C512,CENTER TRIANGLE - LAZARUS,
70,1-D-259-C511,CENTER TRIANGLE - LAZARUS,
71,1-D-259-A,CENTER TRIANGLE - LAZARUS,
72,1-D-259-C510,CENTER TRIANGLE - LAZARUS,
73,1-D-259-C509,CENTER TRIANGLE - LAZARUS,
74,1-D-259-C508,CENTER TRIANGLE - LAZARUS,
75,1-D-259-C507,CENTER TRIANGLE - LAZARUS,
76,1-D-259-C506,CENTER TRIANGLE - LAZARUS,
77,1-D-259-C505,CENTER TRIANGLE - LAZARUS,
78,1-D-259-C503,CENTER TRIANGLE - LAZARUS,
79,1-D-259-C504,CENTER TRIANGLE - LAZARUS,
80,1-D-259-C502,CENTER TRIANGLE - LAZARUS,
81,1-D-259-C501,CENTER TRIANGLE - LAZARUS,
