OBJECTID_1,OBJECTID,LABEL,District
1,23478,District 8,8
2,24280,District 3,3
3,26,District 7,7
4,7372,District 6,6
5,5337,District 9,9
6,14692,District 1,1
7,18,District 2,2
8,106,District 4,4
9,14248,District 5,5
10,26280,District 11,11
11,26280,District 13,13
12,26280,District 10,10
13,26280,District 12,12
