Year,"All cancers (C00–C96, D45–D47) No.","All cancers (C00–C96, D45–D47) Rate","Lip, Oral Cavity and Pharynx (C00–C14) No.","Lip, Oral Cavity and Pharynx (C00–C14) Rate",Oesophagus (C15) No.,Oesophagus (C15) Rate,Stomach (C16) No.,Stomach (C16) Rate,Colorectum and anus (C18–C21) No.,Colorectum and anus (C18–C21) Rate,Liver and intrahepatic bile ducts (C22) No.,Liver and intrahepatic bile ducts (C22) Rate,Pancreas (C25) No.,Pancreas (C25) Rate,Lung (C33–C34)No.,Lung (C33–C34) Rate,Melanoma (C43) No.,Melanoma (C43) Rate,Prostate (C61) No.,Prostate (C61) Rate,Testis (C62) No.,Testis (C62) Rate,"Kidney (C64–C66, C68) No.","Kidney (C64–C66, C68) Rate",Bladder (C67) No.,Bladder (C67) Rate,Brain (C71) No.,Brain (C71) Rate,Thyroid (C73) No.,Thyroid (C73) Rate,Hodgkin Lymphoma (C81) No.,Hodgkin Lymphoma (C81) Rate,"Non-Hodgkin Lymphoma (C82–C85, C96)   No.","Non-Hodgkin Lymphoma (C82–C85, C96)   Rate",Myeloma (C90) No.,Myeloma (C90) Rate,Leukaemia (C91–C95)  No.,Leukaemia (C91–C95)  Rate,,,,,,
1948,1203,126.4,16,1.7,24,2.2,,,240,25.4,,,,,24,2.4,,,243,25.6,95,10.1,,,,,,,,,,,,,,,,,,,,,,
1949,1272,131,10,1.1,24,2,,,228,24.1,,,,,27,2.8,,,264,26.8,89,9.1,,,,,,,,,,,,,,,,,,,,,,
1950,1256,128,15,1.4,17,1.7,156,16.2,256,26.5,,,,,15,1.5,,,252,25.8,80,8.1,,,,,,,,,,,,,,,,,,,,,,
1951,1401,140.1,21,2.2,31,2.9,181,18.2,258,26.3,,,,,24,2.4,,,263,26.2,83,8.1,,,,,,,,,,,,,,,,,,,,,,
1952,1419,135.2,18,1.7,33,3.2,164,15.4,269,25.5,,,,,42,3.9,,,279,27.3,83,8.1,,,,,,,,,,,,,,,,,,,,,,
1953,1336,124.8,17,1.6,27,2.5,172,15.5,247,23,,,,,34,3.1,,,256,24.4,81,7.6,,,,,,,,,,,,,,,,,,,,,,
1954,1401,127,16,1.6,28,2.5,185,16.4,253,22.9,,,,,30,2.6,17,1.7,261,24.3,79,7.4,,,,,,,,,,,,,,,,,,,,,,
1955,1511,133.1,24,2,35,3.1,194,16.6,271,23.7,44,3.7,63,5.5,40,3.4,17,1.7,298,26.5,96,8.5,57,5,77,7.2,,,33,2.9,21,1.9,30,2.8,11,0.9,14,1.3,26,2.2,17,1.5,65,5.7
1956,1471,126,18,1.6,25,2,187,15.7,264,23.8,40,3.3,68,6,60,5.6,17,1.6,248,20.1,89,7.8,41,3.2,88,7.7,,,22,1.8,25,2,37,3.4,8,0.5,9,0.8,30,2.6,11,0.9,63,5.6
1957,1461,123.2,23,1.9,19,1.5,151,12.5,280,23.5,47,3.8,60,4.9,46,3.8,17,1.6,305,26.1,79,6.8,53,4.6,96,8.1,,,25,2,20,1.6,39,3.5,6,0.5,8,0.8,35,3,10,0.8,66,5.6
1958,1554,128.4,30,2.4,21,1.6,173,13.6,296,24.4,41,3.4,59,5.5,56,5.7,18,1.6,296,23.8,85,7.1,39,3.1,113,9.5,,,15,1.2,20,1.6,47,4.1,10,0.7,13,1.2,31,2.5,18,1.5,68,5.7
1959,1528,123.1,19,1.5,32,2.5,152,11.7,265,22.3,47,3.7,41,2.6,58,5.1,24,2,284,22.5,112,9.3,45,3.7,103,8.6,,,25,2,24,1.8,34,2.9,12,1,19,1.6,29,2.3,16,1.3,77,6
1960,1566,125.4,18,1.5,26,2,161,12.5,251,20.2,53,4.1,63,5,66,5.2,24,2.1,276,22.5,91,7.7,55,4.5,104,8.6,,,35,2.7,29,2.2,45,3.7,12,1,15,1.3,32,2.6,14,1.1,75,5.8
1961,1671,130,23,1.7,33,2.4,145,10.6,294,22.9,43,3.1,64,4.8,76,5.9,28,2.4,351,28.4,85,7,43,3.3,101,8.1,,,23,1.7,24,1.7,36,3,12,0.9,22,1.8,45,3.4,18,1.4,72,5.5
1962,1661,125.7,27,1.9,27,1.9,158,11.3,321,23.9,62,4.5,59,4.5,62,4.7,20,1.5,307,24,81,6.4,55,4.1,91,7.3,,,21,1.6,27,1.9,45,3.6,10,0.7,15,1.3,43,3.3,16,1.2,75,5.6
1963,1708,127,26,1.9,33,2.4,143,10.1,307,22.5,47,3.4,76,5.5,80,6,24,2,337,25.5,79,6.1,45,3.3,123,9.6,,,16,1.2,28,2,53,4.2,17,1.2,12,0.9,45,3.3,26,1.9,60,4.5
