Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,CGA Total Claimants (2015),CGA Claimants Male 16-34 (2015),CGA Claimants Male 35-49 (2015),CGA Claimants Male 50-64 (2015),CGA Claimants Male 65+ (2015),CGA Claimants Female 16-34 (2015),CGA Claimants Female 35-49 (2015),CGA Claimants Female 50-59 (2015),CGA Claimants Female 60-64 (2015),CGA Claimants Female 65+ (2015)
95CC02,BALLYMARTRIM,ARMAGH,740,30,50,50,230,40,50,50,50,210
95CC03,CALLAN BRIDGE,ARMAGH,980,90,90,110,170,120,100,70,50,180
95CC04,CARRIGATUKE,ARMAGH,680,40,40,80,160,30,60,40,40,200
95CC05,CHARLEMONT,ARMAGH,700,30,40,60,200,30,50,40,50,220
95CC06,DEMESNE,ARMAGH,820,30,50,60,190,50,70,60,40,280
95CC07,DERRYNOOSE,ARMAGH,890,60,50,90,190,70,90,70,60,220
95CC08,DOWNS,ARMAGH,850,70,50,90,160,70,70,70,50,220
95CC09,HAMILTONSBAWN,ARMAGH,830,40,30,50,270,30,60,40,60,260
95CC10,HOCKLEY,ARMAGH,790,20,30,60,260,20,40,40,50,290
95CC11,KEADY,ARMAGH,670,50,70,70,140,40,50,30,40,190
95CC12,KILLEEN,ARMAGH,760,40,40,50,220,30,50,40,40,240
95CC13,KILLYLEA,ARMAGH,660,30,40,70,190,30,40,40,50,180
95CC14,LAURELVALE,ARMAGH,790,30,40,50,220,50,70,50,50,240
95CC15,LOUGHGALL,ARMAGH,770,30,50,60,210,30,50,60,50,240
95CC16,MARKETHILL,ARMAGH,860,40,50,70,220,60,70,60,50,250
95CC17,MILFORD,ARMAGH,620,30,30,60,170,30,40,40,40,190
95CC18,OBSERVATORY,ARMAGH,810,50,40,70,190,40,50,40,30,280
95CC19,POYNTZ PASS,ARMAGH,760,30,50,70,200,40,70,50,40,220
95CC20,RICH HILL,ARMAGH,740,30,40,50,180,30,50,60,60,240
