FID,OBJECTID,WARDNAME,WardCode
1,1,ABBEY,N08000101
2,2,ALDERGROVE,N08000102
3,3,ANTRIM CENTRE,N08000103
4,4,BALLYCLARE EAST,N08000104
5,5,BALLYCLARE WEST,N08000105
6,6,BALLYDUFF,N08000106
7,7,BALLYHENRY,N08000107
8,8,BALLYNURE,N08000108
9,9,BALLYROBERT,N08000109
10,10,BURNTHILL,N08000110
11,11,CARNMONEY,N08000111
12,12,CARNMONEY HILL,N08000112
13,13,COLLINBRIDGE,N08000114
14,14,CRANFIELD,N08000115
15,15,CRUMLIN,N08000116
16,16,DOAGH,N08000117
17,17,FAIRVIEW,N08000118
18,18,FOUNTAIN HILL,N08000119
19,19,GLEBE,N08000120
20,20,GLENGORMLEY,N08000121
21,21,GREYSTONE,N08000122
22,22,JORDANSTOWN,N08000124
23,23,MALLUSK,N08000125
24,24,MONKSTOWN,N08000126
25,25,MOSSLEY,N08000127
26,26,O'NEILL,N08000128
27,27,PARKGATE,N08000129
28,28,RANDALSTOWN,N08000130
29,29,RATHCOOLE,N08000131
30,30,ROSTULLA,N08000132
31,31,SHILVODAN,N08000133
32,32,SPRINGFARM,N08000134
33,33,STEEPLE,N08000135
34,34,STILES,N08000136
35,35,TEMPLEPATRICK,N08000137
36,36,TOOME,N08000138
37,37,VALLEY,N08000139
38,38,WHITEHOUSE,N08000140
39,39,AGHAGALLON,N08000201
40,40,BALLYBAY,N08000202
41,41,BANBRIDGE EAST,N08000203
42,42,BANBRIDGE NORTH,N08000204
43,43,BANBRIDGE SOUTH,N08000205
44,44,BANBRIDGE WEST,N08000206
45,45,BLACKWATERTOWN,N08000207
46,46,BLEARY,N08000208
47,47,BROWNLOW,N08000209
48,48,CATHEDRAL,N08000210
49,49,CORCRAIN,N08000211
50,50,CRAIGAVON CENTRE,N08000212
51,51,DEMESNE,N08000213
52,52,DERRYTRASNA,N08000214
53,53,DONAGHCLONEY,N08000215
54,54,DROMORE,N08000216
55,55,GILFORD,N08000217
56,56,GRANSHA,N08000218
57,57,HAMILTONSBAWN,N08000219
58,58,KEADY,N08000220
59,59,KERNAN,N08000221
60,60,KNOCKNASHANE,N08000223
61,61,LOUGH ROAD,N08000224
62,62,LOUGHBRICKLAND,N08000225
63,63,LOUGHGALL,N08000226
64,64,MAGHERALIN,N08000227
65,65,MAHON,N08000228
66,66,MARKETHILL,N08000229
67,67,MOURNEVIEW,N08000230
68,68,NAVAN,N08000231
69,69,PARKLAKE,N08000232
70,70,QUILLY,N08000233
71,71,RATHFRILAND,N08000234
72,72,RICHHILL,N08000235
73,73,SEAGAHAN,N08000236
74,74,SHANKILL,N08000237
75,75,TANDRAGEE,N08000238
76,76,THE BIRCHES,N08000239
77,77,THE MALL,N08000240
78,78,WARINGSTOWN,N08000241
79,79,ANDERSONSTOWN,N08000301
80,80,ARDOYNE,N08000302
81,81,BALLYGOMARTIN,N08000303
82,82,BALLYMACARRETT,N08000304
83,83,BALLYMURPHY,N08000305
84,84,BALLYSILLAN,N08000306
85,85,BEECHMOUNT,N08000307
86,86,BEERSBRIDGE,N08000308
87,87,BELLEVUE,N08000309
88,88,BELMONT,N08000310
89,89,BELVOIR,N08000311
90,90,BLACKSTAFF,N08000312
91,91,BLOOMFIELD,N08000313
92,92,CENTRAL,N08000315
93,93,CHICHESTER PARK,N08000316
94,94,CLIFTONVILLE,N08000317
95,95,CLONARD,N08000318
96,96,COLLIN GLEN,N08000319
97,97,CONNSWATER,N08000320
98,98,CREGAGH,N08000321
99,99,DUNCAIRN,N08000322
100,100,DUNMURRY,N08000323
101,101,FALLS,N08000324
102,102,FALLS PARK,N08000325
103,103,FINAGHY,N08000326
104,104,FORTH RIVER,N08000327
105,105,FORTWILLIAM,N08000328
106,106,INNISFAYLE,N08000332
107,107,KNOCK,N08000333
108,108,LADYBROOK,N08000334
109,109,LAGMORE,N08000335
110,110,LEGONIEL,N08000336
111,111,MALONE,N08000337
112,112,MEROK,N08000338
113,113,MUSGRAVE,N08000339
114,114,NEW LODGE,N08000340
115,115,ORANGEFIELD,N08000341
116,116,ORMEAU,N08000342
117,234,HARMONY HILL,N08000720
118,235,HILDEN,N08000721
119,236,HILLHALL,N08000722
120,237,HILLSBOROUGH,N08000723
121,238,KNOCKMORE,N08000725
122,239,LAGAN,N08000726
123,240,LAGAN VALLEY,N08000727
124,241,LAMBEG,N08000728
125,242,LISNAGARVEY,N08000729
126,243,MAGHABERRY,N08000730
127,244,MAGHERALAVE,N08000731
128,245,MAZE,N08000732
129,246,MOIRA,N08000733
130,247,NEWTOWNBREDA,N08000735
131,248,OLD WARREN,N08000736
132,249,RAVERNET,N08000737
133,250,STONYFORD,N08000738
134,251,WALLACE PARK,N08000739
135,252,ACADEMY,N08000801
136,253,ARDEEVIN,N08000803
137,254,BALLEE and HARRYVILLE,N08000804
138,255,BALLYCARRY and GLYNN,N08000805
139,256,BALLYKEEL,N08000806
140,257,BONEYBEFORE,N08000807
141,258,BRAIDWATER,N08000808
142,259,BROUGHSHANE,N08000809
143,260,BURLEIGH HILL,N08000810
144,261,CAIRNCASTLE,N08000811
145,262,CARNLOUGH and GLENARM,N08000812
146,263,CASTLE,N08000813
147,264,CASTLE DEMESNE,N08000814
148,265,CRAIGYHILL,N08000815
149,266,CULLYBACKEY,N08000816
150,267,CURRAN and INVER,N08000817
151,268,FAIR GREEN,N08000818
152,269,GALGORM,N08000819
153,270,GARDENMORE,N08000820
154,271,GLENRAVEL,N08000821
155,272,GLENWHIRRY,N08000822
156,273,GORTALEE,N08000823
157,274,GRANGE,N08000824
158,275,GREENISLAND,N08000825
159,276,ISLANDMAGEE,N08000826
160,277,KELLS,N08000827
161,278,KILROOT,N08000828
162,279,KILWAUGHTER,N08000829
163,280,KIRKINRIOLA,N08000830
164,281,LOVE LANE,N08000831
165,282,MAINE,N08000832
166,283,PARK,N08000833
167,284,PORTGLENONE,N08000834
168,285,SLEMISH,N08000835
169,286,SUNNYLANDS,N08000836
170,287,THE MAIDENS,N08000837
171,288,VICTORIA,N08000838
172,289,WHITEHEAD SOUTH,N08000839
173,290,WOODBURN,N08000840
174,291,ARDBOE,N08000901
175,292,AUGHER and CLOGHER,N08000902
176,293,AUGHNACLOY,N08000903
177,294,BALLYGAWLEY,N08000904
178,295,BALLYMAGUIGAN,N08000905
179,296,BALLYSAGGART,N08000906
180,297,BELLAGHY,N08000907
181,298,CALEDON,N08000908
182,299,CASTLECAULFIELD,N08000909
183,300,CASTLEDAWSON,N08000910
184,301,COAGH,N08000911
185,302,COALISLAND SOUTH,N08000913
186,303,COOKSTOWN EAST,N08000914
187,304,COOKSTOWN SOUTH,N08000915
188,305,COOKSTOWN WEST,N08000916
189,306,COOLSHINNY,N08000917
190,307,DONAGHMORE,N08000918
191,308,DRAPERSTOWN,N08000919
192,309,FIVEMILETOWN,N08000920
193,310,GLEBE,N08000921
194,311,KILLYMAN,N08000922
195,312,KILLYMEAL,N08000923
196,313,LISSAN,N08000924
197,314,LOUGHRY,N08000925
198,315,LOWER GLENSHANE,N08000926
199,316,MAGHERA,N08000927
200,317,MOY,N08000928
201,318,MOYGASHEL,N08000929
202,319,MULLAGHMORE,N08000930
203,320,OAKLANDS,N08000931
204,321,POMEROY,N08000932
205,322,STEWARTSTOWN,N08000933
206,323,SWATRAGH,N08000934
207,324,TAMLAGHT O'CRILLY,N08000935
208,325,THE LOUP,N08000936
209,326,TOBERMORE,N08000937
210,327,TOWN PARKS EAST,N08000938
211,328,VALLEY,N08000939
212,329,WASHING BAY,N08000940
213,330,ABBEY,N08001001
214,331,ANNALONG,N08001002
215,332,BALLYBOT,N08001003
216,333,BALLYDUGAN,N08001004
217,334,BALLYNAHINCH,N08001005
218,335,BALLYWARD,N08001006
219,336,BINNIAN,N08001008
220,337,BURREN,N08001009
221,338,CAMLOUGH,N08001010
222,339,CASTLEWELLAN,N08001011
223,340,CATHEDRAL,N08001012
224,341,CROSSGAR and KILLYLEAGH,N08001013
225,342,CROSSMAGLEN,N08001014
226,343,DAMOLLY,N08001015
227,344,DERRYBOY,N08001016
228,350,FATHOM,N08001022
229,345,DERRYLECKAGH,N08001017
230,351,FORKHILL,N08001023
231,346,DONARD,N08001018
232,352,HILLTOWN,N08001024
233,347,DRUMALANE,N08001019
234,353,KILKEEL,N08001025
235,348,DRUMANESS,N08001020
236,349,DUNDRUM,N08001021
237,354,KILMORE,N08001026
238,355,LECALE,N08001028
239,356,LISNACREE,N08001029
240,357,MAYOBRIDGE,N08001030
241,358,MULLAGHBANE,N08001031
242,359,MURLOUGH,N08001032
243,360,NEWTOWNHAMILTON,N08001033
244,361,QUOILE,N08001034
245,362,ROSTREVOR,N08001035
246,363,SAINTFIELD,N08001036
247,364,ST. PATRICK'S,N08001037
248,365,STRANGFORD,N08001038
249,366,TOLLYMORE,N08001039
250,367,WARRENPOINT,N08001040
251,368,WHITECROSS,N08001041
252,369,BALLYCROCHAN,N08001101
253,370,BALLYGOWAN,N08001102
254,371,BALLYGRAINEY,N08001103
255,372,BALLYHOLME,N08001104
256,373,BALLYMAGEE,N08001105
257,374,BALLYWALTER,N08001106
258,375,BLOOMFIELD,N08001107
259,376,BROADWAY,N08001108
260,377,BRYANSBURN,N08001109
261,378,CARROWDORE,N08001110
262,379,CASTLE,N08001111
263,380,CLANDEBOYE,N08001112
264,381,COMBER NORTH,N08001113
265,382,COMBER SOUTH,N08001114
266,383,COMBER WEST,N08001115
267,384,CONWAY SQUARE,N08001116
268,385,CRONSTOWN,N08001117
269,386,CULTRA,N08001118
270,387,DONAGHADEE,N08001119
271,388,GLEN,N08001120
272,389,GREGSTOWN,N08001121
273,390,GROOMSPORT,N08001122
274,391,HARBOUR,N08001123
275,392,HELEN'S BAY,N08001124
276,393,HOLYWOOD,N08001125
277,394,KILCOOLEY,N08001126
278,395,KILLINCHY,N08001127
279,396,KIRCUBBIN,N08001128
280,397,LOUGHRIES,N08001129
281,398,LOUGHVIEW,N08001130
282,399,MOVILLA,N08001131
283,400,PORTAFERRY,N08001132
284,401,PORTAVOGIE,N08001133
285,402,RATHGAEL,N08001134
286,403,RATHMORE,N08001135
287,404,SCRABO,N08001136
288,405,SILVERBIRCH,N08001137
289,406,SILVERSTREAM,N08001138
290,407,WARREN,N08001139
291,408,WEST WINDS,N08001140
292,409,BALLYMACASH,N08000703
293,410,WHITE MOUNTAIN,N08000740
294,411,ENLER,N08000716
295,412,BALLYHANWOOD,N08000702
296,413,KNOCKBRACKEN,N08000724
297,414,MONEYREAGH,N08000734
298,415,KNOCKNASHINNA,N08001027
299,416,SKEOGE,N08000535
300,417,SPRINGTOWN,N08000537
301,418,SHANTALLOW EAST,N08000532
302,419,CULMORE,N08000513
303,420,STRABANE WEST,N08000539
304,421,AHOGHILL,N08000802
305,422,HIGHTOWN,N08000123
306,423,CLADY,N08000113
307,424,CAVEHILL,N08000314
308,425,POLEGLASS,N08000343
309,426,TERMON,N08000639
310,427,GORTIN,N08000622
311,428,FAIRY WATER,N08000619
312,429,BELLEEK and BOA,N08000603
313,430,DRUMQUIN,N08000616
314,431,COALISLAND NORTH,N08000912
315,432,SIXMILECROSS,N08000636
316,433,NEWTOWNSAVILLE,N08000631
317,434,FINTONA,N08000620
318,435,TEMPO,N08000638
319,436,BROOKEBOROUGH,N08000606
320,437,LISNASKEA,N08000628
321,438,LISBELLAW,N08000626
322,439,DONAGH,N08000613
323,440,BESSBROOK,N08001007
324,441,GARNERVILLE,N08000329
325,442,STORMONT,N08000351
326,443,SHANDON,N08000347
327,444,GILNAHIRK,N08000330
328,445,KILLYCOMAIN,N08000222
329,446,BERAGH,N08000604
330,447,OWENKILLEW,N08000632
331,448,DRUMNAKILLY,N08000615
332,449,EDERNEY and KESH,N08000617
333,450,DROMORE,N08000614
334,451,STEWARTSTOWN,N08000350
335,452,DERGMONEY,N08000610
336,453,CAMOWEN,N08000607
337,454,TRILLICK,N08000640
338,455,BALLINAMALLARD,N08000601
339,456,NEWTOWNBUTLER,N08000630
340,457,IRVINESTOWN,N08000624
341,458,LISNARRICK,N08000627
342,459,CASTLECOOLE,N08000608
343,460,PORTORA,N08000633
344,461,ERNE,N08000618
345,462,HILLFOOT,N08000331
346,463,TORR HEAD and RATHLIN,N08000437
347,117,RAVENHILL,N08000344
