OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,YEARCONVERTED,GlobalID,Magisterial_District,Judge,Address,Unit,City,State,Zip,Coverage
12,CHALFANT,BOROUGH,Chalfant Borough,Turtle Creek Valley,Woodland Hills,18,12496,ES,104.564331,0.163382,814,003095,8,East Regional,1954,df6162d2-8292-4ff4-8a35-292b1a1020e3,Magisterial District 05-2-08,Honorable Thomas Caulfield,2065 Ardmore Blvd,,Forest Hills,PA,15221,Chalfant
13,WILKINSBURG,BOROUGH,Wilkinsburg Borough,Turtle Creek Valley,Wilkinsburg,18,85188,ES,1445.369507,2.258391,866,003640,10,East Regional,1952,da7cc42e-6fd8-4b2d-8225-3dc2a6e0ec60,Magisterial District 05-2-10,Honorable Kimberly M. Hoots,907 West St.,,Pittsburgh,PA,15221,Wilkinsburg
14,BRADFORD WOODS,BOROUGH,Bradford Woods Borough,North Hills,North Allegheny,4,8064,NH,589.59259,0.921238,809,003070,2,NEWCOM,2007,cb1b03c6-0e69-4896-9fc5-c9a9283e5094,Magisterial District 05-2-12,Honorable William K. Wagner,8105 Perry Highway,,Pittsburgh,PA,15237,Bradford Woods
15,MARSHALL,TOWNSHIP,Marshall Township,North Hills,North Allegheny,4,47696,NH,9874.303711,15.4286,923,003340,2,NEWCOM,2007,eff30017-ed80-4837-966a-b888544a577d,Magisterial District 05-2-12,Honorable William K. Wagner,8105 Perry Highway,,Pittsburgh,PA,15237,Marshall
16,EMSWORTH,BOROUGH,Emsworth Borough,Quaker Valley,Avonworth,14,23616,NH,434.306488,0.678604,826,003185,1,Northwest Regional,1957,b4953dda-c145-4060-bc27-776b3786235b,Magisterial District 05-2-01,Honorable Tara L. Smith,660 Lincoln Avenue,,Pittsburgh,PA,15202,Emsworth
17,GREEN TREE,BOROUGH,Green Tree Borough,South Hills Area,Keystone Oaks,14,31256,SH,1328.240967,2.075377,831,003240,12,Southwest Regional,1956,ed85a760-d7ed-44b9-a28b-4e85f386a008,Magisterial District 05-2-22,Honorable Gary M. Zyra,301 Lindsay Road,,Carnegie,PA,15106,Green tree
18,GLASSPORT,BOROUGH,Glassport Borough,Twin Rivers,South Allegheny,18,29432,MV,1148.58313,1.794661,829,003230,9,Mon-Valley,1974,1930786a-4b8f-4bfd-8344-a3875a5824d2,Magisterial District 05-3-09,Honorable Armand A. Martin,800 Monongahela Avenue,,Glassport,PA,15045,Glassport
19,NORTH FAYETTE,TOWNSHIP,North Fayette Township,Char-West,West Allegheny,20,55016,AA,16090.414062,25.141266,929,003385,4,Southwest Regional,2007,1bb2b958-4f87-4700-b957-0ae6ad3270a1,Magisterial District 05-3-17,Honorable Anthony W. Saveikis,8052 Steubenville Pike,,Oakdale,PA,15071,North Fayette
20,FINDLAY,TOWNSHIP,Findlay Township,Char-West,West Allegheny,20,25904,AA,20697.904297,32.340469,910,003200,4,Northwest Regional,2007,9954ad9f-b5cd-4bcc-818b-6f2f5b77214e,Magisterial District 05-3-17,Honorable Anthony W. Saveikis,8052 Steubenville Pike,,Oakdale,PA,15071,Findlay
21,KENNEDY,TOWNSHIP,Kennedy Township,Char-West,Montour,14,39312,AA,3535.634277,5.524428,919,003290,4,Southwest Regional,1975,7d6ba6fb-e2fb-48a7-ad67-79b5a030cdf6,Magisterial District 05-2-43,Honorable Carla M. Swearingen,5624 Steubenville Pike,,McKees Rocks,PA,15136,Kennedy
22,NORTH BRADDOCK,BOROUGH,North Braddock Borough,Turtle Creek Valley,Woodland Hills,18,54816,MV,977.492798,1.527333,843,003380,8,East Regional,1954,c83a048d-5773-49b2-b8d2-69f559262807,Magisterial District 05-2-47,Honorable Scott H. Schricker,100 Penn Plaza Shopping Center,,Turtle Creek,PA,15145,North Braddock
23,BRADDOCK HILLS,BOROUGH,Braddock Hills Borough,Steel Valley,Woodland Hills,18,8008,MV,603.870605,0.943548,872,003065,8,East Regional,1953,d7a6e5be-14a7-4b33-bd4a-aeb44ec0e130,Magisterial District 05-2-08,Honorable Thomas Caulfield,2065 Ardmore Blvd,,Forest Hills,PA,15221,Braddock Hills
24,WILMERDING,BOROUGH,Wilmerding Borough,Turtle Creek Valley,East Allegheny,18,85496,MV,281.610809,0.440017,867,003645,8,East Regional,1972,523d5c2d-5cc4-4484-b89d-8ef57f4c48b6,Magisterial District 05-2-11,Honorable Vacant,371 Lincoln Highway,,North Versailles,PA,15137,Wilmerding
25,VERSAILLES,BOROUGH,Versailles Borough,Twin Rivers,McKeesport Area,18,80040,MV,345.723999,0.540194,860,003585,9,Mon-Valley,1975,5ba3c2a4-e3b0-4eb7-97a0-2425d8094609,Magisterial District 05-3-05,Honorable Thomas G. Miller,1985 Lincoln Way,,White Oak,PA,15131,Versailles
26,SOUTH VERSAILLES,TOWNSHIP,South Versailles Township,Twin Rivers,McKeesport Area,18,72568,MV,633.785217,0.990289,947,003530,9,Mon-Valley,1975,a8a7c6a9-fae4-476e-b018-84aeada249c9,Magisterial District 05-3-05,Honorable Thomas G. Miller,1985 Lincoln Way,,White Oak,PA,15131,South Versailles
27,BRIDGEVILLE,BOROUGH,Bridgeville Borough,Char-West,Chartiers Valley,20,8624,SH,693.333862,1.083334,811,003080,4,Southwest Regional,1965,a5bef4c5-6e4c-4666-bd16-3e03f4124a7c,Magisterial District 05-2-21,Honorable Maureen McGraw-Desmet,295 Millers Run Road,,Bridgeville,PA,15017,Bridgeville
28,RESERVE,TOWNSHIP,Reserve Township,North Hills,Shaler Area,18,64240,NH,1299.43811,2.030372,937,003460,3,NEWCOM,1959,d936a3e2-4225-4783-b7d7-d983170cdd94,Magisterial District 05-2-03,Honorable Robert P. Dzvonick,1007 Mount Royal Blvd,,Pittsburgh,PA,15223,Reserve
29,BELLEVUE,BOROUGH,Bellevue Borough,Quaker Valley,Northgate,14,5312,NH,706.687988,1.1042,803,003030,1,Northwest Regional,1955,7c7a91d4-8793-4eae-838f-a10ae4ed7265,Magisterial District 05-2-01,Honorable Tara L. Smith,660 Lincoln Avenue,,Pittsburgh,PA,15202,Bellevue
30,NEVILLE,TOWNSHIP,Neville Township,Char-West,Cornell,14,53136,AA,1500.700928,2.344845,928,003375,4,Northwest Regional,1970,9a13ce76-c0d6-4944-8a97-2a087f5d6243,Magisterial District 05-2-25,Honorable Mary P. Murray,923 Fifth Avenue,,Coraopolis,PA,15108,Neville
31,BRACKENRIDGE,BOROUGH,Brackenridge Borough,Allegheny Valley North,Highlands,4,7976,NH,357.320007,0.558312,807,003055,3,NEWCOM,1970,839ea072-fc87-4611-b79d-9f50564459b7,Magisterial District 05-2-05,Honorable Carolyn S. Bengel,1010 Broadview Boulevard,,Brackenridge,PA,15014,Brackenridge
32,HARRISON,TOWNSHIP,Harrison Township,Allegheny Valley North,Highlands,4,32832,NH,5015.975586,7.837462,916,003255,3,NEWCOM,1972,417e3b9e-a5ff-48fa-ad19-e50e4c74e74d,Magisterial District 05-2-05,Honorable Carolyn S. Bengel,1010 Broadview Boulevard,,Brackenridge,PA,15014,Harrison
33,WEST HOMESTEAD,BOROUGH,West Homestead Borough,Steel Valley,Steel Valley,18,83200,MV,643.757812,1.005872,863,003605,11,Mon-Valley,1954,1a7f2ddf-2550-428f-8703-4cead8da69c4,Magisterial District 05-2-15,Honorable Thomas R. Torkowsky,510 East Eighth Avenue,,Munhall,PA,15120,West Homestead
34,EDGEWOOD,BOROUGH,Edgewood Borough,Turtle Creek Valley,Woodland Hills,14,22520,ES,418.757416,0.654308,823,003165,8,East Regional,1952,1d0d2487-3547-496a-ae3a-80565c428e01,Magisterial District 05-2-08,Honorable Thomas Caulfield,2065 Ardmore Blvd,,Forest Hills,PA,15221,Swissvale
35,BALDWIN,TOWNSHIP,Baldwin Township,South Hills Area,Baldwin-Whitehall,18,3952,SH,315.475952,0.492931,902,003020,6,South Hills Regional,1959,eb95a94a-1021-4833-98ec-fd3e0058e574,Magisterial District 05-2-17,Honorable Vacant,41 Macek Drive,,Pittsburgh,PA,15227,Baldwin
36,MOUNT OLIVER,BOROUGH,Mount Oliver Borough, ,City of Pittsburgh,14,51744,PGH,215.673828,0.33699,839,003365,0,City of Pittsburgh,1950,04445579-a603-4c71-9715-b71c8a768ca8,Magisterial District 05-3-14,Honorable Richard G. King,2213 Brownsville Road,,Pittsburgh,PA,15210,Pittsburgh 30
37,CHESWICK,BOROUGH,Cheswick Borough,Allegheny Valley North,Allegheny Valley,4,13392,NH,350.191284,0.547174,815,003100,7,NEWCOM,1966,bdbbf6d0-a81d-40db-917c-af40ba5f6443,Magisterial District 05-3-03,Honorable David J. Sosovicka,721 Gulf Lab Road,,Cheswick,PA,15024,Cheswick
38,AVALON,BOROUGH,Avalon Borough,Quaker Valley,Northgate,14,3608,NH,437.833588,0.684115,802,003015,1,Northwest Regional,1955,7afb50bf-d125-4538-9224-c05a0a061b6f,Magisterial District 05-2-01,Honorable Tara L. Smith,660 Lincoln Avenue,,Pittsburgh,PA,15202,Avalon
39,BEN AVON,BOROUGH,Ben Avon Borough,Quaker Valley,Avonworth,14,5504,NH,284.064056,0.44385,804,003035,1,Northwest Regional,1956,3d0df921-c835-4868-9ae8-05ad21910445,Magisterial District 05-2-01,Honorable Tara L. Smith,660 Lincoln Avenue,,Pittsburgh,PA,15202,Ben Avon
40,WALL,BOROUGH,Wall Borough,Turtle Creek Valley,East Allegheny,18,80600,ES,240.456009,0.375713,861,003590,8,East Regional,1971,905e6d9e-5822-4f31-898a-15bb6943768c,Magisterial District 05-2-11,Honorable Vacant,371 Lincoln Highway,,North Versailles,PA,15137,Wall
41,BEN AVON HEIGHTS,BOROUGH,Ben Avon Heights Borough, ,Avonworth,14,5520,NH,109.539764,0.171156,805,003040,1,Northwest Regional,1956,d20f402c-317d-4948-8714-7b582c7cc64d,Magisterial District 05-2-01,Honorable Tara L. Smith,660 Lincoln Avenue,,Pittsburgh,PA,15202,Ben Avon Heights
42,RANKIN,BOROUGH,Rankin Borough,Turtle Creek Valley,Woodland Hills,18,63408,MV,311.508423,0.486732,849,003455,8,East Regional,1953,b3f82400-86e2-4693-a0ed-da91a8e2657c,Magisterial District 05-2-14,"Honorable Richard D. Olasz, Jr.",2629 Skyline Drive,,West Mifflin,PA,15122,Rankin
43,PENNSBURY VILLAGE,BOROUGH,Pennsbury Village Borough,Char-West,Montour,14,59152,AA,37.13929,0.05803,871,003422,4,Southwest Regional,1977,5f589333-becb-42d7-a286-4deac84861bc,Magisterial District 05-2-23,Honorable Dennis R. Joyce,136 Bradford Avenue,,Pittsburgh,PA,15205,Pennsbury Village
44,BLAWNOX,BOROUGH,Blawnox Borough,Allegheny Valley North,Fox Chapel Area,18,7000,NH,277.078857,0.432936,806,003050,3,NEWCOM,1960,b891fea9-70be-447b-9872-a8ff9ff39975,Magisterial District 05-2-04,Honorable Elissa M. Lang,1205 Main Street,,Pittsburgh,PA,15215,Blawnox
45,BRADDOCK,BOROUGH,Braddock Borough,Turtle Creek Valley,Woodland Hills,18,7992,MV,414.308899,0.647358,808,003060,8,East Regional,1953,9722146b-5b9a-4472-ac56-99f82d5385f6,Magisterial District 05-2-47,Honorable Scott H. Schricker,100 Penn Plaza Shopping Center,,Turtle Creek,PA,15145,Braddock
46,EAST PITTSBURGH,BOROUGH,East Pittsburgh Borough,Turtle Creek Valley,Woodland Hills,18,21712,MV,250.961563,0.392128,822,003160,8,East Regional,1954,ec600777-360a-45cd-813e-f89e75904db0,Magisterial District 05-2-47,Honorable Scott H. Schricker,100 Penn Plaza Shopping Center,,Turtle Creek,PA,15145,East Pittsburgh
47,DUQUESNE,CITY,Duquesne,Twin Rivers,Duquesne City,18,20432,MV,1315.88855,2.056077,300,003145,9,Mon-Valley,1963,0a2758fb-8d86-4884-b542-991ec2590fa0,Magisterial District 05-2-47,Honorable Scott H. Schricker,100 Penn Plaza Shopping Center,,Turtle Creek,PA,15145,Duquesne
48,LIBERTY,BOROUGH,Liberty Borough,Twin Rivers,South Allegheny,18,43064,MV,943.39856,1.47406,837,003310,9,Mon-Valley,1977,1d26cb99-73d1-453e-9200-d92180d8ca02,Magisterial District 05-3-09,Honorable Armand A. Martin,800 Monongahela Avenue,,Glassport,PA,15045,Liberty
49,ELIZABETH,BOROUGH,Elizabeth Borough,Twin Rivers,Elizabeth Foreward,18,22992,MV,251.579834,0.393093,825,003180,9,Mon-Valley,1980,030bf599-030e-47a0-bf2d-27c4c6e23b97,Magisterial District 05-2-26,Honorable Beth S. Mills,2611 Hayden Boulevard, Suite 3,Elizabeth,PA,15037,Elizabeth
50,WHITAKER,BOROUGH,Whitaker Borough,Steel Valley,West Mifflin Area,18,84440,MV,211.785004,0.330914,865,003620,8,Mon-Valley,1955,0db313b4-da90-43c5-9727-df0f3c83ea69,Magisterial District 05-2-14,"Honorable Richard D. Olasz, Jr.",2629 Skyline Drive,,West Mifflin,PA,15122,Whitaker
51,DORMONT,BOROUGH,Dormont Borough,South Hills Area,Keystone Oaks,18,19576,SH,490.771851,0.766831,819,003135,12,South Hills Regional,1953,03ff0664-7ca1-4b9d-95d6-061aa24dfa70,Magisterial District 05-2-19,Honorable Blaise Larotonda,680 Washington Road,,Pittsburgh,PA,15228,Dormont
52,MCDONALD,BOROUGH,McDonald Borough, ,Fort Cherry,20,46072,AA,121.228447,0.189419,841,003325,5,Southwest Regional,2007,21d63d3b-68e7-428b-a95c-feadc1355e2c,Magisterial District 05-3-17,Honorable Anthony W. Saveikis,8052 Steubenville Pike,,Oakdale,PA,15071,McDonald
53,LINCOLN,BOROUGH,Lincoln Borough,Twin Rivers,South Allegheny,18,43408,MV,3289.419678,5.139719,881,003315,9,Mon-Valley,1977,4d5bde65-bf21-48a2-9380-b96a8493e3a0,Magisterial District 05-3-05,Honorable Thomas G. Miller,1985 Lincoln Way,,White Oak,PA,15131,Lincoln
54,LEETSDALE,BOROUGH,Leetsdale Borough,Quaker Valley,Quaker Valley,14,42392,AA,753.322815,1.177067,836,003305,1,Northwest Regional,1974,d5f5d209-1884-47f9-a5b7-b33cc4890bfd,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Leetsdale
55,LEET,TOWNSHIP,Leet Township,Quaker Valley,Quaker Valley,14,42368,AA,1024.352295,1.60055,921,003302,1,Northwest Regional,1974,a6964241-5e73-4270-8677-eb366852a16e,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Leet
56,SOUTH PARK,TOWNSHIP,South Park Township,South Hills Area,South Park,20,6064,SH,7491.746582,11.705854,945,003045,5,South Hills Regional,1962,09ffabf1-98fa-4e01-aa54-bfaab06e614e,Magisterial District 05-2-16,Honorable Guy Reschenthaler,343 Old Curry Hollow Road,,Pittsburgh,PA,15236,South Park
57,HOMESTEAD,BOROUGH,Homestead Borough,Steel Valley,Steel Valley,14,35424,MV,417.550873,0.652423,834,003270,11,Mon-Valley,1954,12f5331a-5bff-4181-852f-c1695ce2265a,Magisterial District 05-2-15,Honorable Thomas R. Torkowsky,510 East Eighth Avenue,,Munhall,PA,15120,Homestead
58,MOUNT LEBANON,MUNICIPALI,Mount Lebanon,South Hills Area,Mt. Lebanon,18,51696,SH,3891.854004,6.081022,926,003360,5,South Hills Regional,1963,01b6b115-70a4-49cc-b236-70affdcf92ce,Magisterial District 05-2-19,Honorable Blaise Larotonda,680 Washington Road,,Pittsburgh,PA,15228,Mount Lebanon
59,INGRAM,BOROUGH,Ingram Borough,Char-West,Montour,14,37000,AA,279.21698,0.436277,835,003280,12,Southwest Regional,1953,ac5d7143-1baf-4d64-a590-cecd284ee666,Magisterial District 05-2-23,Honorable Dennis R. Joyce,136 Bradford Avenue,,Pittsburgh,PA,15205,Ingram
60,THORNBURG,BOROUGH,Thornburg Borough,Char-West,Montour,14,76560,AA,276.666046,0.432291,856,003560,4,Southwest Regional,1954,b36c8ef6-1a5b-4bd3-8908-23ab0f109396,Magisterial District 05-2-23,Honorable Dennis R. Joyce,136 Bradford Avenue,,Pittsburgh,PA,15205,Thornburg
61,CRAFTON,BOROUGH,Crafton Borough,Char-West,Carlynton,14,16848,AA,734.246338,1.14726,818,003125,4,Southwest Regional,1954,715dfc2e-edac-4b43-999e-ba2052d6ae3e,Magisterial District 05-2-23,Honorable Dennis R. Joyce,136 Bradford Avenue,,Pittsburgh,PA,15205,Crafton
62,CASTLE SHANNON,BOROUGH,Castle Shannon Borough,South Hills Area,Keystone Oaks,18,11680,SH,1027.096924,1.604839,813,003090,6,South Hills Regional,1958,fc5970a5-ccbc-4053-8d5f-ebe5087f3f82,Magisterial District 05-2-17,Honorable David J. Barton,5301 Grove Rd,,Pittsburgh,PA,15236,Castle Shannon
63,WHITEHALL,BOROUGH,Whitehall Borough,South Hills Area,Baldwin-Whitehall,18,84512,SH,2110.15918,3.297123,874,003625,6,South Hills Regional,1957,c626f8f9-1ee9-4a49-bd94-e3ed460bc06a,Magisterial District 05-2-17,Honorable David J. Barton,5301 Grove Rd,,Pittsburgh,PA,15236,Whitehall
64,TRAFFORD,BOROUGH,Trafford Borough, ,Penn-Trafford,18,77272,MV,93.270042,0.145734,857,003565,8,East Regional,1999,4bcbe05a-0cc3-4048-8a6c-f80478810df1,Magisterial District 05-2-11,Honorable Vacant,371 Lincoln Highway,,North Versailles,PA,15137,Trafford
65,SEWICKLEY HILLS,BOROUGH,Sewickley Hills Borough, ,Quaker Valley,14,69416,AA,1564.793457,2.444989,882,003505,2,Northwest Regional,1976,24840012-5038-4315-9760-773e08320d5c,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Sewickley Hills
66,GLENFIELD,BOROUGH,Glenfield Borough,Quaker Valley,Quaker Valley,20,29592,AA,639.739624,0.999593,830,003235,4,Northwest Regional,1971,c0b32aad-e736-4ee0-8110-4a56a310caea,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Aleppo
67,ALEPPO,TOWNSHIP,Aleppo Township,Quaker Valley,Quaker Valley,14,724,AA,1124.589233,1.75717,901,003005,1,Northwest Regional,1974,74342b1e-8150-4ea7-ad58-aac9923fbfd1,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Aleppo
68,OAKDALE,BOROUGH,Oakdale Borough,Char-West,West Allegheny,20,55840,AA,285.33847,0.445841,844,003395,4,Southwest Regional,2007,734eb2c7-abfd-424b-81de-1556d2506bae,Magisterial District 05-3-17,Honorable Anthony W. Saveikis,8052 Steubenville Pike,,Oakdale,PA,15071,Oakdale
69,PLEASANT HILLS,BOROUGH,Pleasant Hills Borough,South Hills Area,West Jefferson Hills,18,61328,SH,1792.188354,2.800294,873,003440,6,South Hills Regional,1965,8946aff7-bdca-4f1c-a1ee-f30accf9cbda,Magisterial District 05-2-16,Honorable Guy Reschenthaler,343 Old Curry Hollow Road,,Pittsburgh,PA,15236,Pleasant Hills
70,EAST MCKEESPORT,BOROUGH,East McKeesport Borough,Turtle Creek Valley,East Allegheny,18,21496,MV,242.558563,0.378998,821,003155,8,East Regional,1971,ce39c88d-4c4c-4156-b87f-df544dd43897,Magisterial District 05-2-11,Honorable Vacant,371 Lincoln Highway,,North Versailles,PA,15137,East McKeesport
71,BALDWIN,BOROUGH,Baldwin Borough,South Hills Area,Baldwin-Whitehall,18,3928,SH,3730.407471,5.828761,877,003020,6,South Hills Regional,1960,0437576f-ae16-4ba8-addd-fe23e5119632,Magisterial District 05-2-18,Honorable Vacant,41 Macek Drive,,Pittsburgh,PA,15227,Baldwin
72,BRENTWOOD,BOROUGH,Brentwood Borough,South Hills Area,Brentwood Borough,18,8416,SH,944.373413,1.475583,810,003075,6,South Hills Regional,1956,309c4e6f-e228-4d3b-8c08-f5229c6b1a50,Magisterial District 05-2-18,Honorable Vacant,41 Macek Drive,,Pittsburgh,PA,15227,Brentwood
73,CHURCHILL,BOROUGH,Churchill Borough,Turtle Creek Valley,Woodland Hills,18,13608,ES,1398.227783,2.184731,816,003105,8,East Regional,1953,192b671f-16a4-478d-b081-5e92043fddc5,Magisterial District 05-2-08,Honorable Thomas Caulfield,2065 Ardmore Blvd,,Forest Hills,PA,15221,Churchill
74,MCKEESPORT,CITY,McKeesport,Twin Rivers,McKeesport Area,18,46256,MV,3468.846924,5.420073,400,003330,9,Mon-Valley,1973,a0090d4c-9e62-4412-b67e-bcc93ef99566,Magisterial District 05-2-13,Honorable Eugene F. Riazzi,687 Oneil Boulevard,,McKeesport,PA,15132,McKeesport
75,VERONA,BOROUGH,Verona Borough,Allegheny Valley North,Riverview,18,80032,ES,378.812775,0.591895,859,003580,7,East Regional,1982,71a0b593-9749-4e7d-9544-1f5dc54ffc74,Magisterial District 05-2-06,Honorable Leonard J. HRomyak,85 Universal Road,,Pittsburgh,PA,15235,Verona
76,OAKMONT,BOROUGH,Oakmont Borough, ,Riverview,18,56088,ES,1120.934448,1.751459,845,003400,7,East Regional,1983,3a10635f-3fef-4100-b260-285ea5eccc23,Magisterial District 05-2-32,Honorable Linda I. Zucco,10101 Saltsburg Road,,Plum,PA,15239,Oakmont
77,HARMAR,TOWNSHIP,Harmar Township,Allegheny Valley North,Allegheny Valley,18,32624,NH,4060.858643,6.345092,915,003250,7,NEWCOM,1967,6a1d2537-b89e-4dca-90b5-a62c00470aa2,Magisterial District 05-3-03,Honorable David J. Sosovicka,721 Gulf Lab Road,,Cheswick,PA,15024,Harmar
78,CRESCENT,TOWNSHIP,Crescent Township,Char-West,Moon Area,20,17048,AA,1511.144165,2.361162,906,003130,1,Northwest Regional,1978,20e68cd5-440f-41ad-b9e5-0fe2396b89d8,Magisterial District 05-2-25,Honorable Mary P. Murray,923 Fifth Avenue,,Coraopolis,PA,15108,Crescent
79,EDGEWORTH,BOROUGH,Edgeworth Borough,Quaker Valley,Quaker Valley,20,22576,AA,1030.743774,1.610538,824,003170,1,Northwest Regional,1974,6e3a2b01-34fc-4c31-8dcf-326723e281bc,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Edgeworth
80,CORAOPOLIS,BOROUGH,Coraopolis Borough,Char-West,Cornell,20,16144,AA,946.467163,1.478855,817,003120,1,Northwest Regional,1979,3a8f36eb-1c03-43e1-8a93-b2d4b078d515,Magisterial District 05-2-25,Honorable Mary P. Murray,923 Fifth Avenue,,Coraopolis,PA,15108,Coraopolis
81,HAYSVILLE,BOROUGH,Haysville Borough,Quaker Valley,Quaker Valley,20,33312,AA,137.77037,0.215266,832,003260,4,Northwest Regional,1971,9ee5b6a3-dc4e-4817-a3f8-7c12cc4da2ae,Magisterial District 05-3-02,Honorable Robert L. Ford,190 Ohio River Blvd,,Leetsdale,PA,15056,Haysville
82,ELIZABETH,TOWNSHIP,Elizabeth Township,Twin Rivers,Elizabeth Foreward,18,23000,MV,14758.374023,23.059954,908,003180,9,Mon-Valley,1981,36c6e479-42ff-4f19-b62f-4b5acffd8f1d,Magisterial District 05-2-26,Honorable Beth S. Mills,2611 Hayden Boulevard, Suite 3,Elizabeth,PA,15037,Elizabeth
83,PLUM,BOROUGH,Plum Borough,Turtle Creek Valley,Plum Borough,4,61536,ES,18545.425781,28.977234,880,003445,7,East Regional,1997,730d5661-536f-4a26-ac42-b9a8bf3e85e3,Magisterial District 05-2-32,Honorable Linda I. Zucco,10101 Saltsburg Road,,Plum,PA,15239,Plum
84,FRAZER,TOWNSHIP,Frazer Township,Allegheny Valley North,Deer Lakes,4,27608,NH,5990.693848,9.360459,913,003225,3,NEWCOM,1980,6f6955f0-524d-4b6b-bcab-8656f17a54c0,Magisterial District 05-3-03,Honorable David J. Sosovicka,721 Gulf Lab Road,,Cheswick,PA,15024,Frazer
