OBJECTID,NAME,TYPE,LABEL,COG,SCHOOLD,CONGDIST,FIPS,REGION,ACRES,SQMI,MUNICODE,CNTL_ID,CNTYCOUNCIL,EOC,YEARCONVERTED,GlobalID,Magisterial_District,Judge,Address,Unit,City,State,Zip,Coverage
1,EAST DEER,TOWNSHIP,East Deer Township,Allegheny Valley North,Deer Lakes,4,21024,NH,1613.701782,2.521409,907,003150,3,NEWCOM,1968,814ea69d-3400-4438-9200-318abece9b2e,Magisterial District 05-2-05,Honorable Carolyn S. Bengel,1010 Broadview Boulevard,,Brackenridge,PA,15014,East Deer
2,SPRINGDALE,TOWNSHIP,Springdale Township,Allegheny Valley North,Allegheny Valley,18,72968,NH,1553.413696,2.427209,948,003540,3,NEWCOM,1968,132d931c-f4d5-4322-bbb8-acb7b60a8e0d,Magisterial District 05-3-03,Honorable David J. Sosovicka,721 Gulf Lab Road,,Cheswick,PA,15024,Springdale
3,SPRINGDALE,BOROUGH,Springdale Borough,Allegheny Valley North,Allegheny Valley,18,72960,NH,698.273926,1.091053,853,003540,7,NEWCOM,1967,ab45a710-6b64-41d9-a760-83d8ce4d2a31,Magisterial District 05-3-03,Honorable David J. Sosovicka,721 Gulf Lab Road,,Cheswick,PA,15024,Springdale
4,ETNA,BOROUGH,Etna Borough,North Hills,Shaler Area,18,24160,NH,505.648651,0.790076,827,003190,3,NEWCOM,1955,d1fea2cd-84d9-49e5-b481-054b2ac8e63e,Magisterial District 05-2-03,Honorable Robert P. Dzvonick,1007 Mount Royal Blvd,,Pittsburgh,PA,15223,Etna
5,DRAVOSBURG,BOROUGH,Dravosburg Borough,Steel Valley,McKeesport Area,18,19856,MV,685.87915,1.071686,820,003140,9,Mon-Valley,1964,68df864f-5d03-4124-83f1-182457b2fef3,Magisterial District 05-2-14,"Honorable Richard D. Olasz, Jr.",2629 Skyline Drive,,West Mifflin,PA,15122,Dravosburg
6,SWISSVALE,BOROUGH,Swissvale Borough,Turtle Creek Valley,Woodland Hills,18,75816,MV,53.422752,0.083473,854,003550,8,East Regional,1953,801b48ba-62dd-440f-932f-53a167a402d4,Magisterial District 05-2-08,Honorable Thomas Caulfield,2065 Ardmore Blvd,,Forest Hills,PA,15221,Swissvale
7,RICHLAND,TOWNSHIP,Richland Township,North Hills,Pine-Richland,4,64528,NH,9362.007812,14.628138,938,003465,2,NEWCOM,1989,239e1e93-1dcb-468b-ba78-ce4fcf6e9364,Magisterial District 05-3-04,Honorable Suzanne Blaschak,2060 Saxonburg Boulevard,,Gibsonia,PA,15044,Richland
8,FOX CHAPEL,BOROUGH,Fox Chapel Borough,North Hills,Fox Chapel Area,18,27120,NH,5025.400391,7.852188,868,003215,3,NEWCOM,1961,af122247-0fd1-47e7-a35e-b07258847125,Magisterial District 05-2-04,Honorable Elissa M. Lang,1205 Main Street,,Pittsburgh,PA,15215,Fox Chapel
9,WEST ELIZABETH,BOROUGH,West Elizabeth Borough,Steel Valley,West Jefferson Hills,18,82848,MV,146.38269,0.228723,862,003600,9,Mon-Valley,1964,4264eab5-40e5-466a-a2a5-39769e5bafda,Magisterial District 05-2-26,Honorable Beth S. Mills,2611 Hayden Boulevard, Suite 3,Elizabeth,PA,15037,West Elizabeth
10,FORWARD,TOWNSHIP,Forward Township,Twin Rivers,Elizabeth Foreward,18,26896,MV,12703.655273,19.849468,911,003210,9,Mon-Valley,1990,e272711c-c85a-4ea0-8917-db388564440b,Magisterial District 05-2-26,Honorable Beth S. Mills,2611 Hayden Boulevard, Suite 3,Elizabeth,PA,15037,Forward
11,PORT VUE,BOROUGH,Port Vue Borough,Twin Rivers,South Allegheny,18,62320,MV,748.593018,1.169677,848,003450,9,Mon-Valley,1974,dfd4bde5-8495-4ec6-9c4c-3922103bab83,Magisterial District 05-3-09,Honorable Armand A. Martin,800 Monongahela Avenue,,Glassport,PA,15045,Port Vue
