FID,AREA,PERIMETER,RINGS_OK,DESCR,COUNT_
1,106474700,71873.57,1,ABERS CREEK BASIN,17
2,828614700,506662.1,17,ALLEGHENY RIVER BASIN,177
3,11818130,13806.29,1,ARROWHEAD LAKES BASIN,4
4,62186110,40887.19,1,BAILEY RUN BASIN,10
5,54629640,33719.61,1,BEAM RUN BASIN,8
6,144222600,58127.34,1,BEAR RUN BASIN,19
7,74350830,34990.3,1,BECKETS RUN BASIN,11
8,296584800,133179.4,1,BIG SEWICKLEY CREEK BASIN,39
9,23815920,26619.98,1,BIGGER RUN BASIN,5
10,13823370,20630.39,1,BLACKS RUN BASIN,6
11,52742000,31209.68,1,BLUE RUN BASIN,8
12,52046740,30686.85,1,BODIES RUN BASIN,11
13,51268520,37064.14,1,BOGGS RUN BASIN,11
14,95321130,56684.18,1,BREAKNECK CREEK BASIN,17
15,322016400,131405.3,3,BRUSH CREEK BASIN,38
16,376767400,127517.3,1,BULL CREEK BASIN,41
17,28371250,22169.27,1,BUNOLA RUN BASIN,8
18,8297705,12613.61,1,BUTLERS LAKE BASIN,2
19,25017590,21211.1,1,CAMPBELL RUN BASIN,6
20,153156400,59680.27,1,CAMPBELLS RUN BASIN,21
21,106510300,52842.26,1,CATFISH RUN BASIN,15
22,68480620,37513.33,1,CEDAR RUN BASIN,12
23,100657200,62098.13,1,CHALFANT RUN BASIN,18
24,898340300,227639.7,1,CHARTIERS CREEK BASIN,142
25,11959960,14709.52,1,CLARKS RUN BASIN,5
26,84221290,42858.19,1,COAL RUN BASIN,13
27,36395180,32407.25,1,CRAWFORD RUN BASIN,10
28,85459640,47238.06,1,CROOKED RUN BASIN,23
29,116193100,51166,1,CROUSE RUN BASIN,18
30,75831260,36704.3,1,CUNNINGHAM RUN BASIN,10
31,123023400,52607.19,1,DAWSON RUN BASIN,19
32,50518880,36619.01,1,DAYS RUN BASIN,10
33,428579800,196938.9,1,DEER CREEK BASIN,56
34,53340040,34195.13,1,DOLPHIN RUN BASIN,10
35,76157140,37840.26,1,DOUGLASS RUN BASIN,9
36,12181860,16188.16,1,DUFFS RUN BASIN,3
37,102541200,53997.21,1,EAST BRANCH BIG SEWICKLEY CREEK BASIN,16
38,125550900,52367.19,1,FALLEN TIMBER RUN  BASIN,18
39,2831986,6788.151,1,FALLING SPRINGS RUN BASIN,3
